Sample name,Proportion classified,Precision reads,Precision taxa,Recall reads,Recall taxa,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score,Mean Precision,Mean Recall
marine_sample_0-kraken2_refseqV205-0.00,0.9799635318318572,0.2679238916159531,0.008754300507545049,0.2713181205805689,0.9922779922779924,0.2696103237051947,0.017355483522420313,47363713.0,305.9105040101905,28.458624733502322,0.7303896762948053,0.7288078509878106,0.974770161721564,7.271566575580405,33038.65430267062,0.15898207304237685,0.4899509670746191,0.0013501246311400704,29357.0,0.14348290361380753,0.13833909606174907,0.6317980564292807
marine_sample_0-kraken2_refseqV205-0.05,0.960829246858142,0.2745232600768325,0.019867549668874173,0.2725729816502756,0.9845559845559846,0.2735446447055667,0.038949137009317236,46645779.0,224.26337834152417,26.79840296970571,0.7264553552944333,0.7274040627051802,0.9734079499449456,6.906050083237733,16468.495212038302,0.16313613735649818,0.5060194515993555,0.0029298966918487822,12835.0,0.15624689085744198,0.14719540487285332,0.6285644831031301
marine_sample_0-kraken2_refseqV205-0.10,0.9394526591097284,0.2808283826284184,0.04444444444444445,0.2726298105839808,0.9806949806949808,0.2766683724319149,0.08503515232674924,45930388.0,170.88694933967864,22.58553209048493,0.7233316275680851,0.7272800172263214,0.9726978109263934,6.756071706218668,7455.289747399704,0.16526393100297138,0.5413285728252931,0.006408941321968455,5715.0,0.18085176237933207,0.16263641353643143,0.6266623956394808
marine_sample_0-kraken2_refseqV205-0.15,0.9122314632409456,0.28882021943823954,0.08501344086021505,0.27226391418886875,0.9768339768339768,0.2802977975256861,0.15641421947449768,45047642.0,138.89324227095335,22.222023208138257,0.7197022024743139,0.7275721770131061,0.9722110661893589,6.674911713337407,3876.9746835443043,0.16671646132792575,0.5784573921377947,0.012091917871554822,2976.0,0.2183560085000919,0.1869168301492273,0.6245489455114228
marine_sample_0-kraken2_refseqV205-0.20,0.8752559784879256,0.30039506594452503,0.13794983642311887,0.2716973008553236,0.9768339768339768,0.28532640302099543,0.2417582417582417,43853063.0,118.04301015865309,22.642563842322268,0.7146735969790046,0.728043934206022,0.97172797837936,6.614166143136019,2188.4144144144143,0.16815343761044416,0.6101191436400725,0.01928607291560086,1834.0,0.26354232238961856,0.21917245118382195,0.6242656388446501
marine_sample_0-kraken2_refseqV205-0.25,0.8378850865255495,0.3122678799971668,0.20015822784810128,0.2703766721665446,0.9768339768339768,0.2898163207897385,0.33223900196979644,42693907.0,105.22001317817775,22.63592453154127,0.7101836792102615,0.7284026704031529,0.9713906112339332,6.579090834257939,1375.338709677419,0.16915075946493932,0.6385123087388948,0.027653133276468074,1264.0,0.31102766137976745,0.25621305392263405,0.6236053245002606
marine_sample_0-kraken2_refseqV205-0.30,0.7847949183641044,0.3309277967018378,0.2645502645502645,0.2683779759110499,0.9652509652509652,0.296388709437346,0.4152823920265781,41055075.0,99.30607499537106,21.40586253412821,0.703611290562654,0.7298000270822453,0.9710081533144548,6.553049112832206,985.529411764706,0.1702760746926563,0.6629842231235911,0.03649995357931631,945.0,0.35583555073196205,0.2977390306260511,0.6168144705810076
marine_sample_0-kraken2_refseqV205-0.35,0.7242120463892399,0.35668160830188905,0.3045066991473813,0.2669340057790463,0.9652509652509652,0.30534979670787776,0.46296296296296297,39131029.0,96.18411794756607,21.455280782365875,0.6946502032921222,0.7303999012222334,0.9706346391630168,6.527637551906961,868.04,0.17136907016905556,0.6742564612359614,0.04147835278957395,821.0,0.3841563798354204,0.3305941537246352,0.6160924855150057
marine_sample_0-kraken2_refseqV205-0.40,0.6576392282396135,0.3870432262389957,0.3406593406593407,0.2630296004255559,0.9575289575289576,0.31320744682531865,0.502532928064843,37166097.0,96.10018021394704,19.410701582711013,0.6867925531746814,0.7323021479298552,0.9703010965465602,6.53122440831455,744.7142857142858,0.1723394200571756,0.6869336849894413,0.04625175389993315,728.0,0.4078701874450808,0.3638512834491682,0.6102792789772568
marine_sample_0-kraken2_refseqV205-0.45,0.5869657685181375,0.4232954245996833,0.3768996960486322,0.2567519741071115,0.9575289575289576,0.31963047312040466,0.5408942202835333,35217563.0,93.93243630339292,19.098587562070843,0.6803695268795953,0.7329926070502227,0.9698935303411154,6.506066831016087,679.0833333333334,0.17351799336154228,0.6949482915362869,0.05047941044317314,658.0,0.43026234670196895,0.4000975603241578,0.6071404658180346
marine_sample_0-kraken2_refseqV205-0.50,0.5256875324938226,0.4544711385517718,0.3980582524271845,0.2468831378311453,0.9498069498069498,0.31995601799994244,0.5610034207525655,33813255.0,93.16783168785248,16.35453840907385,0.6800439820000576,0.7333573687051055,0.9695308389748396,6.483419144411481,639.0,0.17456033147249808,0.6992876016329135,0.05310690950794747,618.0,0.44047971937625396,0.42626469548947815,0.5983450438190475
marine_sample_0-kraken2_refseqV205-0.55,0.4509276075926594,0.5020924445533832,0.4346289752650177,0.233963416505835,0.9498069498069498,0.3191911645413149,0.5963636363636364,32156673.0,91.89798646693632,16.63770001689798,0.6808088354586851,0.7340088651053215,0.9690916805212352,6.458854093723936,578.75,0.17581423701409715,0.7062980291020458,0.05716210011064085,566.0,0.45777740045247567,0.4683607099092004,0.5918851831563924
