Sample,Median Index,Mean Index,Number of reads,Number of correctly classified reads,Number of reads classified at a lower level by Kraken,Number of reads classified at a higher level by Kraken,Number of reads classified wrong by Kraken,Unclassified reads,Median Index of reads classified at a higher level by Kraken,Mean Index of reads classified at a higher level by Kraken,Median Index of reads classified wrong by Kraken,Mean Index of reads classified wrong by Kraken
marine_sample_0-0.00,0.0,0.3011177926133541,32264035,26925619,14137489,3764488,1570613,1030755,1.0,1.4482245659967568,1.0,2.6955182466973087
marine_sample_1-0.00,0.0,0.3316237744222446,32610946,26607520,13481673,4700072,1299716,690316,1.0,1.5233564507096913,1.0,2.7867149438800483
marine_sample_2-0.00,0.0,0.3255768168250878,32502606,26616412,12419917,4544791,1336202,796226,1.0,1.5364416097461908,1.0,2.6586399361773143
marine_sample_3-0.00,0.0,0.3560416357497632,32553659,26382723,11896229,4799324,1362021,733229,1.0,1.5365238937817076,2.0,3.0321580944787194
marine_sample_4-0.00,0.0,0.4131035022478161,32596751,25635715,9948649,5619259,1330792,701143,1.0,1.5726831598258777,2.0,3.403727254146403
marine_sample_5-0.00,0.0,0.345560996997248,32733972,26897749,11541601,4489316,1337733,564480,1.0,1.5335879675211102,2.0,3.2474768881383653
marine_sample_6-0.00,0.0,0.406668048696676,32642803,25954703,11345756,5031669,1648391,650597,1.0,1.6165099492832298,2.0,3.0749270045759776
marine_sample_7-0.00,0.0,0.3871897534395431,32551489,26292121,12055355,4782365,1470379,739813,1.0,1.5608980075757497,2.0,3.454349524850396
marine_sample_8-0.00,0.0,0.3473556952658555,32483567,26860692,13106873,4145173,1468931,820727,1.0,1.579493787110936,2.0,3.1704266572085413
marine_sample_9-0.00,0.0,0.3877156552724401,32610726,26304268,12346477,4822616,1474999,689118,1.0,1.4914938282459147,2.0,3.641493994233216
marine_sample_0-0.05,0.0,0.30257534009835,31709210,26062012,13250743,4751487,892456,1585580,1.0,1.6067649979890506,1.0,2.1632517457443283
marine_sample_0-0.10,0.0,0.3513148372885349,31017298,24826579,12384137,5600827,585189,2277492,1.0,1.7466250966151964,1.0,1.8318269823937223
marine_sample_0-0.15,0.0,0.4167044065766589,30107385,23393877,11553336,6277531,429657,3187405,1.0,1.8728514443019084,1.0,1.7039568772299765
marine_sample_0-0.20,0.0,0.4909436849736194,28900386,21749978,10674564,6813252,328886,4394404,1.0,1.9907995477049727,1.0,1.6729596273480782
marine_sample_0-0.25,0.0,0.5562751035443504,27650229,20248931,9906885,7123597,268198,5644561,1.0,2.083425831079439,1.0,1.6932303745740087
marine_sample_0-0.30,0.0,0.6354653739085572,25879964,18358957,8971887,7292318,217932,7414826,1.0,2.189696335239357,1.0,1.7484628232659731
marine_sample_0-0.35,0.0,0.714997159451125,23865106,16413305,8025958,7258287,181756,9429684,1.0,2.2906687211459125,1.0,1.8229384449481725
marine_sample_0-0.40,0.0,0.7985012406178076,21660982,14430485,7064190,7066037,152330,11633808,1.0,2.3909888951897647,2.0,1.9190901332633101
marine_sample_0-0.45,0.0,0.886603733479443,19316994,12452099,6103530,6725272,126950,13977796,1.0,2.491534766177487,2.0,2.018219771563608
marine_sample_0-0.50,0.0,0.9651367719174141,17291342,10829350,5315267,6340670,108458,16003448,1.0,2.5777343719196866,2.0,2.103772889044607
marine_sample_0-0.55,0.0,1.06595778179891,14817827,8949692,4397692,5767273,88503,18476963,1.0,2.685720443613471,2.0,2.1995186603843937
marine_sample_0-0.60,0.0,1.1748660518108514,12363549,7183856,3535217,5097130,70791,20931241,2.0,2.7971138660383392,2.0,2.2928479608989845
marine_sample_0-0.65,0.0,1.2958146671187567,9998010,5569301,2743516,4362184,55322,23296780,2.0,2.916641067868756,2.0,2.382704891363291
marine_sample_0-0.70,0.0,1.4392301130757903,7769037,4124480,2034734,3593361,41330,25525753,2.0,3.0586732031655037,3.0,2.4611904185821443
marine_sample_0-0.75,0.0,1.5719461323764088,6007022,3058044,1509080,2909098,31045,27287768,2.0,3.1917199076827254,3.0,2.5180866484135933
marine_sample_0-0.80,1.0,1.6891564346064232,4093506,2004927,990129,2061539,20355,29201284,2.0,3.2995233172886858,3.0,2.5699336772291814
marine_sample_0-0.85,1.0,1.7554174541787109,2014784,955821,472980,1045721,9900,22989521,2.0,3.3285340927455795,3.0,2.6253535353535358
marine_sample_0-0.90,1.0,1.9243623036949025,1746325,775383,384408,959409,8290,31548465,2.0,3.4491275358058973,3.0,2.684077201447527
marine_sample_0-0.95,1.0,2.3322206540021435,1042229,403501,200594,631581,4458,32252561,4.0,3.7908945962592284,3.0,2.7478689995513683
marine_sample_0-1.00,3.0,3.443860276006577,576508,158435,78640,413219,1874,32718282,6.0,4.7271108056502715,3.0,2.8073639274279616
marine_sample_1-0.05,0.0,0.3559864848125332,32186309,25680458,12719432,5813399,688888,1114953,1.0,1.6846149730992144,1.0,2.369726283517785
marine_sample_1-0.10,0.0,0.42075545298437866,31557490,24399219,11960638,6736344,416383,1743772,1.0,1.8384858314836652,1.0,2.0255798147378736
marine_sample_1-0.15,0.0,0.4983531551852395,30668342,22934885,11205747,7439177,286475,2632920,1.0,1.9731958252908892,1.0,1.8656671611833493
marine_sample_1-0.20,0.0,0.5833190428804557,29460228,21272965,10390609,7968052,208972,3841034,1.0,2.0973190185003814,1.0,1.823277759699864
marine_sample_1-0.25,0.0,0.6569954059389819,28200322,19771142,9669502,8251828,165439,5100940,1.0,2.1951067084772005,1.0,1.8533840267409742
marine_sample_1-0.30,0.0,0.7444886418867723,26407511,17911352,8787116,8349951,132210,6893751,1.0,2.3090043282888733,1.0,1.9214658497844341
marine_sample_1-0.35,0.0,0.8306703794988349,24360918,16011710,7885882,8223548,110425,8940344,1.0,2.41691724788376,2.0,2.0207652252660178
marine_sample_1-0.40,0.0,0.9199852097919929,22117336,14083035,6964452,7924807,93127,11183926,1.0,2.523960141868439,2.0,2.1306602811214788
