Sample name,Proportion classified,Precision reads,Precision taxa,Recall reads,Recall taxa,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score,Mean Precision,Mean Recall
marine_sample_0-kraken2_standard_0521-0.00,0.9181809826702616,0.27542152122871605,0.034582549558674576,0.26132659464051944,0.9227799227799228,0.2681889925849193,0.06666666666666668,45950520.0,159.1811507871434,21.423731210646164,0.7318110074150806,0.7386483586878247,0.9717009272269334,6.75370230765916,7137.884422110553,0.1682613152455612,0.5295078325935901,0.005113130781297183,6911.0,0.167427829625793,0.1550020353936953,0.5920532587102212
marine_sample_0-kraken2_standard_0521-0.05,0.8962227423569874,0.2821361436171889,0.052643220526432215,0.26129561961275444,0.9189189189189191,0.2713162661800936,0.099581589958159,45221421.0,149.81922835240263,20.710060425749095,0.7286837338199065,0.7386769001947274,0.9707144670085428,6.570461955220307,5247.071428571428,0.17115609006616178,0.5411160706882014,0.007552876100169411,4521.0,0.18544892806912627,0.16738968207181057,0.5901072692658368
marine_sample_0-kraken2_standard_0521-0.10,0.8705430188927457,0.29037538520094863,0.09627831715210357,0.26122063397439743,0.9189189189189191,0.2750275186037525,0.17429512998901506,44371252.0,126.12552104513851,20.71927527773773,0.7249724813962475,0.7387492808294985,0.9702426669674616,6.497313403920423,2900.31914893617,0.17251784674334644,0.5764392242458007,0.013594321234844242,2472.0,0.2246613242963838,0.1933268511765261,0.5900697764466583
marine_sample_0-kraken2_standard_0521-0.15,0.8391023640635668,0.3005818259367249,0.15414507772020725,0.2606364226040358,0.9189189189189191,0.2791875425135861,0.26400443704936216,43362088.0,113.90301360687721,20.752141560060455,0.720812457486414,0.7387916368482165,0.9700418593453471,6.458086414359362,1812.9408284023666,0.17309376101516205,0.6096872889488705,0.021619111855054145,1544.0,0.27159598978147415,0.22736345182846607,0.5897776707614775
marine_sample_0-kraken2_standard_0521-0.20,0.7999423933894763,0.31415806929465945,0.23017408123791105,0.2596954707836431,0.9189189189189191,0.2843423347874602,0.3681361175560712,42118899.0,105.08572468275447,20.67726991448463,0.7156576652125398,0.7388657639408855,0.9700042741356668,6.431573297414972,1182.6813186813188,0.17319945951511995,0.6422568554238937,0.03224185981591953,1034.0,0.3262392261717657,0.2721660752662852,0.5893071948512811
marine_sample_0-kraken2_standard_0521-0.25,0.7611336488381516,0.329170537908044,0.29528535980148884,0.2589043350544544,0.9189189189189191,0.2898395532775431,0.4469483568075118,40877750.0,100.21822394901345,19.947308256649162,0.7101604467224569,0.7394484488094449,0.9700681210118944,6.417361923482366,905.063829787234,0.17301381648280348,0.6646922685143226,0.041450614897077166,806.0,0.3683939550425275,0.31222794885476646,0.5889116269866868
marine_sample_0-kraken2_standard_0521-0.30,0.7080959813832735,0.3526521376250763,0.3640552995391705,0.2580453832574637,0.915057915057915,0.2980207153240741,0.5208791208791208,39167222.0,96.83083516598916,17.6496877384558,0.7019792846759259,0.7400443306544827,0.9702211088946356,6.405010918654367,721.0370370370372,0.1725703717682337,0.6852834224087754,0.051583462421646215,651.0,0.4094499181015975,0.3583537185821234,0.5865516491576893
marine_sample_0-kraken2_standard_0521-0.35,0.6493578124385226,0.38327109533329706,0.4093264248704663,0.2571861521265552,0.915057915057915,0.3078176369181609,0.5656324582338903,37266915.0,94.42219204555413,16.664940815987258,0.6921823630818391,0.7404586750421964,0.9704272097346917,6.395049820322107,618.2608695652174,0.171972008011591,0.6968243953379575,0.058402190028686164,579.0,0.4367250475760256,0.3962987601018817,0.5861220335922351
marine_sample_0-kraken2_standard_0521-0.40,0.5864562293379835,0.4208693800456285,0.4356617647058824,0.2550588381205011,0.915057915057915,0.3176267899161742,0.5902864259028642,35309702.0,92.71208518253911,15.617963182426491,0.6823732100838258,0.740899059004631,0.9706699277068366,6.387398352224441,574.0,0.17126501000145838,0.7028802718433567,0.06267407989124266,544.0,0.4539566079095192,0.42826557237575547,0.5850583765892081
marine_sample_0-kraken2_standard_0521-0.45,0.5206758174477147,0.4682023180711905,0.4674556213017752,0.2519175419931214,0.915057915057915,0.3275798479254336,0.618798955613577,33321979.0,90.66627271488079,14.446521758727775,0.6724201520745664,0.7412835588818553,0.9709406644212308,6.379091399337777,534.0,0.1704729656881141,0.7099046971958108,0.06787445578116479,507.0,0.4731894017695053,0.46782896968648285,0.5834877285255182
marine_sample_0-kraken2_standard_0521-0.50,0.4643372131195301,0.5098005111251546,0.4836065573770492,0.2446195709474476,0.9111969111969112,0.3306040898530151,0.6318607764390897,31916471.0,90.1706637110734,13.585582653072569,0.669395910146985,0.741616757243785,0.9711729122248228,6.373624855858769,507.71428571428567,0.16979076536603582,0.7136728598042131,0.07108523565926687,488.0,0.48123243314605235,0.4967035342511019,0.5779082410721794
marine_sample_0-kraken2_standard_0521-0.55,0.3963735467320863,0.5660137541567611,0.5164113785557987,0.2318403856198527,0.9111969111969112,0.3289444535979592,0.659217877094972,30477113.0,88.85778147197044,12.877850866880276,0.6710555464020408,0.7419282733063459,0.971475449537634,6.370705923275009,482.66666666666674,0.16889796260939133,0.7209902238309666,0.07671229772145935,457.0,0.4940811653464656,0.5412125663562799,0.571518648408382
marine_sample_0-kraken2_standard_0521-0.60,0.32952458928258743,0.6365871171837602,0.5450346420323325,0.2167719657252317,0.9111969111969112,0.32341424263482943,0.6820809248554913,29222385.0,87.42484264282284,12.058703624845467,0.6765857573651706,0.7421923603572586,0.9717320352666616,6.367737571654732,461.5,0.16813741690115075,0.7270581504416953,0.08169915464225819,433.0,0.5027475837451604,0.5908108796080463,0.5639844384610714
