Sample,Median Index,Mean Index,Number of reads,Number of correctly classified reads,Number of reads classified at a lower level by Kraken,Number of reads classified at a higher level by Kraken,Number of reads classified wrong by Kraken,Unclassified reads,Median Index of reads classified at a higher level by Kraken,Mean Index of reads classified at a higher level by Kraken,Median Index of reads classified wrong by Kraken,Mean Index of reads classified wrong by Kraken
marine_sample_0-0.05,0,0.716768149,33294790,26062012,13250743,4751487,892456,1585580,1,1.606764998,1,2.163251746
marine_sample_0-0.10,0,0.942918246,33294790,24826579,12384137,5600827,585189,2277492,1,1.746625097,1,1.831826982
marine_sample_0-0.15,0,1.238407721,33294790,23393877,11553336,6277531,429657,3187405,1,1.872851444,1,1.703956877
marine_sample_0-0.20,0,1.614009219,33294790,21749978,10674564,6813252,328886,4394404,1,1.990799548,1,1.672959627
marine_sample_0-0.25,0,1.987763941,33294790,20248931,9906885,7123597,268198,5644561,1,2.083425831,1,1.693230375
marine_sample_0-0.30,0,2.498266395,33294790,18358957,8971887,7292318,217932,7414826,1,2.189696335,1,1.748462823
marine_sample_0-0.35,1,3.061459135,33294790,16413305,8025958,7258287,181756,9429684,1,2.290668721,1,1.822938445
marine_sample_0-0.40,1,3.664254768,33294790,14430485,7064190,7066037,152330,11633808,1,2.390988895,2,1.919090133
marine_sample_0-0.45,2,4.292764213,33294790,12452099,6103530,6725272,126950,13977796,1,2.491534766,2,2.018219772
marine_sample_0-0.50,7,4.827167914,33294790,10829350,5315267,6340670,108458,16003448,1,2.577734372,2,2.103772889
marine_sample_0-0.55,9,5.468959107,33294790,8949692,4397692,5767273,88503,18476963,1,2.685720444,2,2.19951866
marine_sample_0-0.60,9,6.094247268,33294790,7183856,3535217,5097130,70791,20931241,2,2.797113866,2,2.292847961
marine_sample_0-0.65,9,6.686529274,33294790,5569301,2743516,4362184,55322,23296780,2,2.916641068,2,2.382704891
marine_sample_0-0.70,9,7.235762983,33294790,4124480,2034734,3593361,41330,25525753,2,3.058673203,3,2.461190419
marine_sample_0-0.75,9,7.659835878,33294790,3058044,1509080,2909098,31045,27287768,2,3.191719908,3,2.518086648
marine_sample_0-0.80,9,8.101151201,33294790,2004927,990129,2061539,20355,29201284,2,3.299523317,3,2.569933677
marine_sample_0-0.85,9,8.416249762,25004305,955821,472980,1045721,9900,22989521,2,3.328534093,3,2.625353535
marine_sample_0-0.90,9,8.628879984,33294790,775383,384408,959409,8290,31548465,2,3.449127536,3,2.684077201
marine_sample_0-0.95,9,8.791278065,33294790,403501,200594,631581,4458,32252561,4,3.790894596,3,2.747869
marine_sample_0-1.00,9,8.903793987,33294790,158435,78640,413219,1874,32718282,6,4.727110806,3,2.807363927
marine_sample_1-0.05,0,0.645395,33301262,25680458,12719432,5813399,688888,1114953,1,1.684614973,1,2.369726284
marine_sample_1-0.10,0,0.869995077,33301262,24399219,11960638,6736344,416383,1743772,1,1.838485831,1,2.025579815
marine_sample_1-0.15,0,1.170524558,33301262,22934885,11205747,7439177,286475,2632920,1,1.973195825,1,1.865667161
marine_sample_1-0.20,0,1.554115817,33301262,21272965,10390609,7968052,208972,3841034,1,2.097319019,1,1.82327776
marine_sample_1-0.25,0,1.934939943,33301262,19771142,9669502,8251828,165439,5100940,1,2.195106708,1,1.853384027
marine_sample_1-0.30,0,2.453476118,33301262,17911352,8787116,8349951,132210,6893751,1,2.309004328,1,1.92146585
marine_sample_1-0.35,1,3.023879065,33301262,16011710,7885882,8223548,110425,8940344,1,2.416917248,2,2.020765225
marine_sample_1-0.40,1,3.633584697,33301262,14083035,6964452,7924807,93127,11183926,1,2.523960142,2,2.130660281
marine_sample_1-0.45,2,4.26830779,33301262,12161099,6038792,7473749,78558,13571197,1,2.632228618,3,2.249497187
marine_sample_1-0.50,6,4.806731889,33301262,10589790,5275179,6992509,68090,15634226,2,2.724795778,3,2.338405052
marine_sample_1-0.55,9,5.45302154,33301262,8766808,4382872,6307581,56220,18154250,2,2.840933632,3,2.440466026
marine_sample_1-0.60,9,6.082924185,33301262,7052003,3537755,5526554,45589,20661382,2,2.960177717,3,2.531882691
marine_sample_1-0.65,9,6.6793296,33301262,5478148,2757029,4692463,36413,23079781,2,3.087240326,3,2.614505808
marine_sample_1-0.70,9,7.231587349,33301262,4067805,2054172,3836085,27687,25356381,2,3.237561733,3,2.682052949
marine_sample_1-0.75,9,7.656999816,33301262,3023455,1530291,3092159,20794,27152894,2,3.378628977,3,2.73218236
marine_sample_1-0.80,9,8.099570641,33301262,1986265,1007136,2182011,13945,29110080,2,3.490273422,3,2.778056651
marine_sample_1-0.85,9,8.414907249,33301262,1265069,642879,1470168,9106,30550825,2,3.529556486,3,2.824401494
marine_sample_1-0.90,9,8.628072203,33301262,775852,396077,1005085,5887,31510026,3,3.660222767,3,2.873449975
marine_sample_1-0.95,9,8.791543666,33301262,405713,208091,656872,3202,32231652,4,4.020360131,3,2.923797626
marine_sample_1-1.00,9,8.904838742,33301262,159849,82610,427286,1277,32708814,6,4.96842396,3,2.960062647
marine_sample_2-0.05,0,0.659043446,33298832,25782604,11559027,5551126,760723,1199311,1,1.690543684,1,2.263037926
marine_sample_2-0.10,0,0.872948156,33298832,24575265,10770540,6418542,502714,1795421,1,1.844787181,1,2.002154306
marine_sample_2-0.15,0,1.163605408,33298832,23161383,10028669,7099564,376063,2652685,1,1.982303843,1,1.906090203
marine_sample_2-0.20,0,1.539546883,33298832,21531765,9246590,7627073,296318,3832115,1,2.112008368,2,1.901966806
marine_sample_2-0.25,0,1.91552995,33298832,20043913,8569545,7917282,250065,5074517,1,2.211665443,2,1.945026293
marine_sample_2-0.30,0,2.429574467,33298832,18181593,7758615,8041310,212917,6848266,1,2.326205432,2,2.015550661
marine_sample_2-0.35,1,2.998179906,33298832,16264169,6941167,7950912,186444,8881203,1,2.43601451,2,2.100303576
marine_sample_2-0.40,1,3.60628586,33298832,14310961,6112473,7694114,163355,11113627,1,2.541422183,2,2.188466836
