Sample name,Proportion classified,Precision reads,Precision taxa,Recall reads,Recall taxa,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score,Mean Precision,Mean Recall
marine_sample_0-kraken2_refseqV205_500GB-0.00,0.9648162670495894,0.2723821655614739,0.008664455425438299,0.2715693348839056,0.9884169884169884,0.2719751429132974,0.017178325784264384,46843200.0,291.44725224742587,25.74350828071434,0.7280248570867026,0.7283997741598038,0.9743667811545856,7.2155523598248745,32871.430143945814,0.16025116397000386,0.4858736898310474,0.001320377640035365,29546.0,0.14457673434878088,0.1405233104934561,0.629993161650447
marine_sample_0-kraken2_refseqV205_500GB-0.05,0.911499637030298,0.2887932126691316,0.03,0.2720200556786987,0.9845559845559846,0.2801558030940314,0.058225824865852274,45038990.0,190.89084708512715,23.398288487363896,0.7198441969059687,0.7278205798436854,0.9723671724312064,6.778341120145682,11323.86216730038,0.1662778133138163,0.5192839034426749,0.004257510691970972,8500.0,0.16919081397994182,0.15939660633456582,0.6282880201173416
marine_sample_0-kraken2_refseqV205_500GB-0.10,0.8110818239129906,0.3227264531759707,0.10128617363344053,0.2704934027070498,0.972972972972973,0.29431036603859,0.18347287950491445,41793976.0,129.92628202681885,21.50746688792559,0.7056896339614099,0.7282371909720435,0.971024770818507,6.615961282391952,3275.222222222222,0.17023679640799952,0.5864813156127413,0.013871478217914507,2488.0,0.23889162277175224,0.2120063134047056,0.6217331878400114
marine_sample_0-kraken2_refseqV205_500GB-0.15,0.6742974501415987,0.3813726159203285,0.21294718909710392,0.2657409395793597,0.9652509652509652,0.31322575898212723,0.3489183531053733,37546013.0,103.26925928197862,19.788654410028503,0.6867742410178728,0.7300089960923276,0.9698211446575616,6.526903572892872,1262.4782608695652,0.1737297014420829,0.6400671643373922,0.028224687342286482,1174.0,0.33107205604375023,0.2971599025087162,0.6154959524151624
marine_sample_0-kraken2_refseqV205_500GB-0.20,0.5180908484480605,0.4616713332142203,0.32588699080157685,0.2471702930985621,0.9575289575289576,0.3219659639328521,0.4862745098039216,33541821.0,94.49475433397636,18.07460506365639,0.678034036067148,0.7322889205903625,0.9686077755694392,6.4634968255325385,785.7,0.17718631666319629,0.6752678497097797,0.04185942444719832,761.0,0.40412023686838683,0.3937791620078986,0.6023496253137599
marine_sample_0-kraken2_refseqV205_500GB-0.25,0.3885508813841445,0.5540892900209636,0.38950715421303655,0.22247698854945092,0.945945945945946,0.3174799628392304,0.5518018018018018,30820027.0,93.56056940529251,14.916797055467946,0.6825200371607696,0.7331372156113447,0.9675929577128508,6.440157616214044,652.8823529411766,0.18002830013747154,0.6927197656625781,0.04905801353761072,629.0,0.4346408823205161,0.47179822211700007,0.5842114672476985
marine_sample_0-kraken2_refseqV205_500GB-0.30,0.2503270631831587,0.6910501984081515,0.4674329501915709,0.17876185116821944,0.942084942084942,0.2840462207387713,0.6248399487836107,29034854.0,90.4980780371083,16.313134545391648,0.7159537792612286,0.7348845980186265,0.9662854310994646,6.383705148505267,533.3333333333334,0.1836267527652965,0.7071080659159197,0.056821394273563364,522.0,0.454443084761191,0.5792415742998612,0.5604233966265807
marine_sample_0-kraken2_refseqV205_500GB-0.35,0.1435327569268345,0.7855499171042332,0.541019955654102,0.11651511198046725,0.942084942084942,0.20293090543708975,0.6873239436619718,29490278.0,87.17447776848377,21.411774790346488,0.7970690945629102,0.7349599725234602,0.96490988556942,6.326413980649287,462.1428571428572,0.1873411962681655,0.7175258853790935,0.0631885913227294,451.0,0.4451274245495308,0.6632849363791675,0.5293000270327046
marine_sample_0-kraken2_refseqV205_500GB-0.40,0.0722021373313963,0.8201759184344133,0.6044776119402985,0.06119479869071848,0.9382239382239382,0.11389191686168378,0.7352496217851741,30680126.0,84.01249375684222,29.855063930568967,0.8861080831383162,0.7357758542273294,0.9634960824878891,6.271894535380423,406.66666666666674,0.19109185979784185,0.7249863668917363,0.06814507479175125,402.0,0.4245707693234289,0.7123267651873559,0.4997093684573284
marine_sample_0-kraken2_refseqV205_500GB-0.45,0.03131559021696788,0.8707605457652933,0.6657458563535912,0.02817842969210295,0.9305019305019304,0.05459027917889489,0.7761674718196458,31446359.0,81.17909870958214,40.989213222780684,0.9454097208211052,0.7365574647578774,0.9620340856498284,6.21271959497063,362.125,0.19491592601751667,0.7309214399300805,0.07276081681446532,362.0,0.4153788754992704,0.7682532010594423,0.4793401800970167
