Sample name,Proportion classified,Precision reads,Precision taxa,Mean Precision,Recall reads,Recall taxa,Mean Recall,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score
strain_sample_2-kraken2_refseqV205_100GB-0.30,4.02E-05,0.6,0.5,0.55,2.55E-05,0.05,0.025012729,5.09E-05,0.090909091,12609014,19.31509277,9.048624492,0.999949087,0.783435182,0.48,0.970950594,2,0.722459382,0.970950594,0.961538462,2,0.045480002
strain_sample_2-kraken2_refseqV205_100GB-0.35,0,0,0,0,0,0,0,0,0,12609121,13.98898903,0,1,0,0,0,0,0,0,0,0,0
strain_sample_2-kraken2_refseqV205_100GB-0.40,0,0,0,0,0,0,0,0,0,12609121,13.98898903,0,1,0,0,0,0,0,0,0,0,0
strain_sample_2-kraken2_refseqV205_100GB-0.45,0,0,0,0,0,0,0,0,0,12609121,13.98898903,0,1,0,0,0,0,0,0,0,0,0
strain_sample_2-kraken2_refseqV205_100GB-0.50,0,0,0,0,0,0,0,0,0,12609121,13.98898903,0,1,0,0,0,0,0,0,0,0,0
strain_sample_2-kraken2_refseqV205_100GB-0.55,0,0,0,0,0,0,0,0,0,12609121,13.98898903,0,1,0,0,0,0,0,0,0,0,0
strain_sample_2-kraken2_refseqV205_100GB-0.60,0,0,0,0,0,0,0,0,0,12609121,13.98898903,0,1,0,0,0,0,0,0,0,0,0
strain_sample_2-kraken2_refseqV205_100GB-0.65,0,0,0,0,0,0,0,0,0,12609121,13.98898903,0,1,0,0,0,0,0,0,0,0,0
strain_sample_2-kraken2_refseqV205_100GB-0.70,0,0,0,0,0,0,0,0,0,12609121,13.98898903,0,1,0,0,0,0,0,0,0,0,0
strain_sample_2-kraken2_refseqV205_100GB-0.75,0,0,0,0,0,0,0,0,0,12609121,13.98898903,0,1,0,0,0,0,0,0,0,0,0
strain_sample_2-kraken2_refseqV205_100GB-0.80,0,0,0,0,0,0,0,0,0,12609121,13.98898903,0,1,0,0,0,0,0,0,0,0,0
strain_sample_2-kraken2_refseqV205_100GB-0.85,0,0,0,0,0,0,0,0,0,12609121,13.98898903,0,1,0,0,0,0,0,0,0,0,0
strain_sample_2-kraken2_refseqV205_100GB-0.90,0,0,0,0,0,0,0,0,0,12609121,13.98898903,0,1,0,0,0,0,0,0,0,0,0
strain_sample_2-kraken2_refseqV205_100GB-0.95,0,0,0,0,0,0,0,0,0,12609121,13.98898903,0,1,0,0,0,0,0,0,0,0,0
strain_sample_2-kraken2_refseqV205_100GB-1.00,0,0,0,0,0,0,0,0,0,12609121,13.98898903,0,1,0,0,0,0,0,0,0,0,0
strain_sample_20-kraken2_refseqV205_100GB-0.00,0.937862197,0.758215501,0.005008945,0.381612223,0.73872458,0.7,0.71936229,0.74834315,0.009946714,6361973,97.47107275,3.112559615,0.25165685,0.248018269,0.73594348,2.694220313,3415.647706,0.51397941,0.235331189,0.001354944,2795,0.379144932
strain_sample_20-kraken2_refseqV205_100GB-0.05,0.437951957,0.886214669,0.021493213,0.453853941,0.403196047,0.95,0.676598023,0.554234965,0.042035398,8304809,77.35762825,9.967655364,0.445765035,0.419933727,0.743958586,2.711225584,1153.054348,0.506082057,0.276997607,0.00441812,884,0.298135181
strain_sample_20-kraken2_refseqV205_100GB-0.10,0.130264408,0.943648942,0.146153846,0.544901394,0.12769888,0.95,0.53884944,0.224955725,0.253333333,11267248,40.07901523,15.36366125,0.775044275,0.376159462,0.678805094,2.249270386,134.5,0.566782793,0.320300851,0.023949034,130,0.239144529
strain_sample_20-kraken2_refseqV205_100GB-0.15,0.025717026,0.962600704,0.5,0.731300352,0.025716851,0.7,0.362858425,0.050095354,0.583333333,12488252,32.84365534,15.23709121,0.949904646,0.33290569,0.654623062,2.005665447,28,0.587734177,0.417207691,0.103406689,28,0.316714343
strain_sample_20-kraken2_refseqV205_100GB-0.20,0.003619713,0.881578401,0.6,0.7407892,0.003315018,0.45,0.226657509,0.006605199,0.514285714,12768010,29.17769738,15.94090684,0.993394801,0.392891369,0.707616991,2.139178131,15,0.540881786,0.547539809,0.228011426,15,0.260445457
strain_sample_20-kraken2_refseqV205_100GB-0.25,0.00053871,0.689506001,0.714285714,0.701895857,0.000385872,0.25,0.125192936,0.000771313,0.37037037,12802040,22.23355099,16.449388,0.999228687,0.615738575,0.715064681,2.004236915,7,0.534240612,0.713923594,0.501366918,7,0.185570842
strain_sample_20-kraken2_refseqV205_100GB-0.30,3.83E-05,0.247058824,0.666666667,0.456862745,9.84E-06,0.1,0.05000492,1.97E-05,0.173913043,12805014,19.54055942,12.73989097,0.999980321,0.942593518,0.378446751,0.883058538,3,0.791487301,0.557147906,0.536290871,3,0.086966361
strain_sample_20-kraken2_refseqV205_100GB-0.35,0,0,0,0,0,0,0,0,0,12804756,12.04270659,0,1,0,0,0,0,0,0,0,0,0
strain_sample_20-kraken2_refseqV205_100GB-0.40,0,0,0,0,0,0,0,0,0,12804756,12.04270659,0,1,0,0,0,0,0,0,0,0,0
strain_sample_20-kraken2_refseqV205_100GB-0.45,0,0,0,0,0,0,0,0,0,12804756,12.04270659,0,1,0,0,0,0,0,0,0,0,0
strain_sample_20-kraken2_refseqV205_100GB-0.50,0,0,0,0,0,0,0,0,0,12804756,12.04270659,0,1,0,0,0,0,0,0,0,0,0
strain_sample_20-kraken2_refseqV205_100GB-0.55,0,0,0,0,0,0,0,0,0,12804756,12.04270659,0,1,0,0,0,0,0,0,0,0,0
strain_sample_20-kraken2_refseqV205_100GB-0.60,0,0,0,0,0,0,0,0,0,12804756,12.04270659,0,1,0,0,0,0,0,0,0,0,0
strain_sample_20-kraken2_refseqV205_100GB-0.65,0,0,0,0,0,0,0,0,0,12804756,12.04270659,0,1,0,0,0,0,0,0,0,0,0
strain_sample_20-kraken2_refseqV205_100GB-0.70,0,0,0,0,0,0,0,0,0,12804756,12.04270659,0,1,0,0,0,0,0,0,0,0,0
strain_sample_20-kraken2_refseqV205_100GB-0.75,0,0,0,0,0,0,0,0,0,12804756,12.04270659,0,1,0,0,0,0,0,0,0,0,0
strain_sample_20-kraken2_refseqV205_100GB-0.80,0,0,0,0,0,0,0,0,0,12804756,12.04270659,0,1,0,0,0,0,0,0,0,0,0
strain_sample_20-kraken2_refseqV205_100GB-0.85,0,0,0,0,0,0,0,0,0,12804756,12.04270659,0,1,0,0,0,0,0,0,0,0,0
strain_sample_20-kraken2_refseqV205_100GB-0.90,0,0,0,0,0,0,0,0,0,12804756,12.04270659,0,1,0,0,0,0,0,0,0,0,0
strain_sample_20-kraken2_refseqV205_100GB-0.95,0,0,0,0,0,0,0,0,0,12804756,12.04270659,0,1,0,0,0,0,0,0,0,0,0
strain_sample_20-kraken2_refseqV205_100GB-1.00,0,0,0,0,0,0,0,0,0,12804756,12.04270659,0,1,0,0,0,0,0,0,0,0,0
strain_sample_21-kraken2_refseqV205_100GB-0.00,0.949174938,0.804691544,0.00526118,0.404976362,0.772695763,0.7,0.736347881,0.788369152,0.010443864,5458353,95.47442257,5.821836327,0.211630848,0.203641326,0.685849679,2.46846666,3457.174699,0.560609172,0.216955554,0.001196238,2661,0.399406508
