Sample name,Proportion classified,Precision reads,Precision taxa,Mean Precision,Recall reads,Recall taxa,Mean Recall,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score
strain_sample_12-kraken2_refseqV205-0.55,0.542197278,0.93985638,0.223880597,0.581868488,0.522049838,0.75,0.636024919,0.671249447,0.344827586,6639601,40.4872738,8.804473825,0.328750553,0.337815547,0.592492683,1.882211612,67,0.63836884,0.310284197,0.036626025,67,0.508038517
strain_sample_12-kraken2_refseqV205-0.60,0.460913729,0.988921519,0.25862069,0.623771104,0.466954548,0.75,0.608477274,0.634369108,0.384615385,6989127,39.27648523,9.285170158,0.365630892,0.34684608,0.580276971,1.828023387,58,0.64786637,0.3120569,0.041077992,58,0.509492246
strain_sample_12-kraken2_refseqV205-0.65,0.380515473,0.989604553,0.277777778,0.633691166,0.38576884,0.75,0.56788442,0.555134485,0.405405405,8027959,38.77911541,9.688195225,0.444865515,0.356407176,0.569397555,1.785663228,54,0.656209923,0.310286383,0.043006069,54,0.480269945
strain_sample_12-kraken2_refseqV205-0.70,0.302698446,0.990223612,0.3,0.645111806,0.307069447,0.75,0.528534724,0.468772133,0.428571429,9036560,38.03651966,10.76785217,0.531227867,0.364900992,0.557256788,1.74390052,50,0.665397617,0.308990956,0.045172912,50,0.448671781
strain_sample_12-kraken2_refseqV205-0.75,0.23905175,0.99054978,0.319148936,0.654849358,0.242583563,0.75,0.496291782,0.389724431,0.447761194,9864548,37.30196046,11.53024341,0.610275569,0.371758577,0.546613418,1.709304751,47,0.673349612,0.307728402,0.046928155,47,0.418742813
strain_sample_12-kraken2_refseqV205-0.80,0.167371333,0.990991946,0.382352941,0.686672444,0.169919937,0.65,0.409959968,0.290098312,0.481481481,10798037,36.96003318,10.85408557,0.709901688,0.378895699,0.533026472,1.66464509,34,0.683364743,0.327205356,0.062983794,34,0.385789897
strain_sample_12-kraken2_refseqV205-0.85,0.112413307,0.991065338,0.433333333,0.712199336,0.114133504,0.65,0.382066752,0.204693952,0.52,11515688,35.94730798,12.13443592,0.795306048,0.386327123,0.520765532,1.624833,30,0.692281054,0.331132918,0.069555375,30,0.362346976
strain_sample_12-kraken2_refseqV205-0.90,0.074672041,0.991918637,0.5,0.745959318,0.07587998,0.6,0.33793999,0.140975584,0.545454545,12007049,34.01902833,11.79006374,0.859024416,0.395367142,0.50867132,1.582346669,24,0.700964646,0.3451166,0.08480406,24,0.343215065
strain_sample_12-kraken2_refseqV205-0.95,0.045560355,0.992406379,0.5,0.74620319,0.046320131,0.55,0.298160066,0.088509138,0.523809524,12387437,32.8153244,12.54480699,0.911490862,0.418493766,0.471185469,1.482614915,22,0.727221549,0.332467238,0.085955553,22,0.306159331
strain_sample_12-kraken2_refseqV205-1.00,0.025983239,0.993634701,0.5,0.746817351,0.026449238,0.45,0.238224619,0.051526899,0.473684211,12643044,31.15917257,13.83010138,0.948473101,0.47319273,0.396404294,1.268026629,18,0.776952436,0.304088594,0.092041005,18,0.262605555
strain_sample_13-kraken2_refseqV205-0.00,0.998616291,0.641923056,0.000711797,0.321317426,0.673697547,0.95,0.811848774,0.657426597,0.001422528,8891369,237.9796601,5.907344175,0.342573403,0.336764283,0.748883578,3.637518203,28961.53913,0.502123601,0.247379978,0.000149186,26693,0.329424563
strain_sample_13-kraken2_refseqV205-0.05,0.996306303,0.645342986,0.003235695,0.324289341,0.675720069,0.95,0.812860034,0.660182276,0.006449423,8809399,152.7098592,5.618287323,0.339817724,0.334830885,0.689592592,2.819726631,8188.03548,0.557388969,0.225224325,0.000548633,5872,0.333315849
