Sample name,Proportion classified,Precision reads,Precision taxa,Mean Precision,Recall reads,Recall taxa,Mean Recall,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score
marine_sample_0-kraken2_GTDBr202RefSeqV205-0.00,0.959507028,0.186273932,0.015262636,0.100768284,0.184696083,0.594594595,0.389645339,0.185481652,0.02976133,52264456,236.4179172,17.76426083,0.814518348,0.815287977,0.971805498,6.763538705,10459.376,0.16796523,0.50851233,0.003515154,10090,0.107621491
marine_sample_0-kraken2_GTDBr202RefSeqV205-0.05,0.930946704,0.192064054,0.028790428,0.110427241,0.184768679,0.594594595,0.389681637,0.188345748,0.054921541,51308868,203.8065917,19.84726069,0.811654252,0.815154785,0.970437011,6.510337974,6464.612056,0.171968582,0.525660869,0.006323814,5349,0.121633644
marine_sample_0-kraken2_GTDBr202RefSeqV205-0.10,0.900759068,0.198522243,0.062068966,0.130295604,0.184788636,0.590733591,0.387761113,0.191409409,0.112334802,50302491,178.1408707,18.07352389,0.808590591,0.815060366,0.969834178,6.423264675,3244.1,0.173697378,0.570076564,0.013448316,2465,0.151872105
marine_sample_0-kraken2_GTDBr202RefSeqV205-0.15,0.865427384,0.206602344,0.099739244,0.153170794,0.184766537,0.590733591,0.387750064,0.195075293,0.170663692,49127554,169.1111384,18.59277957,0.804924707,0.814995965,0.969528403,6.386126719,1885.565217,0.174570443,0.603427835,0.021393381,1534,0.182869493
marine_sample_0-kraken2_GTDBr202RefSeqV205-0.20,0.822296011,0.217402965,0.137713771,0.177558368,0.18473581,0.590733591,0.387734701,0.199742554,0.223357664,47693484,163.7440489,18.85131924,0.800257446,0.814907209,0.969359544,6.363653034,1284.88,0.175051252,0.628965953,0.029375869,1111,0.211550109
marine_sample_0-kraken2_GTDBr202RefSeqV205-0.25,0.780045497,0.229129786,0.168502203,0.198815994,0.184696611,0.590733591,0.387715101,0.204527769,0.262210797,46289288,160.9449408,19.62242175,0.795472231,0.814814648,0.969285955,6.351248584,1001.196078,0.17526035,0.646335648,0.035857263,908,0.233369283
marine_sample_0-kraken2_GTDBr202RefSeqV205-0.30,0.722723225,0.247116912,0.192405063,0.219760988,0.184557595,0.586872587,0.385715091,0.21130413,0.289799809,44389713,158.6276052,17.04817453,0.78869587,0.814698339,0.969253884,6.341230518,832.3846154,0.175351453,0.658780628,0.041170169,790,0.25055197
marine_sample_0-kraken2_GTDBr202RefSeqV205-0.35,0.65972526,0.269948748,0.212290503,0.241119625,0.184035613,0.586872587,0.3854541,0.218862973,0.311794872,42325845,157.0888473,17.03054057,0.781137027,0.814607584,0.969261927,6.334093082,780.1666667,0.175328476,0.66788445,0.045437072,716,0.265328922
marine_sample_0-kraken2_GTDBr202RefSeqV205-0.40,0.592780822,0.297853983,0.23100304,0.264428511,0.182454677,0.586872587,0.384663632,0.226291369,0.331515812,40198818,155.5486009,16.54694069,0.773708631,0.814494335,0.969306538,6.328496144,695.2758621,0.175201329,0.675981003,0.049514025,658,0.278903591
marine_sample_0-kraken2_GTDBr202RefSeqV205-0.45,0.523479289,0.332157543,0.24516129,0.288659417,0.179680549,0.586872587,0.383276568,0.233207535,0.345847554,38070200,154.1006686,16.60998982,0.766792465,0.814356044,0.969399421,6.324328736,658.8965517,0.174936426,0.681785675,0.052708258,620,0.289527544
marine_sample_0-kraken2_GTDBr202RefSeqV205-0.50,0.464828101,0.360974555,0.257240204,0.30910738,0.173390943,0.583011583,0.378201263,0.234258082,0.356973995,36522717,152.8257573,14.34709009,0.765741918,0.814270936,0.969503095,6.321040153,621.1666667,0.174640243,0.687277506,0.055860669,587,0.295616039
