Sample name,Proportion classified,Precision reads,Precision taxa,Mean Precision,Recall reads,Recall taxa,Mean Recall,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score
marine_sample_0-kraken2_standard_0521-0.00,0.918180983,0.275421521,0.03458255,0.155002035,0.261326595,0.922779923,0.592053259,0.268188993,0.066666667,45950520,159.1811508,21.42373121,0.731811007,0.738648359,0.971700927,6.753702308,7137.884422,0.168261315,0.529507833,0.005113131,6911,0.16742783
marine_sample_0-kraken2_standard_0521-0.05,0.896222742,0.282136144,0.052643221,0.167389682,0.26129562,0.918918919,0.590107269,0.271316266,0.09958159,45221421,149.8192284,20.71006043,0.728683734,0.7386769,0.970714467,6.570461955,5247.071429,0.17115609,0.541116071,0.007552876,4521,0.185448928
marine_sample_0-kraken2_standard_0521-0.10,0.870543019,0.290375385,0.096278317,0.193326851,0.261220634,0.918918919,0.590069776,0.275027519,0.17429513,44371252,126.125521,20.71927528,0.724972481,0.738749281,0.970242667,6.497313404,2900.319149,0.172517847,0.576439224,0.013594321,2472,0.224661324
marine_sample_0-kraken2_standard_0521-0.15,0.839102364,0.300581826,0.154145078,0.227363452,0.260636423,0.918918919,0.589777671,0.279187543,0.264004437,43362088,113.9030136,20.75214156,0.720812457,0.738791637,0.970041859,6.458086414,1812.940828,0.173093761,0.609687289,0.021619112,1544,0.27159599
marine_sample_0-kraken2_standard_0521-0.20,0.799942393,0.314158069,0.230174081,0.272166075,0.259695471,0.918918919,0.589307195,0.284342335,0.368136118,42118899,105.0857247,20.67726991,0.715657665,0.738865764,0.970004274,6.431573297,1182.681319,0.17319946,0.642256855,0.03224186,1034,0.326239226
marine_sample_0-kraken2_standard_0521-0.25,0.761133649,0.329170538,0.29528536,0.312227949,0.258904335,0.918918919,0.588911627,0.289839553,0.446948357,40877750,100.2182239,19.94730826,0.710160447,0.739448449,0.970068121,6.417361923,905.0638298,0.173013816,0.664692269,0.041450615,806,0.368393955
marine_sample_0-kraken2_standard_0521-0.30,0.708095981,0.352652138,0.3640553,0.358353719,0.258045383,0.915057915,0.586551649,0.298020715,0.520879121,39167222,96.83083517,17.64968774,0.701979285,0.740044331,0.970221109,6.405010919,721.037037,0.172570372,0.685283422,0.051583462,651,0.409449918
marine_sample_0-kraken2_standard_0521-0.35,0.649357812,0.383271095,0.409326425,0.39629876,0.257186152,0.915057915,0.586122034,0.307817637,0.565632458,37266915,94.42219205,16.66494082,0.692182363,0.740458675,0.97042721,6.39504982,618.2608696,0.171972008,0.696824395,0.05840219,579,0.436725048
marine_sample_0-kraken2_standard_0521-0.40,0.586456229,0.42086938,0.435661765,0.428265572,0.255058838,0.915057915,0.585058377,0.31762679,0.590286426,35309702,92.71208518,15.61796318,0.68237321,0.740899059,0.970669928,6.387398352,574,0.17126501,0.702880272,0.06267408,544,0.453956608
marine_sample_0-kraken2_standard_0521-0.45,0.520675817,0.468202318,0.467455621,0.46782897,0.251917542,0.915057915,0.583487729,0.327579848,0.618798956,33321979,90.66627271,14.44652176,0.672420152,0.741283559,0.970940664,6.379091399,534,0.170472966,0.709904697,0.067874456,507,0.473189402
