Sample name,Proportion classified,Precision reads,Precision taxa,Mean Precision,Recall reads,Recall taxa,Mean Recall,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score
mouse_sample_53-kraken2_refseqV208_nt-0.25,0.281516291,0.826693248,0.155102041,0.490897645,0.23272524,0.493506494,0.363115867,0.363203751,0.236024845,26996067,129.0348096,31.59693858,0.636796249,0.474245774,0.751059023,3.635416158,527.625,0.498966053,0.406799087,0.008197993,490,0.299614298
mouse_sample_53-kraken2_refseqV208_nt-0.30,0.251314867,0.832618082,0.16856492,0.500591501,0.209247165,0.480519481,0.344883323,0.334444351,0.249578415,27550338,126.5897932,30.31853619,0.665555649,0.468315592,0.761395054,3.658779233,461.5,0.488497789,0.416808736,0.009546761,439,0.292011383
mouse_sample_53-kraken2_refseqV208_nt-0.35,0.221062023,0.836581179,0.17804878,0.50731498,0.184934438,0.474025974,0.329480206,0.302908086,0.258865248,28158130,124.3056819,29.73407085,0.697091914,0.462812708,0.773714896,3.702137559,432.9655172,0.475720946,0.426539092,0.010778546,410,0.280886667
mouse_sample_53-kraken2_refseqV208_nt-0.40,0.191324195,0.839973108,0.193548387,0.516760748,0.160705537,0.467532468,0.314119002,0.269793564,0.273764259,28777413,122.3884392,29.08741326,0.730206436,0.457306379,0.786978108,3.75588207,399.5555556,0.461570004,0.439842162,0.012619229,372,0.271778911
mouse_sample_53-kraken2_refseqV208_nt-0.45,0.162608902,0.841964995,0.208823529,0.525394262,0.136909604,0.461038961,0.298974283,0.235521678,0.287449393,29401876,120.2063758,28.84664248,0.764478322,0.451660472,0.800929718,3.816203118,354.8823529,0.446201048,0.453802558,0.014774563,340,0.261485536
mouse_sample_53-kraken2_refseqV208_nt-0.50,0.139892818,0.844171913,0.220496894,0.532334404,0.118092381,0.461038961,0.289565671,0.207199357,0.298319328,29895396,118.4035491,29.36646733,0.792800643,0.446671269,0.812495376,3.868981185,329.9166667,0.43304808,0.46441241,0.016562739,322,0.252759342
mouse_sample_53-kraken2_refseqV208_nt-0.55,0.114373302,0.847081389,0.233552632,0.54031701,0.096882506,0.461038961,0.278960733,0.173878192,0.310043668,30454479,116.1394577,29.97077556,0.826121808,0.440671205,0.825950267,3.931295465,320.8666667,0.417226094,0.4766404,0.018899619,304,0.24196093
mouse_sample_53-kraken2_refseqV208_nt-0.60,0.091184947,0.851317743,0.240418118,0.545867931,0.07762657,0.448051948,0.262839259,0.142279522,0.31292517,30961402,114.1876742,29.26537248,0.857720478,0.434481429,0.838663463,3.991355129,314,0.401705284,0.488842698,0.021596599,287,0.227602346
mouse_sample_53-kraken2_refseqV208_nt-0.65,0.070547941,0.855244513,0.252788104,0.554016308,0.060335123,0.441558442,0.250946782,0.112718284,0.321513002,31422751,112.0618766,29.6750776,0.887281716,0.428167763,0.850513216,4.051555521,303.3636364,0.386679613,0.501960529,0.024868233,269,0.217115643
mouse_sample_53-kraken2_refseqV208_nt-0.70,0.05261709,0.857166576,0.265873016,0.561519796,0.04510115,0.435064935,0.240083042,0.085693408,0.330049261,31837495,109.8046977,30.80028723,0.914306592,0.431205981,0.861570782,4.110465832,279.0833333,0.372114431,0.515271605,0.028666304,252,0.207871334
mouse_sample_53-kraken2_refseqV208_nt-0.75,0.039393086,0.859287231,0.283261803,0.571274517,0.03384963,0.428571429,0.231210529,0.065133477,0.341085271,32144458,107.2349985,31.52774643,0.934866523,0.444059862,0.869752598,4.157985247,245.1578947,0.360962312,0.528724164,0.032951486,233,0.203109374
mouse_sample_53-kraken2_refseqV208_nt-0.80,0.025942695,0.8617382,0.303317536,0.582527868,0.022355583,0.415584416,0.218969999,0.04358058,0.350684932,32459978,104.3278556,31.69129656,0.95641942,0.456752988,0.876953408,4.196285043,234,0.350865833,0.543482857,0.038516601,211,0.197132756
mouse_sample_53-kraken2_refseqV208_nt-0.85,0.01654614,0.863773968,0.337016575,0.600395271,0.014291979,0.396103896,0.205197937,0.028118706,0.364179104,32682637,99.88894809,31.91161433,0.971881294,0.466872848,0.882603166,4.223441858,227.2,0.342744927,0.563137153,0.047061422,181,0.196148905
mouse_sample_53-kraken2_refseqV208_nt-0.90,0.010514192,0.864701062,0.378205128,0.621453095,0.00909154,0.383116883,0.196104212,0.017993891,0.380645161,32827167,95.16384348,31.67251777,0.982006109,0.479100696,0.887515031,4.242253275,186.3333333,0.335537317,0.582294999,0.056987671,156,0.199319526
mouse_sample_53-kraken2_refseqV208_nt-0.95,0.006116922,0.862506239,0.427536232,0.645021236,0.00527583,0.383116883,0.194196356,0.010487508,0.404109589,32934157,89.25971371,36.15488969,0.989512492,0.492445998,0.893462961,4.273941849,157.5,0.326621256,0.601241773,0.068017441,138,0.207298549
mouse_sample_53-kraken2_refseqV208_nt-1.00,0.00332132,0.844990944,0.49137931,0.668185127,0.002806456,0.37012987,0.186468163,0.005594332,0.422222222,33005055,82.53939997,39.37096485,0.994405668,0.509915297,0.904280414,4.374630911,122.4285714,0.309709987,0.63788904,0.090061919,116,0.213908277
mouse_sample_54-kraken2_refseqV208_nt-0.00,0.612500364,0.545176335,0.003773885,0.27447511,0.333916808,0.575757576,0.454837192,0.414162124,0.007498619,31250955,393.3383034,40.57776227,0.585837876,0.496534085,0.862558005,6.563388964,35111.85899,0.371192837,0.448944818,0.000289032,25173,0.210830371
mouse_sample_54-kraken2_refseqV208_nt-0.05,0.460239227,0.722789132,0.019149365,0.370969249,0.33265203,0.575757576,0.454204803,0.455614734,0.037065938,26297637,185.7416358,39.45267885,0.544385266,0.470523381,0.766017592,4.195793714,5884.688679,0.483874914,0.341776783,0.000861485,4961,0.246340336
mouse_sample_54-kraken2_refseqV208_nt-0.10,0.408964617,0.773420845,0.074074074,0.42374746,0.316298069,0.557575758,0.436936913,0.448980956,0.130774698,25683439,141.8403847,37.21496963,0.551019044,0.466138551,0.736194967,3.756803421,1418.15942,0.513666659,0.365502933,0.003052076,1242,0.289877827
mouse_sample_54-kraken2_refseqV208_nt-0.15,0.376068745,0.79009645,0.121854305,0.455975377,0.297127113,0.557575758,0.427351436,0.431850606,0.2,25863616,133.2700196,38.13547949,0.568149394,0.462758639,0.73347562,3.670493501,793.5365854,0.516291284,0.383929468,0.004969539,755,0.315925303
mouse_sample_54-kraken2_refseqV208_nt-0.20,0.344390085,0.797600607,0.150501672,0.474051139,0.274682536,0.545454545,0.410068541,0.408636392,0.235910878,26300654,129.5613582,36.67743682,0.591363608,0.458762681,0.739640671,3.665133454,647.1538462,0.510280921,0.39734744,0.006422819,598,0.322273635
mouse_sample_54-kraken2_refseqV208_nt-0.25,0.317090271,0.801674413,0.173652695,0.487663554,0.254200191,0.527272727,0.390736459,0.38600377,0.261261261,26752722,127.5801021,34.08384904,0.61399623,0.455939895,0.747824311,3.68326466,536.8378378,0.502194913,0.410681403,0.007915148,501,0.323632516
mouse_sample_54-kraken2_refseqV208_nt-0.30,0.283483031,0.802755579,0.197701149,0.500228364,0.227564929,0.521212121,0.374388525,0.354606193,0.286666667,27403230,125.4710681,34.67693649,0.645393807,0.454408389,0.759722615,3.72157945,462.4444444,0.490203658,0.424601708,0.009567486,435,0.32063643
mouse_sample_54-kraken2_refseqV208_nt-0.35,0.249711438,0.8056422,0.21446384,0.51005302,0.201175725,0.521212121,0.361193923,0.321956234,0.303886926,28032021,123.1658277,35.31133064,0.678043766,0.450861233,0.773392046,3.777822356,440.6666667,0.476056616,0.436870832,0.011004758,401,0.31292158
mouse_sample_54-kraken2_refseqV208_nt-0.40,0.216315284,0.808144107,0.22972973,0.518936919,0.174811882,0.515151515,0.344981699,0.287445611,0.317757009,28671554,121.2289828,35.64244713,0.712554389,0.447111314,0.788024385,3.844470313,391.9375,0.460431838,0.450626939,0.012750064,370,0.30260131
mouse_sample_54-kraken2_refseqV208_nt-0.45,0.184064126,0.810879796,0.24566474,0.528272268,0.14925214,0.515151515,0.332201827,0.252101904,0.332681018,29295763,119.1770026,36.30695988,0.747898096,0.443499882,0.803207588,3.915625802,361.3333333,0.443638044,0.464232174,0.014686407,346,0.292391461
mouse_sample_54-kraken2_refseqV208_nt-0.50,0.158385741,0.813988637,0.249240122,0.531614379,0.128922689,0.496969697,0.312946193,0.22259061,0.331983806,29791354,117.7699982,34.27859766,0.77740939,0.440392656,0.815962864,3.977571706,347.75,0.429022353,0.47567549,0.016515763,329,0.277287208
mouse_sample_54-kraken2_refseqV208_nt-0.55,0.129559718,0.820193714,0.267100977,0.543647346,0.106262826,0.496969697,0.301616262,0.188149359,0.347457627,30337005,115.7364541,35.29692481,0.811850641,0.43632413,0.830833986,4.051787124,318.4,0.41132733,0.490406755,0.019255221,307,0.267803493
mouse_sample_54-kraken2_refseqV208_nt-0.60,0.103256841,0.829135334,0.275167785,0.55215156,0.085612896,0.496969697,0.291291297,0.155200469,0.354211663,30833141,113.8128153,37.0286764,0.844799531,0.432460696,0.84518725,4.126334739,337.5454545,0.393496727,0.502037977,0.021675894,298,0.254706066
mouse_sample_54-kraken2_refseqV208_nt-0.65,0.079868478,0.841282589,0.292418773,0.566850681,0.067191176,0.490909091,0.279050133,0.124443366,0.366515837,31278267,111.4737024,37.32661393,0.875556634,0.433465782,0.858395699,4.195219384,289.2142857,0.376342782,0.517051109,0.025494341,277,0.245479601
mouse_sample_54-kraken2_refseqV208_nt-0.70,0.059577513,0.845937624,0.31640625,0.581171937,0.050398271,0.490909091,0.270653681,0.095129056,0.3847981,31718091,108.568101,38.61672393,0.904870944,0.451594321,0.870508365,4.259284718,264.75,0.359896026,0.53241059,0.030166041,256,0.239963578
mouse_sample_54-kraken2_refseqV208_nt-0.75,0.044623909,0.848447858,0.329166667,0.588807262,0.037860618,0.478787879,0.258324249,0.072486638,0.390123457,32052940,105.9576162,38.07664446,0.927513362,0.466920065,0.879450405,4.306851201,248.0769231,0.347258749,0.544695939,0.034563921,240,0.231305047
mouse_sample_54-kraken2_refseqV208_nt-0.80,0.029389755,0.852901305,0.35,0.601450653,0.025066268,0.466666667,0.245866467,0.048701235,0.4,32395492,102.3679736,38.12625633,0.951298765,0.481396355,0.888032292,4.357372057,231.7692308,0.334691151,0.559975662,0.04059612,220,0.224350617
mouse_sample_54-kraken2_refseqV208_nt-0.85,0.018726457,0.8576149,0.376884422,0.617249661,0.016059901,0.454545455,0.235302678,0.031529376,0.412087912,32638628,98.78354759,39.64793107,0.968470624,0.495811797,0.894529571,4.384821094,207.0769231,0.324865944,0.574183139,0.047644877,199,0.221808644
mouse_sample_54-kraken2_refseqV208_nt-0.90,0.011894022,0.863217018,0.402234637,0.632725827,0.010267003,0.436363636,0.223315319,0.020292647,0.418604651,32795880,94.87108147,39.94923575,0.979707353,0.510002018,0.900611111,4.40929808,189.9090909,0.315402717,0.589177795,0.056209424,179,0.219448649
mouse_sample_54-kraken2_refseqV208_nt-0.95,0.006943283,0.867971597,0.440251572,0.654111585,0.006026502,0.424242424,0.215134463,0.011969895,0.432098765,32912669,89.88357083,42.56504776,0.988030105,0.529093513,0.907305859,4.42925385,168.7142857,0.304666697,0.605678209,0.067850115,159,0.22203433
mouse_sample_54-kraken2_refseqV208_nt-1.00,0.003795737,0.868366144,0.507575758,0.687970951,0.003296051,0.406060606,0.204678328,0.006567175,0.451178451,32989200,83.21388144,43.94117212,0.993432825,0.562838343,0.919698327,4.51278637,147,0.283671441,0.640620938,0.094341217,132,0.228872813
mouse_sample_55-kraken2_refseqV208_nt-0.00,0.446803302,0.250188006,0.003402791,0.126795398,0.111784695,0.486338798,0.299061746,0.154526514,0.006758296,40300455,413.6839528,39.53692268,0.845473486,0.778695744,0.976085596,8.72665523,35295.47018,0.154918076,0.594669483,0.001598769,26155,0.080642405
mouse_sample_55-kraken2_refseqV208_nt-0.05,0.241973667,0.466254274,0.018402252,0.242328263,0.112821123,0.464480874,0.288650999,0.18168042,0.035401916,33483886,191.5483164,35.99790984,0.81831958,0.719575348,0.922839661,5.340682189,5375.180258,0.277938502,0.43871865,0.002805808,4619,0.108541168
mouse_sample_55-kraken2_refseqV208_nt-0.10,0.189570362,0.568609512,0.083,0.325804756,0.107791384,0.453551913,0.280671648,0.181227454,0.140321217,32088835,145.0996499,35.28694295,0.818772546,0.691787057,0.89705936,4.620638244,1155.517241,0.320894966,0.463650237,0.009714336,1000,0.160774335
