Sample name	Shannon diversity
plant_sample_17-kraken2_refseqV205_500GB-0.10	4.1649179524884214
plant_sample_17-kraken2_refseqV205_500GB-0.05	4.664812883266951
plant_sample_17-kraken2_refseqV205_500GB-0.00	6.090833888654492
plant_sample_17-kraken2_refseqV205_500GB-1.00	nan
plant_sample_17-kraken2_refseqV205_500GB-0.80	nan
plant_sample_17-kraken2_refseqV205_500GB-0.65	2.996203933300351
plant_sample_17-kraken2_refseqV205_500GB-0.75	0.97948268714093
plant_sample_17-kraken2_refseqV205_500GB-0.70	2.4890954734431414
plant_sample_17-kraken2_refseqV205_500GB-0.95	nan
plant_sample_17-kraken2_refseqV205_500GB-0.60	3.504628297102786
plant_sample_17-kraken2_refseqV205_500GB-0.85	nan
plant_sample_17-kraken2_refseqV205_500GB-0.90	nan
strain_sample_88-kraken2_refseqV205_500GB-0.10	2.7071366768398306
strain_sample_88-kraken2_refseqV205_500GB-0.05	3.0138869612527475
strain_sample_88-kraken2_refseqV205_500GB-0.00	3.8589344915609987
strain_sample_88-kraken2_refseqV205_500GB-0.60	1.5694143663345799
strain_sample_88-kraken2_refseqV205_500GB-0.40	2.0507409353010866
strain_sample_88-kraken2_refseqV205_500GB-0.65	1.155274288272288
strain_sample_88-kraken2_refseqV205_500GB-0.50	1.9883006757677022
strain_sample_88-kraken2_refseqV205_500GB-0.35	2.095771288218947
strain_sample_88-kraken2_refseqV205_500GB-0.70	-0.0
strain_sample_88-kraken2_refseqV205_500GB-0.45	1.9749825825511411
strain_sample_88-kraken2_refseqV205_500GB-0.30	2.1234238043965843
strain_sample_88-kraken2_refseqV205_500GB-0.55	2.0373469102811192
strain_sample_88-kraken2_refseqV205_500GB-0.25	2.1376403326321456
strain_sample_88-kraken2_refseqV205_500GB-0.20	2.2060764246092464
strain_sample_88-kraken2_refseqV205_500GB-0.15	2.60806429638403
strain_sample_88-kraken2_refseqV205_500GB-0.75	-0.0
strain_sample_88-kraken2_refseqV205_500GB-0.90	nan
strain_sample_88-kraken2_refseqV205_500GB-0.85	nan
strain_sample_88-kraken2_refseqV205_500GB-0.95	nan
strain_sample_88-kraken2_refseqV205_500GB-0.80	nan
strain_sample_88-kraken2_refseqV205_500GB-1.00	nan
strain_sample_47-kraken2_refseqV205_500GB-0.20	1.9174029147952145
strain_sample_47-kraken2_refseqV205_500GB-0.25	1.8294653069411566
strain_sample_47-kraken2_refseqV205_500GB-0.15	2.3815198054198463
strain_sample_47-kraken2_refseqV205_500GB-0.10	2.5390626623177597
strain_sample_47-kraken2_refseqV205_500GB-0.05	2.7835601387934394
strain_sample_47-kraken2_refseqV205_500GB-0.00	3.655611627072353
strain_sample_47-kraken2_refseqV205_500GB-0.75	-0.0
strain_sample_47-kraken2_refseqV205_500GB-0.55	1.4897887326341535
strain_sample_47-kraken2_refseqV205_500GB-0.30	1.8003020189980599
strain_sample_47-kraken2_refseqV205_500GB-0.45	1.6814177950257876
strain_sample_47-kraken2_refseqV205_500GB-0.40	1.713955631740135
strain_sample_47-kraken2_refseqV205_500GB-0.50	1.5518726767313245
strain_sample_47-kraken2_refseqV205_500GB-0.60	1.1839787650235996
strain_sample_47-kraken2_refseqV205_500GB-0.65	1.139414170099223
strain_sample_47-kraken2_refseqV205_500GB-0.70	-0.0
strain_sample_47-kraken2_refseqV205_500GB-0.80	nan
strain_sample_47-kraken2_refseqV205_500GB-0.85	nan
strain_sample_47-kraken2_refseqV205_500GB-0.35	1.7296987488039859
strain_sample_47-kraken2_refseqV205_500GB-0.95	nan
strain_sample_47-kraken2_refseqV205_500GB-1.00	nan
strain_sample_47-kraken2_refseqV205_500GB-0.90	nan
mouse_sample_2-kraken2_refseqV205_500GB-0.30	3.5211698215305614
mouse_sample_2-kraken2_refseqV205_500GB-0.25	3.5097522695403804
mouse_sample_2-kraken2_refseqV205_500GB-0.15	3.5135677207248333
mouse_sample_2-kraken2_refseqV205_500GB-0.20	3.502939614986017
mouse_sample_2-kraken2_refseqV205_500GB-0.10	3.5678750686851943
mouse_sample_2-kraken2_refseqV205_500GB-0.40	3.5233538894768026
mouse_sample_2-kraken2_refseqV205_500GB-0.35	3.529464945674824
mouse_sample_2-kraken2_refseqV205_500GB-0.05	3.6441037737323074
mouse_sample_2-kraken2_refseqV205_500GB-0.00	3.8926750578826583
mouse_sample_2-kraken2_refseqV205_500GB-0.80	0.8631205685666311
mouse_sample_2-kraken2_refseqV205_500GB-0.50	3.541608187558508
mouse_sample_2-kraken2_refseqV205_500GB-0.65	3.475385073226387
mouse_sample_2-kraken2_refseqV205_500GB-0.55	3.5426104278329094
mouse_sample_2-kraken2_refseqV205_500GB-0.45	3.529347615419839
mouse_sample_2-kraken2_refseqV205_500GB-0.60	3.5431313673365636
mouse_sample_2-kraken2_refseqV205_500GB-0.70	3.0260237183694247
mouse_sample_2-kraken2_refseqV205_500GB-0.75	2.4976197174132446
mouse_sample_2-kraken2_refseqV205_500GB-0.85	-0.0
mouse_sample_2-kraken2_refseqV205_500GB-1.00	nan
mouse_sample_2-kraken2_refseqV205_500GB-0.95	nan
mouse_sample_2-kraken2_refseqV205_500GB-0.90	nan
strain_sample_35-kraken2_refseqV205_500GB-0.35	1.7482627464830731
strain_sample_35-kraken2_refseqV205_500GB-0.15	2.3410991684450497
strain_sample_35-kraken2_refseqV205_500GB-0.25	1.8312060976743392
strain_sample_35-kraken2_refseqV205_500GB-0.30	1.7915177457079365
strain_sample_35-kraken2_refseqV205_500GB-0.10	2.5772055220545664
strain_sample_35-kraken2_refseqV205_500GB-0.20	1.9294901680278975
strain_sample_35-kraken2_refseqV205_500GB-0.40	1.7005872362924548
strain_sample_35-kraken2_refseqV205_500GB-0.50	1.69980549540077
strain_sample_35-kraken2_refseqV205_500GB-0.55	1.6175387233146985
strain_sample_35-kraken2_refseqV205_500GB-0.45	1.7044491546937275
strain_sample_35-kraken2_refseqV205_500GB-0.05	2.904387534129816
strain_sample_35-kraken2_refseqV205_500GB-0.00	3.792291163833218
strain_sample_35-kraken2_refseqV205_500GB-0.60	1.506838420683917
strain_sample_35-kraken2_refseqV205_500GB-0.80	nan
strain_sample_35-kraken2_refseqV205_500GB-0.75	nan
strain_sample_35-kraken2_refseqV205_500GB-0.90	nan
strain_sample_35-kraken2_refseqV205_500GB-1.00	nan
strain_sample_35-kraken2_refseqV205_500GB-0.65	1.1110298201150803
strain_sample_35-kraken2_refseqV205_500GB-0.95	nan
strain_sample_35-kraken2_refseqV205_500GB-0.70	0.11515101921294478
strain_sample_35-kraken2_refseqV205_500GB-0.85	nan
mouse_sample_31-kraken2_refseqV205_500GB-0.10	4.418218149625872
mouse_sample_31-kraken2_refseqV205_500GB-0.05	4.498589291706385
mouse_sample_31-kraken2_refseqV205_500GB-0.00	4.819113627116237
mouse_sample_31-kraken2_refseqV205_500GB-0.60	4.18865146261214
mouse_sample_31-kraken2_refseqV205_500GB-0.35	4.309249840612915
mouse_sample_31-kraken2_refseqV205_500GB-0.40	4.301846191149183
mouse_sample_31-kraken2_refseqV205_500GB-0.30	4.322159955994576
mouse_sample_31-kraken2_refseqV205_500GB-0.25	4.33568165312705
mouse_sample_31-kraken2_refseqV205_500GB-0.20	4.361854446640857
mouse_sample_31-kraken2_refseqV205_500GB-0.45	4.295521647589656
mouse_sample_31-kraken2_refseqV205_500GB-0.65	3.959739645424967
mouse_sample_31-kraken2_refseqV205_500GB-0.50	4.267765919028333
mouse_sample_31-kraken2_refseqV205_500GB-0.55	4.247539148239136
mouse_sample_31-kraken2_refseqV205_500GB-0.15	4.366358246716745
mouse_sample_31-kraken2_refseqV205_500GB-0.70	3.2286517554123506
mouse_sample_31-kraken2_refseqV205_500GB-0.75	2.728704999581312
strain_sample_70-kraken2_refseqV205_500GB-0.25	1.62186147779895
mouse_sample_31-kraken2_refseqV205_500GB-0.80	0.961236604722876
strain_sample_70-kraken2_refseqV205_500GB-0.20	1.7225237332202827
mouse_sample_31-kraken2_refseqV205_500GB-0.95	nan
mouse_sample_31-kraken2_refseqV205_500GB-1.00	nan
mouse_sample_31-kraken2_refseqV205_500GB-0.85	nan
mouse_sample_31-kraken2_refseqV205_500GB-0.90	nan
strain_sample_70-kraken2_refseqV205_500GB-0.15	2.138585696482004
strain_sample_70-kraken2_refseqV205_500GB-0.10	2.3109497125370995
strain_sample_70-kraken2_refseqV205_500GB-0.05	2.5715951337455256
strain_sample_70-kraken2_refseqV205_500GB-0.00	3.5117985870814334
strain_sample_70-kraken2_refseqV205_500GB-0.30	1.5825306288618317
strain_sample_70-kraken2_refseqV205_500GB-0.75	0.5524951143251111
strain_sample_70-kraken2_refseqV205_500GB-0.80	nan
strain_sample_70-kraken2_refseqV205_500GB-0.70	0.7043479694380839
strain_sample_70-kraken2_refseqV205_500GB-0.35	1.576069732948543
strain_sample_70-kraken2_refseqV205_500GB-0.85	nan
strain_sample_70-kraken2_refseqV205_500GB-0.55	1.5062214335938697
strain_sample_70-kraken2_refseqV205_500GB-0.45	1.6085457162645669
strain_sample_70-kraken2_refseqV205_500GB-0.40	1.6088382499114406
strain_sample_70-kraken2_refseqV205_500GB-0.60	1.6954725549442893
