Sample name	Simpson's evenness
strain_sample_88-kraken2_refseqV205_100GB-0.80	nan
strain_sample_88-kraken2_refseqV205_100GB-0.90	nan
strain_sample_88-kraken2_refseqV205_100GB-0.75	nan
strain_sample_88-kraken2_refseqV205_100GB-0.70	nan
strain_sample_88-kraken2_refseqV205_100GB-0.85	nan
strain_sample_88-kraken2_refseqV205_100GB-1.00	nan
strain_sample_88-kraken2_refseqV205_100GB-0.95	nan
plant_sample_17-kraken2_refseqV205_100GB-0.10	0.009444038350753707
plant_sample_17-kraken2_refseqV205_100GB-0.05	0.0017199060263444765
plant_sample_17-kraken2_refseqV205_100GB-0.00	0.0026200942777715
plant_sample_17-kraken2_refseqV205_100GB-0.15	0.022021801622203945
plant_sample_17-kraken2_refseqV205_100GB-0.50	nan
plant_sample_17-kraken2_refseqV205_100GB-0.30	0.2516695706988112
plant_sample_17-kraken2_refseqV205_100GB-0.35	nan
plant_sample_17-kraken2_refseqV205_100GB-0.25	0.08749383080431263
plant_sample_17-kraken2_refseqV205_100GB-0.20	0.03880465050968448
plant_sample_17-kraken2_refseqV205_100GB-0.40	nan
plant_sample_17-kraken2_refseqV205_100GB-0.60	nan
plant_sample_17-kraken2_refseqV205_100GB-0.65	nan
plant_sample_17-kraken2_refseqV205_100GB-0.55	nan
plant_sample_17-kraken2_refseqV205_100GB-0.70	nan
plant_sample_17-kraken2_refseqV205_100GB-0.45	nan
plant_sample_17-kraken2_refseqV205_100GB-0.80	nan
mouse_sample_31-kraken2_refseqV205_100GB-0.25	0.13951007460139747
plant_sample_17-kraken2_refseqV205_100GB-0.85	nan
plant_sample_17-kraken2_refseqV205_100GB-0.90	nan
plant_sample_17-kraken2_refseqV205_100GB-1.00	nan
plant_sample_17-kraken2_refseqV205_100GB-0.75	nan
plant_sample_17-kraken2_refseqV205_100GB-0.95	nan
mouse_sample_31-kraken2_refseqV205_100GB-0.15	0.08001681566927016
mouse_sample_31-kraken2_refseqV205_100GB-0.10	0.05014904823727381
mouse_sample_31-kraken2_refseqV205_100GB-0.20	0.10612288203997654
mouse_sample_31-kraken2_refseqV205_100GB-0.05	0.011372514940583585
mouse_sample_31-kraken2_refseqV205_100GB-0.00	0.002605785444530819
mouse_sample_31-kraken2_refseqV205_100GB-0.80	nan
mouse_sample_31-kraken2_refseqV205_100GB-0.30	0.2815794158419112
mouse_sample_31-kraken2_refseqV205_100GB-0.40	nan
