Sample name	Number of taxa
mouse_sample_13-kraken2_refseqV208_nt-0.45	240
mouse_sample_13-kraken2_refseqV208_nt-0.10	1139
mouse_sample_13-kraken2_refseqV208_nt-0.05	4540
mouse_sample_13-kraken2_refseqV208_nt-0.15	682
mouse_sample_13-kraken2_refseqV208_nt-0.55	213
mouse_sample_13-kraken2_refseqV208_nt-0.20	501
mouse_sample_13-kraken2_refseqV208_nt-0.30	321
mouse_sample_13-kraken2_refseqV208_nt-0.40	256
mouse_sample_13-kraken2_refseqV208_nt-0.00	23138
mouse_sample_13-kraken2_refseqV208_nt-0.25	405
mouse_sample_13-kraken2_refseqV208_nt-0.35	295
mouse_sample_13-kraken2_refseqV208_nt-0.50	222
mouse_sample_13-kraken2_refseqV208_nt-1.00	81
mouse_sample_13-kraken2_refseqV208_nt-0.95	92
mouse_sample_13-kraken2_refseqV208_nt-0.75	155
mouse_sample_13-kraken2_refseqV208_nt-0.70	170
mouse_sample_13-kraken2_refseqV208_nt-0.85	123
mouse_sample_13-kraken2_refseqV208_nt-0.65	180
mouse_sample_13-kraken2_refseqV208_nt-0.80	141
mouse_sample_13-kraken2_refseqV208_nt-0.60	199
mouse_sample_13-kraken2_refseqV208_nt-0.90	106
mouse_sample_61-kraken2_refseqV208_nt-0.10	1673
mouse_sample_61-kraken2_refseqV208_nt-0.05	6640
mouse_sample_61-kraken2_refseqV208_nt-0.00	28182
mouse_sample_61-kraken2_refseqV208_nt-0.40	486
mouse_sample_61-kraken2_refseqV208_nt-0.20	757
mouse_sample_61-kraken2_refseqV208_nt-0.15	941
mouse_sample_61-kraken2_refseqV208_nt-0.25	658
mouse_sample_61-kraken2_refseqV208_nt-0.30	567
mouse_sample_61-kraken2_refseqV208_nt-0.55	417
mouse_sample_61-kraken2_refseqV208_nt-0.60	386
mouse_sample_61-kraken2_refseqV208_nt-0.70	325
mouse_sample_61-kraken2_refseqV208_nt-0.35	518
mouse_sample_61-kraken2_refseqV208_nt-0.45	457
mouse_sample_61-kraken2_refseqV208_nt-0.50	440
mouse_sample_61-kraken2_refseqV208_nt-0.65	360
mouse_sample_61-kraken2_refseqV208_nt-1.00	154
mouse_sample_61-kraken2_refseqV208_nt-0.85	251
strain_sample_86-kraken2_refseqV208_nt-0.20	512
mouse_sample_61-kraken2_refseqV208_nt-0.90	225
mouse_sample_61-kraken2_refseqV208_nt-0.95	193
mouse_sample_61-kraken2_refseqV208_nt-0.80	276
mouse_sample_61-kraken2_refseqV208_nt-0.75	302
strain_sample_86-kraken2_refseqV208_nt-0.25	322
strain_sample_86-kraken2_refseqV208_nt-0.15	836
strain_sample_86-kraken2_refseqV208_nt-0.10	1366
strain_sample_86-kraken2_refseqV208_nt-0.05	3261
strain_sample_86-kraken2_refseqV208_nt-0.00	12626
strain_sample_86-kraken2_refseqV208_nt-0.50	119
strain_sample_86-kraken2_refseqV208_nt-0.55	110
strain_sample_86-kraken2_refseqV208_nt-0.70	77
strain_sample_86-kraken2_refseqV208_nt-0.65	86
strain_sample_86-kraken2_refseqV208_nt-0.60	97
strain_sample_86-kraken2_refseqV208_nt-0.45	131
strain_sample_86-kraken2_refseqV208_nt-0.35	162
strain_sample_86-kraken2_refseqV208_nt-0.75	75
strain_sample_86-kraken2_refseqV208_nt-0.30	190
strain_sample_86-kraken2_refseqV208_nt-0.40	141
strain_sample_86-kraken2_refseqV208_nt-0.85	55
strain_sample_86-kraken2_refseqV208_nt-0.80	64
strain_sample_86-kraken2_refseqV208_nt-1.00	29
