Sample name	Number of taxa
strain_sample_6-kraken2_standard_0521-0.90	51
strain_sample_56-kraken2_standard_0521-0.15	600
strain_sample_56-kraken2_standard_0521-0.20	390
strain_sample_56-kraken2_standard_0521-0.25	259
strain_sample_56-kraken2_standard_0521-0.10	885
strain_sample_56-kraken2_standard_0521-0.05	1506
strain_sample_56-kraken2_standard_0521-0.00	4149
strain_sample_56-kraken2_standard_0521-0.80	55
strain_sample_56-kraken2_standard_0521-0.70	72
strain_sample_56-kraken2_standard_0521-0.35	151
strain_sample_56-kraken2_standard_0521-0.55	102
strain_sample_56-kraken2_standard_0521-0.40	136
strain_sample_56-kraken2_standard_0521-0.30	176
strain_sample_56-kraken2_standard_0521-0.85	44
strain_sample_56-kraken2_standard_0521-0.75	68
strain_sample_56-kraken2_standard_0521-0.50	112
strain_sample_56-kraken2_standard_0521-0.45	123
strain_sample_56-kraken2_standard_0521-0.65	78
strain_sample_56-kraken2_standard_0521-0.60	88
strain_sample_56-kraken2_standard_0521-1.00	32
strain_sample_56-kraken2_standard_0521-0.95	38
strain_sample_56-kraken2_standard_0521-0.90	43
strain_sample_18-kraken2_standard_0521-0.40	120
strain_sample_18-kraken2_standard_0521-0.35	141
strain_sample_18-kraken2_standard_0521-0.30	167
strain_sample_18-kraken2_standard_0521-0.25	257
strain_sample_18-kraken2_standard_0521-0.15	560
strain_sample_18-kraken2_standard_0521-0.20	374
strain_sample_18-kraken2_standard_0521-0.10	849
strain_sample_18-kraken2_standard_0521-0.05	1574
strain_sample_18-kraken2_standard_0521-0.00	5349
strain_sample_18-kraken2_standard_0521-0.55	86
strain_sample_18-kraken2_standard_0521-1.00	31
strain_sample_18-kraken2_standard_0521-0.50	98
strain_sample_18-kraken2_standard_0521-0.70	74
strain_sample_18-kraken2_standard_0521-0.95	37
strain_sample_18-kraken2_standard_0521-0.60	80
strain_sample_18-kraken2_standard_0521-0.45	107
strain_sample_18-kraken2_standard_0521-0.90	46
strain_sample_18-kraken2_standard_0521-0.85	53
strain_sample_18-kraken2_standard_0521-0.65	78
strain_sample_18-kraken2_standard_0521-0.80	62
strain_sample_18-kraken2_standard_0521-0.75	69
strain_sample_24-kraken2_standard_0521-0.55	75
strain_sample_24-kraken2_standard_0521-0.35	112
strain_sample_24-kraken2_standard_0521-0.45	91
strain_sample_24-kraken2_standard_0521-0.50	85
strain_sample_24-kraken2_standard_0521-0.30	132
strain_sample_24-kraken2_standard_0521-0.25	205
strain_sample_24-kraken2_standard_0521-0.15	555
strain_sample_24-kraken2_standard_0521-0.10	848
strain_sample_24-kraken2_standard_0521-0.40	98
strain_sample_24-kraken2_standard_0521-0.20	337
strain_sample_24-kraken2_standard_0521-0.05	1425
strain_sample_24-kraken2_standard_0521-0.00	3861
strain_sample_24-kraken2_standard_0521-0.90	31
strain_sample_24-kraken2_standard_0521-0.85	33
strain_sample_24-kraken2_standard_0521-0.70	59
strain_sample_24-kraken2_standard_0521-0.60	69
strain_sample_24-kraken2_standard_0521-0.65	64
strain_sample_24-kraken2_standard_0521-0.80	43
strain_sample_24-kraken2_standard_0521-0.75	53
strain_sample_24-kraken2_standard_0521-1.00	22
strain_sample_24-kraken2_standard_0521-0.95	25
mouse_sample_27-kraken2_standard_0521-0.10	1148
mouse_sample_27-kraken2_standard_0521-0.05	4044
mouse_sample_27-kraken2_standard_0521-0.00	7416
mouse_sample_27-kraken2_standard_0521-0.65	219
mouse_sample_27-kraken2_standard_0521-0.50	265
mouse_sample_27-kraken2_standard_0521-0.35	314
mouse_sample_27-kraken2_standard_0521-0.30	339
mouse_sample_27-kraken2_standard_0521-0.45	276
mouse_sample_27-kraken2_standard_0521-0.70	207
mouse_sample_27-kraken2_standard_0521-0.20	444
mouse_sample_27-kraken2_standard_0521-0.25	383
mouse_sample_27-kraken2_standard_0521-0.40	295
mouse_sample_27-kraken2_standard_0521-0.60	230
mouse_sample_27-kraken2_standard_0521-0.55	249
mouse_sample_27-kraken2_standard_0521-0.15	614
mouse_sample_27-kraken2_standard_0521-0.95	153
mouse_sample_27-kraken2_standard_0521-0.85	185
mouse_sample_27-kraken2_standard_0521-0.75	201
mouse_sample_27-kraken2_standard_0521-1.00	141
mouse_sample_27-kraken2_standard_0521-0.90	166
mouse_sample_27-kraken2_standard_0521-0.80	193
mouse_sample_55-kraken2_standard_0521-0.25	308
mouse_sample_55-kraken2_standard_0521-0.20	350
mouse_sample_55-kraken2_standard_0521-0.15	453
mouse_sample_55-kraken2_standard_0521-0.10	738
mouse_sample_55-kraken2_standard_0521-0.05	3085
mouse_sample_55-kraken2_standard_0521-0.00	7346
mouse_sample_55-kraken2_standard_0521-0.65	181
mouse_sample_55-kraken2_standard_0521-0.55	201
mouse_sample_55-kraken2_standard_0521-0.35	267
mouse_sample_55-kraken2_standard_0521-0.45	234
mouse_sample_55-kraken2_standard_0521-0.50	221
mouse_sample_55-kraken2_standard_0521-0.40	252
mouse_sample_55-kraken2_standard_0521-0.60	185
mouse_sample_55-kraken2_standard_0521-0.80	156
mouse_sample_55-kraken2_standard_0521-0.30	280
mouse_sample_55-kraken2_standard_0521-0.75	169
mouse_sample_55-kraken2_standard_0521-0.70	176
mouse_sample_55-kraken2_standard_0521-0.85	137
strain_sample_40-kraken2_standard_0521-0.30	152
strain_sample_40-kraken2_standard_0521-0.25	251
strain_sample_40-kraken2_standard_0521-0.20	377
mouse_sample_55-kraken2_standard_0521-0.90	128
mouse_sample_55-kraken2_standard_0521-0.95	115
mouse_sample_55-kraken2_standard_0521-1.00	104
strain_sample_40-kraken2_standard_0521-0.15	594
strain_sample_40-kraken2_standard_0521-0.10	856
strain_sample_40-kraken2_standard_0521-0.35	131
strain_sample_40-kraken2_standard_0521-0.05	1388
strain_sample_40-kraken2_standard_0521-0.40	119
strain_sample_40-kraken2_standard_0521-0.00	3813
strain_sample_40-kraken2_standard_0521-0.90	37
strain_sample_40-kraken2_standard_0521-0.85	48
strain_sample_40-kraken2_standard_0521-0.65	76
strain_sample_40-kraken2_standard_0521-0.80	54
strain_sample_40-kraken2_standard_0521-0.55	85
strain_sample_40-kraken2_standard_0521-0.50	98
strain_sample_40-kraken2_standard_0521-0.75	63
strain_sample_40-kraken2_standard_0521-0.60	81
strain_sample_40-kraken2_standard_0521-0.45	105
strain_sample_40-kraken2_standard_0521-0.70	67
strain_sample_40-kraken2_standard_0521-0.95	35
strain_sample_40-kraken2_standard_0521-1.00	27
strain_sample_32-kraken2_standard_0521-0.35	121
strain_sample_32-kraken2_standard_0521-0.25	227
strain_sample_32-kraken2_standard_0521-0.10	869
strain_sample_32-kraken2_standard_0521-0.20	381
strain_sample_32-kraken2_standard_0521-0.45	94
strain_sample_32-kraken2_standard_0521-0.50	89
strain_sample_32-kraken2_standard_0521-0.55	84
strain_sample_32-kraken2_standard_0521-0.30	152
strain_sample_32-kraken2_standard_0521-0.15	597
strain_sample_32-kraken2_standard_0521-0.05	1434
strain_sample_32-kraken2_standard_0521-0.00	4127
strain_sample_32-kraken2_standard_0521-0.40	107
strain_sample_32-kraken2_standard_0521-0.60	79
strain_sample_32-kraken2_standard_0521-0.90	40
strain_sample_32-kraken2_standard_0521-0.80	47
strain_sample_32-kraken2_standard_0521-0.70	67
strain_sample_32-kraken2_standard_0521-0.95	37
strain_sample_32-kraken2_standard_0521-0.85	44
strain_sample_32-kraken2_standard_0521-0.75	52
strain_sample_32-kraken2_standard_0521-0.65	72
strain_sample_32-kraken2_standard_0521-1.00	27
marine_sample_4-kraken2_standard_0521-0.10	2638
marine_sample_4-kraken2_standard_0521-0.05	4619
marine_sample_4-kraken2_standard_0521-0.00	6945
marine_sample_4-kraken2_standard_0521-0.70	411
marine_sample_4-kraken2_standard_0521-0.55	475
marine_sample_4-kraken2_standard_0521-0.65	428
marine_sample_4-kraken2_standard_0521-0.45	534
marine_sample_4-kraken2_standard_0521-0.60	449
marine_sample_4-kraken2_standard_0521-0.40	563
marine_sample_4-kraken2_standard_0521-0.50	515
marine_sample_4-kraken2_standard_0521-0.35	623
marine_sample_4-kraken2_standard_0521-0.30	695
marine_sample_4-kraken2_standard_0521-0.25	877
marine_sample_4-kraken2_standard_0521-0.20	1143
marine_sample_4-kraken2_standard_0521-0.15	1677
strain_sample_98-kraken2_standard_0521-0.25	278
marine_sample_4-kraken2_standard_0521-0.95	335
marine_sample_4-kraken2_standard_0521-0.90	341
marine_sample_4-kraken2_standard_0521-0.75	395
marine_sample_4-kraken2_standard_0521-0.85	357
marine_sample_4-kraken2_standard_0521-0.80	377
marine_sample_4-kraken2_standard_0521-1.00	323
strain_sample_98-kraken2_standard_0521-0.20	386
strain_sample_98-kraken2_standard_0521-0.15	602
strain_sample_98-kraken2_standard_0521-0.05	1560
strain_sample_98-kraken2_standard_0521-0.10	878
strain_sample_98-kraken2_standard_0521-0.00	4408
strain_sample_98-kraken2_standard_0521-0.45	123
strain_sample_98-kraken2_standard_0521-0.70	74
strain_sample_98-kraken2_standard_0521-0.60	92
strain_sample_98-kraken2_standard_0521-0.55	102
strain_sample_98-kraken2_standard_0521-0.35	150
strain_sample_98-kraken2_standard_0521-0.80	63
strain_sample_98-kraken2_standard_0521-0.30	188
strain_sample_98-kraken2_standard_0521-0.40	134
strain_sample_98-kraken2_standard_0521-0.50	115
strain_sample_98-kraken2_standard_0521-0.75	67
strain_sample_98-kraken2_standard_0521-0.65	80
strain_sample_98-kraken2_standard_0521-0.85	54
strain_sample_98-kraken2_standard_0521-0.95	37
strain_sample_98-kraken2_standard_0521-0.90	46
strain_sample_98-kraken2_standard_0521-1.00	31
mouse_sample_31-kraken2_standard_0521-0.35	301
mouse_sample_31-kraken2_standard_0521-0.30	323
mouse_sample_31-kraken2_standard_0521-0.25	371
mouse_sample_31-kraken2_standard_0521-0.40	280
mouse_sample_31-kraken2_standard_0521-0.20	447
mouse_sample_31-kraken2_standard_0521-0.15	597
mouse_sample_31-kraken2_standard_0521-0.10	1104
mouse_sample_31-kraken2_standard_0521-0.05	3687
mouse_sample_31-kraken2_standard_0521-0.00	7288
mouse_sample_31-kraken2_standard_0521-0.65	211
mouse_sample_31-kraken2_standard_0521-0.95	132
mouse_sample_31-kraken2_standard_0521-0.50	263
mouse_sample_31-kraken2_standard_0521-0.80	180
mouse_sample_31-kraken2_standard_0521-0.85	165
mouse_sample_31-kraken2_standard_0521-0.70	201
mouse_sample_31-kraken2_standard_0521-0.90	152
mouse_sample_31-kraken2_standard_0521-0.60	226
mouse_sample_31-kraken2_standard_0521-1.00	115
mouse_sample_31-kraken2_standard_0521-0.75	191
mouse_sample_31-kraken2_standard_0521-0.55	237
mouse_sample_31-kraken2_standard_0521-0.45	269
mouse_sample_24-kraken2_standard_0521-0.55	257
mouse_sample_24-kraken2_standard_0521-0.40	303
mouse_sample_24-kraken2_standard_0521-0.35	333
mouse_sample_24-kraken2_standard_0521-0.45	284
mouse_sample_24-kraken2_standard_0521-0.25	392
mouse_sample_24-kraken2_standard_0521-0.30	355
mouse_sample_24-kraken2_standard_0521-0.15	651
mouse_sample_24-kraken2_standard_0521-0.20	487
mouse_sample_24-kraken2_standard_0521-0.10	1167
mouse_sample_24-kraken2_standard_0521-0.50	269
mouse_sample_24-kraken2_standard_0521-0.05	4174
mouse_sample_24-kraken2_standard_0521-0.00	7533
mouse_sample_24-kraken2_standard_0521-0.95	149
mouse_sample_24-kraken2_standard_0521-0.80	195
mouse_sample_24-kraken2_standard_0521-0.90	166
mouse_sample_24-kraken2_standard_0521-0.70	221
mouse_sample_24-kraken2_standard_0521-0.85	183
mouse_sample_24-kraken2_standard_0521-0.65	228
mouse_sample_24-kraken2_standard_0521-0.75	208
mouse_sample_24-kraken2_standard_0521-0.60	245
mouse_sample_18-kraken2_standard_0521-0.10	903
mouse_sample_24-kraken2_standard_0521-1.00	128
mouse_sample_18-kraken2_standard_0521-0.05	2948
mouse_sample_18-kraken2_standard_0521-0.00	6941
mouse_sample_18-kraken2_standard_0521-0.70	107
mouse_sample_18-kraken2_standard_0521-0.60	124
mouse_sample_18-kraken2_standard_0521-0.35	186
mouse_sample_18-kraken2_standard_0521-0.30	203
mouse_sample_18-kraken2_standard_0521-0.40	166
mouse_sample_18-kraken2_standard_0521-0.45	150
mouse_sample_18-kraken2_standard_0521-0.25	300
mouse_sample_18-kraken2_standard_0521-0.20	375
mouse_sample_18-kraken2_standard_0521-0.15	511
mouse_sample_18-kraken2_standard_0521-0.65	117
mouse_sample_18-kraken2_standard_0521-0.55	135
mouse_sample_18-kraken2_standard_0521-0.50	142
mouse_sample_18-kraken2_standard_0521-0.85	85
mouse_sample_18-kraken2_standard_0521-0.80	94
mouse_sample_18-kraken2_standard_0521-0.75	103
mouse_sample_18-kraken2_standard_0521-0.90	81
mouse_sample_18-kraken2_standard_0521-0.95	72
mouse_sample_56-kraken2_standard_0521-0.20	357
mouse_sample_18-kraken2_standard_0521-1.00	69
mouse_sample_56-kraken2_standard_0521-0.25	313
mouse_sample_56-kraken2_standard_0521-0.15	430
mouse_sample_56-kraken2_standard_0521-0.10	762
mouse_sample_56-kraken2_standard_0521-0.05	3130
mouse_sample_56-kraken2_standard_0521-0.00	7366
mouse_sample_56-kraken2_standard_0521-0.60	183
mouse_sample_56-kraken2_standard_0521-0.85	132
mouse_sample_56-kraken2_standard_0521-0.75	158
mouse_sample_56-kraken2_standard_0521-0.65	177
mouse_sample_56-kraken2_standard_0521-0.70	172
mouse_sample_56-kraken2_standard_0521-0.45	224
mouse_sample_56-kraken2_standard_0521-0.30	281
mouse_sample_56-kraken2_standard_0521-0.50	212
mouse_sample_56-kraken2_standard_0521-0.40	238
mouse_sample_56-kraken2_standard_0521-0.55	191
mouse_sample_56-kraken2_standard_0521-0.80	146
mouse_sample_56-kraken2_standard_0521-0.35	255
strain_sample_55-kraken2_standard_0521-0.40	120
mouse_sample_56-kraken2_standard_0521-0.95	106
mouse_sample_56-kraken2_standard_0521-1.00	92
mouse_sample_56-kraken2_standard_0521-0.90	122
strain_sample_55-kraken2_standard_0521-0.30	162
strain_sample_55-kraken2_standard_0521-0.35	136
strain_sample_55-kraken2_standard_0521-0.25	230
strain_sample_55-kraken2_standard_0521-0.20	342
strain_sample_55-kraken2_standard_0521-0.15	531
strain_sample_55-kraken2_standard_0521-0.10	799
strain_sample_55-kraken2_standard_0521-0.05	1370
strain_sample_55-kraken2_standard_0521-0.00	3857
strain_sample_55-kraken2_standard_0521-1.00	23
strain_sample_55-kraken2_standard_0521-0.90	37
strain_sample_55-kraken2_standard_0521-0.85	43
