Sample name	Bray-Curtis dissimilarity relative abundance
plant_sample_13-kraken2_refseqV208_nt-0.30	0.6344315345369955
plant_sample_13-kraken2_refseqV208_nt-0.80	0.724395642691555
plant_sample_13-kraken2_refseqV208_nt-0.70	0.7115486242900221
plant_sample_13-kraken2_refseqV208_nt-0.75	0.7179096846365753
plant_sample_13-kraken2_refseqV208_nt-0.85	0.7326151391250983
plant_sample_13-kraken2_refseqV208_nt-0.60	0.6900184053469458
plant_sample_13-kraken2_refseqV208_nt-0.65	0.7005534181478688
plant_sample_13-kraken2_refseqV208_nt-0.90	0.7438727236146967
plant_sample_13-kraken2_refseqV208_nt-1.00	0.7783889546724432
plant_sample_13-kraken2_refseqV208_nt-0.95	0.758214934982144
strain_sample_62-kraken2_refseqV208_nt-0.10	0.20756803089124273
strain_sample_62-kraken2_refseqV208_nt-0.05	0.1999481348660239
strain_sample_62-kraken2_refseqV208_nt-0.00	0.2054745755529402
strain_sample_62-kraken2_refseqV208_nt-0.35	0.2719992487218796
strain_sample_62-kraken2_refseqV208_nt-0.40	0.28477652630899514
strain_sample_62-kraken2_refseqV208_nt-0.30	0.25885464971054173
strain_sample_62-kraken2_refseqV208_nt-0.25	0.2435675586451165
strain_sample_62-kraken2_refseqV208_nt-0.20	0.23097616385649064
strain_sample_62-kraken2_refseqV208_nt-0.15	0.21822427887786183
strain_sample_62-kraken2_refseqV208_nt-0.45	0.29744467219167
strain_sample_62-kraken2_refseqV208_nt-0.70	0.3581750401795683
strain_sample_62-kraken2_refseqV208_nt-0.55	0.32137321537015184
strain_sample_62-kraken2_refseqV208_nt-0.50	0.3086025203409309
strain_sample_62-kraken2_refseqV208_nt-0.65	0.3468585868812141
strain_sample_62-kraken2_refseqV208_nt-0.60	0.33427285270828117
strain_sample_62-kraken2_refseqV208_nt-0.85	0.38698303823107566
strain_sample_62-kraken2_refseqV208_nt-0.95	0.4133064963393068
strain_sample_62-kraken2_refseqV208_nt-0.90	0.3982785168803767
strain_sample_62-kraken2_refseqV208_nt-0.80	0.37833638072768805
strain_sample_62-kraken2_refseqV208_nt-1.00	0.4504301792376502
strain_sample_62-kraken2_refseqV208_nt-0.75	0.3683220593077438
strain_sample_10-kraken2_refseqV208_nt-0.20	0.17410502323085092
strain_sample_10-kraken2_refseqV208_nt-0.15	0.15778170010156542
strain_sample_10-kraken2_refseqV208_nt-0.25	0.19400281156558463
strain_sample_10-kraken2_refseqV208_nt-0.10	0.1475035192496151
strain_sample_10-kraken2_refseqV208_nt-0.05	0.14514774454754673
strain_sample_10-kraken2_refseqV208_nt-0.00	0.16183658720487257
strain_sample_10-kraken2_refseqV208_nt-0.35	0.23062094335809938
strain_sample_10-kraken2_refseqV208_nt-0.45	0.25708545528476934
strain_sample_10-kraken2_refseqV208_nt-0.50	0.2676165679653776
