Sample name	Number of taxa
strain_sample_7-kraken2_refseqV205-1.00	18
strain_sample_7-kraken2_refseqV205-0.75	41
strain_sample_7-kraken2_refseqV205-0.80	36
strain_sample_7-kraken2_refseqV205-0.90	26
strain_sample_7-kraken2_refseqV205-0.95	21
strain_sample_7-kraken2_refseqV205-0.85	32
strain_sample_24-kraken2_refseqV205-0.00	26367
strain_sample_24-kraken2_refseqV205-0.30	117
strain_sample_24-kraken2_refseqV205-0.55	50
strain_sample_24-kraken2_refseqV205-0.60	45
strain_sample_24-kraken2_refseqV205-0.50	56
strain_sample_24-kraken2_refseqV205-0.45	63
strain_sample_24-kraken2_refseqV205-0.40	71
strain_sample_24-kraken2_refseqV205-0.80	26
strain_sample_24-kraken2_refseqV205-0.35	89
strain_sample_24-kraken2_refseqV205-0.70	36
strain_sample_24-kraken2_refseqV205-0.75	29
strain_sample_24-kraken2_refseqV205-0.85	20
strain_sample_24-kraken2_refseqV205-0.65	40
strain_sample_24-kraken2_refseqV205-1.00	12
strain_sample_24-kraken2_refseqV205-0.95	17
strain_sample_24-kraken2_refseqV205-0.90	19
marine_sample_9-kraken2_refseqV205-0.25	1377
marine_sample_9-kraken2_refseqV205-0.20	1922
marine_sample_9-kraken2_refseqV205-0.40	774
marine_sample_9-kraken2_refseqV205-0.30	1020
marine_sample_9-kraken2_refseqV205-0.15	3111
marine_sample_9-kraken2_refseqV205-0.35	883
marine_sample_9-kraken2_refseqV205-0.10	5804
marine_sample_9-kraken2_refseqV205-0.05	13013
marine_sample_9-kraken2_refseqV205-0.00	29585
marine_sample_9-kraken2_refseqV205-0.60	551
marine_sample_9-kraken2_refseqV205-0.75	459
marine_sample_9-kraken2_refseqV205-0.85	406
marine_sample_9-kraken2_refseqV205-0.80	429
marine_sample_9-kraken2_refseqV205-0.45	706
marine_sample_9-kraken2_refseqV205-1.00	318
marine_sample_9-kraken2_refseqV205-0.65	517
marine_sample_9-kraken2_refseqV205-0.95	352
marine_sample_9-kraken2_refseqV205-0.70	490
marine_sample_9-kraken2_refseqV205-0.55	598
marine_sample_9-kraken2_refseqV205-0.50	648
marine_sample_9-kraken2_refseqV205-0.90	388
marine_sample_2-kraken2_refseqV205-0.15	3389
marine_sample_2-kraken2_refseqV205-0.20	2039
marine_sample_2-kraken2_refseqV205-0.25	1379
marine_sample_2-kraken2_refseqV205-0.30	1031
marine_sample_2-kraken2_refseqV205-0.35	894
marine_sample_2-kraken2_refseqV205-0.45	720
marine_sample_2-kraken2_refseqV205-0.40	792
marine_sample_2-kraken2_refseqV205-0.50	674
marine_sample_2-kraken2_refseqV205-0.55	619
marine_sample_2-kraken2_refseqV205-0.10	6254
marine_sample_2-kraken2_refseqV205-0.05	13455
marine_sample_2-kraken2_refseqV205-0.00	29268
marine_sample_2-kraken2_refseqV205-0.60	569
marine_sample_2-kraken2_refseqV205-0.85	416
marine_sample_2-kraken2_refseqV205-0.95	367
marine_sample_2-kraken2_refseqV205-0.90	393
marine_sample_2-kraken2_refseqV205-0.65	532
marine_sample_2-kraken2_refseqV205-0.80	448
marine_sample_2-kraken2_refseqV205-0.75	475
marine_sample_2-kraken2_refseqV205-0.70	497
marine_sample_2-kraken2_refseqV205-1.00	336
plant_sample_18-kraken2_refseqV205-0.10	7427
plant_sample_18-kraken2_refseqV205-0.00	32291
plant_sample_18-kraken2_refseqV205-0.05	14586
plant_sample_18-kraken2_refseqV205-0.25	1533
plant_sample_18-kraken2_refseqV205-0.45	632
plant_sample_18-kraken2_refseqV205-0.35	897
plant_sample_18-kraken2_refseqV205-0.40	769
plant_sample_18-kraken2_refseqV205-0.30	1074
plant_sample_18-kraken2_refseqV205-0.50	571
plant_sample_18-kraken2_refseqV205-0.20	2481
plant_sample_18-kraken2_refseqV205-0.15	4387
plant_sample_18-kraken2_refseqV205-0.55	516
plant_sample_18-kraken2_refseqV205-0.60	454
plant_sample_18-kraken2_refseqV205-0.65	393
plant_sample_18-kraken2_refseqV205-0.70	331
plant_sample_18-kraken2_refseqV205-0.75	300
plant_sample_18-kraken2_refseqV205-0.85	210
plant_sample_18-kraken2_refseqV205-0.80	246
plant_sample_18-kraken2_refseqV205-0.90	179
plant_sample_18-kraken2_refseqV205-0.95	144
plant_sample_18-kraken2_refseqV205-1.00	109
