Sample name	Proportion classified
strain_sample_71-kraken2_chocophlan-0.25	0.9061829828505267
strain_sample_71-kraken2_chocophlan-0.20	0.9376499733096755
strain_sample_71-kraken2_chocophlan-0.10	0.9843817242701512
strain_sample_71-kraken2_chocophlan-0.15	0.9658569849707158
strain_sample_71-kraken2_chocophlan-0.05	0.994696068627967
strain_sample_71-kraken2_chocophlan-0.00	0.9985621057538325
strain_sample_71-kraken2_chocophlan-0.35	0.8023619809483712
strain_sample_71-kraken2_chocophlan-0.30	0.8588934416985572
strain_sample_71-kraken2_chocophlan-0.40	0.7379500327050456
strain_sample_71-kraken2_chocophlan-0.45	0.6671143624019789
strain_sample_71-kraken2_chocophlan-0.50	0.6041636154488109
strain_sample_71-kraken2_chocophlan-0.55	0.5253300954085124
strain_sample_71-kraken2_chocophlan-0.65	0.36609622049967294
strain_sample_71-kraken2_chocophlan-0.60	0.445133113294789
strain_sample_71-kraken2_chocophlan-0.70	0.290096536272527
strain_sample_71-kraken2_chocophlan-0.75	0.2281497966272452
strain_sample_71-kraken2_chocophlan-0.80	0.1587960784018886
strain_sample_71-kraken2_chocophlan-0.85	0.10671866894223613
strain_sample_71-kraken2_chocophlan-0.95	0.04344425481365642
strain_sample_71-kraken2_chocophlan-0.90	0.07104460667483667
strain_sample_71-kraken2_chocophlan-1.00	0.0247186238318284
marine_sample_2-kraken2_chocophlan-0.10	0.6135026898240755
marine_sample_2-kraken2_chocophlan-0.05	0.6483253226419473
marine_sample_2-kraken2_chocophlan-0.00	0.6993779841887547
marine_sample_2-kraken2_chocophlan-0.30	0.47962421024256946
marine_sample_2-kraken2_chocophlan-0.40	0.3928531487230543
marine_sample_2-kraken2_chocophlan-0.35	0.4372816439927983
marine_sample_2-kraken2_chocophlan-0.25	0.5190903392647526
marine_sample_2-kraken2_chocophlan-0.20	0.5493170751454586
marine_sample_2-kraken2_chocophlan-0.15	0.5823072412870217
marine_sample_2-kraken2_chocophlan-0.70	0.13464517314000685
marine_sample_2-kraken2_chocophlan-0.65	0.17433338202372983
marine_sample_2-kraken2_chocophlan-0.50	0.3083890750282172
marine_sample_2-kraken2_chocophlan-0.55	0.26209336711870257
marine_sample_2-kraken2_chocophlan-0.60	0.217041126247311
marine_sample_2-kraken2_chocophlan-0.45	0.3470519026012684
marine_sample_2-kraken2_chocophlan-1.00	0.010020291402413154
marine_sample_2-kraken2_chocophlan-0.90	0.030080844877682197
marine_sample_2-kraken2_chocophlan-0.95	0.01797639628921519
marine_sample_2-kraken2_chocophlan-0.80	0.07025741923920935
marine_sample_2-kraken2_chocophlan-0.75	0.10356684582810592
marine_sample_2-kraken2_chocophlan-0.85	0.04610612168018386
strain_sample_95-kraken2_chocophlan-0.25	0.9008510294218655
strain_sample_95-kraken2_chocophlan-0.20	0.9325188255541483
strain_sample_95-kraken2_chocophlan-0.15	0.9610480148383076
strain_sample_95-kraken2_chocophlan-0.10	0.9800748137584092
strain_sample_95-kraken2_chocophlan-0.05	0.9911884398029395
strain_sample_95-kraken2_chocophlan-0.00	0.9958538917868236
strain_sample_95-kraken2_chocophlan-0.40	0.7327486714313133
strain_sample_95-kraken2_chocophlan-0.35	0.7970369074494983
strain_sample_95-kraken2_chocophlan-0.50	0.5995466506873208
strain_sample_95-kraken2_chocophlan-0.55	0.5212539427968875
strain_sample_95-kraken2_chocophlan-0.30	0.8535073326591107
strain_sample_95-kraken2_chocophlan-0.45	0.6621808169996674
strain_sample_95-kraken2_chocophlan-0.70	0.2878164701787261
strain_sample_95-kraken2_chocophlan-0.65	0.3632914506742151
strain_sample_95-kraken2_chocophlan-0.75	0.22635475380279726
strain_sample_95-kraken2_chocophlan-0.60	0.44171506535795946
strain_sample_95-kraken2_chocophlan-0.80	0.15755880022045246
strain_sample_95-kraken2_chocophlan-0.85	0.10585978484694501
strain_sample_95-kraken2_chocophlan-0.90	0.07040290586028082
strain_sample_95-kraken2_chocophlan-0.95	0.04305781436154232
strain_sample_95-kraken2_chocophlan-1.00	0.024588984982390708
strain_sample_46-kraken2_chocophlan-0.10	0.9858621354128414
strain_sample_46-kraken2_chocophlan-0.05	0.9954733420715449
strain_sample_46-kraken2_chocophlan-0.00	0.9989021664246311
strain_sample_46-kraken2_chocophlan-0.25	0.9102774314584328
strain_sample_46-kraken2_chocophlan-0.40	0.7442665812370562
strain_sample_46-kraken2_chocophlan-0.35	0.8082270457109995
strain_sample_46-kraken2_chocophlan-0.30	0.8639987035365726
