Sample name	Proportion classified
mouse_sample_55-kraken2_minikraken-0.25	0.0026859566092240455
mouse_sample_55-kraken2_minikraken-0.30	0.0008264785403324805
mouse_sample_55-kraken2_minikraken-0.40	4.055144624790459e-05
mouse_sample_55-kraken2_minikraken-0.20	0.006140508818664738
mouse_sample_55-kraken2_minikraken-0.15	0.014087894167038692
mouse_sample_55-kraken2_minikraken-0.60	0
mouse_sample_55-kraken2_minikraken-0.65	0
mouse_sample_55-kraken2_minikraken-0.55	9.105863678421689e-08
mouse_sample_55-kraken2_minikraken-0.70	0
mouse_sample_55-kraken2_minikraken-0.45	5.615282601693375e-06
mouse_sample_55-kraken2_minikraken-0.50	9.712921256983135e-07
mouse_sample_55-kraken2_minikraken-0.80	0
mouse_sample_55-kraken2_minikraken-0.95	0
mouse_sample_55-kraken2_minikraken-0.75	0
mouse_sample_55-kraken2_minikraken-0.85	0
mouse_sample_55-kraken2_minikraken-0.90	0
mouse_sample_55-kraken2_minikraken-1.00	0
mouse_sample_10-kraken2_minikraken-0.25	0.031392032571427024
mouse_sample_10-kraken2_minikraken-0.20	0.06960545532833726
mouse_sample_10-kraken2_minikraken-0.15	0.15145264599153233
mouse_sample_10-kraken2_minikraken-0.10	0.2726074708541231
mouse_sample_10-kraken2_minikraken-0.05	0.4083750535218669
mouse_sample_10-kraken2_minikraken-0.00	0.5057680376601098
mouse_sample_10-kraken2_minikraken-0.30	0.01003797528999737
mouse_sample_10-kraken2_minikraken-0.50	1.6572569625131487e-05
mouse_sample_10-kraken2_minikraken-0.45	8.708132039387273e-05
mouse_sample_10-kraken2_minikraken-0.40	0.0005517761726825597
mouse_sample_10-kraken2_minikraken-0.35	0.0026004169658517683
mouse_sample_10-kraken2_minikraken-0.55	2.109236134107644e-06
mouse_sample_10-kraken2_minikraken-0.80	0
mouse_sample_10-kraken2_minikraken-0.60	3.013194477296634e-07
mouse_sample_10-kraken2_minikraken-0.85	0
mouse_sample_10-kraken2_minikraken-0.75	0
mouse_sample_10-kraken2_minikraken-0.70	3.0131944772966345e-08
mouse_sample_10-kraken2_minikraken-0.65	1.2052777909186538e-07
mouse_sample_10-kraken2_minikraken-0.90	0
mouse_sample_10-kraken2_minikraken-0.95	0
mouse_sample_10-kraken2_minikraken-1.00	0
mouse_sample_62-kraken2_minikraken-0.10	0.1779993704923563
mouse_sample_62-kraken2_minikraken-0.05	0.2913530950541482
mouse_sample_62-kraken2_minikraken-0.00	0.39861505306387995
mouse_sample_62-kraken2_minikraken-0.25	0.018213463331179753
mouse_sample_62-kraken2_minikraken-0.15	0.09328258116205906
mouse_sample_62-kraken2_minikraken-0.20	0.04128735819135526
mouse_sample_62-kraken2_minikraken-0.30	0.0057212606417664765
mouse_sample_62-kraken2_minikraken-0.35	0.0014763912043625784
mouse_sample_62-kraken2_minikraken-0.40	0.00031246470314497804
mouse_sample_62-kraken2_minikraken-0.70	0
mouse_sample_62-kraken2_minikraken-0.65	0
mouse_sample_62-kraken2_minikraken-0.45	5.087265120607942e-05
mouse_sample_62-kraken2_minikraken-0.55	1.2650392839877652e-06
mouse_sample_62-kraken2_minikraken-0.60	1.5059991476044825e-07
mouse_sample_62-kraken2_minikraken-0.50	9.758874476477046e-06
mouse_sample_62-kraken2_minikraken-0.90	0
mouse_sample_62-kraken2_minikraken-0.95	0
mouse_sample_62-kraken2_minikraken-0.80	0
mouse_sample_62-kraken2_minikraken-0.85	0
mouse_sample_62-kraken2_minikraken-0.75	0
mouse_sample_62-kraken2_minikraken-1.00	0
strain_sample_88-kraken2_minikraken-0.20	0.14477235568429606
strain_sample_88-kraken2_minikraken-0.05	0.7933635433350261
strain_sample_88-kraken2_minikraken-0.15	0.3099786935927634
strain_sample_88-kraken2_minikraken-0.25	0.06593444082967093
strain_sample_88-kraken2_minikraken-0.10	0.5456722384141433
strain_sample_88-kraken2_minikraken-0.00	0.9389053012331025
strain_sample_88-kraken2_minikraken-0.35	0.005557820737925781
strain_sample_88-kraken2_minikraken-0.30	0.021184974091006028
strain_sample_88-kraken2_minikraken-0.45	0.00019717857300123373
strain_sample_88-kraken2_minikraken-0.40	0.0011692448917298768
strain_sample_88-kraken2_minikraken-0.55	4.734089214587547e-06
strain_sample_88-kraken2_minikraken-0.50	3.967617627463849e-05
strain_sample_88-kraken2_minikraken-0.75	0
strain_sample_88-kraken2_minikraken-0.65	0
strain_sample_88-kraken2_minikraken-0.80	0
strain_sample_88-kraken2_minikraken-0.70	0
strain_sample_88-kraken2_minikraken-0.85	0
strain_sample_88-kraken2_minikraken-0.60	7.514427324742139e-08
strain_sample_88-kraken2_minikraken-1.00	0
strain_sample_88-kraken2_minikraken-0.90	0
strain_sample_88-kraken2_minikraken-0.95	0
strain_sample_47-kraken2_minikraken-0.05	0.7924112435933968
strain_sample_47-kraken2_minikraken-0.10	0.5466996924228971
strain_sample_47-kraken2_minikraken-0.00	0.9354721883686083
strain_sample_47-kraken2_minikraken-0.35	0.005581798893744929
strain_sample_47-kraken2_minikraken-0.40	0.0011836192449587353
strain_sample_47-kraken2_minikraken-0.15	0.31131020628191086
strain_sample_47-kraken2_minikraken-0.20	0.14578981755136747
strain_sample_47-kraken2_minikraken-0.30	0.021339881344858515
strain_sample_47-kraken2_minikraken-0.25	0.06636244777542286
strain_sample_47-kraken2_minikraken-0.45	0.00021464987260097753
strain_sample_47-kraken2_minikraken-0.50	4.052409153482553e-05
strain_sample_47-kraken2_minikraken-0.65	0
strain_sample_47-kraken2_minikraken-0.55	4.8869498140327635e-06
strain_sample_47-kraken2_minikraken-0.70	0
strain_sample_47-kraken2_minikraken-0.60	1.503676865856235e-07
strain_sample_47-kraken2_minikraken-0.90	0
strain_sample_47-kraken2_minikraken-0.75	0
strain_sample_47-kraken2_minikraken-0.80	0
strain_sample_47-kraken2_minikraken-0.85	0
strain_sample_47-kraken2_minikraken-1.00	0
strain_sample_47-kraken2_minikraken-0.95	0
strain_sample_35-kraken2_minikraken-0.10	0.5460562655648808
strain_sample_35-kraken2_minikraken-0.25	0.0657379254701385
strain_sample_35-kraken2_minikraken-0.15	0.3097155969632052
strain_sample_35-kraken2_minikraken-0.20	0.14464117186333972
strain_sample_35-kraken2_minikraken-0.05	0.7940369737926072
strain_sample_35-kraken2_minikraken-0.00	0.9395669662067826
strain_sample_35-kraken2_minikraken-0.30	0.021207392113177435
strain_sample_35-kraken2_minikraken-0.35	0.005566495155187753
strain_sample_35-kraken2_minikraken-0.50	4.088258896209177e-05
strain_sample_35-kraken2_minikraken-0.55	4.809716348481384e-06
strain_sample_35-kraken2_minikraken-0.45	0.00020636689207702942
strain_sample_35-kraken2_minikraken-0.40	0.001180860515370125
strain_sample_35-kraken2_minikraken-0.75	0
strain_sample_35-kraken2_minikraken-0.65	0
strain_sample_35-kraken2_minikraken-0.70	0
strain_sample_35-kraken2_minikraken-0.85	0
strain_sample_35-kraken2_minikraken-0.80	0
strain_sample_35-kraken2_minikraken-0.60	2.254554538350649e-07
strain_sample_35-kraken2_minikraken-0.90	0
strain_sample_35-kraken2_minikraken-1.00	0
strain_sample_35-kraken2_minikraken-0.95	0
plant_sample_9-kraken2_minikraken-0.10	0.26670494887253604
plant_sample_9-kraken2_minikraken-0.05	0.44769844198167874
plant_sample_9-kraken2_minikraken-0.00	0.6235349798536579
plant_sample_9-kraken2_minikraken-0.35	0.0021001006202849676
plant_sample_9-kraken2_minikraken-0.20	0.0597736953061655
plant_sample_9-kraken2_minikraken-0.30	0.008200800167969502
plant_sample_9-kraken2_minikraken-0.40	0.00044666588849470344
plant_sample_9-kraken2_minikraken-0.25	0.02620861489365726
plant_sample_9-kraken2_minikraken-0.15	0.13690791322587573
