Sample name	Pielou evenness
strain_sample_57-kraken2_minikraken-0.30	0.32042123190261446
strain_sample_57-kraken2_minikraken-0.40	0.41041993790822523
strain_sample_57-kraken2_minikraken-0.20	0.2640494875710654
strain_sample_57-kraken2_minikraken-0.60	nan
strain_sample_57-kraken2_minikraken-0.55	0.10928571467638523
strain_sample_57-kraken2_minikraken-0.25	0.2863527285222583
strain_sample_57-kraken2_minikraken-0.15	0.2400033457813446
strain_sample_57-kraken2_minikraken-0.65	nan
strain_sample_57-kraken2_minikraken-0.45	0.49264360658163786
strain_sample_57-kraken2_minikraken-0.85	nan
strain_sample_57-kraken2_minikraken-0.80	nan
strain_sample_57-kraken2_minikraken-0.75	nan
strain_sample_57-kraken2_minikraken-0.95	nan
strain_sample_57-kraken2_minikraken-1.00	nan
strain_sample_57-kraken2_minikraken-0.90	nan
strain_sample_6-kraken2_minikraken-0.05	0.27158495012829353
strain_sample_6-kraken2_minikraken-0.20	0.3793065133130022
strain_sample_6-kraken2_minikraken-0.00	0.23828716678125303
strain_sample_6-kraken2_minikraken-0.25	0.4044121187689487
strain_sample_6-kraken2_minikraken-0.10	0.3105131090774242
strain_sample_6-kraken2_minikraken-0.15	0.3487282349308117
strain_sample_6-kraken2_minikraken-0.60	nan
strain_sample_6-kraken2_minikraken-0.80	nan
strain_sample_6-kraken2_minikraken-0.55	0.8248169522617029
strain_sample_6-kraken2_minikraken-0.70	nan
strain_sample_6-kraken2_minikraken-0.30	0.4565542261842622
strain_sample_6-kraken2_minikraken-0.50	0.8286799987596855
strain_sample_6-kraken2_minikraken-0.40	0.6155921704554121
strain_sample_6-kraken2_minikraken-0.85	nan
strain_sample_6-kraken2_minikraken-0.65	nan
strain_sample_6-kraken2_minikraken-0.75	nan
strain_sample_6-kraken2_minikraken-0.35	0.532109962751051
strain_sample_6-kraken2_minikraken-0.45	0.690610179373099
strain_sample_25-kraken2_minikraken-0.40	0.579005244251772
strain_sample_6-kraken2_minikraken-1.00	nan
strain_sample_25-kraken2_minikraken-0.25	0.3381915984276224
strain_sample_25-kraken2_minikraken-0.10	0.26761828627327916
strain_sample_25-kraken2_minikraken-0.15	0.30010863560792506
strain_sample_25-kraken2_minikraken-0.35	0.4482702364561082
strain_sample_6-kraken2_minikraken-0.90	nan
strain_sample_25-kraken2_minikraken-0.30	0.3658440818485585
strain_sample_25-kraken2_minikraken-0.20	0.32178252446653294
strain_sample_25-kraken2_minikraken-0.05	0.2363115907260529
strain_sample_6-kraken2_minikraken-0.95	nan
strain_sample_25-kraken2_minikraken-0.00	0.21157519108927722
strain_sample_25-kraken2_minikraken-0.50	0.719948458437122
strain_sample_25-kraken2_minikraken-0.85	nan
strain_sample_25-kraken2_minikraken-0.90	nan
strain_sample_25-kraken2_minikraken-0.55	0.7389071886726616
