Sample name	Number of taxa
strain_sample_47-kraken2_refseqV208_nt-0.55	29
strain_sample_47-kraken2_refseqV208_nt-0.50	30
strain_sample_47-kraken2_refseqV208_nt-0.65	25
strain_sample_47-kraken2_refseqV208_nt-0.20	123
strain_sample_47-kraken2_refseqV208_nt-0.30	44
strain_sample_47-kraken2_refseqV208_nt-0.45	33
strain_sample_47-kraken2_refseqV208_nt-0.70	24
strain_sample_47-kraken2_refseqV208_nt-0.40	39
strain_sample_47-kraken2_refseqV208_nt-0.60	29
strain_sample_47-kraken2_refseqV208_nt-0.95	17
strain_sample_47-kraken2_refseqV208_nt-1.00	17
marine_sample_7-kraken2_refseqV208_nt-0.20	388
marine_sample_7-kraken2_refseqV208_nt-0.15	534
marine_sample_7-kraken2_refseqV208_nt-0.25	325
marine_sample_7-kraken2_refseqV208_nt-0.10	880
strain_sample_47-kraken2_refseqV208_nt-0.85	21
marine_sample_7-kraken2_refseqV208_nt-0.05	2030
strain_sample_47-kraken2_refseqV208_nt-0.80	22
strain_sample_47-kraken2_refseqV208_nt-0.90	20
strain_sample_47-kraken2_refseqV208_nt-0.75	23
marine_sample_7-kraken2_refseqV208_nt-0.00	5861
marine_sample_7-kraken2_refseqV208_nt-0.30	291
marine_sample_7-kraken2_refseqV208_nt-0.50	240
marine_sample_7-kraken2_refseqV208_nt-0.55	229
marine_sample_7-kraken2_refseqV208_nt-0.40	258
marine_sample_7-kraken2_refseqV208_nt-0.60	226
marine_sample_7-kraken2_refseqV208_nt-0.70	218
marine_sample_7-kraken2_refseqV208_nt-0.65	220
marine_sample_7-kraken2_refseqV208_nt-0.45	249
marine_sample_7-kraken2_refseqV208_nt-0.35	272
marine_sample_7-kraken2_refseqV208_nt-0.85	210
marine_sample_7-kraken2_refseqV208_nt-0.75	214
marine_sample_7-kraken2_refseqV208_nt-0.80	212
marine_sample_7-kraken2_refseqV208_nt-0.90	206
marine_sample_7-kraken2_refseqV208_nt-0.95	201
marine_sample_7-kraken2_refseqV208_nt-1.00	201
strain_sample_79-kraken2_refseqV208_nt-0.20	128
strain_sample_79-kraken2_refseqV208_nt-0.30	46
strain_sample_79-kraken2_refseqV208_nt-0.35	42
strain_sample_79-kraken2_refseqV208_nt-0.15	207
strain_sample_79-kraken2_refseqV208_nt-0.40	36
strain_sample_79-kraken2_refseqV208_nt-0.25	74
strain_sample_79-kraken2_refseqV208_nt-0.10	354
strain_sample_79-kraken2_refseqV208_nt-0.05	974
strain_sample_79-kraken2_refseqV208_nt-0.00	3885
strain_sample_79-kraken2_refseqV208_nt-0.75	21
strain_sample_79-kraken2_refseqV208_nt-0.50	29
strain_sample_79-kraken2_refseqV208_nt-0.80	20
strain_sample_79-kraken2_refseqV208_nt-1.00	16
strain_sample_79-kraken2_refseqV208_nt-0.85	19
strain_sample_79-kraken2_refseqV208_nt-0.70	22
strain_sample_79-kraken2_refseqV208_nt-0.95	18
strain_sample_79-kraken2_refseqV208_nt-0.55	28
strain_sample_79-kraken2_refseqV208_nt-0.60	25
strain_sample_79-kraken2_refseqV208_nt-0.90	18
strain_sample_79-kraken2_refseqV208_nt-0.45	33
strain_sample_79-kraken2_refseqV208_nt-0.65	24
mouse_sample_36-kraken2_refseqV208_nt-0.10	715
mouse_sample_36-kraken2_refseqV208_nt-0.55	128
mouse_sample_36-kraken2_refseqV208_nt-0.50	135
mouse_sample_36-kraken2_refseqV208_nt-0.40	153
mouse_sample_36-kraken2_refseqV208_nt-0.45	145
mouse_sample_36-kraken2_refseqV208_nt-0.05	2581
mouse_sample_36-kraken2_refseqV208_nt-0.30	177
mouse_sample_36-kraken2_refseqV208_nt-0.25	207
mouse_sample_36-kraken2_refseqV208_nt-0.20	239
mouse_sample_36-kraken2_refseqV208_nt-0.15	345
mouse_sample_36-kraken2_refseqV208_nt-0.35	166
mouse_sample_36-kraken2_refseqV208_nt-0.00	12184
mouse_sample_36-kraken2_refseqV208_nt-0.85	95
mouse_sample_36-kraken2_refseqV208_nt-0.80	105
mouse_sample_36-kraken2_refseqV208_nt-0.90	90
mouse_sample_36-kraken2_refseqV208_nt-0.75	110
mouse_sample_36-kraken2_refseqV208_nt-0.65	120
mouse_sample_36-kraken2_refseqV208_nt-1.00	67
strain_sample_80-kraken2_refseqV208_nt-0.10	337
mouse_sample_36-kraken2_refseqV208_nt-0.60	126
mouse_sample_36-kraken2_refseqV208_nt-0.70	115
strain_sample_80-kraken2_refseqV208_nt-0.05	988
strain_sample_80-kraken2_refseqV208_nt-0.00	4078
mouse_sample_36-kraken2_refseqV208_nt-0.95	80
strain_sample_80-kraken2_refseqV208_nt-0.30	39
strain_sample_80-kraken2_refseqV208_nt-0.40	33
strain_sample_80-kraken2_refseqV208_nt-0.35	36
strain_sample_80-kraken2_refseqV208_nt-0.20	120
strain_sample_80-kraken2_refseqV208_nt-0.65	24
strain_sample_80-kraken2_refseqV208_nt-0.70	23
strain_sample_80-kraken2_refseqV208_nt-0.25	67
strain_sample_80-kraken2_refseqV208_nt-0.50	25
strain_sample_80-kraken2_refseqV208_nt-0.55	24
strain_sample_80-kraken2_refseqV208_nt-0.45	28
strain_sample_80-kraken2_refseqV208_nt-0.60	24
strain_sample_80-kraken2_refseqV208_nt-0.15	192
strain_sample_80-kraken2_refseqV208_nt-1.00	14
strain_sample_80-kraken2_refseqV208_nt-0.90	20
strain_sample_80-kraken2_refseqV208_nt-0.95	18
strain_sample_52-kraken2_refseqV208_nt-0.25	80
strain_sample_80-kraken2_refseqV208_nt-0.85	20
strain_sample_52-kraken2_refseqV208_nt-0.20	152
strain_sample_80-kraken2_refseqV208_nt-0.75	23
strain_sample_80-kraken2_refseqV208_nt-0.80	23
strain_sample_52-kraken2_refseqV208_nt-0.10	370
strain_sample_52-kraken2_refseqV208_nt-0.15	231
strain_sample_52-kraken2_refseqV208_nt-0.05	1067
strain_sample_52-kraken2_refseqV208_nt-0.00	4187
strain_sample_52-kraken2_refseqV208_nt-0.55	30
strain_sample_52-kraken2_refseqV208_nt-0.30	50
strain_sample_52-kraken2_refseqV208_nt-0.35	43
strain_sample_52-kraken2_refseqV208_nt-0.45	34
strain_sample_52-kraken2_refseqV208_nt-0.70	25
strain_sample_52-kraken2_refseqV208_nt-0.50	31
strain_sample_52-kraken2_refseqV208_nt-0.65	25
strain_sample_52-kraken2_refseqV208_nt-0.60	26
strain_sample_52-kraken2_refseqV208_nt-0.80	22
strain_sample_52-kraken2_refseqV208_nt-0.85	21
strain_sample_52-kraken2_refseqV208_nt-0.40	37
strain_sample_52-kraken2_refseqV208_nt-0.75	23
strain_sample_52-kraken2_refseqV208_nt-0.95	20
strain_sample_52-kraken2_refseqV208_nt-0.90	20
strain_sample_52-kraken2_refseqV208_nt-1.00	18
mouse_sample_61-kraken2_refseqV208_nt-0.40	151
mouse_sample_61-kraken2_refseqV208_nt-0.25	200
mouse_sample_61-kraken2_refseqV208_nt-0.20	223
mouse_sample_61-kraken2_refseqV208_nt-0.15	315
mouse_sample_61-kraken2_refseqV208_nt-0.10	692
mouse_sample_61-kraken2_refseqV208_nt-0.35	163
mouse_sample_61-kraken2_refseqV208_nt-0.30	172
mouse_sample_61-kraken2_refseqV208_nt-0.05	2514
mouse_sample_61-kraken2_refseqV208_nt-0.00	11216
mouse_sample_61-kraken2_refseqV208_nt-0.45	144
mouse_sample_61-kraken2_refseqV208_nt-0.50	138
mouse_sample_61-kraken2_refseqV208_nt-0.60	120
mouse_sample_61-kraken2_refseqV208_nt-0.55	130
mouse_sample_61-kraken2_refseqV208_nt-0.70	106
mouse_sample_61-kraken2_refseqV208_nt-0.65	115
mouse_sample_61-kraken2_refseqV208_nt-0.75	99
mouse_sample_61-kraken2_refseqV208_nt-0.90	86
mouse_sample_61-kraken2_refseqV208_nt-0.80	91
mouse_sample_61-kraken2_refseqV208_nt-0.85	90
mouse_sample_61-kraken2_refseqV208_nt-1.00	66
mouse_sample_61-kraken2_refseqV208_nt-0.95	76
mouse_sample_60-kraken2_refseqV208_nt-0.20	209
mouse_sample_60-kraken2_refseqV208_nt-0.25	187
mouse_sample_60-kraken2_refseqV208_nt-0.40	141
mouse_sample_60-kraken2_refseqV208_nt-0.30	166
mouse_sample_60-kraken2_refseqV208_nt-0.50	129
mouse_sample_60-kraken2_refseqV208_nt-0.55	124
mouse_sample_60-kraken2_refseqV208_nt-0.15	295
mouse_sample_60-kraken2_refseqV208_nt-0.10	630
mouse_sample_60-kraken2_refseqV208_nt-0.45	135
mouse_sample_60-kraken2_refseqV208_nt-0.35	152
mouse_sample_60-kraken2_refseqV208_nt-0.05	2343
mouse_sample_60-kraken2_refseqV208_nt-0.00	10251
mouse_sample_60-kraken2_refseqV208_nt-0.60	116
mouse_sample_60-kraken2_refseqV208_nt-0.80	90
mouse_sample_60-kraken2_refseqV208_nt-0.65	111
mouse_sample_60-kraken2_refseqV208_nt-0.85	86
mouse_sample_60-kraken2_refseqV208_nt-0.75	102
mouse_sample_60-kraken2_refseqV208_nt-0.70	107
strain_sample_81-kraken2_refseqV208_nt-0.10	302
strain_sample_81-kraken2_refseqV208_nt-0.05	893
mouse_sample_60-kraken2_refseqV208_nt-0.90	82
mouse_sample_60-kraken2_refseqV208_nt-0.95	76
mouse_sample_60-kraken2_refseqV208_nt-1.00	65
strain_sample_81-kraken2_refseqV208_nt-0.00	4007
strain_sample_81-kraken2_refseqV208_nt-0.30	38
strain_sample_81-kraken2_refseqV208_nt-0.45	26
strain_sample_81-kraken2_refseqV208_nt-0.20	101
strain_sample_81-kraken2_refseqV208_nt-0.40	30
strain_sample_81-kraken2_refseqV208_nt-0.70	22
strain_sample_81-kraken2_refseqV208_nt-0.55	25
strain_sample_81-kraken2_refseqV208_nt-0.25	62
strain_sample_81-kraken2_refseqV208_nt-0.65	23
strain_sample_81-kraken2_refseqV208_nt-0.15	164
strain_sample_81-kraken2_refseqV208_nt-0.60	25
strain_sample_81-kraken2_refseqV208_nt-0.35	33
strain_sample_81-kraken2_refseqV208_nt-0.50	26
strain_sample_53-kraken2_refseqV208_nt-0.10	335
strain_sample_53-kraken2_refseqV208_nt-0.20	112
strain_sample_53-kraken2_refseqV208_nt-0.15	195
strain_sample_53-kraken2_refseqV208_nt-0.05	879
strain_sample_81-kraken2_refseqV208_nt-0.95	17
strain_sample_81-kraken2_refseqV208_nt-0.80	20
strain_sample_81-kraken2_refseqV208_nt-0.90	17
strain_sample_81-kraken2_refseqV208_nt-0.85	17
strain_sample_81-kraken2_refseqV208_nt-1.00	17
strain_sample_81-kraken2_refseqV208_nt-0.75	21
strain_sample_53-kraken2_refseqV208_nt-0.25	66
strain_sample_53-kraken2_refseqV208_nt-0.00	3913
strain_sample_53-kraken2_refseqV208_nt-0.35	32
strain_sample_53-kraken2_refseqV208_nt-0.40	29
strain_sample_53-kraken2_refseqV208_nt-0.45	26
strain_sample_53-kraken2_refseqV208_nt-0.30	35
strain_sample_53-kraken2_refseqV208_nt-0.65	20
strain_sample_53-kraken2_refseqV208_nt-0.55	24
strain_sample_53-kraken2_refseqV208_nt-0.85	16
strain_sample_53-kraken2_refseqV208_nt-0.50	24
strain_sample_53-kraken2_refseqV208_nt-0.60	22
strain_sample_53-kraken2_refseqV208_nt-0.80	17
strain_sample_53-kraken2_refseqV208_nt-0.70	19
strain_sample_53-kraken2_refseqV208_nt-0.75	18
strain_sample_53-kraken2_refseqV208_nt-1.00	16
strain_sample_53-kraken2_refseqV208_nt-0.90	16
strain_sample_53-kraken2_refseqV208_nt-0.95	16
mouse_sample_37-kraken2_refseqV208_nt-0.15	326
mouse_sample_37-kraken2_refseqV208_nt-0.20	243
mouse_sample_37-kraken2_refseqV208_nt-0.35	170
mouse_sample_37-kraken2_refseqV208_nt-0.30	188
mouse_sample_37-kraken2_refseqV208_nt-0.10	652
mouse_sample_37-kraken2_refseqV208_nt-0.40	161
mouse_sample_37-kraken2_refseqV208_nt-0.25	210
mouse_sample_37-kraken2_refseqV208_nt-0.05	2464
mouse_sample_37-kraken2_refseqV208_nt-0.00	11833
mouse_sample_37-kraken2_refseqV208_nt-0.55	135
mouse_sample_37-kraken2_refseqV208_nt-0.75	106
mouse_sample_37-kraken2_refseqV208_nt-0.50	142
mouse_sample_37-kraken2_refseqV208_nt-0.60	123
mouse_sample_37-kraken2_refseqV208_nt-0.45	150
mouse_sample_37-kraken2_refseqV208_nt-0.65	116
mouse_sample_37-kraken2_refseqV208_nt-0.90	92
mouse_sample_37-kraken2_refseqV208_nt-0.70	113
mouse_sample_37-kraken2_refseqV208_nt-0.80	101
mouse_sample_37-kraken2_refseqV208_nt-0.85	97
mouse_sample_37-kraken2_refseqV208_nt-0.95	81
