Sample name	L1 distance
plant_sample_12-kraken2_refseqV208_nt-0.20	13862928.0
plant_sample_12-kraken2_refseqV208_nt-0.25	15456919.0
plant_sample_12-kraken2_refseqV208_nt-0.15	12141472.0
plant_sample_12-kraken2_refseqV208_nt-0.10	10438063.0
plant_sample_12-kraken2_refseqV208_nt-0.05	8981801.0
plant_sample_12-kraken2_refseqV208_nt-0.00	10073374.0
plant_sample_12-kraken2_refseqV208_nt-0.45	23661656.0
plant_sample_12-kraken2_refseqV208_nt-0.50	25120047.0
plant_sample_12-kraken2_refseqV208_nt-0.40	21768281.0
plant_sample_12-kraken2_refseqV208_nt-0.55	26714663.0
plant_sample_12-kraken2_refseqV208_nt-0.30	17633958.0
plant_sample_12-kraken2_refseqV208_nt-0.35	19747148.0
plant_sample_12-kraken2_refseqV208_nt-0.85	32364581.0
plant_sample_12-kraken2_refseqV208_nt-0.80	31839049.0
plant_sample_12-kraken2_refseqV208_nt-0.75	31114174.0
plant_sample_12-kraken2_refseqV208_nt-0.70	30380517.0
plant_sample_12-kraken2_refseqV208_nt-0.60	28124428.0
plant_sample_12-kraken2_refseqV208_nt-0.65	29344248.0
plant_sample_12-kraken2_refseqV208_nt-0.90	32703002.0
plant_sample_12-kraken2_refseqV208_nt-0.95	32947972.0
plant_sample_12-kraken2_refseqV208_nt-1.00	33105323.0
strain_sample_10-kraken2_refseqV208_nt-0.10	3638121.0
strain_sample_10-kraken2_refseqV208_nt-0.05	3044242.0
strain_sample_10-kraken2_refseqV208_nt-0.00	2740406.0
strain_sample_10-kraken2_refseqV208_nt-0.35	6553375.0
strain_sample_10-kraken2_refseqV208_nt-0.40	6962880.0
strain_sample_10-kraken2_refseqV208_nt-0.25	5487268.0
strain_sample_10-kraken2_refseqV208_nt-0.20	4930147.0
strain_sample_10-kraken2_refseqV208_nt-0.30	6074476.0
strain_sample_10-kraken2_refseqV208_nt-0.15	4271234.0
strain_sample_10-kraken2_refseqV208_nt-0.50	7546008.0
strain_sample_10-kraken2_refseqV208_nt-0.60	7932218.0
strain_sample_10-kraken2_refseqV208_nt-0.55	7767722.0
strain_sample_10-kraken2_refseqV208_nt-0.45	7314383.0
strain_sample_10-kraken2_refseqV208_nt-0.70	9859248.0
strain_sample_10-kraken2_refseqV208_nt-0.65	8920588.0
strain_sample_10-kraken2_refseqV208_nt-0.80	11454552.0
strain_sample_10-kraken2_refseqV208_nt-0.90	12497126.0
strain_sample_10-kraken2_refseqV208_nt-0.85	12074724.0
strain_sample_10-kraken2_refseqV208_nt-0.95	12818808.0
strain_sample_10-kraken2_refseqV208_nt-0.75	10619792.0
strain_sample_10-kraken2_refseqV208_nt-1.00	13032495.0
mouse_sample_1-kraken2_refseqV208_nt-0.25	26531776.0
mouse_sample_1-kraken2_refseqV208_nt-0.15	26081452.0
mouse_sample_1-kraken2_refseqV208_nt-0.20	26287743.0
mouse_sample_1-kraken2_refseqV208_nt-0.10	26349454.0
mouse_sample_1-kraken2_refseqV208_nt-0.05	27175701.0
mouse_sample_1-kraken2_refseqV208_nt-0.00	30593144.0
mouse_sample_1-kraken2_refseqV208_nt-0.45	28424584.0
mouse_sample_1-kraken2_refseqV208_nt-0.40	27870636.0
mouse_sample_1-kraken2_refseqV208_nt-0.35	27359590.0
mouse_sample_1-kraken2_refseqV208_nt-0.30	26907287.0
mouse_sample_1-kraken2_refseqV208_nt-0.55	29510344.0
mouse_sample_1-kraken2_refseqV208_nt-0.50	28908824.0
mouse_sample_1-kraken2_refseqV208_nt-0.85	32558694.0
mouse_sample_1-kraken2_refseqV208_nt-0.80	32195344.0
mouse_sample_1-kraken2_refseqV208_nt-0.75	31697514.0
mouse_sample_1-kraken2_refseqV208_nt-0.60	30115112.0
mouse_sample_1-kraken2_refseqV208_nt-0.70	31244054.0
mouse_sample_1-kraken2_refseqV208_nt-0.65	30675727.0
mouse_sample_1-kraken2_refseqV208_nt-0.90	32806507.0
mouse_sample_1-kraken2_refseqV208_nt-0.95	32990275.0
mouse_sample_1-kraken2_refseqV208_nt-1.00	33116558.0
mouse_sample_23-kraken2_refseqV208_nt-0.10	37950925.0
mouse_sample_23-kraken2_refseqV208_nt-0.05	38796338.0
mouse_sample_23-kraken2_refseqV208_nt-0.00	43051262.0
mouse_sample_23-kraken2_refseqV208_nt-0.40	36252205.0
mouse_sample_23-kraken2_refseqV208_nt-0.30	36880973.0
mouse_sample_23-kraken2_refseqV208_nt-0.25	37168413.0
mouse_sample_23-kraken2_refseqV208_nt-0.35	36574295.0
mouse_sample_23-kraken2_refseqV208_nt-0.20	37396649.0
mouse_sample_23-kraken2_refseqV208_nt-0.15	37656095.0
mouse_sample_23-kraken2_refseqV208_nt-0.65	34639834.0
mouse_sample_23-kraken2_refseqV208_nt-0.45	35919063.0
mouse_sample_23-kraken2_refseqV208_nt-0.70	34339044.0
mouse_sample_23-kraken2_refseqV208_nt-0.50	35637007.0
mouse_sample_23-kraken2_refseqV208_nt-0.60	34961050.0
mouse_sample_23-kraken2_refseqV208_nt-0.55	35295036.0
mouse_sample_23-kraken2_refseqV208_nt-0.80	33823534.0
mouse_sample_23-kraken2_refseqV208_nt-0.95	33382354.0
mouse_sample_23-kraken2_refseqV208_nt-0.85	33615054.0
mouse_sample_23-kraken2_refseqV208_nt-0.75	34097378.0
mouse_sample_23-kraken2_refseqV208_nt-1.00	33324618.0
mouse_sample_23-kraken2_refseqV208_nt-0.90	33482312.0
strain_sample_95-kraken2_refseqV208_nt-0.25	4239771.0
strain_sample_95-kraken2_refseqV208_nt-0.20	3907953.0
strain_sample_95-kraken2_refseqV208_nt-0.15	3496358.0
strain_sample_95-kraken2_refseqV208_nt-0.10	3099718.0
strain_sample_95-kraken2_refseqV208_nt-0.05	2718105.0
