Sample name	Precision reads
mouse_sample_38-kraken2_refseqV205_100GB-0.75	0
mouse_sample_38-kraken2_refseqV205_100GB-0.85	0
mouse_sample_38-kraken2_refseqV205_100GB-0.90	0
mouse_sample_38-kraken2_refseqV205_100GB-1.00	0
mouse_sample_38-kraken2_refseqV205_100GB-0.95	0
plant_sample_2-kraken2_refseqV205_100GB-0.10	0.9902322484831643
plant_sample_2-kraken2_refseqV205_100GB-0.05	0.9770373370458981
plant_sample_2-kraken2_refseqV205_100GB-0.00	0.9599875255637675
plant_sample_2-kraken2_refseqV205_100GB-0.15	0.995838595079169
plant_sample_2-kraken2_refseqV205_100GB-0.25	0.998576132419685
plant_sample_2-kraken2_refseqV205_100GB-0.40	1.0
plant_sample_2-kraken2_refseqV205_100GB-0.30	0.9988814317673378
plant_sample_2-kraken2_refseqV205_100GB-0.20	0.997631313262057
plant_sample_2-kraken2_refseqV205_100GB-0.35	1.0
plant_sample_2-kraken2_refseqV205_100GB-0.70	0
plant_sample_2-kraken2_refseqV205_100GB-0.45	0
plant_sample_2-kraken2_refseqV205_100GB-0.60	0
plant_sample_2-kraken2_refseqV205_100GB-0.55	0
plant_sample_2-kraken2_refseqV205_100GB-0.50	0
plant_sample_2-kraken2_refseqV205_100GB-0.65	0
plant_sample_2-kraken2_refseqV205_100GB-0.75	0
plant_sample_2-kraken2_refseqV205_100GB-0.95	0
plant_sample_2-kraken2_refseqV205_100GB-0.80	0
plant_sample_2-kraken2_refseqV205_100GB-0.85	0
plant_sample_2-kraken2_refseqV205_100GB-0.90	0
plant_sample_2-kraken2_refseqV205_100GB-1.00	0
strain_sample_33-kraken2_refseqV205_100GB-0.00	0.9106982262030476
strain_sample_33-kraken2_refseqV205_100GB-0.10	0.9611661084981948
strain_sample_33-kraken2_refseqV205_100GB-0.15	0.997898329864939
strain_sample_33-kraken2_refseqV205_100GB-0.20	0.9989700256442595
strain_sample_33-kraken2_refseqV205_100GB-0.25	0.9998646270475159
strain_sample_33-kraken2_refseqV205_100GB-0.05	0.9305874201750429
strain_sample_33-kraken2_refseqV205_100GB-0.35	0
strain_sample_33-kraken2_refseqV205_100GB-0.55	0
strain_sample_33-kraken2_refseqV205_100GB-0.50	0
strain_sample_33-kraken2_refseqV205_100GB-0.40	0
strain_sample_33-kraken2_refseqV205_100GB-0.45	0
strain_sample_33-kraken2_refseqV205_100GB-0.30	1.0
strain_sample_33-kraken2_refseqV205_100GB-0.75	0
strain_sample_33-kraken2_refseqV205_100GB-0.70	0
strain_sample_33-kraken2_refseqV205_100GB-0.65	0
strain_sample_33-kraken2_refseqV205_100GB-0.80	0
strain_sample_33-kraken2_refseqV205_100GB-0.85	0
strain_sample_33-kraken2_refseqV205_100GB-0.60	0
strain_sample_33-kraken2_refseqV205_100GB-1.00	0
strain_sample_33-kraken2_refseqV205_100GB-0.95	0
strain_sample_33-kraken2_refseqV205_100GB-0.90	0
mouse_sample_9-kraken2_refseqV205_100GB-0.10	0.7743535322181332
mouse_sample_9-kraken2_refseqV205_100GB-0.05	0.7771063593462576
mouse_sample_9-kraken2_refseqV205_100GB-0.00	0.9407688080635049
mouse_sample_9-kraken2_refseqV205_100GB-0.15	0.7812332156052147
mouse_sample_9-kraken2_refseqV205_100GB-0.25	0.8064940186670172
mouse_sample_9-kraken2_refseqV205_100GB-0.20	0.7868839202684672
mouse_sample_9-kraken2_refseqV205_100GB-0.35	0.9863945578231292
mouse_sample_9-kraken2_refseqV205_100GB-0.40	1.0
mouse_sample_9-kraken2_refseqV205_100GB-0.30	0.839622641509434
mouse_sample_9-kraken2_refseqV205_100GB-0.55	0
mouse_sample_9-kraken2_refseqV205_100GB-0.60	0
mouse_sample_9-kraken2_refseqV205_100GB-0.50	0
mouse_sample_9-kraken2_refseqV205_100GB-0.45	0
mouse_sample_9-kraken2_refseqV205_100GB-0.65	0
mouse_sample_9-kraken2_refseqV205_100GB-0.70	0
mouse_sample_9-kraken2_refseqV205_100GB-0.95	0
mouse_sample_9-kraken2_refseqV205_100GB-0.75	0
mouse_sample_9-kraken2_refseqV205_100GB-1.00	0
mouse_sample_9-kraken2_refseqV205_100GB-0.80	0
mouse_sample_9-kraken2_refseqV205_100GB-0.90	0
mouse_sample_9-kraken2_refseqV205_100GB-0.85	0
mouse_sample_14-kraken2_refseqV205_100GB-0.10	0.6389413637185154
mouse_sample_14-kraken2_refseqV205_100GB-0.20	0.6274035924604766
mouse_sample_14-kraken2_refseqV205_100GB-0.15	0.6345263942331807
mouse_sample_14-kraken2_refseqV205_100GB-0.25	0.6334154062609919
mouse_sample_14-kraken2_refseqV205_100GB-0.05	0.6286168746343723
mouse_sample_14-kraken2_refseqV205_100GB-0.00	0.7192546887800592
mouse_sample_14-kraken2_refseqV205_100GB-0.30	0.6806930693069307
mouse_sample_14-kraken2_refseqV205_100GB-0.45	0
mouse_sample_14-kraken2_refseqV205_100GB-0.55	0
mouse_sample_14-kraken2_refseqV205_100GB-0.50	0
mouse_sample_14-kraken2_refseqV205_100GB-0.40	1.0
mouse_sample_14-kraken2_refseqV205_100GB-0.35	0.5657894736842105
mouse_sample_14-kraken2_refseqV205_100GB-0.75	0
mouse_sample_14-kraken2_refseqV205_100GB-0.65	0
mouse_sample_14-kraken2_refseqV205_100GB-0.60	0
mouse_sample_14-kraken2_refseqV205_100GB-0.80	0
mouse_sample_14-kraken2_refseqV205_100GB-0.70	0
mouse_sample_14-kraken2_refseqV205_100GB-0.85	0
mouse_sample_14-kraken2_refseqV205_100GB-1.00	0
mouse_sample_14-kraken2_refseqV205_100GB-0.95	0
mouse_sample_14-kraken2_refseqV205_100GB-0.90	0
strain_sample_29-kraken2_refseqV205_100GB-0.10	0.9254154613386905
strain_sample_29-kraken2_refseqV205_100GB-0.05	0.9115882770942151
strain_sample_29-kraken2_refseqV205_100GB-0.00	0.900392159859896
strain_sample_29-kraken2_refseqV205_100GB-0.15	0.9836987087517934
strain_sample_29-kraken2_refseqV205_100GB-0.20	1.0
strain_sample_29-kraken2_refseqV205_100GB-0.40	0
strain_sample_29-kraken2_refseqV205_100GB-0.35	0
strain_sample_29-kraken2_refseqV205_100GB-0.25	1.0
strain_sample_29-kraken2_refseqV205_100GB-0.30	1.0
strain_sample_29-kraken2_refseqV205_100GB-0.55	0
strain_sample_29-kraken2_refseqV205_100GB-0.50	0
strain_sample_29-kraken2_refseqV205_100GB-0.45	0
strain_sample_29-kraken2_refseqV205_100GB-0.70	0
strain_sample_29-kraken2_refseqV205_100GB-0.60	0
strain_sample_29-kraken2_refseqV205_100GB-0.65	0
strain_sample_29-kraken2_refseqV205_100GB-0.90	0
strain_sample_29-kraken2_refseqV205_100GB-0.75	0
strain_sample_29-kraken2_refseqV205_100GB-0.85	0
strain_sample_29-kraken2_refseqV205_100GB-1.00	0
strain_sample_29-kraken2_refseqV205_100GB-0.80	0
strain_sample_29-kraken2_refseqV205_100GB-0.95	0
mouse_sample_62-kraken2_refseqV205_100GB-0.15	0.43580975182671106
mouse_sample_62-kraken2_refseqV205_100GB-0.10	0.4441310603960112
mouse_sample_62-kraken2_refseqV205_100GB-0.20	0.4286679920477137
mouse_sample_62-kraken2_refseqV205_100GB-0.25	0.41507931240459284
mouse_sample_62-kraken2_refseqV205_100GB-0.05	0.43540519761559815
mouse_sample_62-kraken2_refseqV205_100GB-0.00	0.877348711207871
mouse_sample_62-kraken2_refseqV205_100GB-0.50	0
mouse_sample_62-kraken2_refseqV205_100GB-0.45	0
mouse_sample_62-kraken2_refseqV205_100GB-0.55	0
mouse_sample_62-kraken2_refseqV205_100GB-0.40	0.0
mouse_sample_62-kraken2_refseqV205_100GB-0.35	0.13157894736842105
mouse_sample_62-kraken2_refseqV205_100GB-0.30	0.40894039735099336
mouse_sample_62-kraken2_refseqV205_100GB-0.80	0
mouse_sample_62-kraken2_refseqV205_100GB-0.60	0
mouse_sample_62-kraken2_refseqV205_100GB-0.65	0
mouse_sample_62-kraken2_refseqV205_100GB-0.70	0
mouse_sample_62-kraken2_refseqV205_100GB-0.75	0
mouse_sample_62-kraken2_refseqV205_100GB-0.85	0
mouse_sample_62-kraken2_refseqV205_100GB-0.90	0
mouse_sample_62-kraken2_refseqV205_100GB-1.00	0
mouse_sample_62-kraken2_refseqV205_100GB-0.95	0
strain_sample_45-kraken2_refseqV205_100GB-0.05	0.8904156741008247
strain_sample_45-kraken2_refseqV205_100GB-0.10	0.874648846681037
strain_sample_45-kraken2_refseqV205_100GB-0.00	0.8394397856611661
strain_sample_45-kraken2_refseqV205_100GB-0.40	0
strain_sample_45-kraken2_refseqV205_100GB-0.30	1.0
strain_sample_45-kraken2_refseqV205_100GB-0.20	1.0
strain_sample_45-kraken2_refseqV205_100GB-0.15	0.9448711032275741
strain_sample_45-kraken2_refseqV205_100GB-0.35	1.0
strain_sample_45-kraken2_refseqV205_100GB-0.25	1.0
strain_sample_45-kraken2_refseqV205_100GB-0.45	0
