Sample name	F1 score taxa
mouse_sample_16-kraken2_refseqV205_500GB-0.30	0.4197530864197531
mouse_sample_16-kraken2_refseqV205_500GB-0.50	0.4657534246575343
mouse_sample_16-kraken2_refseqV205_500GB-0.40	0.4473684210526316
mouse_sample_16-kraken2_refseqV205_500GB-0.35	0.44155844155844154
mouse_sample_16-kraken2_refseqV205_500GB-0.45	0.45945945945945954
mouse_sample_16-kraken2_refseqV205_500GB-0.55	0.4857142857142857
mouse_sample_16-kraken2_refseqV205_500GB-0.70	0.3684210526315789
mouse_sample_16-kraken2_refseqV205_500GB-0.80	0
mouse_sample_16-kraken2_refseqV205_500GB-0.60	0.4776119402985074
mouse_sample_16-kraken2_refseqV205_500GB-0.65	0.5614035087719298
mouse_sample_16-kraken2_refseqV205_500GB-0.75	0.20689655172413793
mouse_sample_16-kraken2_refseqV205_500GB-0.85	0
mouse_sample_16-kraken2_refseqV205_500GB-1.00	0
mouse_sample_16-kraken2_refseqV205_500GB-0.95	0
mouse_sample_16-kraken2_refseqV205_500GB-0.90	0
plant_sample_20-kraken2_refseqV205_500GB-0.10	0.2730061349693252
plant_sample_20-kraken2_refseqV205_500GB-0.05	0.08512628624883069
plant_sample_20-kraken2_refseqV205_500GB-0.00	0.029489368306689433
plant_sample_20-kraken2_refseqV205_500GB-0.15	0.46153846153846156
plant_sample_20-kraken2_refseqV205_500GB-0.40	0.7389162561576356
plant_sample_20-kraken2_refseqV205_500GB-0.25	0.6384615384615384
plant_sample_20-kraken2_refseqV205_500GB-0.35	0.7441860465116279
plant_sample_20-kraken2_refseqV205_500GB-0.30	0.6923076923076924
plant_sample_20-kraken2_refseqV205_500GB-0.20	0.5647840531561463
plant_sample_20-kraken2_refseqV205_500GB-0.60	0.6787878787878787
plant_sample_20-kraken2_refseqV205_500GB-0.65	0.4539007092198581
plant_sample_20-kraken2_refseqV205_500GB-0.55	0.7444444444444444
plant_sample_20-kraken2_refseqV205_500GB-0.70	0.2857142857142857
plant_sample_20-kraken2_refseqV205_500GB-0.50	0.7486631016042781
plant_sample_20-kraken2_refseqV205_500GB-0.45	0.7487179487179486
plant_sample_20-kraken2_refseqV205_500GB-0.85	0
plant_sample_20-kraken2_refseqV205_500GB-0.75	0.19999999999999998
plant_sample_20-kraken2_refseqV205_500GB-0.80	0.05405405405405406
plant_sample_20-kraken2_refseqV205_500GB-0.90	0
plant_sample_20-kraken2_refseqV205_500GB-1.00	0
plant_sample_20-kraken2_refseqV205_500GB-0.95	0
strain_sample_31-kraken2_refseqV205_500GB-0.25	0.5833333333333333
strain_sample_31-kraken2_refseqV205_500GB-0.15	0.23333333333333334
strain_sample_31-kraken2_refseqV205_500GB-0.20	0.46666666666666673
strain_sample_31-kraken2_refseqV205_500GB-0.10	0.10294117647058823
strain_sample_31-kraken2_refseqV205_500GB-0.05	0.027559055118110236
strain_sample_31-kraken2_refseqV205_500GB-0.00	0.0057306590257879654
strain_sample_31-kraken2_refseqV205_500GB-0.50	0.8749999999999999
strain_sample_31-kraken2_refseqV205_500GB-0.35	0.717948717948718
strain_sample_31-kraken2_refseqV205_500GB-0.30	0.608695652173913
strain_sample_31-kraken2_refseqV205_500GB-0.40	0.7777777777777778
strain_sample_31-kraken2_refseqV205_500GB-0.45	0.8749999999999999
strain_sample_31-kraken2_refseqV205_500GB-0.55	0.8749999999999999
strain_sample_31-kraken2_refseqV205_500GB-0.70	0.21052631578947367
strain_sample_31-kraken2_refseqV205_500GB-0.75	0.1111111111111111
strain_sample_31-kraken2_refseqV205_500GB-0.60	0.8275862068965517
strain_sample_31-kraken2_refseqV205_500GB-0.65	0.7857142857142858
strain_sample_31-kraken2_refseqV205_500GB-0.85	0
strain_sample_31-kraken2_refseqV205_500GB-0.80	0
strain_sample_31-kraken2_refseqV205_500GB-0.95	0
strain_sample_31-kraken2_refseqV205_500GB-0.90	0
strain_sample_31-kraken2_refseqV205_500GB-1.00	0
plant_sample_16-kraken2_refseqV205_500GB-0.10	0.28748068006182376
plant_sample_16-kraken2_refseqV205_500GB-0.05	0.08839779005524862
plant_sample_16-kraken2_refseqV205_500GB-0.00	0.029535864978902954
plant_sample_16-kraken2_refseqV205_500GB-0.40	0.7627906976744186
plant_sample_16-kraken2_refseqV205_500GB-0.35	0.7400881057268722
plant_sample_16-kraken2_refseqV205_500GB-0.25	0.6470588235294118
plant_sample_16-kraken2_refseqV205_500GB-0.30	0.6967213114754098
plant_sample_16-kraken2_refseqV205_500GB-0.20	0.5980066445182723
plant_sample_16-kraken2_refseqV205_500GB-0.15	0.4853333333333333
plant_sample_16-kraken2_refseqV205_500GB-0.55	0.7513227513227514
plant_sample_16-kraken2_refseqV205_500GB-0.50	0.7761194029850748
plant_sample_16-kraken2_refseqV205_500GB-0.45	0.7729468599033817
plant_sample_16-kraken2_refseqV205_500GB-0.60	0.6627218934911243
plant_sample_16-kraken2_refseqV205_500GB-0.65	0.4657534246575342
plant_sample_16-kraken2_refseqV205_500GB-0.70	0.20967741935483872
plant_sample_16-kraken2_refseqV205_500GB-0.85	0
plant_sample_16-kraken2_refseqV205_500GB-0.95	0
plant_sample_16-kraken2_refseqV205_500GB-1.00	0
plant_sample_16-kraken2_refseqV205_500GB-0.90	0
plant_sample_16-kraken2_refseqV205_500GB-0.80	0.01785714285714286
plant_sample_16-kraken2_refseqV205_500GB-0.75	0.15
strain_sample_80-kraken2_refseqV205_500GB-0.10	0.10108303249097474
strain_sample_80-kraken2_refseqV205_500GB-0.20	0.5384615384615384
strain_sample_80-kraken2_refseqV205_500GB-0.15	0.24778761061946902
strain_sample_80-kraken2_refseqV205_500GB-0.25	0.6829268292682927
strain_sample_80-kraken2_refseqV205_500GB-0.05	0.028600612870275793
strain_sample_80-kraken2_refseqV205_500GB-0.00	0.005668016194331984
strain_sample_80-kraken2_refseqV205_500GB-0.50	0.8275862068965517
strain_sample_80-kraken2_refseqV205_500GB-0.45	0.8235294117647058
strain_sample_80-kraken2_refseqV205_500GB-0.30	0.7567567567567567
strain_sample_80-kraken2_refseqV205_500GB-0.40	0.7777777777777778
strain_sample_80-kraken2_refseqV205_500GB-0.35	0.7567567567567567
strain_sample_80-kraken2_refseqV205_500GB-0.55	0.8275862068965517
strain_sample_80-kraken2_refseqV205_500GB-0.65	0.7407407407407407
strain_sample_80-kraken2_refseqV205_500GB-0.85	0.1111111111111111
strain_sample_80-kraken2_refseqV205_500GB-0.70	0.21052631578947367
strain_sample_80-kraken2_refseqV205_500GB-0.60	0.7857142857142858
strain_sample_80-kraken2_refseqV205_500GB-0.75	0.21052631578947367
strain_sample_80-kraken2_refseqV205_500GB-0.80	0.1111111111111111
strain_sample_80-kraken2_refseqV205_500GB-0.95	0.1111111111111111
strain_sample_80-kraken2_refseqV205_500GB-1.00	0
strain_sample_80-kraken2_refseqV205_500GB-0.90	0.1111111111111111
plant_sample_0-kraken2_refseqV205_500GB-0.10	0.1954198473282443
plant_sample_0-kraken2_refseqV205_500GB-0.05	0.05907906168549088
plant_sample_0-kraken2_refseqV205_500GB-0.00	0.02045587375803624
plant_sample_0-kraken2_refseqV205_500GB-0.40	0.6878980891719745
plant_sample_0-kraken2_refseqV205_500GB-0.35	0.7108433734939759
plant_sample_0-kraken2_refseqV205_500GB-0.25	0.6039603960396039
plant_sample_0-kraken2_refseqV205_500GB-0.30	0.6741573033707866
plant_sample_0-kraken2_refseqV205_500GB-0.20	0.543103448275862
plant_sample_0-kraken2_refseqV205_500GB-0.15	0.37724550898203596
plant_sample_0-kraken2_refseqV205_500GB-0.60	0.6976744186046511
plant_sample_0-kraken2_refseqV205_500GB-0.55	0.7299270072992702
plant_sample_0-kraken2_refseqV205_500GB-0.45	0.7200000000000001
plant_sample_0-kraken2_refseqV205_500GB-0.50	0.7142857142857143
plant_sample_0-kraken2_refseqV205_500GB-0.65	0.6050420168067226
plant_sample_0-kraken2_refseqV205_500GB-0.70	0.37254901960784315
plant_sample_0-kraken2_refseqV205_500GB-0.75	0.21505376344086022
plant_sample_0-kraken2_refseqV205_500GB-1.00	0
plant_sample_0-kraken2_refseqV205_500GB-0.85	0
plant_sample_0-kraken2_refseqV205_500GB-0.90	0
plant_sample_0-kraken2_refseqV205_500GB-0.95	0
plant_sample_0-kraken2_refseqV205_500GB-0.80	0.02380952380952381
mouse_sample_20-kraken2_refseqV205_500GB-0.20	0.4276729559748428
mouse_sample_20-kraken2_refseqV205_500GB-0.15	0.3431372549019608
mouse_sample_20-kraken2_refseqV205_500GB-0.25	0.45637583892617456
mouse_sample_20-kraken2_refseqV205_500GB-0.10	0.21538461538461537
mouse_sample_20-kraken2_refseqV205_500GB-0.05	0.04911323328785812
mouse_sample_20-kraken2_refseqV205_500GB-0.00	0.011547714514835604
mouse_sample_20-kraken2_refseqV205_500GB-0.55	0.5714285714285714
mouse_sample_20-kraken2_refseqV205_500GB-0.45	0.5354330708661418
mouse_sample_20-kraken2_refseqV205_500GB-0.50	0.5483870967741935
mouse_sample_20-kraken2_refseqV205_500GB-0.40	0.4999999999999999
mouse_sample_20-kraken2_refseqV205_500GB-0.30	0.47222222222222227
mouse_sample_20-kraken2_refseqV205_500GB-0.35	0.48226950354609927
mouse_sample_20-kraken2_refseqV205_500GB-0.70	0.41975308641975306
mouse_sample_20-kraken2_refseqV205_500GB-0.65	0.54
mouse_sample_20-kraken2_refseqV205_500GB-0.60	0.5892857142857142
mouse_sample_20-kraken2_refseqV205_500GB-0.85	0
mouse_sample_20-kraken2_refseqV205_500GB-0.75	0.14814814814814814
mouse_sample_20-kraken2_refseqV205_500GB-0.80	0.08695652173913045
mouse_sample_20-kraken2_refseqV205_500GB-0.90	0
mouse_sample_20-kraken2_refseqV205_500GB-0.95	0
mouse_sample_20-kraken2_refseqV205_500GB-1.00	0
strain_sample_76-kraken2_refseqV205_500GB-0.10	0.1048689138576779
strain_sample_76-kraken2_refseqV205_500GB-0.05	0.025431425976385102
strain_sample_76-kraken2_refseqV205_500GB-0.00	0.005753030614341484
strain_sample_76-kraken2_refseqV205_500GB-0.15	0.25688073394495414
strain_sample_76-kraken2_refseqV205_500GB-0.40	0.7999999999999999
strain_sample_76-kraken2_refseqV205_500GB-0.20	0.48275862068965514
strain_sample_76-kraken2_refseqV205_500GB-0.35	0.7999999999999999
strain_sample_76-kraken2_refseqV205_500GB-0.25	0.608695652173913
strain_sample_76-kraken2_refseqV205_500GB-0.30	0.6829268292682927
strain_sample_76-kraken2_refseqV205_500GB-0.70	0.45454545454545453
strain_sample_76-kraken2_refseqV205_500GB-0.60	0.8275862068965517
strain_sample_76-kraken2_refseqV205_500GB-0.55	0.8666666666666666
strain_sample_76-kraken2_refseqV205_500GB-0.65	0.6923076923076924
strain_sample_76-kraken2_refseqV205_500GB-0.50	0.8125
strain_sample_76-kraken2_refseqV205_500GB-0.45	0.8484848484848485
strain_sample_76-kraken2_refseqV205_500GB-0.80	0
strain_sample_76-kraken2_refseqV205_500GB-0.85	0
strain_sample_76-kraken2_refseqV205_500GB-0.95	0
strain_sample_76-kraken2_refseqV205_500GB-1.00	0
strain_sample_76-kraken2_refseqV205_500GB-0.75	0.21052631578947367
strain_sample_76-kraken2_refseqV205_500GB-0.90	0
strain_sample_40-kraken2_refseqV205_500GB-0.25	0.5714285714285714
strain_sample_40-kraken2_refseqV205_500GB-0.20	0.4745762711864407
strain_sample_40-kraken2_refseqV205_500GB-0.15	0.2204724409448819
strain_sample_40-kraken2_refseqV205_500GB-0.10	0.09790209790209792
strain_sample_40-kraken2_refseqV205_500GB-0.05	0.02718446601941748
strain_sample_40-kraken2_refseqV205_500GB-0.00	0.005636070853462158
strain_sample_40-kraken2_refseqV205_500GB-0.45	0.7999999999999999
strain_sample_40-kraken2_refseqV205_500GB-0.35	0.6829268292682927
strain_sample_40-kraken2_refseqV205_500GB-0.40	0.717948717948718
strain_sample_40-kraken2_refseqV205_500GB-0.55	0.8387096774193549
strain_sample_40-kraken2_refseqV205_500GB-0.50	0.7999999999999999
strain_sample_40-kraken2_refseqV205_500GB-0.30	0.6363636363636364
strain_sample_40-kraken2_refseqV205_500GB-0.65	0.6399999999999999
strain_sample_40-kraken2_refseqV205_500GB-0.85	0
strain_sample_40-kraken2_refseqV205_500GB-0.80	0.1111111111111111
strain_sample_40-kraken2_refseqV205_500GB-0.70	0.38095238095238093
strain_sample_40-kraken2_refseqV205_500GB-0.60	0.8275862068965517
strain_sample_40-kraken2_refseqV205_500GB-0.75	0.3
strain_sample_40-kraken2_refseqV205_500GB-0.95	0
strain_sample_40-kraken2_refseqV205_500GB-1.00	0
strain_sample_40-kraken2_refseqV205_500GB-0.90	0
mouse_sample_11-kraken2_refseqV205_500GB-0.10	0.18892508143322476
mouse_sample_11-kraken2_refseqV205_500GB-0.05	0.04175665946724262
mouse_sample_11-kraken2_refseqV205_500GB-0.00	0.009749537737434864
mouse_sample_11-kraken2_refseqV205_500GB-0.20	0.3758389261744966
mouse_sample_11-kraken2_refseqV205_500GB-0.15	0.29319371727748694
mouse_sample_11-kraken2_refseqV205_500GB-0.25	0.4057971014492753
mouse_sample_11-kraken2_refseqV205_500GB-0.30	0.43076923076923074
mouse_sample_11-kraken2_refseqV205_500GB-0.40	0.4590163934426229
mouse_sample_11-kraken2_refseqV205_500GB-0.35	0.45161290322580644
mouse_sample_11-kraken2_refseqV205_500GB-0.50	0.5283018867924529
mouse_sample_11-kraken2_refseqV205_500GB-0.45	0.4869565217391304
mouse_sample_11-kraken2_refseqV205_500GB-0.65	0.5842696629213483
mouse_sample_11-kraken2_refseqV205_500GB-0.60	0.5473684210526316
mouse_sample_11-kraken2_refseqV205_500GB-0.55	0.54
mouse_sample_11-kraken2_refseqV205_500GB-0.70	0.523076923076923
mouse_sample_11-kraken2_refseqV205_500GB-0.85	0
mouse_sample_11-kraken2_refseqV205_500GB-1.00	0
mouse_sample_11-kraken2_refseqV205_500GB-0.90	0
mouse_sample_11-kraken2_refseqV205_500GB-0.80	0.05555555555555556
mouse_sample_11-kraken2_refseqV205_500GB-0.75	0.27999999999999997
mouse_sample_11-kraken2_refseqV205_500GB-0.95	0
strain_sample_36-kraken2_refseqV205_500GB-0.20	0.5185185185185186
strain_sample_36-kraken2_refseqV205_500GB-0.25	0.6666666666666666
strain_sample_36-kraken2_refseqV205_500GB-0.15	0.2692307692307692
strain_sample_36-kraken2_refseqV205_500GB-0.10	0.1138211382113821
strain_sample_36-kraken2_refseqV205_500GB-0.05	0.029227557411273485
