Sample name	Chao1 richness
strain_sample_95-kraken2_refseqV208_nt-0.65	24.0
strain_sample_95-kraken2_refseqV208_nt-0.60	24.0
strain_sample_95-kraken2_refseqV208_nt-0.95	18.0
strain_sample_95-kraken2_refseqV208_nt-1.00	17.0
strain_sample_95-kraken2_refseqV208_nt-0.90	21.0
strain_sample_47-kraken2_refseqV208_nt-0.10	488.8
strain_sample_47-kraken2_refseqV208_nt-0.05	1244.7181208053692
strain_sample_47-kraken2_refseqV208_nt-0.00	5414.19298245614
strain_sample_47-kraken2_refseqV208_nt-0.35	44.857142857142854
strain_sample_47-kraken2_refseqV208_nt-0.30	45.2
strain_sample_47-kraken2_refseqV208_nt-0.40	42.75
strain_sample_47-kraken2_refseqV208_nt-0.25	92.0
strain_sample_47-kraken2_refseqV208_nt-0.15	266.2307692307692
strain_sample_47-kraken2_refseqV208_nt-0.20	218.14285714285714
strain_sample_47-kraken2_refseqV208_nt-0.45	34.5
strain_sample_47-kraken2_refseqV208_nt-0.70	24.0
strain_sample_47-kraken2_refseqV208_nt-0.60	30.0
strain_sample_47-kraken2_refseqV208_nt-0.65	26.0
strain_sample_47-kraken2_refseqV208_nt-0.55	30.5
strain_sample_47-kraken2_refseqV208_nt-0.50	31.5
strain_sample_47-kraken2_refseqV208_nt-0.85	21.0
strain_sample_47-kraken2_refseqV208_nt-0.90	20.0
strain_sample_47-kraken2_refseqV208_nt-0.95	17.0
strain_sample_47-kraken2_refseqV208_nt-0.75	23.0
strain_sample_47-kraken2_refseqV208_nt-0.80	22.0
strain_sample_47-kraken2_refseqV208_nt-1.00	17.0
marine_sample_7-kraken2_refseqV208_nt-0.15	603.1875
marine_sample_7-kraken2_refseqV208_nt-0.25	340.7894736842105
marine_sample_7-kraken2_refseqV208_nt-0.20	422.5
marine_sample_7-kraken2_refseqV208_nt-0.10	1135.6296296296296
marine_sample_7-kraken2_refseqV208_nt-0.05	2295.4716981132074
marine_sample_7-kraken2_refseqV208_nt-0.00	7513.568965517241
marine_sample_7-kraken2_refseqV208_nt-0.55	230.66666666666666
marine_sample_7-kraken2_refseqV208_nt-0.40	277.42857142857144
marine_sample_7-kraken2_refseqV208_nt-0.35	286.25
marine_sample_7-kraken2_refseqV208_nt-0.50	249.16666666666666
marine_sample_7-kraken2_refseqV208_nt-0.45	262.125
marine_sample_7-kraken2_refseqV208_nt-0.30	310.7142857142857
marine_sample_7-kraken2_refseqV208_nt-0.70	221.33333333333334
marine_sample_7-kraken2_refseqV208_nt-0.75	214.25
marine_sample_7-kraken2_refseqV208_nt-0.60	227.5
marine_sample_7-kraken2_refseqV208_nt-0.80	215.0
marine_sample_7-kraken2_refseqV208_nt-0.65	235.0
marine_sample_7-kraken2_refseqV208_nt-0.85	211.5
strain_sample_79-kraken2_refseqV208_nt-0.10	438.0576923076923
marine_sample_7-kraken2_refseqV208_nt-0.95	201.0
marine_sample_7-kraken2_refseqV208_nt-1.00	201.5
marine_sample_7-kraken2_refseqV208_nt-0.90	209.0
strain_sample_79-kraken2_refseqV208_nt-0.05	1202.0633802816901
strain_sample_79-kraken2_refseqV208_nt-0.00	4977.062761506276
strain_sample_79-kraken2_refseqV208_nt-0.20	146.9
strain_sample_79-kraken2_refseqV208_nt-0.40	36.0
strain_sample_79-kraken2_refseqV208_nt-0.35	42.6
strain_sample_79-kraken2_refseqV208_nt-0.15	240.78125
strain_sample_79-kraken2_refseqV208_nt-0.30	47.5
strain_sample_79-kraken2_refseqV208_nt-0.25	85.14285714285714
strain_sample_79-kraken2_refseqV208_nt-0.60	25.333333333333332
strain_sample_79-kraken2_refseqV208_nt-0.50	29.25
strain_sample_79-kraken2_refseqV208_nt-0.70	23.0
strain_sample_79-kraken2_refseqV208_nt-0.45	33.142857142857146
strain_sample_79-kraken2_refseqV208_nt-0.65	25.5
strain_sample_79-kraken2_refseqV208_nt-0.55	28.75
strain_sample_79-kraken2_refseqV208_nt-0.90	18.0
strain_sample_79-kraken2_refseqV208_nt-0.95	18.0
strain_sample_79-kraken2_refseqV208_nt-1.00	16.0
strain_sample_79-kraken2_refseqV208_nt-0.85	19.0
strain_sample_79-kraken2_refseqV208_nt-0.80	20.0
strain_sample_79-kraken2_refseqV208_nt-0.75	22.0
mouse_sample_36-kraken2_refseqV208_nt-0.25	220.33333333333334
mouse_sample_36-kraken2_refseqV208_nt-0.20	256.7692307692308
mouse_sample_36-kraken2_refseqV208_nt-0.15	368.15384615384613
mouse_sample_36-kraken2_refseqV208_nt-0.10	821.2
mouse_sample_36-kraken2_refseqV208_nt-0.05	2721.3355704697988
mouse_sample_36-kraken2_refseqV208_nt-0.00	16107.743772241993
mouse_sample_36-kraken2_refseqV208_nt-0.35	168.8
mouse_sample_36-kraken2_refseqV208_nt-0.55	130.5
mouse_sample_36-kraken2_refseqV208_nt-0.30	186.42857142857142
mouse_sample_36-kraken2_refseqV208_nt-0.40	154.9090909090909
mouse_sample_36-kraken2_refseqV208_nt-0.45	151.11111111111111
mouse_sample_36-kraken2_refseqV208_nt-0.50	142.2
mouse_sample_36-kraken2_refseqV208_nt-0.70	131.5
mouse_sample_36-kraken2_refseqV208_nt-0.65	124.5
mouse_sample_36-kraken2_refseqV208_nt-0.80	123.33333333333333
mouse_sample_36-kraken2_refseqV208_nt-0.60	128.33333333333334
mouse_sample_36-kraken2_refseqV208_nt-0.75	155.5
mouse_sample_36-kraken2_refseqV208_nt-0.85	106.0
mouse_sample_36-kraken2_refseqV208_nt-1.00	70.0
mouse_sample_36-kraken2_refseqV208_nt-0.95	93.75
mouse_sample_36-kraken2_refseqV208_nt-0.90	93.0
strain_sample_80-kraken2_refseqV208_nt-0.10	484.0
strain_sample_80-kraken2_refseqV208_nt-0.05	1315.155172413793
strain_sample_80-kraken2_refseqV208_nt-0.00	5299.0
strain_sample_80-kraken2_refseqV208_nt-0.40	34.0
