Sample name	Shannon diversity
mouse_sample_62-kraken2_minikraken-0.40	2.307663127111694
mouse_sample_62-kraken2_minikraken-0.30	2.293986304106698
mouse_sample_62-kraken2_minikraken-0.35	2.2615822189970336
mouse_sample_62-kraken2_minikraken-0.15	2.4054347493629895
mouse_sample_62-kraken2_minikraken-0.20	2.3522242327798204
mouse_sample_62-kraken2_minikraken-0.25	2.317505882702936
mouse_sample_62-kraken2_minikraken-0.45	2.307239444985374
mouse_sample_62-kraken2_minikraken-0.50	2.6033891928638475
mouse_sample_62-kraken2_minikraken-0.55	2.428697813573503
mouse_sample_62-kraken2_minikraken-0.60	0.7219280948873623
mouse_sample_62-kraken2_minikraken-0.70	nan
mouse_sample_62-kraken2_minikraken-0.65	nan
mouse_sample_62-kraken2_minikraken-0.95	nan
mouse_sample_62-kraken2_minikraken-0.90	nan
mouse_sample_62-kraken2_minikraken-0.85	nan
mouse_sample_62-kraken2_minikraken-0.80	nan
mouse_sample_62-kraken2_minikraken-0.75	nan
mouse_sample_62-kraken2_minikraken-1.00	nan
strain_sample_88-kraken2_minikraken-0.20	1.987514438959792
strain_sample_88-kraken2_minikraken-0.15	2.0023467985807
strain_sample_88-kraken2_minikraken-0.10	2.0293972281814425
strain_sample_88-kraken2_minikraken-0.25	1.9899960785789093
strain_sample_88-kraken2_minikraken-0.05	2.068211009970295
strain_sample_88-kraken2_minikraken-0.00	2.160360872810081
strain_sample_88-kraken2_minikraken-0.50	1.695035880246979
strain_sample_88-kraken2_minikraken-0.30	2.009554516742502
strain_sample_88-kraken2_minikraken-0.45	1.966289463951387
strain_sample_88-kraken2_minikraken-0.35	2.0469456392298313
strain_sample_88-kraken2_minikraken-0.40	2.1686195255511906
strain_sample_88-kraken2_minikraken-0.55	1.1711401855594612
strain_sample_88-kraken2_minikraken-0.60	-0.0
strain_sample_88-kraken2_minikraken-0.65	nan
strain_sample_88-kraken2_minikraken-0.80	nan
strain_sample_88-kraken2_minikraken-0.70	nan
strain_sample_88-kraken2_minikraken-0.85	nan
strain_sample_88-kraken2_minikraken-0.75	nan
strain_sample_88-kraken2_minikraken-1.00	nan
strain_sample_88-kraken2_minikraken-0.95	nan
strain_sample_88-kraken2_minikraken-0.90	nan
strain_sample_47-kraken2_minikraken-0.10	1.8700851898268323
strain_sample_47-kraken2_minikraken-0.05	1.9266429323126193
strain_sample_47-kraken2_minikraken-0.00	2.0387365558830446
strain_sample_47-kraken2_minikraken-0.40	1.698622607326266
strain_sample_47-kraken2_minikraken-0.35	1.70237868155449
strain_sample_47-kraken2_minikraken-0.15	1.8294300170876445
strain_sample_47-kraken2_minikraken-0.20	1.8095553781870646
strain_sample_47-kraken2_minikraken-0.30	1.731197002678028
strain_sample_47-kraken2_minikraken-0.25	1.7663632056955607
strain_sample_47-kraken2_minikraken-0.50	1.8142376810716456
strain_sample_47-kraken2_minikraken-0.45	1.6818342017999703
strain_sample_47-kraken2_minikraken-0.55	1.3284693516857393
strain_sample_47-kraken2_minikraken-0.60	-0.0
strain_sample_47-kraken2_minikraken-0.65	nan
strain_sample_47-kraken2_minikraken-0.70	nan
strain_sample_47-kraken2_minikraken-0.75	nan
strain_sample_47-kraken2_minikraken-0.80	nan
strain_sample_47-kraken2_minikraken-0.85	nan
strain_sample_47-kraken2_minikraken-1.00	nan
strain_sample_47-kraken2_minikraken-0.95	nan
strain_sample_47-kraken2_minikraken-0.90	nan
strain_sample_35-kraken2_minikraken-0.10	1.843991222971624
strain_sample_35-kraken2_minikraken-0.20	1.7985573831621726
strain_sample_35-kraken2_minikraken-0.25	1.7871702822244482
strain_sample_35-kraken2_minikraken-0.15	1.8180470942357922
strain_sample_35-kraken2_minikraken-0.05	1.8930621669807395
strain_sample_35-kraken2_minikraken-0.00	1.9924073181991517
strain_sample_35-kraken2_minikraken-0.50	1.5820855017729396
strain_sample_35-kraken2_minikraken-0.45	1.7752073315641133
strain_sample_35-kraken2_minikraken-0.55	1.1889551851330085
strain_sample_35-kraken2_minikraken-0.30	1.7633170042274322
strain_sample_35-kraken2_minikraken-0.40	1.7345658439885356
strain_sample_35-kraken2_minikraken-0.35	1.7349934711770088
strain_sample_35-kraken2_minikraken-0.75	nan
strain_sample_35-kraken2_minikraken-0.65	nan
strain_sample_35-kraken2_minikraken-0.85	nan
strain_sample_35-kraken2_minikraken-0.70	nan
strain_sample_35-kraken2_minikraken-0.60	-0.0
strain_sample_35-kraken2_minikraken-0.80	nan
strain_sample_35-kraken2_minikraken-0.90	nan
strain_sample_35-kraken2_minikraken-1.00	nan
strain_sample_35-kraken2_minikraken-0.95	nan
plant_sample_9-kraken2_minikraken-0.10	1.9707851363215905
plant_sample_9-kraken2_minikraken-0.05	2.149273245367081
plant_sample_9-kraken2_minikraken-0.00	2.494417408843229
plant_sample_9-kraken2_minikraken-0.35	1.4771479189574084
plant_sample_9-kraken2_minikraken-0.20	1.7202046134445177
plant_sample_9-kraken2_minikraken-0.30	1.5533277838654727
plant_sample_9-kraken2_minikraken-0.25	1.6372232320856088
plant_sample_9-kraken2_minikraken-0.40	1.4125471410033317
plant_sample_9-kraken2_minikraken-0.15	1.8335968959793731
plant_sample_9-kraken2_minikraken-0.60	0.9940302114769566
