Sample name	Number of taxa
plant_sample_16-kraken2_standard_0521-0.30	159
plant_sample_16-kraken2_standard_0521-0.25	189
plant_sample_16-kraken2_standard_0521-0.05	1235
plant_sample_16-kraken2_standard_0521-0.55	102
plant_sample_16-kraken2_standard_0521-0.10	704
plant_sample_16-kraken2_standard_0521-0.00	1988
plant_sample_16-kraken2_standard_0521-0.15	416
plant_sample_16-kraken2_standard_0521-0.50	112
plant_sample_16-kraken2_standard_0521-0.20	243
plant_sample_16-kraken2_standard_0521-0.40	131
plant_sample_16-kraken2_standard_0521-0.45	121
plant_sample_16-kraken2_standard_0521-0.35	138
plant_sample_16-kraken2_standard_0521-0.70	76
plant_sample_16-kraken2_standard_0521-0.85	68
plant_sample_16-kraken2_standard_0521-0.75	74
plant_sample_16-kraken2_standard_0521-0.80	72
plant_sample_16-kraken2_standard_0521-1.00	54
plant_sample_16-kraken2_standard_0521-0.65	84
plant_sample_16-kraken2_standard_0521-0.60	93
plant_sample_16-kraken2_standard_0521-0.95	60
mouse_sample_19-kraken2_standard_0521-0.10	512
plant_sample_16-kraken2_standard_0521-0.90	64
mouse_sample_19-kraken2_standard_0521-0.05	1374
mouse_sample_19-kraken2_standard_0521-0.00	2107
mouse_sample_19-kraken2_standard_0521-0.15	273
mouse_sample_19-kraken2_standard_0521-0.20	187
mouse_sample_19-kraken2_standard_0521-0.25	154
mouse_sample_19-kraken2_standard_0521-0.40	117
mouse_sample_19-kraken2_standard_0521-0.55	100
mouse_sample_19-kraken2_standard_0521-0.60	98
mouse_sample_19-kraken2_standard_0521-0.50	102
mouse_sample_19-kraken2_standard_0521-0.70	89
mouse_sample_19-kraken2_standard_0521-0.45	107
mouse_sample_19-kraken2_standard_0521-0.35	127
mouse_sample_19-kraken2_standard_0521-0.30	135
mouse_sample_19-kraken2_standard_0521-0.65	93
mouse_sample_19-kraken2_standard_0521-0.85	80
strain_sample_14-kraken2_standard_0521-0.00	1295
strain_sample_14-kraken2_standard_0521-0.15	175
mouse_sample_19-kraken2_standard_0521-1.00	60
mouse_sample_19-kraken2_standard_0521-0.75	84
strain_sample_14-kraken2_standard_0521-0.20	102
mouse_sample_19-kraken2_standard_0521-0.90	76
mouse_sample_19-kraken2_standard_0521-0.95	69
strain_sample_14-kraken2_standard_0521-0.10	273
strain_sample_14-kraken2_standard_0521-0.05	517
strain_sample_14-kraken2_standard_0521-0.25	70
mouse_sample_19-kraken2_standard_0521-0.80	81
strain_sample_14-kraken2_standard_0521-0.40	37
strain_sample_14-kraken2_standard_0521-0.50	31
strain_sample_14-kraken2_standard_0521-0.55	31
strain_sample_14-kraken2_standard_0521-0.70	24
strain_sample_14-kraken2_standard_0521-0.45	35
strain_sample_14-kraken2_standard_0521-0.35	41
strain_sample_14-kraken2_standard_0521-0.30	44
strain_sample_14-kraken2_standard_0521-0.60	31
strain_sample_14-kraken2_standard_0521-0.75	23
strain_sample_14-kraken2_standard_0521-0.65	27
strain_sample_14-kraken2_standard_0521-0.85	21
strain_sample_14-kraken2_standard_0521-0.80	21
strain_sample_14-kraken2_standard_0521-1.00	19
strain_sample_14-kraken2_standard_0521-0.95	20
strain_sample_14-kraken2_standard_0521-0.90	20
mouse_sample_5-kraken2_standard_0521-0.15	276
mouse_sample_5-kraken2_standard_0521-0.40	130
mouse_sample_5-kraken2_standard_0521-0.25	163
mouse_sample_5-kraken2_standard_0521-0.35	136
mouse_sample_5-kraken2_standard_0521-0.10	602
mouse_sample_5-kraken2_standard_0521-0.20	187
mouse_sample_5-kraken2_standard_0521-0.30	147
mouse_sample_5-kraken2_standard_0521-0.00	2101
mouse_sample_5-kraken2_standard_0521-0.05	1481
mouse_sample_5-kraken2_standard_0521-0.45	125
mouse_sample_5-kraken2_standard_0521-0.80	91
mouse_sample_5-kraken2_standard_0521-0.75	95
mouse_sample_5-kraken2_standard_0521-1.00	64
mouse_sample_5-kraken2_standard_0521-0.60	108
mouse_sample_5-kraken2_standard_0521-0.65	105
mouse_sample_5-kraken2_standard_0521-0.85	85
mouse_sample_5-kraken2_standard_0521-0.90	82
mouse_sample_5-kraken2_standard_0521-0.95	73
mouse_sample_5-kraken2_standard_0521-0.55	115
mouse_sample_5-kraken2_standard_0521-0.50	123
mouse_sample_5-kraken2_standard_0521-0.70	100
mouse_sample_27-kraken2_standard_0521-0.15	310
mouse_sample_27-kraken2_standard_0521-0.35	156
mouse_sample_27-kraken2_standard_0521-0.25	184
mouse_sample_27-kraken2_standard_0521-0.05	1418
mouse_sample_27-kraken2_standard_0521-0.10	620
mouse_sample_27-kraken2_standard_0521-0.55	126
mouse_sample_27-kraken2_standard_0521-0.40	147
mouse_sample_27-kraken2_standard_0521-0.20	209
mouse_sample_27-kraken2_standard_0521-0.50	132
mouse_sample_27-kraken2_standard_0521-0.30	166
mouse_sample_27-kraken2_standard_0521-0.45	137
mouse_sample_27-kraken2_standard_0521-0.00	2065
mouse_sample_27-kraken2_standard_0521-0.60	118
mouse_sample_27-kraken2_standard_0521-0.65	114
mouse_sample_27-kraken2_standard_0521-0.85	94
mouse_sample_27-kraken2_standard_0521-0.75	102
mouse_sample_27-kraken2_standard_0521-0.70	103
mouse_sample_27-kraken2_standard_0521-0.80	100
strain_sample_91-kraken2_standard_0521-0.05	559
mouse_sample_27-kraken2_standard_0521-0.90	88
mouse_sample_27-kraken2_standard_0521-1.00	78
strain_sample_91-kraken2_standard_0521-0.10	300
strain_sample_91-kraken2_standard_0521-0.00	1428
mouse_sample_27-kraken2_standard_0521-0.95	82
strain_sample_91-kraken2_standard_0521-0.20	118
strain_sample_91-kraken2_standard_0521-0.25	69
strain_sample_91-kraken2_standard_0521-0.35	47
strain_sample_91-kraken2_standard_0521-0.30	52
strain_sample_91-kraken2_standard_0521-0.15	183
strain_sample_91-kraken2_standard_0521-0.60	29
strain_sample_91-kraken2_standard_0521-0.65	29
strain_sample_91-kraken2_standard_0521-0.45	39
strain_sample_91-kraken2_standard_0521-0.40	41
strain_sample_91-kraken2_standard_0521-0.50	36
strain_sample_91-kraken2_standard_0521-0.55	31
strain_sample_91-kraken2_standard_0521-0.70	28
