Sample name	Aitchisons distance
strain_sample_57-kraken2_minikraken-0.05	65.64556186596828
strain_sample_57-kraken2_minikraken-0.00	94.82263597349439
strain_sample_57-kraken2_minikraken-0.10	54.07808063666434
strain_sample_57-kraken2_minikraken-0.50	15.925316370909036
strain_sample_57-kraken2_minikraken-0.35	34.01893689544073
strain_sample_57-kraken2_minikraken-0.70	13.334189163743982
strain_sample_57-kraken2_minikraken-0.40	26.457466445270352
strain_sample_57-kraken2_minikraken-0.60	13.334189163743982
strain_sample_57-kraken2_minikraken-0.30	38.50028959238904
strain_sample_57-kraken2_minikraken-0.20	45.95124074625605
strain_sample_57-kraken2_minikraken-0.25	43.44538484813775
strain_sample_57-kraken2_minikraken-0.55	15.425387504107729
strain_sample_57-kraken2_minikraken-0.65	13.334189163743982
strain_sample_57-kraken2_minikraken-0.15	49.421892234004936
strain_sample_57-kraken2_minikraken-0.45	15.856425941588736
strain_sample_57-kraken2_minikraken-0.80	13.334189163743982
strain_sample_57-kraken2_minikraken-0.85	13.334189163743982
strain_sample_57-kraken2_minikraken-0.75	13.334189163743982
strain_sample_57-kraken2_minikraken-1.00	13.334189163743982
strain_sample_57-kraken2_minikraken-0.95	13.334189163743982
strain_sample_6-kraken2_minikraken-0.00	104.21492665560785
strain_sample_57-kraken2_minikraken-0.90	13.334189163743982
strain_sample_6-kraken2_minikraken-0.20	50.329891831351595
strain_sample_6-kraken2_minikraken-0.05	72.73678793481584
strain_sample_6-kraken2_minikraken-0.15	54.04990948413491
strain_sample_6-kraken2_minikraken-0.25	47.34489162432378
strain_sample_6-kraken2_minikraken-0.10	60.365646611916524
strain_sample_6-kraken2_minikraken-0.60	14.412605443721745
strain_sample_6-kraken2_minikraken-0.80	14.412605443721745
strain_sample_6-kraken2_minikraken-0.55	16.409424306983283
strain_sample_6-kraken2_minikraken-0.50	14.958334966262152
strain_sample_6-kraken2_minikraken-0.85	14.412605443721745
strain_sample_6-kraken2_minikraken-0.30	42.86420776419976
strain_sample_6-kraken2_minikraken-0.40	27.479160919439522
strain_sample_6-kraken2_minikraken-0.70	14.412605443721745
strain_sample_6-kraken2_minikraken-0.65	14.412605443721745
strain_sample_6-kraken2_minikraken-0.35	34.61849542819457
strain_sample_6-kraken2_minikraken-0.75	14.412605443721745
strain_sample_6-kraken2_minikraken-0.45	19.193894523822056
strain_sample_6-kraken2_minikraken-1.00	14.412605443721745
strain_sample_25-kraken2_minikraken-0.40	21.99033099432414
strain_sample_25-kraken2_minikraken-0.10	58.930025627307906
strain_sample_25-kraken2_minikraken-0.25	46.483572362776094
strain_sample_25-kraken2_minikraken-0.15	53.19038017262722
strain_sample_6-kraken2_minikraken-0.90	14.412605443721745
strain_sample_25-kraken2_minikraken-0.35	35.187325525044294
strain_sample_25-kraken2_minikraken-0.20	49.197577989959434
strain_sample_6-kraken2_minikraken-0.95	14.412605443721745
strain_sample_25-kraken2_minikraken-0.05	71.16638766132358
strain_sample_25-kraken2_minikraken-0.30	42.188976919088226
strain_sample_25-kraken2_minikraken-0.00	103.43055007933553
strain_sample_25-kraken2_minikraken-0.50	13.560921212466289
strain_sample_25-kraken2_minikraken-0.85	17.28874677303231
strain_sample_25-kraken2_minikraken-0.55	16.154906430677205
strain_sample_25-kraken2_minikraken-0.90	17.28874677303231
strain_sample_25-kraken2_minikraken-0.45	16.773995397923485
strain_sample_25-kraken2_minikraken-0.60	17.28874677303231
strain_sample_25-kraken2_minikraken-0.95	17.28874677303231
strain_sample_25-kraken2_minikraken-0.75	17.28874677303231
strain_sample_25-kraken2_minikraken-1.00	17.28874677303231
strain_sample_25-kraken2_minikraken-0.70	17.28874677303231
strain_sample_25-kraken2_minikraken-0.65	17.28874677303231
strain_sample_25-kraken2_minikraken-0.80	17.28874677303231
marine_sample_8-kraken2_minikraken-0.50	44.254605192464325
marine_sample_8-kraken2_minikraken-0.45	56.39363279743245
marine_sample_8-kraken2_minikraken-0.40	70.5107024906923
marine_sample_8-kraken2_minikraken-0.30	90.24771629290296
marine_sample_8-kraken2_minikraken-0.55	30.685340350193112
marine_sample_8-kraken2_minikraken-0.05	135.72320768594048
marine_sample_8-kraken2_minikraken-0.35	81.30206760773869
marine_sample_8-kraken2_minikraken-0.15	111.17250117645725
marine_sample_8-kraken2_minikraken-0.20	104.82689207938996
marine_sample_8-kraken2_minikraken-0.10	120.4792699418648
marine_sample_8-kraken2_minikraken-0.25	98.6039920246951
marine_sample_8-kraken2_minikraken-0.00	156.95202624800515
marine_sample_8-kraken2_minikraken-0.65	27.978303136740244
marine_sample_8-kraken2_minikraken-0.75	27.978303136740244
marine_sample_8-kraken2_minikraken-0.60	27.815498804478718
marine_sample_8-kraken2_minikraken-0.90	27.978303136740244
marine_sample_8-kraken2_minikraken-0.85	27.978303136740244
marine_sample_8-kraken2_minikraken-0.80	27.978303136740244
marine_sample_8-kraken2_minikraken-0.70	27.978303136740244
marine_sample_3-kraken2_minikraken-0.10	124.06142505031899
marine_sample_8-kraken2_minikraken-0.95	27.978303136740244
marine_sample_3-kraken2_minikraken-0.05	138.61840675548012
marine_sample_8-kraken2_minikraken-1.00	27.978303136740244
marine_sample_3-kraken2_minikraken-0.00	161.9907737690671
marine_sample_3-kraken2_minikraken-0.20	109.83059861487347
marine_sample_3-kraken2_minikraken-0.35	84.65650047627184
marine_sample_3-kraken2_minikraken-0.25	103.37339442642516
marine_sample_3-kraken2_minikraken-0.60	30.661770721295404
marine_sample_3-kraken2_minikraken-0.40	72.46591429393325
marine_sample_3-kraken2_minikraken-0.15	115.96652519297416
marine_sample_3-kraken2_minikraken-0.65	30.698587898869757
marine_sample_3-kraken2_minikraken-0.70	30.698587898869757
marine_sample_3-kraken2_minikraken-0.55	33.35486581351315
marine_sample_3-kraken2_minikraken-0.30	96.34457717552309
marine_sample_3-kraken2_minikraken-0.45	54.983437743094896
marine_sample_3-kraken2_minikraken-0.50	40.554718751475704
marine_sample_3-kraken2_minikraken-0.80	30.698587898869757
marine_sample_3-kraken2_minikraken-0.95	30.698587898869757
marine_sample_3-kraken2_minikraken-0.75	30.698587898869757
marine_sample_3-kraken2_minikraken-0.90	30.698587898869757
plant_sample_19-kraken2_minikraken-0.15	129.02164708799017
plant_sample_19-kraken2_minikraken-0.05	172.00001507739893
plant_sample_19-kraken2_minikraken-0.10	145.1076506116332
plant_sample_19-kraken2_minikraken-0.25	103.28949426500161
plant_sample_19-kraken2_minikraken-0.20	115.00824081407823
marine_sample_3-kraken2_minikraken-1.00	30.698587898869757
marine_sample_3-kraken2_minikraken-0.85	30.698587898869757
plant_sample_19-kraken2_minikraken-0.00	214.54235929282862
plant_sample_19-kraken2_minikraken-0.70	28.52942663698687
plant_sample_19-kraken2_minikraken-0.55	28.816607722983512
plant_sample_19-kraken2_minikraken-0.80	28.28509781120903
plant_sample_19-kraken2_minikraken-0.60	29.00752350388811
plant_sample_19-kraken2_minikraken-0.65	28.679093825169822
plant_sample_19-kraken2_minikraken-0.75	28.28509781120903
plant_sample_19-kraken2_minikraken-0.85	28.28509781120903
plant_sample_19-kraken2_minikraken-0.40	54.663340714617
plant_sample_19-kraken2_minikraken-0.50	32.65834461846155
plant_sample_19-kraken2_minikraken-0.45	42.342677623603
plant_sample_19-kraken2_minikraken-0.30	85.4947253488612
plant_sample_19-kraken2_minikraken-0.35	69.98125602971469
plant_sample_19-kraken2_minikraken-0.90	26.56779150638939
mouse_sample_26-kraken2_minikraken-0.10	106.55959528878351
mouse_sample_26-kraken2_minikraken-0.40	71.60000406556698
mouse_sample_26-kraken2_minikraken-0.25	91.92685123853
mouse_sample_26-kraken2_minikraken-0.20	96.1098945591693
mouse_sample_26-kraken2_minikraken-0.35	79.32918204662707
mouse_sample_26-kraken2_minikraken-0.05	121.33244623589874
mouse_sample_26-kraken2_minikraken-0.15	100.96938897932787
plant_sample_19-kraken2_minikraken-1.00	26.56779150638939
plant_sample_19-kraken2_minikraken-0.95	26.56779150638939
