Sample name	Robust Aitchisons distance
strain_sample_95-kraken2_refseqV208_nt-0.40	5.372529701067736
strain_sample_95-kraken2_refseqV208_nt-0.35	4.850871106144938
strain_sample_95-kraken2_refseqV208_nt-0.30	4.400909300561612
strain_sample_95-kraken2_refseqV208_nt-0.55	7.084099506913902
strain_sample_95-kraken2_refseqV208_nt-0.75	10.541333979164344
strain_sample_95-kraken2_refseqV208_nt-0.70	9.636689767161007
strain_sample_95-kraken2_refseqV208_nt-0.80	12.649042441290627
strain_sample_95-kraken2_refseqV208_nt-0.85	13.991391326530108
strain_sample_95-kraken2_refseqV208_nt-0.65	8.705312200423903
strain_sample_95-kraken2_refseqV208_nt-0.60	7.816083079901614
strain_sample_95-kraken2_refseqV208_nt-0.95	15.468335987262455
strain_sample_95-kraken2_refseqV208_nt-0.90	16.412670135328547
strain_sample_95-kraken2_refseqV208_nt-1.00	18.59770135068496
strain_sample_47-kraken2_refseqV208_nt-0.10	2.692673752434604
strain_sample_47-kraken2_refseqV208_nt-0.05	2.4885141695863005
strain_sample_47-kraken2_refseqV208_nt-0.00	2.905117894251169
strain_sample_47-kraken2_refseqV208_nt-0.15	3.0617249500968695
strain_sample_47-kraken2_refseqV208_nt-0.40	5.177090162453949
strain_sample_47-kraken2_refseqV208_nt-0.30	4.221808226622552
strain_sample_47-kraken2_refseqV208_nt-0.25	3.765965440670513
strain_sample_47-kraken2_refseqV208_nt-0.20	3.4500252979429638
strain_sample_47-kraken2_refseqV208_nt-0.35	4.687095774187219
strain_sample_47-kraken2_refseqV208_nt-0.70	9.857547751211126
strain_sample_47-kraken2_refseqV208_nt-0.55	6.990765043907849
strain_sample_47-kraken2_refseqV208_nt-0.60	7.988963807685831
strain_sample_47-kraken2_refseqV208_nt-0.45	5.81724079424857
strain_sample_47-kraken2_refseqV208_nt-0.65	8.724598785343579
strain_sample_47-kraken2_refseqV208_nt-0.50	6.270836206810999
strain_sample_47-kraken2_refseqV208_nt-0.85	13.13646255537882
strain_sample_47-kraken2_refseqV208_nt-0.90	16.33783151319505
strain_sample_47-kraken2_refseqV208_nt-0.95	15.432892344336851
strain_sample_47-kraken2_refseqV208_nt-0.75	10.586589755928475
strain_sample_47-kraken2_refseqV208_nt-0.80	11.768380255328854
strain_sample_47-kraken2_refseqV208_nt-1.00	18.15620145012016
marine_sample_7-kraken2_refseqV208_nt-0.15	13.755518298808408
marine_sample_7-kraken2_refseqV208_nt-0.20	15.493753640548197
marine_sample_7-kraken2_refseqV208_nt-0.25	16.888562135264273
marine_sample_7-kraken2_refseqV208_nt-0.10	12.079275593725686
marine_sample_7-kraken2_refseqV208_nt-0.05	10.381100564036856
marine_sample_7-kraken2_refseqV208_nt-0.00	8.391050199694318
marine_sample_7-kraken2_refseqV208_nt-0.55	19.384077689470857
marine_sample_7-kraken2_refseqV208_nt-0.40	19.436894883605834
marine_sample_7-kraken2_refseqV208_nt-0.50	17.274244071430658
marine_sample_7-kraken2_refseqV208_nt-0.35	20.78077420247456
marine_sample_7-kraken2_refseqV208_nt-0.45	19.02874571330795
marine_sample_7-kraken2_refseqV208_nt-0.30	18.452652001440168
marine_sample_7-kraken2_refseqV208_nt-0.70	25.547588016024044
marine_sample_7-kraken2_refseqV208_nt-0.75	28.959912415365718
marine_sample_7-kraken2_refseqV208_nt-0.65	22.338011665581295
marine_sample_7-kraken2_refseqV208_nt-0.80	34.029810322497404
marine_sample_7-kraken2_refseqV208_nt-0.60	22.06709841089621
marine_sample_7-kraken2_refseqV208_nt-0.85	38.09457058256431
strain_sample_79-kraken2_refseqV208_nt-0.10	3.12955105181532
marine_sample_7-kraken2_refseqV208_nt-0.95	51.42720325798859
marine_sample_7-kraken2_refseqV208_nt-1.00	60.93500045125516
marine_sample_7-kraken2_refseqV208_nt-0.90	44.26312917028981
strain_sample_79-kraken2_refseqV208_nt-0.05	2.753451767852855
strain_sample_79-kraken2_refseqV208_nt-0.00	2.6793712381640122
strain_sample_79-kraken2_refseqV208_nt-0.20	4.017930476908142
strain_sample_79-kraken2_refseqV208_nt-0.40	5.697282068629902
strain_sample_79-kraken2_refseqV208_nt-0.35	5.165236951112646
strain_sample_79-kraken2_refseqV208_nt-0.15	3.572504057186534
strain_sample_79-kraken2_refseqV208_nt-0.30	4.782974751913324
strain_sample_79-kraken2_refseqV208_nt-0.25	4.381022321801754
strain_sample_79-kraken2_refseqV208_nt-0.45	6.1262636642197155
strain_sample_79-kraken2_refseqV208_nt-0.65	8.814528846179314
strain_sample_79-kraken2_refseqV208_nt-0.50	6.6296606916260465
strain_sample_79-kraken2_refseqV208_nt-0.60	8.089851634005134
strain_sample_79-kraken2_refseqV208_nt-0.70	9.623357862022418
strain_sample_79-kraken2_refseqV208_nt-0.55	7.158636631259041
strain_sample_79-kraken2_refseqV208_nt-0.90	14.45686361705242
strain_sample_79-kraken2_refseqV208_nt-0.95	17.6193199368432
strain_sample_79-kraken2_refseqV208_nt-1.00	17.90693666767484
strain_sample_79-kraken2_refseqV208_nt-0.85	12.769875046326316
strain_sample_79-kraken2_refseqV208_nt-0.75	10.421022245381028
strain_sample_79-kraken2_refseqV208_nt-0.80	11.509362412146022
mouse_sample_36-kraken2_refseqV208_nt-0.25	23.60581138510614
mouse_sample_36-kraken2_refseqV208_nt-0.20	22.73847224306768
mouse_sample_36-kraken2_refseqV208_nt-0.15	21.73778668581648
mouse_sample_36-kraken2_refseqV208_nt-0.10	22.417576514669033
mouse_sample_36-kraken2_refseqV208_nt-0.05	25.489273214150206
mouse_sample_36-kraken2_refseqV208_nt-0.00	29.233008811392793
mouse_sample_36-kraken2_refseqV208_nt-0.30	22.455848817299753
mouse_sample_36-kraken2_refseqV208_nt-0.35	23.590490863637587
mouse_sample_36-kraken2_refseqV208_nt-0.40	24.62913689681308
mouse_sample_36-kraken2_refseqV208_nt-0.55	28.12722412670864
mouse_sample_36-kraken2_refseqV208_nt-0.45	25.578877132300892
mouse_sample_36-kraken2_refseqV208_nt-0.50	26.80809801470975
mouse_sample_36-kraken2_refseqV208_nt-0.70	31.388268134257036
mouse_sample_36-kraken2_refseqV208_nt-0.65	30.346704249459943
mouse_sample_36-kraken2_refseqV208_nt-0.80	34.4199536868817
mouse_sample_36-kraken2_refseqV208_nt-0.60	29.200134027167262
mouse_sample_36-kraken2_refseqV208_nt-0.75	32.785055402993834
mouse_sample_36-kraken2_refseqV208_nt-0.85	36.32253157181093
mouse_sample_36-kraken2_refseqV208_nt-1.00	34.63245883301906
mouse_sample_36-kraken2_refseqV208_nt-0.95	33.56697600372783
mouse_sample_36-kraken2_refseqV208_nt-0.90	33.580627523329255
strain_sample_80-kraken2_refseqV208_nt-0.10	4.686208954905981
strain_sample_80-kraken2_refseqV208_nt-0.05	4.58836222483673
strain_sample_80-kraken2_refseqV208_nt-0.00	4.8778519818659625
strain_sample_80-kraken2_refseqV208_nt-0.40	6.49971616733608
strain_sample_80-kraken2_refseqV208_nt-0.15	4.865159511254339
strain_sample_80-kraken2_refseqV208_nt-0.35	6.103164358444924
strain_sample_80-kraken2_refseqV208_nt-0.20	5.166171708568257
strain_sample_80-kraken2_refseqV208_nt-0.25	5.401279464887078
strain_sample_80-kraken2_refseqV208_nt-0.30	5.713377259207111
strain_sample_80-kraken2_refseqV208_nt-0.45	7.1967530896642575
strain_sample_80-kraken2_refseqV208_nt-0.55	8.22869588866171
strain_sample_80-kraken2_refseqV208_nt-0.50	7.59536829704381
strain_sample_80-kraken2_refseqV208_nt-0.70	10.674014554205
strain_sample_80-kraken2_refseqV208_nt-0.60	8.815630250151269
strain_sample_80-kraken2_refseqV208_nt-0.65	9.77495764943375
strain_sample_80-kraken2_refseqV208_nt-0.80	13.240398345484023
strain_sample_80-kraken2_refseqV208_nt-0.95	15.473449481926624
strain_sample_80-kraken2_refseqV208_nt-0.90	13.598815361119891
strain_sample_80-kraken2_refseqV208_nt-0.85	12.160216268036196
strain_sample_80-kraken2_refseqV208_nt-1.00	15.793046217086602
strain_sample_80-kraken2_refseqV208_nt-0.75	11.829077087295657
strain_sample_52-kraken2_refseqV208_nt-0.15	3.2814738306635833
strain_sample_52-kraken2_refseqV208_nt-0.20	3.735708537101639
strain_sample_52-kraken2_refseqV208_nt-0.10	2.792193649129183
strain_sample_52-kraken2_refseqV208_nt-0.25	4.087855964654178
strain_sample_52-kraken2_refseqV208_nt-0.05	2.3728478177717345
strain_sample_52-kraken2_refseqV208_nt-0.00	2.3964060378352
strain_sample_52-kraken2_refseqV208_nt-0.40	5.58446067783457
strain_sample_52-kraken2_refseqV208_nt-0.55	7.402588515726139
strain_sample_52-kraken2_refseqV208_nt-0.35	5.051521878806543
strain_sample_52-kraken2_refseqV208_nt-0.45	6.159128052416708
strain_sample_52-kraken2_refseqV208_nt-0.50	6.695246370795171
strain_sample_52-kraken2_refseqV208_nt-0.30	4.567854351332217
strain_sample_52-kraken2_refseqV208_nt-0.75	11.773791047744961
strain_sample_52-kraken2_refseqV208_nt-0.60	8.3190676848053
strain_sample_52-kraken2_refseqV208_nt-0.70	10.615200637368012
strain_sample_52-kraken2_refseqV208_nt-0.85	14.661378366862028
strain_sample_52-kraken2_refseqV208_nt-0.80	13.017226482195012
strain_sample_52-kraken2_refseqV208_nt-0.65	9.1890836088734
strain_sample_52-kraken2_refseqV208_nt-0.90	16.271328355408762
strain_sample_52-kraken2_refseqV208_nt-0.95	18.04696389955677
strain_sample_52-kraken2_refseqV208_nt-1.00	20.74653865869717
mouse_sample_61-kraken2_refseqV208_nt-0.10	20.842905889463175
mouse_sample_61-kraken2_refseqV208_nt-0.05	24.186000782457953
mouse_sample_61-kraken2_refseqV208_nt-0.00	22.83262441925979
mouse_sample_61-kraken2_refseqV208_nt-0.20	20.702008657948223
mouse_sample_61-kraken2_refseqV208_nt-0.25	21.807795967511968
mouse_sample_61-kraken2_refseqV208_nt-0.35	23.3257349932401
mouse_sample_61-kraken2_refseqV208_nt-0.15	20.454833773357308
mouse_sample_61-kraken2_refseqV208_nt-0.40	24.338427460899034
mouse_sample_61-kraken2_refseqV208_nt-0.30	22.779751407464186
mouse_sample_61-kraken2_refseqV208_nt-0.65	28.098582945188525
mouse_sample_61-kraken2_refseqV208_nt-0.55	27.57656136705713
mouse_sample_61-kraken2_refseqV208_nt-0.45	25.597256008408124
mouse_sample_61-kraken2_refseqV208_nt-0.70	29.176852889702303
mouse_sample_61-kraken2_refseqV208_nt-0.60	26.872907514471386
mouse_sample_61-kraken2_refseqV208_nt-0.50	26.192575522956492
mouse_sample_61-kraken2_refseqV208_nt-0.80	28.927014302163222
mouse_sample_61-kraken2_refseqV208_nt-0.75	28.97507279533022
mouse_sample_61-kraken2_refseqV208_nt-0.90	32.33644090907023
mouse_sample_61-kraken2_refseqV208_nt-0.85	31.465687170889836
mouse_sample_61-kraken2_refseqV208_nt-0.95	30.374888044223248
mouse_sample_61-kraken2_refseqV208_nt-1.00	29.28279855439608
mouse_sample_60-kraken2_refseqV208_nt-0.20	20.90581062945914
mouse_sample_60-kraken2_refseqV208_nt-0.15	20.389328634069578
mouse_sample_60-kraken2_refseqV208_nt-0.25	21.527012340209772
mouse_sample_60-kraken2_refseqV208_nt-0.10	19.215375817929413
mouse_sample_60-kraken2_refseqV208_nt-0.05	17.558567561513676
mouse_sample_60-kraken2_refseqV208_nt-0.00	16.45247818178314
