Sample name	Number of taxa
strain_sample_40-kraken2_minikraken-0.10	222
strain_sample_40-kraken2_minikraken-0.25	50
strain_sample_40-kraken2_minikraken-0.20	73
strain_sample_40-kraken2_minikraken-0.15	115
strain_sample_40-kraken2_minikraken-0.05	669
strain_sample_40-kraken2_minikraken-0.00	2944
strain_sample_40-kraken2_minikraken-0.30	40
strain_sample_40-kraken2_minikraken-0.45	13
strain_sample_40-kraken2_minikraken-0.50	8
strain_sample_40-kraken2_minikraken-0.35	25
strain_sample_40-kraken2_minikraken-0.40	17
strain_sample_40-kraken2_minikraken-0.55	1
strain_sample_40-kraken2_minikraken-0.70	0
strain_sample_40-kraken2_minikraken-0.75	0
strain_sample_40-kraken2_minikraken-0.60	0
strain_sample_40-kraken2_minikraken-0.65	0
strain_sample_40-kraken2_minikraken-0.95	0
strain_sample_40-kraken2_minikraken-0.85	0
strain_sample_40-kraken2_minikraken-0.80	0
strain_sample_40-kraken2_minikraken-0.90	0
strain_sample_40-kraken2_minikraken-1.00	0
strain_sample_39-kraken2_minikraken-0.10	225
strain_sample_39-kraken2_minikraken-0.05	621
strain_sample_39-kraken2_minikraken-0.00	2716
strain_sample_39-kraken2_minikraken-0.30	42
strain_sample_39-kraken2_minikraken-0.55	3
strain_sample_39-kraken2_minikraken-0.50	5
strain_sample_39-kraken2_minikraken-0.35	21
strain_sample_39-kraken2_minikraken-0.40	13
strain_sample_39-kraken2_minikraken-0.60	0
strain_sample_39-kraken2_minikraken-0.45	11
strain_sample_39-kraken2_minikraken-0.25	56
strain_sample_39-kraken2_minikraken-0.15	114
strain_sample_39-kraken2_minikraken-0.20	76
strain_sample_39-kraken2_minikraken-0.65	0
strain_sample_39-kraken2_minikraken-0.70	0
strain_sample_39-kraken2_minikraken-0.85	0
strain_sample_39-kraken2_minikraken-0.90	0
strain_sample_32-kraken2_minikraken-0.15	112
strain_sample_32-kraken2_minikraken-0.25	53
strain_sample_39-kraken2_minikraken-1.00	0
strain_sample_39-kraken2_minikraken-0.95	0
strain_sample_32-kraken2_minikraken-0.05	637
strain_sample_39-kraken2_minikraken-0.80	0
strain_sample_32-kraken2_minikraken-0.10	232
strain_sample_39-kraken2_minikraken-0.75	0
strain_sample_32-kraken2_minikraken-0.00	2824
strain_sample_32-kraken2_minikraken-0.20	71
strain_sample_32-kraken2_minikraken-0.30	34
strain_sample_32-kraken2_minikraken-0.35	24
strain_sample_32-kraken2_minikraken-0.40	16
strain_sample_32-kraken2_minikraken-0.45	8
strain_sample_32-kraken2_minikraken-0.50	6
strain_sample_32-kraken2_minikraken-0.65	0
strain_sample_32-kraken2_minikraken-0.70	0
strain_sample_32-kraken2_minikraken-0.55	3
strain_sample_32-kraken2_minikraken-0.60	0
strain_sample_32-kraken2_minikraken-0.75	0
strain_sample_32-kraken2_minikraken-0.85	0
strain_sample_32-kraken2_minikraken-0.80	0
strain_sample_32-kraken2_minikraken-0.90	0
strain_sample_32-kraken2_minikraken-1.00	0
strain_sample_32-kraken2_minikraken-0.95	0
mouse_sample_14-kraken2_minikraken-0.20	142
mouse_sample_14-kraken2_minikraken-0.05	859
mouse_sample_14-kraken2_minikraken-0.15	179
mouse_sample_14-kraken2_minikraken-0.35	67
mouse_sample_14-kraken2_minikraken-0.10	271
mouse_sample_14-kraken2_minikraken-0.30	89
mouse_sample_14-kraken2_minikraken-0.25	114
mouse_sample_14-kraken2_minikraken-0.40	52
mouse_sample_14-kraken2_minikraken-0.00	4081
mouse_sample_14-kraken2_minikraken-0.45	40
mouse_sample_14-kraken2_minikraken-0.85	0
mouse_sample_14-kraken2_minikraken-0.70	0
mouse_sample_14-kraken2_minikraken-1.00	0
mouse_sample_14-kraken2_minikraken-0.95	0
mouse_sample_14-kraken2_minikraken-0.65	0
mouse_sample_14-kraken2_minikraken-0.55	7
mouse_sample_14-kraken2_minikraken-0.75	0
mouse_sample_14-kraken2_minikraken-0.60	0
mouse_sample_14-kraken2_minikraken-0.50	27
mouse_sample_14-kraken2_minikraken-0.90	0
mouse_sample_14-kraken2_minikraken-0.80	0
plant_sample_20-kraken2_minikraken-0.25	125
plant_sample_20-kraken2_minikraken-0.20	175
plant_sample_20-kraken2_minikraken-0.15	301
plant_sample_20-kraken2_minikraken-0.30	89
plant_sample_20-kraken2_minikraken-0.50	11
plant_sample_20-kraken2_minikraken-0.35	64
