Sample name	L1 distance
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.20	11750357.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.60	13999916.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.25	12520571.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.80	13999998.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-1.00	13999996.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.90	13999996.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.20	14093381.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.65	14000003.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.50	13997008.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.10	14182225.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.55	13999459.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.80	13999996.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.85	13999998.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.40	13890260.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.75	13999996.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.30	13292633.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.15	14213776.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.50	13995289.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.60	14000019.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.70	13999999.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.45	13976727.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.35	13579877.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.75	13999998.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.70	13999997.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.05	14011879.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.25	13889803.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.30	13670516.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.90	13999998.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.45	13985833.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.35	13747111.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.95	13999996.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.85	13999996.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.40	13931668.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.15	11022378.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.55	13999714.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.10	10808884.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.05	11088994.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.65	13999973.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.00	14161048.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.00	11738243.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-1.00	13999998.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.95	13999998.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.50	13995494.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.55	13999385.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.40	13909440.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.60	13999987.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.35	13684735.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.45	13978869.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.65	14000017.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.25	12276802.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.20	11414207.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.70	14000017.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.15	10535727.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.75	14000018.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.85	14000018.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.10	9979492.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.30	13123564.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.05	9792621.0
RL_S001__insert_270-kraken2_minikraken-0.55	89089901.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.80	14000018.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.90	14000018.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-1.00	14000018.0
RL_S001__insert_270-kraken2_minikraken-0.15	89008333.0
RL_S001__insert_270-kraken2_minikraken-0.20	87214864.0
