Sample name	Proportion classified
ani100_cLOW_stTrue_r3-kraken2_chocophlan-0.65	0.9347976149132635
ani100_cLOW_stTrue_r3-kraken2_chocophlan-0.90	0.8608610117975765
ani100_cLOW_stTrue_r3-kraken2_chocophlan-0.85	0.8726770168615786
ani100_cLOW_stTrue_r3-kraken2_chocophlan-0.95	0.8502142215203806
ani100_cLOW_stTrue_r3-kraken2_chocophlan-1.00	0.8414480034777158
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.15	0.9839825302407921
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.10	0.9854463197191079
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.05	0.9872586100935689
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.20	0.9826044552685993
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.25	0.9814723095002245
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.00	0.9897509736453608
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.45	0.9752907936048978
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.40	0.9770366552371135
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.75	0.9451045016972901
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.50	0.9736675037164382
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.55	0.9715176410453626
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.35	0.9786297307621649
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.60	0.9690641347363464
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.70	0.9523615203581952
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.30	0.980091734521603
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.65	0.9649599098969112
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.85	0.9279951719875851
ani97_cLOW_stTrue_r4-kraken2_chocophlan-1.00	0.9110073425903095
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.90	0.9217302987350539
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.95	0.9158895694303214
