Sample name	Faith's phylogenetic diversity
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.15	2265.0
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.35	739.5
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.45	637.5
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.30	1186.0
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.80	466.5
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.35	1060.0
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.25	1359.0
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.20	975.5
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.30	799.5
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.50	613.5
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.45	893.0
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.60	743.0
ani100_cLOW_stTrue_r3-kraken2_chocophlan-1.00	406.5
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.40	688.5
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.00	6287.0
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.10	1618.5
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.25	887.5
ani97_cLOW_stTrue_r4-kraken2_chocophlan-1.00	383.5
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.10	3760.0
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.50	823.0
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.05	7441.0
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.15	1189.5
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.75	484.5
ani100_cLOW_stTrue_r3-kraken2_chocophlan-0.85	463.0
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.00	10828.0
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.55	582.5
ani100_cLOW_stTrue_r3-kraken2_chocophlan-0.95	423.5
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.40	973.0
ani100_cLOW_stTrue_r3-kraken2_chocophlan-0.90	454.0
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.55	781.0
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.05	2685.5
ani99_cHIGH_stTrue_r4-kraken2_chocophlan-0.25	2052.0
ani99_cHIGH_stTrue_r4-kraken2_chocophlan-0.65	1369.0
ani97_cLOW_stFalse_r9-kraken2_chocophlan-0.20	855.5
ani99_cHIGH_stTrue_r4-kraken2_chocophlan-0.70	1318.0
ani97_cLOW_stFalse_r9-kraken2_chocophlan-0.55	487.5
ani99_cHIGH_stTrue_r4-kraken2_chocophlan-0.75	1266.0
ani97_cLOW_stFalse_r9-kraken2_chocophlan-0.35	602.5
ani97_cLOW_stFalse_r9-kraken2_chocophlan-0.50	505.5
ani97_cLOW_stFalse_r9-kraken2_chocophlan-0.30	674.5
ani99_cHIGH_stTrue_r4-kraken2_chocophlan-1.00	1077.5
ani97_cLOW_stFalse_r9-kraken2_chocophlan-0.10	1524.5
ani97_cLOW_stFalse_r9-kraken2_chocophlan-0.05	2687.5
ani99_cHIGH_stTrue_r4-kraken2_chocophlan-0.00	9687.0
ani99_cHIGH_stTrue_r4-kraken2_chocophlan-0.50	1531.0
ani97_cLOW_stFalse_r9-kraken2_chocophlan-0.60	460.5
ani97_cLOW_stFalse_r9-kraken2_chocophlan-0.15	1097.5
ani99_cHIGH_stTrue_r4-kraken2_chocophlan-0.85	1178.5
ani99_cHIGH_stTrue_r4-kraken2_chocophlan-0.60	1414.0
ani99_cHIGH_stTrue_r4-kraken2_chocophlan-0.20	2218.0
ani99_cHIGH_stTrue_r4-kraken2_chocophlan-0.40	1698.0
ani99_cHIGH_stTrue_r4-kraken2_chocophlan-0.15	2579.0
