Sample name	Number of taxa
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.00	5399.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.05	1025.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.10	416.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.15	265.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.20	201.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.25	179.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.30	148.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.35	136.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.40	128.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.45	124.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.50	118.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.55	110.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.60	106.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.65	90.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.70	68.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.75	39.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.80	11.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.85	0.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.90	0.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.95	0.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-1.00	0.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.00	3310.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.05	861.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.10	387.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.15	238.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.20	174.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.25	148.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.30	122.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.35	108.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.40	104.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.45	99.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.50	95.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.55	86.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.60	83.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.65	77.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.70	55.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.75	24.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.80	4.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.85	0.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.90	0.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.95	0.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-1.00	0.0
NA12878_NegControl_SL126488_0-kraken2_refseqV205_500GB-0.00	13162.0
NA12878_NegControl_SL126488_0-kraken2_refseqV205_500GB-0.05	8791.0
NA12878_NegControl_SL126488_0-kraken2_refseqV205_500GB-0.10	1542.0
NA12878_NegControl_SL126488_0-kraken2_refseqV205_500GB-0.15	1019.0
NA12878_NegControl_SL126488_0-kraken2_refseqV205_500GB-0.20	656.0
NA12878_NegControl_SL126488_0-kraken2_refseqV205_500GB-0.25	524.0
NA12878_NegControl_SL126488_0-kraken2_refseqV205_500GB-0.30	430.0
NA12878_NegControl_SL126488_0-kraken2_refseqV205_500GB-0.35	311.0
NA12878_NegControl_SL126488_0-kraken2_refseqV205_500GB-0.40	241.0
NA12878_NegControl_SL126488_0-kraken2_refseqV205_500GB-0.45	189.0
NA12878_NegControl_SL126488_0-kraken2_refseqV205_500GB-0.50	137.0
NA12878_NegControl_SL126488_0-kraken2_refseqV205_500GB-0.55	87.0
NA12878_NegControl_SL126488_0-kraken2_refseqV205_500GB-0.60	51.0
NA12878_NegControl_SL126488_0-kraken2_refseqV205_500GB-0.65	31.0
NA12878_NegControl_SL126488_0-kraken2_refseqV205_500GB-0.70	10.0
NA12878_NegControl_SL126488_0-kraken2_refseqV205_500GB-0.75	8.0
NA12878_NegControl_SL126488_0-kraken2_refseqV205_500GB-0.80	4.0
NA12878_NegControl_SL126488_0-kraken2_refseqV205_500GB-0.85	0
NA12878_NegControl_SL126488_0-kraken2_refseqV205_500GB-0.90	0
NA12878_NegControl_SL126488_0-kraken2_refseqV205_500GB-0.95	0
NA12878_NegControl_SL126488_0-kraken2_refseqV205_500GB-1.00	0
ani95_cLOW_stTrue_r5-kraken2_refseqV205_500GB-0.00	3904.0
