Sample name	Proportion classified
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.40	0.010874288821225377
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.30	0.11494810427088693
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.35	0.0405459401559829
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.45	0.0022249292071226307
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.10	0.682555623587321
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.15	0.5638831611094746
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.20	0.39570204162915473
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.25	0.24993614283889795
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.05	0.7591936454838987
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.00	0.8189621625606178
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.60	7.571430734694496e-06
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.55	5.357144387755539e-05
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.70	7.142859183674053e-08
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.50	0.0004645715613061604
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.65	2.071429163265475e-06
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.05	0.8881981983140284
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.00	0.9179854168550595
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.30	0.12631587518798218
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.35	0.043609506229929464
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.40	0.011551001650143092
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.10	0.8150743307249044
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.15	0.6678782382683197
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.20	0.4583632797661828
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.25	0.2830203975743425
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.45	0.0023409289058469868
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.60	3.071429010204144e-06
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.50	0.0004940714991530713
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.70	7.142858163265452e-08
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.55	5.8642865520409363e-05
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.65	3.571429081632726e-07
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.35	0.03686502403068339
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.20	0.3924412811469242
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.15	0.579302898039131
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.25	0.2404565479844383
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.30	0.10704857665183001
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.05	0.8010130415546609
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.10	0.7196332176144346
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.00	0.8453360559964994
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.40	0.009709130373975234
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.50	0.0004085709032659815
