Sample name	Precision taxa
NA12878_NegControl_SL126488_0-kraken2_GTDBr202RefSeqV205-0.00	0.00011077877478675086
NA12878_NegControl_SL126488_0-kraken2_GTDBr202RefSeqV205-0.05	0.00014585764294049007
NA12878_NegControl_SL126488_0-kraken2_GTDBr202RefSeqV205-0.10	0.0004170141784820684
NA12878_NegControl_SL126488_0-kraken2_GTDBr202RefSeqV205-0.15	0.0005720823798627002
NA12878_NegControl_SL126488_0-kraken2_GTDBr202RefSeqV205-0.20	0.0007358351729212656
NA12878_NegControl_SL126488_0-kraken2_GTDBr202RefSeqV205-0.25	0.0008237232289950577
NA12878_NegControl_SL126488_0-kraken2_GTDBr202RefSeqV205-0.30	0.0009124087591240876
NA12878_NegControl_SL126488_0-kraken2_GTDBr202RefSeqV205-0.35	0.001049317943336831
NA12878_NegControl_SL126488_0-kraken2_GTDBr202RefSeqV205-0.40	0.0011587485515643105
NA12878_NegControl_SL126488_0-kraken2_GTDBr202RefSeqV205-0.45	0.0012610340479192938
NA12878_NegControl_SL126488_0-kraken2_GTDBr202RefSeqV205-0.50	0.0013736263736263737
NA12878_NegControl_SL126488_0-kraken2_GTDBr202RefSeqV205-0.55	0.0015337423312883436
NA12878_NegControl_SL126488_0-kraken2_GTDBr202RefSeqV205-0.60	0.0016556291390728477
NA12878_NegControl_SL126488_0-kraken2_GTDBr202RefSeqV205-0.65	0.001763668430335097
NA12878_NegControl_SL126488_0-kraken2_GTDBr202RefSeqV205-0.70	0.0019801980198019802
NA12878_NegControl_SL126488_0-kraken2_GTDBr202RefSeqV205-0.75	0.0021551724137931034
NA12878_NegControl_SL126488_0-kraken2_GTDBr202RefSeqV205-0.80	0.002304147465437788
NA12878_NegControl_SL126488_0-kraken2_GTDBr202RefSeqV205-0.85	0.002551020408163265
NA12878_NegControl_SL126488_0-kraken2_GTDBr202RefSeqV205-0.90	0.0027548209366391185
NA12878_NegControl_SL126488_0-kraken2_GTDBr202RefSeqV205-0.95	0.003194888178913738
NA12878_NegControl_SL126488_0-kraken2_GTDBr202RefSeqV205-1.00	0.003703703703703704
RM2_S002__insert_270-kraken2_GTDBr202RefSeqV205-0.00	0.0012839394282693252
RM2_S002__insert_270-kraken2_GTDBr202RefSeqV205-0.05	0.0021595528455284553
RM2_S002__insert_270-kraken2_GTDBr202RefSeqV205-0.10	0.004217838977794318
RM2_S002__insert_270-kraken2_GTDBr202RefSeqV205-0.15	0.009166891345376111
RM2_S002__insert_270-kraken2_GTDBr202RefSeqV205-0.20	0.018815716657443277
RM2_S002__insert_270-kraken2_GTDBr202RefSeqV205-0.25	0.03110704483074108
RM2_S002__insert_270-kraken2_GTDBr202RefSeqV205-0.30	0.04576043068640646
RM2_S002__insert_270-kraken2_GTDBr202RefSeqV205-0.35	0.05422647527910686
RM2_S002__insert_270-kraken2_GTDBr202RefSeqV205-0.40	0.06133828996282528
RM2_S002__insert_270-kraken2_GTDBr202RefSeqV205-0.45	0.07051282051282051
RM2_S002__insert_270-kraken2_GTDBr202RefSeqV205-0.50	0.07932692307692307
RM2_S002__insert_270-kraken2_GTDBr202RefSeqV205-0.55	0.0862533692722372
RM2_S002__insert_270-kraken2_GTDBr202RefSeqV205-0.60	0.09523809523809523
