Sample name	Number of taxa
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.00	3221.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.05	1268.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.10	555.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.15	350.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.20	246.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.25	192.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.30	160.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.35	121.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.40	95.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.45	70.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.50	49.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.55	29.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.60	9.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.65	4.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.70	1.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.75	0.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.80	0.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.85	0.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.90	0.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-0.95	0.0
ani99_cLOW_stFalse_r2-kraken2_minikraken-1.00	0.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.00	2758.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.05	976.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.10	444.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.15	305.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.20	227.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.25	188.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.30	146.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.35	112.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.40	85.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.45	61.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.50	44.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.55	33.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.60	10.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.65	2.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.70	1.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.75	0.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.80	0.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.85	0.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.90	0.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-0.95	0.0
ani99_cLOW_stFalse_r9-kraken2_minikraken-1.00	0.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.00	3763.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.05	2125.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.10	1407.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.15	1133.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.20	957.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.25	824.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.30	671.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.35	539.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.40	419.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.45	310.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.50	199.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.55	82.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.60	14.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.65	3.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.70	1.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.75	0.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.80	0.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.85	0.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.90	0.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-0.95	0.0
ani97_cHIGH_stTrue_r4-kraken2_minikraken-1.00	0.0
RL_S001__insert_270-kraken2_minikraken-0.00	4422.0
RL_S001__insert_270-kraken2_minikraken-0.05	2270.0
RL_S001__insert_270-kraken2_minikraken-0.10	517.0
RL_S001__insert_270-kraken2_minikraken-0.15	98.0
RL_S001__insert_270-kraken2_minikraken-0.20	41.0
RL_S001__insert_270-kraken2_minikraken-0.25	31.0
RL_S001__insert_270-kraken2_minikraken-0.30	21.0
RL_S001__insert_270-kraken2_minikraken-0.35	13.0
RL_S001__insert_270-kraken2_minikraken-0.40	9.0
RL_S001__insert_270-kraken2_minikraken-0.45	7.0
RL_S001__insert_270-kraken2_minikraken-0.50	5.0
RL_S001__insert_270-kraken2_minikraken-0.55	3.0
RL_S001__insert_270-kraken2_minikraken-0.60	2.0
RL_S001__insert_270-kraken2_minikraken-0.65	0.0
RL_S001__insert_270-kraken2_minikraken-0.70	0.0
RL_S001__insert_270-kraken2_minikraken-0.75	0.0
RL_S001__insert_270-kraken2_minikraken-0.80	0.0
RL_S001__insert_270-kraken2_minikraken-0.85	0.0
RL_S001__insert_270-kraken2_minikraken-0.90	0.0
RL_S001__insert_270-kraken2_minikraken-0.95	0.0
RL_S001__insert_270-kraken2_minikraken-1.00	0.0
ani95_cLOW_stTrue_r3-kraken2_minikraken-0.00	3124.0
ani95_cLOW_stTrue_r3-kraken2_minikraken-0.05	1404.0
ani95_cLOW_stTrue_r3-kraken2_minikraken-0.10	795.0
ani95_cLOW_stTrue_r3-kraken2_minikraken-0.15	554.0
ani95_cLOW_stTrue_r3-kraken2_minikraken-0.20	430.0
ani95_cLOW_stTrue_r3-kraken2_minikraken-0.25	355.0
ani95_cLOW_stTrue_r3-kraken2_minikraken-0.30	273.0
ani95_cLOW_stTrue_r3-kraken2_minikraken-0.35	195.0
ani95_cLOW_stTrue_r3-kraken2_minikraken-0.40	141.0
ani95_cLOW_stTrue_r3-kraken2_minikraken-0.45	86.0
ani95_cLOW_stTrue_r3-kraken2_minikraken-0.50	56.0
ani95_cLOW_stTrue_r3-kraken2_minikraken-0.55	19.0
ani95_cLOW_stTrue_r3-kraken2_minikraken-0.60	4.0
ani95_cLOW_stTrue_r3-kraken2_minikraken-0.65	0.0
ani95_cLOW_stTrue_r3-kraken2_minikraken-0.70	0.0
ani95_cLOW_stTrue_r3-kraken2_minikraken-0.75	0.0
ani95_cLOW_stTrue_r3-kraken2_minikraken-0.80	0.0
ani95_cLOW_stTrue_r3-kraken2_minikraken-0.85	0.0
ani95_cLOW_stTrue_r3-kraken2_minikraken-0.90	0.0
ani95_cLOW_stTrue_r3-kraken2_minikraken-0.95	0.0
ani95_cLOW_stTrue_r3-kraken2_minikraken-1.00	0.0
ani95_cLOW_stTrue_r8-kraken2_minikraken-0.00	3129.0
ani95_cLOW_stTrue_r8-kraken2_minikraken-0.05	1368.0
ani95_cLOW_stTrue_r8-kraken2_minikraken-0.10	758.0
ani95_cLOW_stTrue_r8-kraken2_minikraken-0.15	547.0
ani95_cLOW_stTrue_r8-kraken2_minikraken-0.20	431.0
ani95_cLOW_stTrue_r8-kraken2_minikraken-0.25	370.0
ani95_cLOW_stTrue_r8-kraken2_minikraken-0.30	278.0
ani95_cLOW_stTrue_r8-kraken2_minikraken-0.35	196.0
ani95_cLOW_stTrue_r8-kraken2_minikraken-0.40	140.0
ani95_cLOW_stTrue_r8-kraken2_minikraken-0.45	84.0
ani95_cLOW_stTrue_r8-kraken2_minikraken-0.50	47.0
ani95_cLOW_stTrue_r8-kraken2_minikraken-0.55	18.0
ani95_cLOW_stTrue_r8-kraken2_minikraken-0.60	3.0
ani95_cLOW_stTrue_r8-kraken2_minikraken-0.65	1.0
ani95_cLOW_stTrue_r8-kraken2_minikraken-0.70	0.0
ani95_cLOW_stTrue_r8-kraken2_minikraken-0.75	0.0
ani95_cLOW_stTrue_r8-kraken2_minikraken-0.80	0.0
ani95_cLOW_stTrue_r8-kraken2_minikraken-0.85	0.0
ani95_cLOW_stTrue_r8-kraken2_minikraken-0.90	0.0
ani95_cLOW_stTrue_r8-kraken2_minikraken-0.95	0.0
ani95_cLOW_stTrue_r8-kraken2_minikraken-1.00	0.0
ani99_cHIGH_stFalse_r1-kraken2_minikraken-0.00	3588.0
ani99_cHIGH_stFalse_r1-kraken2_minikraken-0.05	2150.0
ani99_cHIGH_stFalse_r1-kraken2_minikraken-0.10	1232.0
ani99_cHIGH_stFalse_r1-kraken2_minikraken-0.15	885.0
ani99_cHIGH_stFalse_r1-kraken2_minikraken-0.20	718.0
ani99_cHIGH_stFalse_r1-kraken2_minikraken-0.25	627.0
ani99_cHIGH_stFalse_r1-kraken2_minikraken-0.30	526.0
ani99_cHIGH_stFalse_r1-kraken2_minikraken-0.35	420.0
ani99_cHIGH_stFalse_r1-kraken2_minikraken-0.40	325.0
ani99_cHIGH_stFalse_r1-kraken2_minikraken-0.45	216.0
ani99_cHIGH_stFalse_r1-kraken2_minikraken-0.50	128.0
ani99_cHIGH_stFalse_r1-kraken2_minikraken-0.55	37.0
ani99_cHIGH_stFalse_r1-kraken2_minikraken-0.60	8.0
ani99_cHIGH_stFalse_r1-kraken2_minikraken-0.65	0.0
ani99_cHIGH_stFalse_r1-kraken2_minikraken-0.70	0.0
ani99_cHIGH_stFalse_r1-kraken2_minikraken-0.75	0.0
ani99_cHIGH_stFalse_r1-kraken2_minikraken-0.80	0.0
ani99_cHIGH_stFalse_r1-kraken2_minikraken-0.85	0.0
ani99_cHIGH_stFalse_r1-kraken2_minikraken-0.90	0.0
ani99_cHIGH_stFalse_r1-kraken2_minikraken-0.95	0.0
ani99_cHIGH_stFalse_r1-kraken2_minikraken-1.00	0.0
ani97_cHIGH_stFalse_r5-kraken2_minikraken-0.00	3756.0
ani97_cHIGH_stFalse_r5-kraken2_minikraken-0.05	2322.0
ani97_cHIGH_stFalse_r5-kraken2_minikraken-0.10	1320.0
ani97_cHIGH_stFalse_r5-kraken2_minikraken-0.15	982.0
ani97_cHIGH_stFalse_r5-kraken2_minikraken-0.20	802.0
ani97_cHIGH_stFalse_r5-kraken2_minikraken-0.25	674.0
ani97_cHIGH_stFalse_r5-kraken2_minikraken-0.30	539.0
ani97_cHIGH_stFalse_r5-kraken2_minikraken-0.35	416.0
ani97_cHIGH_stFalse_r5-kraken2_minikraken-0.40	305.0
ani97_cHIGH_stFalse_r5-kraken2_minikraken-0.45	208.0
ani97_cHIGH_stFalse_r5-kraken2_minikraken-0.50	118.0
ani97_cHIGH_stFalse_r5-kraken2_minikraken-0.55	40.0
ani97_cHIGH_stFalse_r5-kraken2_minikraken-0.60	8.0
ani97_cHIGH_stFalse_r5-kraken2_minikraken-0.65	2.0
ani97_cHIGH_stFalse_r5-kraken2_minikraken-0.70	0.0
ani97_cHIGH_stFalse_r5-kraken2_minikraken-0.75	0.0
ani97_cHIGH_stFalse_r5-kraken2_minikraken-0.80	0.0
ani97_cHIGH_stFalse_r5-kraken2_minikraken-0.85	0.0
ani97_cHIGH_stFalse_r5-kraken2_minikraken-0.90	0.0
ani97_cHIGH_stFalse_r5-kraken2_minikraken-0.95	0.0
ani97_cHIGH_stFalse_r5-kraken2_minikraken-1.00	0.0
ani100_cHIGH_stTrue_r0-kraken2_minikraken-0.00	3887.0
ani100_cHIGH_stTrue_r0-kraken2_minikraken-0.05	2606.0
ani100_cHIGH_stTrue_r0-kraken2_minikraken-0.10	1494.0
ani100_cHIGH_stTrue_r0-kraken2_minikraken-0.15	1031.0
ani100_cHIGH_stTrue_r0-kraken2_minikraken-0.20	810.0
ani100_cHIGH_stTrue_r0-kraken2_minikraken-0.25	694.0
ani100_cHIGH_stTrue_r0-kraken2_minikraken-0.30	563.0
ani100_cHIGH_stTrue_r0-kraken2_minikraken-0.35	471.0
ani100_cHIGH_stTrue_r0-kraken2_minikraken-0.40	390.0
ani100_cHIGH_stTrue_r0-kraken2_minikraken-0.45	308.0
ani100_cHIGH_stTrue_r0-kraken2_minikraken-0.50	233.0
ani100_cHIGH_stTrue_r0-kraken2_minikraken-0.55	110.0
ani100_cHIGH_stTrue_r0-kraken2_minikraken-0.60	26.0
ani100_cHIGH_stTrue_r0-kraken2_minikraken-0.65	6.0
ani100_cHIGH_stTrue_r0-kraken2_minikraken-0.70	3.0
ani100_cHIGH_stTrue_r0-kraken2_minikraken-0.75	1.0
ani100_cHIGH_stTrue_r0-kraken2_minikraken-0.80	1.0
ani100_cHIGH_stTrue_r0-kraken2_minikraken-0.85	1.0
