Sample name	Unweighted unifrac distance relative abundance
ani99_cLOW_stFalse_r1-kraken2_refseqV93-0.80	0.24
ani95_cLOW_stFalse_r2-kraken2_refseqV93-0.40	0.12080536912751678
ani99_cLOW_stFalse_r1-kraken2_refseqV93-0.30	0.14492753623188406
ani99_cLOW_stFalse_r1-kraken2_refseqV93-0.10	0.08955223880597014
ani95_cLOW_stFalse_r2-kraken2_refseqV93-0.95	0.2802547770700637
ani95_cLOW_stFalse_r2-kraken2_refseqV93-0.80	0.2111801242236025
ani95_cLOW_stFalse_r2-kraken2_refseqV93-0.70	0.2111801242236025
ani99_cLOW_stFalse_r1-kraken2_refseqV93-0.20	0.14634146341463414
ani99_cLOW_stFalse_r1-kraken2_refseqV93-0.00	0.08955223880597014
ani99_cLOW_stFalse_r1-kraken2_refseqV93-0.90	0.3022222222222222
ani99_cLOW_stFalse_r1-kraken2_refseqV93-0.55	0.20465116279069767
ani99_cLOW_stFalse_r1-kraken2_refseqV93-0.05	0.08955223880597014
ani99_cLOW_stFalse_r1-kraken2_refseqV93-0.65	0.20465116279069767
ani99_cLOW_stFalse_r1-kraken2_refseqV93-0.60	0.20465116279069767
ani99_cLOW_stFalse_r1-kraken2_refseqV93-0.40	0.20465116279069767
ani99_cLOW_stFalse_r1-kraken2_refseqV93-0.75	0.24
ani99_cLOW_stFalse_r1-kraken2_refseqV93-0.45	0.20465116279069767
ani95_cLOW_stFalse_r2-kraken2_refseqV93-0.15	0.14965986394557823
ani95_cLOW_stFalse_r2-kraken2_refseqV93-0.50	0.2138364779874214
ani99_cLOW_stFalse_r1-kraken2_refseqV93-0.70	0.20465116279069767
ani95_cLOW_stFalse_r2-kraken2_refseqV93-1.00	0.32298136645962733
ani95_cLOW_stFalse_r2-kraken2_refseqV93-0.60	0.2360248447204969
ani95_cLOW_stFalse_r2-kraken2_refseqV93-0.05	0.14965986394557823
ani95_cLOW_stFalse_r2-kraken2_refseqV93-0.65	0.2111801242236025
ani95_cLOW_stFalse_r2-kraken2_refseqV93-0.25	0.12080536912751678
ani99_cLOW_stFalse_r1-kraken2_refseqV93-0.85	0.24
ani99_cLOW_stFalse_r1-kraken2_refseqV93-0.35	0.14492753623188406
ani95_cLOW_stFalse_r2-kraken2_refseqV93-0.90	0.2111801242236025
ani95_cLOW_stFalse_r2-kraken2_refseqV93-0.00	0.14965986394557823
ani99_cLOW_stFalse_r1-kraken2_refseqV93-0.25	0.12560386473429952
ani95_cLOW_stFalse_r2-kraken2_refseqV93-0.55	0.2138364779874214
ani95_cLOW_stFalse_r2-kraken2_refseqV93-0.30	0.12080536912751678
ani95_cLOW_stFalse_r2-kraken2_refseqV93-0.85	0.2111801242236025
ani95_cLOW_stFalse_r2-kraken2_refseqV93-0.20	0.14965986394557823
ani99_cLOW_stFalse_r1-kraken2_refseqV93-0.15	0.12060301507537688
ani95_cLOW_stFalse_r2-kraken2_refseqV93-0.45	0.14965986394557823
ani95_cLOW_stFalse_r2-kraken2_refseqV93-0.75	0.2111801242236025
ani99_cLOW_stFalse_r1-kraken2_refseqV93-0.50	0.20465116279069767
ani95_cLOW_stFalse_r2-kraken2_refseqV93-0.35	0.12080536912751678
ani95_cLOW_stFalse_r2-kraken2_refseqV93-0.10	0.14965986394557823
ani97_cHIGH_stTrue_r0-kraken2_refseqV93-0.90	0.44878048780487806
ani97_cHIGH_stTrue_r0-kraken2_refseqV93-0.35	0.20809248554913296
ani99_cLOW_stFalse_r1-kraken2_refseqV93-1.00	0.38626609442060084
ani97_cHIGH_stTrue_r0-kraken2_refseqV93-0.70	0.4198895027624309
ani100_cHIGH_stFalse_r3-kraken2_refseqV93-0.45	0.10837438423645321
ani97_cHIGH_stTrue_r0-kraken2_refseqV93-0.00	0.14906832298136646
ani97_cHIGH_stTrue_r0-kraken2_refseqV93-1.00	0.5114155251141552
