Sample name	Bray-Curtis dissimilarity relative abundance
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.20	0.134132912
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.45	0.16574845
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.40	0.15927198
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.00	0.146711543
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.15	0.130324924
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.00	0.333804432
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.85	0.230356633
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.25	0.356249115
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.20	0.349794406
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.80	0.217315415
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.45	0.386480134
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.50	0.392514246
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-0.85	0.37867863
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.05	0.135768716
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.70	0.41949895
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.30	0.148251242
ani97_cHIGH_stTrue_r5-kraken2_refseqV205-0.90	0.395588624
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.35	0.371743652
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.95	0.29758166
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.65	0.412933933
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.40	0.379252587
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.10	0.128439302
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.60	0.184904205
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.10	0.337616688
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.65	0.192778459
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.55	0.177566827
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.75	0.207279983
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.50	0.171078654
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.15	0.343096136
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.70	0.200040432
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.25	0.14128943
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.60	0.406408444
ani95_cLOW_stTrue_r2-kraken2_refseqV205-0.90	0.252550831
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.55	0.399463198
ani95_cLOW_stTrue_r2-kraken2_refseqV205-1.00	0.391462672
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.30	0.364637411
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.05	0.335314737
ani99_cHIGH_stFalse_r0-kraken2_refseqV205-0.60	0.357348305
ani97_cHIGH_stFalse_r4-kraken2_refseqV205-0.15	0.229529852
ani99_cHIGH_stFalse_r0-kraken2_refseqV205-0.55	0.346035582
ani99_cHIGH_stFalse_r0-kraken2_refseqV205-0.35	0.323373266
ani99_cHIGH_stFalse_r0-kraken2_refseqV205-0.45	0.329320476
ani99_cHIGH_stFalse_r0-kraken2_refseqV205-0.30	0.317515765
ani99_cHIGH_stFalse_r0-kraken2_refseqV205-0.75	0.397540584
ani97_cHIGH_stFalse_r4-kraken2_refseqV205-0.00	0.235432999
ani99_cHIGH_stFalse_r0-kraken2_refseqV205-0.95	0.555813632
ani97_cHIGH_stFalse_r4-kraken2_refseqV205-0.40	0.26330922
ani97_cHIGH_stFalse_r4-kraken2_refseqV205-0.20	0.234877594
ani97_cHIGH_stFalse_r4-kraken2_refseqV205-0.25	0.242404148
ani97_cHIGH_stFalse_r4-kraken2_refseqV205-0.50	0.27851973
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.85	0.435266888
ani97_cHIGH_stFalse_r4-kraken2_refseqV205-0.35	0.256334156
ani97_cHIGH_stFalse_r4-kraken2_refseqV205-0.55	0.287443194
ani99_cHIGH_stFalse_r0-kraken2_refseqV205-0.50	0.336421978
ani97_cHIGH_stFalse_r4-kraken2_refseqV205-0.30	0.251673141
ani99_cHIGH_stFalse_r0-kraken2_refseqV205-0.00	0.309611412
ani99_cHIGH_stFalse_r0-kraken2_refseqV205-0.70	0.385021438
ani97_cHIGH_stFalse_r4-kraken2_refseqV205-0.10	0.22789033
ani99_cHIGH_stFalse_r0-kraken2_refseqV205-0.85	0.441803734
ani97_cHIGH_stFalse_r4-kraken2_refseqV205-0.60	0.295958141
ani97_cHIGH_stFalse_r4-kraken2_refseqV205-0.45	0.271502314
ani97_cHIGH_stFalse_r4-kraken2_refseqV205-0.05	0.231523165
ani99_cHIGH_stFalse_r0-kraken2_refseqV205-0.65	0.371372857
ani99_cHIGH_stFalse_r0-kraken2_refseqV205-0.05	0.305445949
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.80	0.429033732
ani99_cHIGH_stFalse_r0-kraken2_refseqV205-0.15	0.296995289
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.95	0.462931973
ani99_cHIGH_stFalse_r0-kraken2_refseqV205-0.20	0.3036377
ani99_cHIGH_stFalse_r0-kraken2_refseqV205-1.00	0.688623885
ani99_cHIGH_stFalse_r0-kraken2_refseqV205-0.80	0.416561099
ani99_cHIGH_stFalse_r0-kraken2_refseqV205-0.25	0.311185431
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.90	0.443407233
ani95_cLOW_stTrue_r9-kraken2_refseqV205-0.75	0.424088216
ani99_cHIGH_stFalse_r0-kraken2_refseqV205-0.10	0.293906828
ani99_cHIGH_stFalse_r0-kraken2_refseqV205-0.90	0.482371252
ani95_cLOW_stTrue_r9-kraken2_refseqV205-1.00	0.517625105
ani99_cHIGH_stFalse_r0-kraken2_refseqV205-0.40	0.321534508
RM1_S002__insert_5000-kraken2_refseqV205-0.50	0.78648266
RM1_S002__insert_5000-kraken2_refseqV205-0.90	0.789176882
RM1_S002__insert_5000-kraken2_refseqV205-0.60	0.786565005
RM1_S002__insert_5000-kraken2_refseqV205-0.75	0.78807516
RM1_S002__insert_5000-kraken2_refseqV205-1.00	0.798725901
RM1_S002__insert_5000-kraken2_refseqV205-0.65	0.787042367
RM1_S002__insert_5000-kraken2_refseqV205-0.55	0.786489723
RM1_S002__insert_5000-kraken2_refseqV205-0.30	0.786480325
RM1_S002__insert_5000-kraken2_refseqV205-0.85	0.788573135
NA12878_NegControl_SL126486_0-kraken2_refseqV205-0.35	0.010830853
ani97_cHIGH_stFalse_r4-kraken2_refseqV205-0.90	0.37446318
RM1_S002__insert_5000-kraken2_refseqV205-0.25	0.777674019
RM1_S002__insert_5000-kraken2_refseqV205-0.80	0.788444533
ani97_cHIGH_stFalse_r4-kraken2_refseqV205-0.85	0.350471284
RM1_S002__insert_5000-kraken2_refseqV205-0.15	0.777637337
NA12878_NegControl_SL126486_0-kraken2_refseqV205-0.05	0.105679792
RM1_S002__insert_5000-kraken2_refseqV205-0.70	0.787593809
RM1_S002__insert_5000-kraken2_refseqV205-0.95	0.791477049
RM1_S002__insert_5000-kraken2_refseqV205-0.45	0.78648256
ani97_cHIGH_stFalse_r4-kraken2_refseqV205-1.00	0.481239806
ani97_cHIGH_stFalse_r4-kraken2_refseqV205-0.70	0.313772459
RM1_S002__insert_5000-kraken2_refseqV205-0.05	0.777472433
RM1_S002__insert_5000-kraken2_refseqV205-0.35	0.786480939
ani97_cHIGH_stFalse_r4-kraken2_refseqV205-0.75	0.322667522
ani97_cHIGH_stFalse_r4-kraken2_refseqV205-0.95	0.413005259
RM1_S002__insert_5000-kraken2_refseqV205-0.40	0.786481459
ani97_cHIGH_stFalse_r4-kraken2_refseqV205-0.65	0.305001401
NA12878_NegControl_SL126486_0-kraken2_refseqV205-0.30	0.014485058
RM1_S002__insert_5000-kraken2_refseqV205-0.20	0.777662734
ani97_cHIGH_stFalse_r4-kraken2_refseqV205-0.80	0.33489848
RM1_S002__insert_5000-kraken2_refseqV205-0.10	0.777588005
