Sample name	Weighted unifrac distance relative abundance
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.95	41.42857142857143
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.60	25.011904761904766
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.20	16.396581196581195
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.30	16.65213675213675
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.50	16.907692307692308
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.70	27.095238095238095
ani97_cLOW_stTrue_r4-kraken2_chocophlan-1.00	71.42857142857143
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.30	23.095238095238102
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.70	17.445221445221446
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.05	54.900000000000006
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.90	27.69047619047619
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.15	16.396581196581195
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.15	28.083333333333336
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.25	16.65213675213675
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.65	17.18385780885781
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.80	29.17857142857143
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.35	25.011904761904766
ani100_cLOW_stTrue_r3-kraken2_chocophlan-1.00	53.56363636363636
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.20	25.999999999999996
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.45	25.011904761904766
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.10	54.900000000000006
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.00	49.900000000000006
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.35	16.65213675213675
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.25	25.17857142857143
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.10	16.027389277389275
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.60	16.608416945373467
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.50	27.09523809523809
ani97_cLOW_stTrue_r4-kraken2_chocophlan-0.40	25.011904761904766
ani100_cLOW_stFalse_r6-kraken2_chocophlan-0.05	15.307692307692305
