Sample name	Faith's phylogenetic diversity
Huttenhower_HC2-kraken2_standard_0521-0.10	2796.0
Huttenhower_HC2-kraken2_standard_0521-0.25	1065.0
Huttenhower_HC2-kraken2_standard_0521-0.00	5039.0
Huttenhower_HC2-kraken2_standard_0521-0.70	421.0
Huttenhower_HC2-kraken2_standard_0521-0.65	434.0
Huttenhower_HC2-kraken2_standard_0521-0.45	553.0
Huttenhower_HC2-kraken2_standard_0521-0.50	517.0
Huttenhower_HC2-kraken2_standard_0521-0.60	454.0
Huttenhower_HC2-kraken2_standard_0521-0.30	776.0
Huttenhower_HC2-kraken2_standard_0521-0.75	409.0
Huttenhower_HC2-kraken2_standard_0521-0.40	609.0
Huttenhower_HC2-kraken2_standard_0521-0.55	472.0
Huttenhower_HC2-kraken2_standard_0521-0.35	652.0
Huttenhower_HC2-kraken2_standard_0521-0.90	392.0
Huttenhower_HC2-kraken2_standard_0521-0.85	394.0
Huttenhower_HC2-kraken2_standard_0521-1.00	386.0
Huttenhower_HC2-kraken2_standard_0521-0.95	387.0
Huttenhower_HC2-kraken2_standard_0521-0.80	396.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.20	1568.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.15	2039.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.10	3315.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.05	6111.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.00	9718.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.45	965.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.55	871.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.70	753.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.40	1034.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.50	919.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.25	1370.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.60	831.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.65	778.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.35	1097.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.30	1216.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.85	622.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.80	667.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.75	709.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-1.00	533.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.95	564.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.90	593.0
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.15	4490.0
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.10	5916.0
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.05	8369.0
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.00	10340.0
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.45	2270.0
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.60	1910.0
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.40	2425.0
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.50	2130.0
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.55	2018.0
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.35	2616.0
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.20	3674.0
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.30	2887.0
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.65	1813.0
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.25	3216.0
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.80	1593.0
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.90	1461.0
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-1.00	1359.0
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.75	1671.0
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.70	1730.0
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.85	1513.0
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.95	1406.0
ani97_cHIGH_stFalse_r5-kraken2_standard_0521-0.10	4503.0
ani97_cHIGH_stFalse_r5-kraken2_standard_0521-0.05	6842.0
ani97_cHIGH_stFalse_r5-kraken2_standard_0521-0.00	9927.0
ani97_cHIGH_stFalse_r5-kraken2_standard_0521-0.35	2265.0
ani97_cHIGH_stFalse_r5-kraken2_standard_0521-0.55	1826.0
ani97_cHIGH_stFalse_r5-kraken2_standard_0521-0.40	2128.0
ani97_cHIGH_stFalse_r5-kraken2_standard_0521-0.30	2395.0
ani97_cHIGH_stFalse_r5-kraken2_standard_0521-0.45	2002.0
ani97_cHIGH_stFalse_r5-kraken2_standard_0521-0.25	2639.0
ani97_cHIGH_stFalse_r5-kraken2_standard_0521-0.15	3431.0
ani97_cHIGH_stFalse_r5-kraken2_standard_0521-0.50	1928.0
ani97_cHIGH_stFalse_r5-kraken2_standard_0521-0.60	1759.0
ani97_cHIGH_stFalse_r5-kraken2_standard_0521-0.20	2920.0
ani97_cHIGH_stFalse_r5-kraken2_standard_0521-0.80	1483.0
ani97_cHIGH_stFalse_r5-kraken2_standard_0521-0.95	1302.0
ani97_cHIGH_stFalse_r5-kraken2_standard_0521-1.00	1209.5
ani97_cHIGH_stFalse_r5-kraken2_standard_0521-0.85	1409.0
ani97_cHIGH_stFalse_r5-kraken2_standard_0521-0.90	1375.0
ani97_cHIGH_stFalse_r5-kraken2_standard_0521-0.75	1552.0
ani97_cHIGH_stFalse_r5-kraken2_standard_0521-0.65	1679.0
ani97_cHIGH_stFalse_r5-kraken2_standard_0521-0.70	1600.0
ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.00	10791.0
ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.05	8756.0
ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.55	1857.0
ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.35	2573.0
ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.45	2119.0
ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.50	1981.0
ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.15	5068.0
ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.40	2312.0
ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.25	3340.0
ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.20	3999.0
ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.30	2914.0
ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.10	6738.0
ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.85	1276.0
ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.75	1463.0
ABRF_MGRG_10ng-kraken2_standard_0521-0.00	2823.0
ani100_cHIGH_stFalse_r6-kraken2_standard_0521-1.00	1081.0
ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.80	1361.0
ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.95	1142.0
ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.90	1200.0
ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.70	1544.0
ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.65	1624.0
ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.60	1718.0
ABRF_MGRG_10ng-kraken2_standard_0521-0.30	268.0
ABRF_MGRG_10ng-kraken2_standard_0521-0.50	156.0
ABRF_MGRG_10ng-kraken2_standard_0521-0.40	198.0
ABRF_MGRG_10ng-kraken2_standard_0521-0.25	341.0
ABRF_MGRG_10ng-kraken2_standard_0521-0.35	219.0
ABRF_MGRG_10ng-kraken2_standard_0521-0.45	166.0
ABRF_MGRG_10ng-kraken2_standard_0521-0.20	472.0
ABRF_MGRG_10ng-kraken2_standard_0521-0.10	1004.0
ABRF_MGRG_10ng-kraken2_standard_0521-0.05	1612.0
ABRF_MGRG_10ng-kraken2_standard_0521-0.15	665.0
ABRF_MGRG_10ng-kraken2_standard_0521-0.70	122.0
ABRF_MGRG_10ng-kraken2_standard_0521-0.80	108.0
ABRF_MGRG_10ng-kraken2_standard_0521-0.75	112.0
ABRF_MGRG_10ng-kraken2_standard_0521-0.55	144.0
ABRF_MGRG_10ng-kraken2_standard_0521-0.95	95.0
ABRF_MGRG_10ng-kraken2_standard_0521-0.60	134.0
ABRF_MGRG_10ng-kraken2_standard_0521-0.90	98.0
ABRF_MGRG_10ng-kraken2_standard_0521-0.85	98.0
ABRF_MGRG_10ng-kraken2_standard_0521-1.00	91.0
ABRF_MGRG_10ng-kraken2_standard_0521-0.65	129.0
ani99_cHIGH_stTrue_r4-kraken2_standard_0521-0.30	2503.0
ani99_cHIGH_stTrue_r4-kraken2_standard_0521-0.40	2214.0
ani99_cHIGH_stTrue_r4-kraken2_standard_0521-0.45	2081.0
ani99_cHIGH_stTrue_r4-kraken2_standard_0521-0.35	2346.0
ani99_cHIGH_stTrue_r4-kraken2_standard_0521-0.20	2953.0
ani99_cHIGH_stTrue_r4-kraken2_standard_0521-0.25	2734.0
ani99_cHIGH_stTrue_r4-kraken2_standard_0521-0.10	4096.0
ani99_cHIGH_stTrue_r4-kraken2_standard_0521-0.15	3366.0
ani99_cHIGH_stTrue_r4-kraken2_standard_0521-0.05	6101.0
ani99_cHIGH_stTrue_r4-kraken2_standard_0521-0.00	9820.0
ani99_cHIGH_stTrue_r4-kraken2_standard_0521-0.60	1847.0
ani99_cHIGH_stTrue_r4-kraken2_standard_0521-0.80	1558.0
ani99_cHIGH_stTrue_r4-kraken2_standard_0521-0.95	1382.0
ani99_cHIGH_stTrue_r4-kraken2_standard_0521-0.50	2013.0
ani99_cHIGH_stTrue_r4-kraken2_standard_0521-0.70	1699.0
ani99_cHIGH_stTrue_r4-kraken2_standard_0521-0.55	1926.0
ani99_cHIGH_stTrue_r4-kraken2_standard_0521-0.85	1493.0
ani99_cHIGH_stTrue_r4-kraken2_standard_0521-0.90	1426.0
ani99_cHIGH_stTrue_r4-kraken2_standard_0521-0.65	1772.0
ani99_cHIGH_stTrue_r4-kraken2_standard_0521-0.75	1635.0
Huttenhower_LC2-kraken2_standard_0521-0.35	235.0
Huttenhower_LC2-kraken2_standard_0521-0.25	302.0
Huttenhower_LC2-kraken2_standard_0521-0.30	259.0
Huttenhower_LC2-kraken2_standard_0521-0.40	215.0
Huttenhower_LC2-kraken2_standard_0521-0.20	382.0
Huttenhower_LC2-kraken2_standard_0521-0.10	671.0
Huttenhower_LC2-kraken2_standard_0521-0.15	487.0
Huttenhower_LC2-kraken2_standard_0521-0.05	993.0
Huttenhower_LC2-kraken2_standard_0521-0.00	1214.0
ani99_cHIGH_stTrue_r4-kraken2_standard_0521-1.00	1323.0
Huttenhower_LC2-kraken2_standard_0521-0.65	147.5
Huttenhower_LC2-kraken2_standard_0521-0.80	142.5
Huttenhower_LC2-kraken2_standard_0521-0.85	142.5
Huttenhower_LC2-kraken2_standard_0521-0.50	192.0
Huttenhower_LC2-kraken2_standard_0521-0.90	142.5
Huttenhower_LC2-kraken2_standard_0521-0.70	146.5
Huttenhower_LC2-kraken2_standard_0521-0.45	193.0
Huttenhower_LC2-kraken2_standard_0521-0.75	142.5
Huttenhower_LC2-kraken2_standard_0521-0.55	161.5
Huttenhower_LC2-kraken2_standard_0521-0.60	148.5
NegControl_LM-kraken2_standard_0521-0.15	0
NegControl_LM-kraken2_standard_0521-0.20	0
NegControl_LM-kraken2_standard_0521-0.25	0
NegControl_LM-kraken2_standard_0521-0.30	0
NegControl_LM-kraken2_standard_0521-0.35	0
NegControl_LM-kraken2_standard_0521-0.00	3585.0
Huttenhower_LC2-kraken2_standard_0521-1.00	142.5
Huttenhower_LC2-kraken2_standard_0521-0.95	142.5
NegControl_LM-kraken2_standard_0521-0.05	2239.0
