Sample name	Faith's phylogenetic diversity
NegControl_MH2-kraken2_refseqV208_nt-0.30	0
NegControl_MH2-kraken2_refseqV208_nt-0.20	0
NegControl_MH2-kraken2_refseqV208_nt-0.35	0
NegControl_MH2-kraken2_refseqV208_nt-0.25	0
NegControl_MH2-kraken2_refseqV208_nt-0.40	0
NegControl_MH2-kraken2_refseqV208_nt-0.45	0
NegControl_MH2-kraken2_refseqV208_nt-0.60	0
NegControl_MH2-kraken2_refseqV208_nt-0.55	0
NegControl_MH2-kraken2_refseqV208_nt-0.50	0
NegControl_MH2-kraken2_refseqV208_nt-0.65	0
NegControl_MH2-kraken2_refseqV208_nt-0.70	0
NegControl_MH2-kraken2_refseqV208_nt-0.75	0
NegControl_MH2-kraken2_refseqV208_nt-0.80	0
NegControl_MH2-kraken2_refseqV208_nt-0.85	0
NegControl_MH2-kraken2_refseqV208_nt-0.90	0
NegControl_MH2-kraken2_refseqV208_nt-0.15	12.5
NegControl_MH2-kraken2_refseqV208_nt-0.10	292.0
ani97_cHIGH_stTrue_r6-kraken2_refseqV208_nt-0.95	1981.0
ani97_cHIGH_stTrue_r6-kraken2_refseqV208_nt-0.50	2987.0
ani97_cHIGH_stTrue_r6-kraken2_refseqV208_nt-0.60	2735.0
ani97_cHIGH_stTrue_r6-kraken2_refseqV208_nt-0.85	2192.0
ani97_cHIGH_stTrue_r6-kraken2_refseqV208_nt-0.90	2102.0
ani97_cHIGH_stTrue_r6-kraken2_refseqV208_nt-0.25	4134.0
ani97_cHIGH_stTrue_r6-kraken2_refseqV208_nt-0.20	4495.0
ani97_cHIGH_stTrue_r6-kraken2_refseqV208_nt-0.15	5111.0
ani97_cHIGH_stTrue_r6-kraken2_refseqV208_nt-0.35	3520.0
ani97_cHIGH_stTrue_r6-kraken2_refseqV208_nt-0.05	10064.0
ani97_cHIGH_stTrue_r6-kraken2_refseqV208_nt-0.10	6243.0
ani97_cHIGH_stTrue_r6-kraken2_refseqV208_nt-0.55	2855.0
ani97_cHIGH_stTrue_r6-kraken2_refseqV208_nt-0.75	2383.0
ani97_cHIGH_stTrue_r6-kraken2_refseqV208_nt-0.65	2636.0
ani97_cHIGH_stTrue_r6-kraken2_refseqV208_nt-1.00	1809.0
ani97_cHIGH_stTrue_r6-kraken2_refseqV208_nt-0.80	2274.0
ani97_cHIGH_stTrue_r6-kraken2_refseqV208_nt-0.30	3794.0
ani97_cHIGH_stTrue_r6-kraken2_refseqV208_nt-0.45	3110.0
NegControl_MH2-kraken2_refseqV208_nt-0.00	17378.0
NegControl_MH2-kraken2_refseqV208_nt-0.05	13193.0
ani97_cHIGH_stTrue_r6-kraken2_refseqV208_nt-0.70	2492.0
ani97_cHIGH_stTrue_r6-kraken2_refseqV208_nt-0.00	22418.0
ani97_cHIGH_stTrue_r6-kraken2_refseqV208_nt-0.40	3290.0
NegControl_MH2-kraken2_refseqV208_nt-0.95	0
NegControl_MH2-kraken2_refseqV208_nt-1.00	0
NA12878_NegControl_SL126488_0-kraken2_refseqV208_nt-1.00	471.0
NA12878_NegControl_SL126488_0-kraken2_refseqV208_nt-0.85	646.0
NA12878_NegControl_SL126488_0-kraken2_refseqV208_nt-0.40	1211.0
RM1_S002__insert_5000-kraken2_refseqV208_nt-0.25	1959.0
RM1_S002__insert_5000-kraken2_refseqV208_nt-0.20	2547.0
RM1_S002__insert_5000-kraken2_refseqV208_nt-0.30	1531.0
NA12878_NegControl_SL126488_0-kraken2_refseqV208_nt-0.80	683.0
NA12878_NegControl_SL126488_0-kraken2_refseqV208_nt-0.65	827.0
NA12878_NegControl_SL126488_0-kraken2_refseqV208_nt-0.30	1580.0
NA12878_NegControl_SL126488_0-kraken2_refseqV208_nt-0.60	877.0
NA12878_NegControl_SL126488_0-kraken2_refseqV208_nt-0.15	3247.0
NA12878_NegControl_SL126488_0-kraken2_refseqV208_nt-0.70	780.0
NA12878_NegControl_SL126488_0-kraken2_refseqV208_nt-0.55	957.0
NA12878_NegControl_SL126488_0-kraken2_refseqV208_nt-0.35	1313.0
RM1_S002__insert_5000-kraken2_refseqV208_nt-0.55	804.0
NA12878_NegControl_SL126488_0-kraken2_refseqV208_nt-0.95	554.0
NA12878_NegControl_SL126488_0-kraken2_refseqV208_nt-0.20	2097.0
NA12878_NegControl_SL126488_0-kraken2_refseqV208_nt-0.25	1764.0
RM1_S002__insert_5000-kraken2_refseqV208_nt-0.35	1300.0
RM1_S002__insert_5000-kraken2_refseqV208_nt-0.70	560.0
RM1_S002__insert_5000-kraken2_refseqV208_nt-0.45	983.0
NA12878_NegControl_SL126488_0-kraken2_refseqV208_nt-0.75	734.0
NA12878_NegControl_SL126488_0-kraken2_refseqV208_nt-0.90	613.0
NA12878_NegControl_SL126488_0-kraken2_refseqV208_nt-0.00	20226.0
NA12878_NegControl_SL126488_0-kraken2_refseqV208_nt-0.10	4800.0
RM1_S002__insert_5000-kraken2_refseqV208_nt-0.60	686.0
NA12878_NegControl_SL126488_0-kraken2_refseqV208_nt-0.45	1125.0
RM1_S002__insert_5000-kraken2_refseqV208_nt-0.15	4011.0
NA12878_NegControl_SL126488_0-kraken2_refseqV208_nt-0.50	1030.0
RM1_S002__insert_5000-kraken2_refseqV208_nt-0.80	464.0
RM1_S002__insert_5000-kraken2_refseqV208_nt-0.10	7026.0
NA12878_NegControl_SL126488_0-kraken2_refseqV208_nt-0.05	16125.0
RM1_S002__insert_5000-kraken2_refseqV208_nt-0.05	14722.0
RM1_S002__insert_5000-kraken2_refseqV208_nt-0.50	904.0
RM1_S002__insert_5000-kraken2_refseqV208_nt-0.00	45837.0
RM1_S002__insert_5000-kraken2_refseqV208_nt-0.40	1132.0
RM1_S002__insert_5000-kraken2_refseqV208_nt-0.65	618.0
RM1_S002__insert_5000-kraken2_refseqV208_nt-0.75	499.0
ani100_cHIGH_stTrue_r8-kraken2_refseqV208_nt-1.00	1399.0
ani100_cHIGH_stTrue_r8-kraken2_refseqV208_nt-0.85	1710.0
RM1_S002__insert_5000-kraken2_refseqV208_nt-0.90	374.5
ani100_cHIGH_stTrue_r8-kraken2_refseqV208_nt-0.90	1610.0
ani100_cHIGH_stTrue_r8-kraken2_refseqV208_nt-0.95	1500.0
ani100_cHIGH_stTrue_r8-kraken2_refseqV208_nt-0.75	1937.0
ani100_cHIGH_stTrue_r8-kraken2_refseqV208_nt-0.60	2283.0
ani100_cHIGH_stTrue_r8-kraken2_refseqV208_nt-0.80	1816.0
ani99_cHIGH_stFalse_r5-kraken2_refseqV208_nt-0.10	6092.0
ani100_cHIGH_stTrue_r8-kraken2_refseqV208_nt-0.40	2847.0
ani100_cHIGH_stTrue_r8-kraken2_refseqV208_nt-0.50	2551.0
ani100_cHIGH_stTrue_r8-kraken2_refseqV208_nt-0.45	2662.0
ani100_cHIGH_stTrue_r8-kraken2_refseqV208_nt-0.35	3081.0
ani100_cHIGH_stTrue_r8-kraken2_refseqV208_nt-0.55	2405.0
RM1_S002__insert_5000-kraken2_refseqV208_nt-0.85	403.5
ani99_cHIGH_stFalse_r5-kraken2_refseqV208_nt-0.25	3380.0
ani99_cHIGH_stFalse_r5-kraken2_refseqV208_nt-0.30	3028.0
ani100_cHIGH_stTrue_r8-kraken2_refseqV208_nt-0.30	3340.0
ani100_cHIGH_stTrue_r8-kraken2_refseqV208_nt-0.65	2153.0
RM1_S002__insert_5000-kraken2_refseqV208_nt-1.00	298.5
ani100_cHIGH_stTrue_r8-kraken2_refseqV208_nt-0.05	11925.0
ani99_cHIGH_stFalse_r5-kraken2_refseqV208_nt-0.35	2819.0
ani99_cHIGH_stFalse_r5-kraken2_refseqV208_nt-0.40	2639.0
ani99_cHIGH_stFalse_r5-kraken2_refseqV208_nt-0.70	1970.0
ani100_cHIGH_stTrue_r8-kraken2_refseqV208_nt-0.70	2038.0
ani99_cHIGH_stFalse_r5-kraken2_refseqV208_nt-0.60	2183.0
ani99_cHIGH_stFalse_r5-kraken2_refseqV208_nt-0.20	3770.0
RM1_S002__insert_5000-kraken2_refseqV208_nt-0.95	339.5
ani99_cHIGH_stFalse_r5-kraken2_refseqV208_nt-0.15	4631.0
ani99_cHIGH_stFalse_r5-kraken2_refseqV208_nt-0.45	2491.0
ani100_cHIGH_stTrue_r8-kraken2_refseqV208_nt-0.10	7151.0
ani99_cHIGH_stFalse_r5-kraken2_refseqV208_nt-0.05	10075.0
ani99_cHIGH_stFalse_r5-kraken2_refseqV208_nt-0.55	2295.0
ani99_cHIGH_stFalse_r5-kraken2_refseqV208_nt-0.50	2388.0
ani100_cHIGH_stTrue_r8-kraken2_refseqV208_nt-0.00	23983.0
ani100_cHIGH_stTrue_r8-kraken2_refseqV208_nt-0.20	4227.0
ani100_cHIGH_stTrue_r8-kraken2_refseqV208_nt-0.15	5236.0
ani99_cHIGH_stFalse_r5-kraken2_refseqV208_nt-0.00	21141.0
ani99_cHIGH_stFalse_r5-kraken2_refseqV208_nt-0.65	2053.0
ani100_cHIGH_stTrue_r8-kraken2_refseqV208_nt-0.25	3766.0
ani97_cLOW_stTrue_r4-kraken2_refseqV208_nt-0.75	834.0
