Sample name	Number of taxa
ani99_cLOW_stFalse_r3-kraken2_refseqV205_minimizers-100000minimizer	138.0
NA12878_NegControl_SL126487_0-kraken2_refseqV205_minimizers-100000minimizer	2551.0
ani99_cLOW_stFalse_r8-kraken2_refseqV205_minimizers-100000minimizer	100.0
ani97_cHIGH_stTrue_r5-kraken2_refseqV205_minimizers-100000minimizer	324.0
ani95_cLOW_stTrue_r2-kraken2_refseqV205_minimizers-100000minimizer	123.0
ani95_cLOW_stTrue_r9-kraken2_refseqV205_minimizers-100000minimizer	230.0
ani99_cHIGH_stFalse_r0-kraken2_refseqV205_minimizers-100000minimizer	507.0
ani97_cHIGH_stFalse_r4-kraken2_refseqV205_minimizers-100000minimizer	247.0
RM1_S002__insert_5000-kraken2_refseqV205_minimizers-100000minimizer	1988.0
NA12878_NegControl_SL126486_0-kraken2_refseqV205_minimizers-100000minimizer	2344.0
ani100_cHIGH_stFalse_r6-kraken2_refseqV205_minimizers-100000minimizer	1879.0
ani100_cHIGH_stTrue_r1-kraken2_refseqV205_minimizers-100000minimizer	1417.0
Huttenhower_LC5-kraken2_refseqV205_minimizers-100000minimizer	260.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205_minimizers-100000minimizer	195.0
ani99_cHIGH_stTrue_r3-kraken2_refseqV205_minimizers-100000minimizer	310.0
ani99_cHIGH_stTrue_r8-kraken2_refseqV205_minimizers-100000minimizer	270.0
ani97_cLOW_stFalse_r5-kraken2_refseqV205_minimizers-100000minimizer	180.0
ani100_cLOW_stFalse_r1-kraken2_refseqV205_minimizers-100000minimizer	424.0
ani99_cLOW_stTrue_r7-kraken2_refseqV205_minimizers-100000minimizer	131.0
ani100_cLOW_stTrue_r4-kraken2_refseqV205_minimizers-100000minimizer	91.0
ani97_cLOW_stTrue_r8-kraken2_refseqV205_minimizers-100000minimizer	127.0
ani97_cLOW_stTrue_r3-kraken2_refseqV205_minimizers-100000minimizer	95.0
ani100_cLOW_stFalse_r0-kraken2_refseqV205_minimizers-100000minimizer	1482.0
ani97_cLOW_stTrue_r2-kraken2_refseqV205_minimizers-100000minimizer	143.0
