Sample name	Faith's phylogenetic diversity
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.35	337.5
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.10	736.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.45	322.5
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.15	608.5
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.25	410.5
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.20	523.5
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.55	302.5
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.85	0.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.70	221.5
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.50	316.5
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.30	440.5
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.90	0.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.60	297.5
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.65	283.5
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.15	556.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.40	331.5
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.30	356.5
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.85	0.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.60	357.5
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.35	425.5
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.00	10332.0
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.50	387.5
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.55	363.5
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.40	417.5
ani100_cLOW_stFalse_r6-kraken2_refseqV205_500GB-0.10	843.0
ani100_cLOW_stTrue_r9-kraken2_refseqV205_500GB-0.75	108.5
