Sample name	Chao1 richness
ani100_cLOW_stFalse_r0-kraken2_standard_0521-0.85	181.11111111111111
ani100_cLOW_stFalse_r0-kraken2_standard_0521-0.95	149.6
ani100_cLOW_stFalse_r0-kraken2_standard_0521-0.90	166.25
Huttenhower_HC2-kraken2_standard_0521-0.05	3933.7523584905657
Huttenhower_HC2-kraken2_standard_0521-0.15	1845.2413793103449
Huttenhower_HC2-kraken2_standard_0521-0.25	997.0277777777778
Huttenhower_HC2-kraken2_standard_0521-0.10	2713.670781893004
Huttenhower_HC2-kraken2_standard_0521-0.00	4393.908765652952
Huttenhower_HC2-kraken2_standard_0521-0.70	130.6
Huttenhower_HC2-kraken2_standard_0521-0.65	150.5
Huttenhower_HC2-kraken2_standard_0521-0.50	207.42857142857142
Huttenhower_HC2-kraken2_standard_0521-0.45	245.4
Huttenhower_HC2-kraken2_standard_0521-0.60	159.125
Huttenhower_HC2-kraken2_standard_0521-0.30	521.4444444444445
Huttenhower_HC2-kraken2_standard_0521-0.75	123.0
Huttenhower_HC2-kraken2_standard_0521-0.40	312.5
Huttenhower_HC2-kraken2_standard_0521-0.55	165.07692307692307
Huttenhower_HC2-kraken2_standard_0521-0.35	347.54545454545456
Huttenhower_HC2-kraken2_standard_0521-0.90	111.0
Huttenhower_HC2-kraken2_standard_0521-0.85	109.5
Huttenhower_HC2-kraken2_standard_0521-1.00	106.0
Huttenhower_HC2-kraken2_standard_0521-0.95	107.0
Huttenhower_HC2-kraken2_standard_0521-0.80	112.5
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.20	982.327868852459
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.15	1384.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.10	2234.079268292683
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.05	4100.555555555556
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.00	6419.2265625
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.45	531.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.70	378.8666666666667
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.55	457.5416666666667
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.40	584.7741935483871
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.25	835.9
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.60	443.3157894736842
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.50	526.3157894736842
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.65	399.5
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.35	617.0857142857143
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.30	709.8372093023256
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.85	295.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.80	314.0
ani100_cLOW_stTrue_r5-kraken2_standard_0521-1.00	230.25
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.75	342.27272727272725
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.95	252.66666666666666
ani100_cLOW_stTrue_r5-kraken2_standard_0521-0.90	274.6666666666667
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.15	3217.544
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.10	4246.574257425743
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.05	5833.360360360361
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.00	6965.822222222222
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.45	1461.887640449438
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.60	1154.603448275862
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.50	1321.5903614457832
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.40	1557.578947368421
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.55	1229.4366197183099
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.35	1751.1909090909091
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.20	2669.75
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.30	1984.4809160305344
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.65	1059.8
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.25	2278.292517006803
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.80	892.52
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.90	796.5882352941177
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-1.00	703.6521739130435
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.75	976.9024390243902
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.70	997.125
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.85	844.2162162162163
ani100_cHIGH_stTrue_r0-kraken2_standard_0521-0.95	752.3703703703703
