,Simpson's diversity,Shannon diversity,Faith's phylogenetic diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness
ZymoMock,0.880978,3.134871253659132,57.5,10.0,0.37891025255773364,0.9436902798961477,0.840180806909647
BioPool,0.884,3.1622921890824145,57.5,10.0,0.3740690091987618,0.9519448039677207,0.8620689655172414
HMP_even_illum_SRR172902,0.9545454545454546,4.459431618637296,111.5,22.0,0.2694214244481784,0.9999999999999997,1.0
HMP_even_454_SRR072233,0.9545454545454546,4.459431618637296,111.5,22.0,0.2694214244481784,0.9999999999999997,1.0
ABRF_MGRG_10ng,0.7999999999999999,2.3219280948873626,32.5,5.0,0.46574643283262235,1.0000000000000002,0.9999999999999998
ABRF_MGRG_classIplus,0.8925619834710744,3.277613436819116,58.5,10.0,0.3599993575401814,0.9866599586738648,0.9307692307692307
ABRF_MGRG_5ng,0.7999999999999999,2.3219280948873626,32.5,5.0,0.46574643283262235,1.0000000000000002,0.9999999999999998
ABRF_MGRG_1ng,0.7999999999999999,2.3219280948873626,32.5,5.0,0.46574643283262235,1.0000000000000002,0.9999999999999998
ABRF_MGRG_Half,0.7999999999999999,2.3219280948873626,32.5,5.0,0.46574643283262235,1.0000000000000002,0.9999999999999998
ABRF_MGRG_Normal,0.7999999999999999,2.3219280948873626,32.5,5.0,0.46574643283262235,1.0000000000000002,0.9999999999999998
JGI_SRR033549,0.88,3.121928094887363,56.5,9.0,0.37635496474749075,0.9848586617875466,0.9259259259259258
JGI_SRR033548,0.88,3.121928094887363,56.5,9.0,0.37635496474749075,0.9848586617875466,0.9259259259259258
