Sample name,Proportion classified,Precision taxa,Recall taxa,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Weighted unifrac distance relative abundance,Unweighted unifrac distance relative abundance,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Faith's phylogenetic diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness
ABRF_MGRG_10ng-kraken2_refseqV205-0.00,1.000000000000022,0.0005685694791903571,1.0,0.0011364927832708265,101.87789487002071,169.34834309551766,2.2337082223525853,523.0,0.05797101449275361,0.5093894743501087,0.8056409762649924,3.286160410282399,34.5,8794.0,0.005071161123703995,0.2508078316704374,0.0005850713471020047
ABRF_MGRG_10ng-kraken2_refseqV205-0.05,1.0000000000000004,0.0016926201760324984,1.0,0.0033795201081446434,91.76339035864224,141.32876232112912,1.8100499761392044,495.0,0.02985074626865672,0.4588169517932088,0.7800285449066012,2.7248778295950857,33.5,2954.0,0.016436245775937358,0.2363610769852229,0.001538945292073301
ABRF_MGRG_10ng-kraken2_refseqV205-0.10,1.0,0.0036153289949385392,1.0,0.007204610951008645,78.17581344634081,118.5400902863906,1.5641505511952338,462.0,0.02985074626865672,0.3908790672317045,0.8000206985395804,2.7012765360939026,33.5,1383.0,0.0348675940597329,0.25890203816608964,0.0036157031938168797
ABRF_MGRG_10ng-kraken2_refseqV205-0.15,0.9999999999999992,0.006443298969072165,1.0,0.012804097311139564,54.77854989321313,103.17030873854436,1.3916688714061518,363.5,0.02985074626865672,0.2738927494660661,0.7675692807018477,2.5530509443240432,33.5,776.0,0.07136313907247062,0.2659452212008195,0.005544274860507551
ABRF_MGRG_10ng-kraken2_refseqV205-0.20,0.9999999999999992,0.011389521640091115,1.0,0.022522522522522518,57.03325507948003,82.00326206965633,1.5059129195705758,379.0,0.02985074626865672,0.2851662753974002,0.7443231893309123,2.413561656921745,33.5,439.0,0.14931314426185496,0.2749533435746309,0.008909311415677912
ABRF_MGRG_10ng-kraken2_refseqV205-0.25,1.000000000000001,0.01858736059479554,1.0,0.036496350364963515,58.399667036502684,64.39290110592853,1.6206206641358951,403.5,0.02985074626865672,0.2919983351825132,0.7251553699343039,2.2949280774967464,33.5,269.0,0.3105862035873476,0.2843261820984111,0.01352572221647743
ABRF_MGRG_10ng-kraken2_refseqV205-0.30,1.0000000000000009,0.03164556962025317,1.0,0.06134969325153375,60.1056911919878,46.15420365694763,1.8183920604749544,417.5,0.02985074626865672,0.3005284559599389,0.704021831282295,2.188123663666317,33.5,158.0,0.9321966063928578,0.2995878078914725,0.021383718777201938
ABRF_MGRG_10ng-kraken2_refseqV205-0.35,0.9999999999999994,0.04201680672268908,1.0,0.08064516129032258,58.99059466036207,36.98604807472071,1.8685349314108568,412.0,0.0,0.29495297330181025,0.6993948452450139,2.141828103789151,32.5,119.0,2.6078768377343877,0.3106431782994016,0.027954814518690276
ABRF_MGRG_10ng-kraken2_refseqV205-0.40,1.0000000000000009,0.054945054945054944,1.0,0.10416666666666666,59.05270012222931,32.6041374401888,2.0570967045639343,413.0,0.0,0.29526350061114665,0.69582619371118,2.1181568806078115,32.5,91.0,4.001143299034863,0.32547998173205106,0.03612740729744714
ABRF_MGRG_10ng-kraken2_refseqV205-0.45,1.0000000000000009,0.06666666666666668,1.0,0.125,59.853682331138074,29.449325128483185,2.121557546179289,415.5,0.0,0.29926841165569035,0.6971408780093273,2.078358619416537,32.5,75.0,2.009507807036913,0.3336681837581433,0.04402486953569115
ABRF_MGRG_10ng-kraken2_refseqV205-0.50,1.0000000000000002,0.07575757575757576,1.0,0.14084507042253522,60.500790276022244,26.694140695591177,2.0948674140103725,417.5,0.02985074626865672,0.3025039513801112,0.7067475740164921,2.086500566749757,33.5,66.0,1.5077382465226474,0.3451959825166424,0.05166714341987149
ABRF_MGRG_10ng-kraken2_refseqV205-0.55,1.0000000000000002,0.0925925925925926,1.0,0.1694915254237288,60.432772211050136,23.11457916882703,2.0817893981489983,409.0,0.0,0.3021638610552507,0.7097017667247785,2.0459062730789133,32.5,54.0,1.1328590960679363,0.3555076050243873,0.0637913579755126
ABRF_MGRG_10ng-kraken2_refseqV205-0.60,1.0000000000000002,0.11904761904761905,1.0,0.21276595744680848,61.333146922884275,21.075148933067887,2.0468812917883823,399.0,0.0,0.30666573461442115,0.7151435640465156,2.0601229500457734,32.5,42.0,0.8993284704527309,0.3820477892015775,0.08358429301352273
ABRF_MGRG_10ng-kraken2_refseqV205-0.65,1.0000000000000002,0.125,1.0,0.2222222222222222,63.78752588965786,20.378270814916448,2.2591016189920907,416.5,0.0,0.31893762944828924,0.7092584289311449,2.0105448603831233,32.5,40.0,0.8793456994980293,0.3777850479255067,0.0859870155756961
ABRF_MGRG_10ng-kraken2_refseqV205-0.70,0.9999999999999996,0.13157894736842105,1.0,0.2325581395348837,65.75041929016206,20.39577459822645,2.3185189685089953,434.0,0.0,0.32875209645081044,0.7065151819239305,2.002375921634133,32.5,38.0,0.8559282245036213,0.3815555600767462,0.08966661255664446
ABRF_MGRG_10ng-kraken2_refseqV205-0.75,1.0000000000000009,0.1388888888888889,1.0,0.2439024390243903,68.71357153317018,19.926730842531306,2.4836720746634953,440.0,0.0,0.3435678576658508,0.7001947014651368,1.98550349961278,32.5,36.0,0.8389089976987171,0.3840488012996052,0.09265272466339552
ABRF_MGRG_10ng-kraken2_refseqV205-0.80,1.0,0.1724137931034483,1.0,0.29411764705882354,71.55269598461055,16.026187089073186,2.6230243111460108,447.5,0.0,0.3577634799230527,0.6924992216266576,1.9583431476440596,32.5,29.0,0.7681055553967037,0.4031187338131265,0.11213876856865544
ABRF_MGRG_10ng-kraken2_refseqV205-0.85,0.9999999999999996,0.2,1.0,0.33333333333333337,72.67968106230298,14.84999506215102,2.547431941178712,453.5,0.0,0.3633984053115149,0.6819125090498699,1.8924743808706743,32.5,25.0,0.7405583761829361,0.4075221762977288,0.12575156564792808
ABRF_MGRG_10ng-kraken2_refseqV205-0.90,0.9999999999999996,0.25,1.0,0.4,76.00856761992851,13.783758109711766,2.6833195711992444,465.5,0.0,0.38004283809964257,0.6692246658880028,1.8519885277881591,32.5,20.0,0.7090120423223083,0.4285097963519973,0.15116000149839018
ABRF_MGRG_10ng-kraken2_refseqV205-0.95,1.0,0.29411764705882354,1.0,0.4545454545454545,77.0087324277465,12.158042860093351,2.7417517975268484,456.5,0.0,0.3850436621387324,0.6620454515629965,1.8385226367846537,32.5,17.0,0.6912864143945922,0.44979555978599584,0.17405751656196378
ABRF_MGRG_10ng-kraken2_refseqV205-1.00,1.0000000000000002,0.3333333333333333,1.0,0.5,64.32546535499573,11.44721895863804,2.2376564753026766,414.5,0.0,0.3216273267749786,0.6689991288931512,1.902041822400976,32.5,15.0,0.6683523268477226,0.4868428679674157,0.20140933902601815
