Sample name	Simpson's diversity
mouse_sample_38-kraken2_refseqV205_100GB-0.60	nan
mouse_sample_38-kraken2_refseqV205_100GB-0.70	nan
mouse_sample_38-kraken2_refseqV205_100GB-0.75	nan
mouse_sample_38-kraken2_refseqV205_100GB-0.85	nan
mouse_sample_38-kraken2_refseqV205_100GB-0.65	nan
mouse_sample_38-kraken2_refseqV205_100GB-0.90	nan
mouse_sample_38-kraken2_refseqV205_100GB-1.00	nan
mouse_sample_38-kraken2_refseqV205_100GB-0.95	nan
plant_sample_2-kraken2_refseqV205_100GB-0.10	0.7072941535855566
plant_sample_2-kraken2_refseqV205_100GB-0.05	0.726911867482245
plant_sample_2-kraken2_refseqV205_100GB-0.00	0.7194576583716012
plant_sample_2-kraken2_refseqV205_100GB-0.15	0.6886814536547372
plant_sample_2-kraken2_refseqV205_100GB-0.30	0.6152150303539881
plant_sample_2-kraken2_refseqV205_100GB-0.20	0.6699883708791217
plant_sample_2-kraken2_refseqV205_100GB-0.25	0.65714221068319
plant_sample_2-kraken2_refseqV205_100GB-0.35	0.6537396121883656
plant_sample_2-kraken2_refseqV205_100GB-0.40	0.0
plant_sample_2-kraken2_refseqV205_100GB-0.45	nan
plant_sample_2-kraken2_refseqV205_100GB-0.70	nan
plant_sample_2-kraken2_refseqV205_100GB-0.60	nan
plant_sample_2-kraken2_refseqV205_100GB-0.65	nan
plant_sample_2-kraken2_refseqV205_100GB-0.55	nan
plant_sample_2-kraken2_refseqV205_100GB-0.50	nan
plant_sample_2-kraken2_refseqV205_100GB-0.75	nan
plant_sample_2-kraken2_refseqV205_100GB-0.85	nan
plant_sample_2-kraken2_refseqV205_100GB-0.80	nan
plant_sample_2-kraken2_refseqV205_100GB-0.90	nan
plant_sample_2-kraken2_refseqV205_100GB-0.95	nan
plant_sample_2-kraken2_refseqV205_100GB-1.00	nan
strain_sample_33-kraken2_refseqV205_100GB-0.20	0.7038730283443926
strain_sample_33-kraken2_refseqV205_100GB-0.10	0.7344040043685106
strain_sample_33-kraken2_refseqV205_100GB-0.25	0.5791067250706181
strain_sample_33-kraken2_refseqV205_100GB-0.05	0.7592385852859542
strain_sample_33-kraken2_refseqV205_100GB-0.15	0.7210246396666239
strain_sample_33-kraken2_refseqV205_100GB-0.00	0.7714002690091333
strain_sample_33-kraken2_refseqV205_100GB-0.35	nan
strain_sample_33-kraken2_refseqV205_100GB-0.30	0.1280972633136095
strain_sample_33-kraken2_refseqV205_100GB-0.50	nan
strain_sample_33-kraken2_refseqV205_100GB-0.55	nan
strain_sample_33-kraken2_refseqV205_100GB-0.40	nan
strain_sample_33-kraken2_refseqV205_100GB-0.45	nan
strain_sample_33-kraken2_refseqV205_100GB-0.70	nan
strain_sample_33-kraken2_refseqV205_100GB-0.80	nan
strain_sample_33-kraken2_refseqV205_100GB-0.75	nan
strain_sample_33-kraken2_refseqV205_100GB-0.65	nan
strain_sample_33-kraken2_refseqV205_100GB-0.60	nan
strain_sample_33-kraken2_refseqV205_100GB-0.85	nan
strain_sample_33-kraken2_refseqV205_100GB-1.00	nan
strain_sample_33-kraken2_refseqV205_100GB-0.95	nan
mouse_sample_9-kraken2_refseqV205_100GB-0.10	0.7245055117289132
strain_sample_33-kraken2_refseqV205_100GB-0.90	nan
mouse_sample_9-kraken2_refseqV205_100GB-0.05	0.7300474721464042
mouse_sample_9-kraken2_refseqV205_100GB-0.00	0.6448254225243555
mouse_sample_9-kraken2_refseqV205_100GB-0.35	0.3217178027673654
mouse_sample_9-kraken2_refseqV205_100GB-0.30	0.6257819254437269
mouse_sample_9-kraken2_refseqV205_100GB-0.40	0.48
mouse_sample_9-kraken2_refseqV205_100GB-0.25	0.7007150723902205
mouse_sample_9-kraken2_refseqV205_100GB-0.15	0.7167760772557805
mouse_sample_9-kraken2_refseqV205_100GB-0.20	0.7156450347520928
mouse_sample_9-kraken2_refseqV205_100GB-0.60	nan
mouse_sample_9-kraken2_refseqV205_100GB-0.65	nan
mouse_sample_9-kraken2_refseqV205_100GB-0.70	nan
mouse_sample_9-kraken2_refseqV205_100GB-0.50	nan
mouse_sample_9-kraken2_refseqV205_100GB-0.55	nan
mouse_sample_9-kraken2_refseqV205_100GB-0.45	nan
mouse_sample_9-kraken2_refseqV205_100GB-0.90	nan
mouse_sample_9-kraken2_refseqV205_100GB-0.95	nan
mouse_sample_9-kraken2_refseqV205_100GB-1.00	nan
mouse_sample_9-kraken2_refseqV205_100GB-0.85	nan
mouse_sample_9-kraken2_refseqV205_100GB-0.75	nan
mouse_sample_9-kraken2_refseqV205_100GB-0.80	nan
mouse_sample_14-kraken2_refseqV205_100GB-0.10	0.7787149102949888
mouse_sample_14-kraken2_refseqV205_100GB-0.20	0.7850521265574297
mouse_sample_14-kraken2_refseqV205_100GB-0.15	0.7846641506208221
mouse_sample_14-kraken2_refseqV205_100GB-0.25	0.772523107213984
mouse_sample_14-kraken2_refseqV205_100GB-0.05	0.7794981100210979
mouse_sample_14-kraken2_refseqV205_100GB-0.00	0.6969647255462408
mouse_sample_14-kraken2_refseqV205_100GB-0.30	0.6888690106634425
mouse_sample_14-kraken2_refseqV205_100GB-0.45	nan
mouse_sample_14-kraken2_refseqV205_100GB-0.35	0.7278393351800554
mouse_sample_14-kraken2_refseqV205_100GB-0.40	0.0
mouse_sample_14-kraken2_refseqV205_100GB-0.50	nan
mouse_sample_14-kraken2_refseqV205_100GB-0.55	nan
mouse_sample_14-kraken2_refseqV205_100GB-0.65	nan
mouse_sample_14-kraken2_refseqV205_100GB-0.60	nan
mouse_sample_14-kraken2_refseqV205_100GB-0.80	nan
mouse_sample_14-kraken2_refseqV205_100GB-0.70	nan
mouse_sample_14-kraken2_refseqV205_100GB-0.85	nan
mouse_sample_14-kraken2_refseqV205_100GB-0.75	nan
strain_sample_29-kraken2_refseqV205_100GB-0.10	0.5917874540926507
mouse_sample_14-kraken2_refseqV205_100GB-0.90	nan
mouse_sample_14-kraken2_refseqV205_100GB-1.00	nan
strain_sample_29-kraken2_refseqV205_100GB-0.05	0.6225107953617663
mouse_sample_14-kraken2_refseqV205_100GB-0.95	nan
strain_sample_29-kraken2_refseqV205_100GB-0.00	0.7004466738682241
strain_sample_29-kraken2_refseqV205_100GB-0.20	0.4334248626836772
strain_sample_29-kraken2_refseqV205_100GB-0.25	0.34092164316492346
strain_sample_29-kraken2_refseqV205_100GB-0.30	0.03565024900170133
strain_sample_29-kraken2_refseqV205_100GB-0.35	nan
strain_sample_29-kraken2_refseqV205_100GB-0.40	nan
strain_sample_29-kraken2_refseqV205_100GB-0.15	0.5209833761992881
strain_sample_29-kraken2_refseqV205_100GB-0.70	nan
strain_sample_29-kraken2_refseqV205_100GB-0.45	nan
strain_sample_29-kraken2_refseqV205_100GB-0.65	nan
strain_sample_29-kraken2_refseqV205_100GB-0.60	nan
strain_sample_29-kraken2_refseqV205_100GB-0.55	nan
strain_sample_29-kraken2_refseqV205_100GB-0.50	nan
strain_sample_29-kraken2_refseqV205_100GB-0.75	nan
strain_sample_29-kraken2_refseqV205_100GB-0.80	nan
strain_sample_29-kraken2_refseqV205_100GB-1.00	nan
strain_sample_29-kraken2_refseqV205_100GB-0.95	nan
strain_sample_29-kraken2_refseqV205_100GB-0.85	nan
strain_sample_29-kraken2_refseqV205_100GB-0.90	nan
mouse_sample_62-kraken2_refseqV205_100GB-0.10	0.8971020614633586
mouse_sample_62-kraken2_refseqV205_100GB-0.20	0.901675056025675
mouse_sample_62-kraken2_refseqV205_100GB-0.25	0.9047673868957324
mouse_sample_62-kraken2_refseqV205_100GB-0.05	0.8979792548900013
mouse_sample_62-kraken2_refseqV205_100GB-0.15	0.8968487673074343
mouse_sample_62-kraken2_refseqV205_100GB-0.00	0.6998700927323178
mouse_sample_62-kraken2_refseqV205_100GB-0.40	0.0
mouse_sample_62-kraken2_refseqV205_100GB-0.30	0.8914192359984211
mouse_sample_62-kraken2_refseqV205_100GB-0.35	0.6547783933518005
mouse_sample_62-kraken2_refseqV205_100GB-0.45	nan
mouse_sample_62-kraken2_refseqV205_100GB-0.55	nan
mouse_sample_62-kraken2_refseqV205_100GB-0.50	nan
mouse_sample_62-kraken2_refseqV205_100GB-0.65	nan
mouse_sample_62-kraken2_refseqV205_100GB-0.60	nan
mouse_sample_62-kraken2_refseqV205_100GB-0.70	nan
mouse_sample_62-kraken2_refseqV205_100GB-0.75	nan
mouse_sample_62-kraken2_refseqV205_100GB-0.85	nan
mouse_sample_62-kraken2_refseqV205_100GB-0.80	nan
mouse_sample_62-kraken2_refseqV205_100GB-1.00	nan
mouse_sample_62-kraken2_refseqV205_100GB-0.90	nan
mouse_sample_62-kraken2_refseqV205_100GB-0.95	nan
strain_sample_45-kraken2_refseqV205_100GB-0.10	0.4751054117680211
strain_sample_45-kraken2_refseqV205_100GB-0.05	0.49913805951766776
strain_sample_45-kraken2_refseqV205_100GB-0.00	0.6098951243524482
strain_sample_45-kraken2_refseqV205_100GB-0.20	0.2654568717561476
strain_sample_45-kraken2_refseqV205_100GB-0.15	0.41905257356301084
strain_sample_45-kraken2_refseqV205_100GB-0.30	0.6555692307692308
strain_sample_45-kraken2_refseqV205_100GB-0.35	0.03998334027488548
strain_sample_45-kraken2_refseqV205_100GB-0.25	0.2323022355323564
strain_sample_45-kraken2_refseqV205_100GB-0.40	nan
strain_sample_45-kraken2_refseqV205_100GB-0.50	nan
strain_sample_45-kraken2_refseqV205_100GB-0.70	nan
strain_sample_45-kraken2_refseqV205_100GB-0.55	nan
strain_sample_45-kraken2_refseqV205_100GB-0.65	nan
strain_sample_45-kraken2_refseqV205_100GB-0.45	nan
strain_sample_45-kraken2_refseqV205_100GB-0.60	nan
strain_sample_45-kraken2_refseqV205_100GB-0.95	nan
strain_sample_45-kraken2_refseqV205_100GB-1.00	nan
strain_sample_45-kraken2_refseqV205_100GB-0.75	nan
strain_sample_45-kraken2_refseqV205_100GB-0.90	nan
strain_sample_45-kraken2_refseqV205_100GB-0.85	nan
strain_sample_45-kraken2_refseqV205_100GB-0.80	nan
strain_sample_73-kraken2_refseqV205_100GB-0.15	0.7111463408316261
strain_sample_73-kraken2_refseqV205_100GB-0.25	0.6681601261359943
strain_sample_73-kraken2_refseqV205_100GB-0.10	0.75136553022081
