Sample name	F1 score reads
mouse_sample_16-kraken2_refseqV205_500GB-0.00	0.2419808360098183
mouse_sample_16-kraken2_refseqV205_500GB-0.30	0.08895031265266301
mouse_sample_16-kraken2_refseqV205_500GB-0.50	0.00569464021809589
mouse_sample_16-kraken2_refseqV205_500GB-0.40	0.029930636743847452
mouse_sample_16-kraken2_refseqV205_500GB-0.35	0.05512388780086721
mouse_sample_16-kraken2_refseqV205_500GB-0.45	0.013278885050767247
mouse_sample_16-kraken2_refseqV205_500GB-0.55	0.0017508392576002295
mouse_sample_16-kraken2_refseqV205_500GB-0.70	1.7484293527525556e-05
mouse_sample_16-kraken2_refseqV205_500GB-0.80	0
mouse_sample_16-kraken2_refseqV205_500GB-0.60	0.00045256126642239606
mouse_sample_16-kraken2_refseqV205_500GB-0.65	7.902539207610406e-05
mouse_sample_16-kraken2_refseqV205_500GB-0.75	4.823409113813432e-07
mouse_sample_16-kraken2_refseqV205_500GB-0.85	0
mouse_sample_16-kraken2_refseqV205_500GB-1.00	0
mouse_sample_16-kraken2_refseqV205_500GB-0.95	0
mouse_sample_16-kraken2_refseqV205_500GB-0.90	0
plant_sample_20-kraken2_refseqV205_500GB-0.10	0.8417338753984588
plant_sample_20-kraken2_refseqV205_500GB-0.05	0.9083323500310349
plant_sample_20-kraken2_refseqV205_500GB-0.00	0.9118352503151003
plant_sample_20-kraken2_refseqV205_500GB-0.15	0.7405820273075578
plant_sample_20-kraken2_refseqV205_500GB-0.40	0.11185386541299579
plant_sample_20-kraken2_refseqV205_500GB-0.25	0.4916038938400204
plant_sample_20-kraken2_refseqV205_500GB-0.35	0.21188819583771534
plant_sample_20-kraken2_refseqV205_500GB-0.30	0.34422440051302805
plant_sample_20-kraken2_refseqV205_500GB-0.20	0.6123647814743964
plant_sample_20-kraken2_refseqV205_500GB-0.60	0.0019527799993881599
plant_sample_20-kraken2_refseqV205_500GB-0.65	0.00039072900402268624
plant_sample_20-kraken2_refseqV205_500GB-0.55	0.007532704444352553
plant_sample_20-kraken2_refseqV205_500GB-0.70	5.420352388478882e-05
plant_sample_20-kraken2_refseqV205_500GB-0.50	0.02247795684629012
plant_sample_20-kraken2_refseqV205_500GB-0.45	0.0502392080645744
plant_sample_20-kraken2_refseqV205_500GB-0.85	0
plant_sample_20-kraken2_refseqV205_500GB-0.75	7.941210496764226e-06
plant_sample_20-kraken2_refseqV205_500GB-0.80	2.4064366887262714e-07
plant_sample_20-kraken2_refseqV205_500GB-0.90	0
plant_sample_20-kraken2_refseqV205_500GB-1.00	0
plant_sample_20-kraken2_refseqV205_500GB-0.95	0
strain_sample_31-kraken2_refseqV205_500GB-0.25	0.6290064269566081
strain_sample_31-kraken2_refseqV205_500GB-0.15	0.7694548503836081
strain_sample_31-kraken2_refseqV205_500GB-0.20	0.7390029003143659
strain_sample_31-kraken2_refseqV205_500GB-0.10	0.7817910092309786
strain_sample_31-kraken2_refseqV205_500GB-0.05	0.8172835196852861
strain_sample_31-kraken2_refseqV205_500GB-0.00	0.8112260888204721
strain_sample_31-kraken2_refseqV205_500GB-0.50	0.03591539549164219
strain_sample_31-kraken2_refseqV205_500GB-0.35	0.3041234065459053
strain_sample_31-kraken2_refseqV205_500GB-0.30	0.46568788549515877
strain_sample_31-kraken2_refseqV205_500GB-0.40	0.1693171359218425
strain_sample_31-kraken2_refseqV205_500GB-0.45	0.07876730379691815
strain_sample_31-kraken2_refseqV205_500GB-0.55	0.011541985084229184
strain_sample_31-kraken2_refseqV205_500GB-0.70	8.027251768137492e-05
strain_sample_31-kraken2_refseqV205_500GB-0.75	1.5032908916732345e-07
strain_sample_31-kraken2_refseqV205_500GB-0.60	0.0029158853757578016
strain_sample_31-kraken2_refseqV205_500GB-0.65	0.0005703362481598391
strain_sample_31-kraken2_refseqV205_500GB-0.85	0
strain_sample_31-kraken2_refseqV205_500GB-0.80	0
strain_sample_31-kraken2_refseqV205_500GB-0.95	0
strain_sample_31-kraken2_refseqV205_500GB-0.90	0
strain_sample_31-kraken2_refseqV205_500GB-1.00	0
plant_sample_16-kraken2_refseqV205_500GB-0.10	0.6394972907524761
plant_sample_16-kraken2_refseqV205_500GB-0.05	0.6884411939516684
plant_sample_16-kraken2_refseqV205_500GB-0.00	0.6895476055629869
plant_sample_16-kraken2_refseqV205_500GB-0.40	0.09360325119231175
plant_sample_16-kraken2_refseqV205_500GB-0.35	0.17194962282324003
plant_sample_16-kraken2_refseqV205_500GB-0.25	0.3788357770278579
plant_sample_16-kraken2_refseqV205_500GB-0.30	0.27048800414003876
plant_sample_16-kraken2_refseqV205_500GB-0.20	0.46834914052833815
plant_sample_16-kraken2_refseqV205_500GB-0.15	0.5638552192596994
plant_sample_16-kraken2_refseqV205_500GB-0.55	0.0069303545950395885
plant_sample_16-kraken2_refseqV205_500GB-0.50	0.020838748799589177
plant_sample_16-kraken2_refseqV205_500GB-0.45	0.043822772134305604
plant_sample_16-kraken2_refseqV205_500GB-0.60	0.0018927167096080776
plant_sample_16-kraken2_refseqV205_500GB-0.65	0.00037696765487718804
plant_sample_16-kraken2_refseqV205_500GB-0.70	5.343192695873616e-05
plant_sample_16-kraken2_refseqV205_500GB-0.85	0
plant_sample_16-kraken2_refseqV205_500GB-0.95	0
plant_sample_16-kraken2_refseqV205_500GB-1.00	0
plant_sample_16-kraken2_refseqV205_500GB-0.90	0
plant_sample_16-kraken2_refseqV205_500GB-0.80	6.01050088599291e-08
plant_sample_16-kraken2_refseqV205_500GB-0.75	7.272679844582231e-06
strain_sample_80-kraken2_refseqV205_500GB-0.10	0.8578403568109797
strain_sample_80-kraken2_refseqV205_500GB-0.20	0.7524670486995118
strain_sample_80-kraken2_refseqV205_500GB-0.15	0.8291995423834487
strain_sample_80-kraken2_refseqV205_500GB-0.25	0.6401220810729604
strain_sample_80-kraken2_refseqV205_500GB-0.05	0.8745662180265733
strain_sample_80-kraken2_refseqV205_500GB-0.00	0.8413560858202981
strain_sample_80-kraken2_refseqV205_500GB-0.50	0.0374988066403507
strain_sample_80-kraken2_refseqV205_500GB-0.45	0.08201689100102454
strain_sample_80-kraken2_refseqV205_500GB-0.30	0.4776481977202791
strain_sample_80-kraken2_refseqV205_500GB-0.40	0.17524625066880742
strain_sample_80-kraken2_refseqV205_500GB-0.35	0.31313029355980865
strain_sample_80-kraken2_refseqV205_500GB-0.55	0.01206161566565791
strain_sample_80-kraken2_refseqV205_500GB-0.65	0.0006056624026951977
strain_sample_80-kraken2_refseqV205_500GB-0.85	1.5025938150083126e-07
strain_sample_80-kraken2_refseqV205_500GB-0.70	8.474270671811331e-05
strain_sample_80-kraken2_refseqV205_500GB-0.60	0.0030878639983593003
strain_sample_80-kraken2_refseqV205_500GB-0.75	1.3222739144506807e-05
strain_sample_80-kraken2_refseqV205_500GB-0.80	6.010373905360652e-07
strain_sample_80-kraken2_refseqV205_500GB-1.00	0
strain_sample_80-kraken2_refseqV205_500GB-0.95	1.5025938150083126e-07
strain_sample_80-kraken2_refseqV205_500GB-0.90	1.5025938150083126e-07
plant_sample_0-kraken2_refseqV205_500GB-0.10	0.7667193406784293
plant_sample_0-kraken2_refseqV205_500GB-0.05	0.8301916530439496
plant_sample_0-kraken2_refseqV205_500GB-0.00	0.8250033363770929
plant_sample_0-kraken2_refseqV205_500GB-0.40	0.09563198689449191
plant_sample_0-kraken2_refseqV205_500GB-0.35	0.18271455654687566
plant_sample_0-kraken2_refseqV205_500GB-0.25	0.43310543397228474
plant_sample_0-kraken2_refseqV205_500GB-0.30	0.29968274898488856
plant_sample_0-kraken2_refseqV205_500GB-0.20	0.5449887767877948
plant_sample_0-kraken2_refseqV205_500GB-0.15	0.668057284110773
plant_sample_0-kraken2_refseqV205_500GB-0.60	0.0016613906531437025
plant_sample_0-kraken2_refseqV205_500GB-0.55	0.006502629108535635
plant_sample_0-kraken2_refseqV205_500GB-0.45	0.043063894677614976
plant_sample_0-kraken2_refseqV205_500GB-0.50	0.01972293180459476
plant_sample_0-kraken2_refseqV205_500GB-0.65	0.0003274247251609184
plant_sample_0-kraken2_refseqV205_500GB-0.70	4.396352663141746e-05
plant_sample_0-kraken2_refseqV205_500GB-0.75	5.893991274366919e-06
plant_sample_0-kraken2_refseqV205_500GB-1.00	0
plant_sample_0-kraken2_refseqV205_500GB-0.85	0
plant_sample_0-kraken2_refseqV205_500GB-0.90	0
plant_sample_0-kraken2_refseqV205_500GB-0.95	0
plant_sample_0-kraken2_refseqV205_500GB-0.80	2.4057175244974214e-07
mouse_sample_20-kraken2_refseqV205_500GB-0.20	0.17803669595257196
mouse_sample_20-kraken2_refseqV205_500GB-0.15	0.20855464141663038
mouse_sample_20-kraken2_refseqV205_500GB-0.25	0.15072108757946623
mouse_sample_20-kraken2_refseqV205_500GB-0.10	0.23523458103695966
mouse_sample_20-kraken2_refseqV205_500GB-0.05	0.2517180957305909
mouse_sample_20-kraken2_refseqV205_500GB-0.00	0.2560729096849231
mouse_sample_20-kraken2_refseqV205_500GB-0.55	0.00409006180259435
mouse_sample_20-kraken2_refseqV205_500GB-0.45	0.024376171412134173
