Sample name	Aitchisons distance
mouse_sample_56-kraken2_refseqV205_500GB-0.10	65.8535310788336
mouse_sample_56-kraken2_refseqV205_500GB-0.25	59.45890116419985
mouse_sample_56-kraken2_refseqV205_500GB-0.15	61.7087335846947
mouse_sample_56-kraken2_refseqV205_500GB-0.20	60.31286253698847
mouse_sample_56-kraken2_refseqV205_500GB-0.05	84.81997475079484
mouse_sample_56-kraken2_refseqV205_500GB-0.00	155.51611843790954
mouse_sample_56-kraken2_refseqV205_500GB-0.55	50.51404364182181
mouse_sample_56-kraken2_refseqV205_500GB-0.45	54.08894142144891
mouse_sample_56-kraken2_refseqV205_500GB-0.40	55.471748579778776
mouse_sample_56-kraken2_refseqV205_500GB-0.30	58.44162833111977
mouse_sample_56-kraken2_refseqV205_500GB-0.35	56.893396302354674
mouse_sample_56-kraken2_refseqV205_500GB-0.50	52.63720093906554
mouse_sample_56-kraken2_refseqV205_500GB-0.75	24.096337827113743
mouse_sample_56-kraken2_refseqV205_500GB-0.85	12.483599722645975
mouse_sample_56-kraken2_refseqV205_500GB-0.80	15.943627675598341
mouse_sample_56-kraken2_refseqV205_500GB-0.70	34.17243160772251
mouse_sample_56-kraken2_refseqV205_500GB-0.65	43.244603666680476
mouse_sample_56-kraken2_refseqV205_500GB-0.60	47.478879777184474
strain_sample_71-kraken2_refseqV205_500GB-0.10	39.45453889116898
mouse_sample_56-kraken2_refseqV205_500GB-1.00	12.483599722645975
strain_sample_71-kraken2_refseqV205_500GB-0.05	58.86277774849022
mouse_sample_56-kraken2_refseqV205_500GB-0.95	12.483599722645975
mouse_sample_56-kraken2_refseqV205_500GB-0.90	12.483599722645975
strain_sample_71-kraken2_refseqV205_500GB-0.00	123.64582481447444
strain_sample_71-kraken2_refseqV205_500GB-0.40	21.217388163048888
strain_sample_71-kraken2_refseqV205_500GB-0.15	33.0405352544781
strain_sample_71-kraken2_refseqV205_500GB-0.20	28.383297272305725
strain_sample_71-kraken2_refseqV205_500GB-0.25	25.23287086939174
strain_sample_71-kraken2_refseqV205_500GB-0.30	23.544255952620336
strain_sample_71-kraken2_refseqV205_500GB-0.35	22.76051225214875
strain_sample_71-kraken2_refseqV205_500GB-0.55	17.570550925784165
strain_sample_71-kraken2_refseqV205_500GB-0.65	16.887635447514704
strain_sample_71-kraken2_refseqV205_500GB-0.70	12.631111481752665
strain_sample_71-kraken2_refseqV205_500GB-0.50	18.07918704689899
strain_sample_71-kraken2_refseqV205_500GB-0.60	16.315953871757348
strain_sample_71-kraken2_refseqV205_500GB-0.45	19.3662511137672
strain_sample_71-kraken2_refseqV205_500GB-0.85	12.106601752065368
strain_sample_71-kraken2_refseqV205_500GB-0.95	12.106601752065368
strain_sample_71-kraken2_refseqV205_500GB-0.75	12.393059079797267
strain_sample_71-kraken2_refseqV205_500GB-0.80	12.106601752065368
strain_sample_71-kraken2_refseqV205_500GB-0.90	12.106601752065368
strain_sample_71-kraken2_refseqV205_500GB-1.00	12.106601752065368
strain_sample_47-kraken2_refseqV205_500GB-0.15	34.11613629407856
strain_sample_47-kraken2_refseqV205_500GB-0.25	26.8150605607669
strain_sample_47-kraken2_refseqV205_500GB-0.20	30.05669525612706
strain_sample_47-kraken2_refseqV205_500GB-0.10	39.48068505592589
strain_sample_47-kraken2_refseqV205_500GB-0.05	60.795988777854355
strain_sample_47-kraken2_refseqV205_500GB-0.00	128.016098905766
strain_sample_47-kraken2_refseqV205_500GB-0.35	25.117202778190492
strain_sample_47-kraken2_refseqV205_500GB-0.50	18.49268796177687
strain_sample_47-kraken2_refseqV205_500GB-0.40	24.029949931889234
strain_sample_47-kraken2_refseqV205_500GB-0.30	25.75811532427221
strain_sample_47-kraken2_refseqV205_500GB-0.55	16.257405046053865
strain_sample_47-kraken2_refseqV205_500GB-0.45	20.553358548211737
strain_sample_47-kraken2_refseqV205_500GB-0.60	12.073150688893042
strain_sample_47-kraken2_refseqV205_500GB-0.70	9.27048542219502
strain_sample_47-kraken2_refseqV205_500GB-0.65	8.047087919319646
strain_sample_47-kraken2_refseqV205_500GB-0.75	8.977540743818004
