Sample name	Shannon diversity
plant_sample_20-kraken2_refseqV205-0.25	3.0093227726511524
plant_sample_20-kraken2_refseqV205-0.20	3.011655278889624
plant_sample_20-kraken2_refseqV205-0.15	3.0273904472829134
plant_sample_20-kraken2_refseqV205-0.10	3.066151646075877
plant_sample_20-kraken2_refseqV205-0.05	3.1727614444186814
plant_sample_20-kraken2_refseqV205-0.00	3.6206842616499273
plant_sample_20-kraken2_refseqV205-0.45	3.0434179595631465
plant_sample_20-kraken2_refseqV205-0.55	3.068086671043849
plant_sample_20-kraken2_refseqV205-0.30	3.0128059969898544
plant_sample_20-kraken2_refseqV205-0.35	3.019034877999974
plant_sample_20-kraken2_refseqV205-0.50	3.054276287520227
plant_sample_20-kraken2_refseqV205-0.40	3.029608858718824
plant_sample_20-kraken2_refseqV205-0.65	3.093835968843399
plant_sample_20-kraken2_refseqV205-0.60	3.081029568725107
plant_sample_20-kraken2_refseqV205-0.80	3.1188602488172026
plant_sample_20-kraken2_refseqV205-0.85	3.1221126089909275
plant_sample_20-kraken2_refseqV205-0.75	3.1177808452460756
plant_sample_20-kraken2_refseqV205-0.70	3.1065858430844955
plant_sample_20-kraken2_refseqV205-1.00	3.1446517381233745
plant_sample_20-kraken2_refseqV205-0.90	3.130859766693529
plant_sample_20-kraken2_refseqV205-0.95	3.1608166135688758
strain_sample_23-kraken2_refseqV205-0.10	2.350657488134046
strain_sample_23-kraken2_refseqV205-0.05	2.4729621625368443
strain_sample_23-kraken2_refseqV205-0.00	2.9119347597610394
strain_sample_23-kraken2_refseqV205-0.35	2.254408977730565
strain_sample_23-kraken2_refseqV205-0.30	2.2324773886058713
strain_sample_23-kraken2_refseqV205-0.25	2.2376849742592824
strain_sample_23-kraken2_refseqV205-0.20	2.2622912183533366
strain_sample_23-kraken2_refseqV205-0.15	2.3010377882714272
strain_sample_23-kraken2_refseqV205-0.40	2.2673926365316994
strain_sample_23-kraken2_refseqV205-0.55	2.2687652300815038
strain_sample_23-kraken2_refseqV205-0.50	2.274757823835285
strain_sample_23-kraken2_refseqV205-0.45	2.2706437545241207
strain_sample_23-kraken2_refseqV205-0.70	2.1990144008674615
strain_sample_23-kraken2_refseqV205-0.65	2.2331987696487
strain_sample_23-kraken2_refseqV205-0.60	2.2536911561954778
strain_sample_23-kraken2_refseqV205-0.85	2.147147213767432
strain_sample_23-kraken2_refseqV205-0.95	1.9809232411069002
strain_sample_23-kraken2_refseqV205-0.75	2.1722476721039503
