Sample name	Robust Aitchisons distance
strain_sample_0-kraken2_refseqV205_100GB-0.15	16.859465609337164
strain_sample_0-kraken2_refseqV205_100GB-0.50	0.0
strain_sample_0-kraken2_refseqV205_100GB-0.30	6.101869661419592
strain_sample_0-kraken2_refseqV205_100GB-0.55	0.0
strain_sample_0-kraken2_refseqV205_100GB-0.40	0.0
strain_sample_0-kraken2_refseqV205_100GB-0.10	14.391982123349841
strain_sample_0-kraken2_refseqV205_100GB-0.05	10.49084032500612
strain_sample_0-kraken2_refseqV205_100GB-0.35	0.0
strain_sample_0-kraken2_refseqV205_100GB-0.25	16.969451148520484
strain_sample_0-kraken2_refseqV205_100GB-0.45	0.0
strain_sample_0-kraken2_refseqV205_100GB-0.20	15.950120229812438
strain_sample_0-kraken2_refseqV205_100GB-0.00	3.4896772791003463
strain_sample_0-kraken2_refseqV205_100GB-0.60	0.0
strain_sample_0-kraken2_refseqV205_100GB-0.70	0.0
strain_sample_0-kraken2_refseqV205_100GB-0.75	0.0
strain_sample_0-kraken2_refseqV205_100GB-0.90	0.0
strain_sample_0-kraken2_refseqV205_100GB-0.80	0.0
strain_sample_0-kraken2_refseqV205_100GB-0.95	0.0
strain_sample_0-kraken2_refseqV205_100GB-0.65	0.0
strain_sample_0-kraken2_refseqV205_100GB-0.85	0.0
strain_sample_0-kraken2_refseqV205_100GB-1.00	0.0
plant_sample_9-kraken2_refseqV205_100GB-0.05	29.192596064423828
plant_sample_9-kraken2_refseqV205_100GB-0.00	9.596685618951161
plant_sample_9-kraken2_refseqV205_100GB-0.10	31.5116085470157
plant_sample_9-kraken2_refseqV205_100GB-0.70	0.0
plant_sample_9-kraken2_refseqV205_100GB-0.50	0.0
plant_sample_9-kraken2_refseqV205_100GB-0.65	0.0
plant_sample_9-kraken2_refseqV205_100GB-0.60	0.0
plant_sample_9-kraken2_refseqV205_100GB-0.45	0.0
plant_sample_9-kraken2_refseqV205_100GB-0.30	40.35013593781418
plant_sample_9-kraken2_refseqV205_100GB-0.55	0.0
plant_sample_9-kraken2_refseqV205_100GB-0.35	16.59130200823263
plant_sample_9-kraken2_refseqV205_100GB-0.20	44.41060806120171
plant_sample_9-kraken2_refseqV205_100GB-0.40	0.0
