,ani100_cHIGH_stFalse_r6,ani100_cHIGH_stFalse_r6-kraken2_standard_0521-0.90
1666912,44294.0,0.0
1670,0.0,396.0
1674923,846.0,799.0
167642,0.0,6907.0
1677858,1414.0,0.0
1678128,0.0,1.0
1682113,0.0,935.0
1684142,12714.0,0.0
1685,0.0,14.0
1685010,0.0,30.0
1688671,64874.0,0.0
1691904,0.0,6.0
169292,0.0,1347.0
169430,0.0,94.0
1695997,910.0,0.0
1699620,714.0,0.0
1702250,3156.0,1132.0
1703933,1606.0,0.0
170573,8422.0,15115.0
1714344,3704.0,0.0
1715098,2748.0,0.0
1717,0.0,25.0
1717717,754.0,658.0
172,0.0,26.0
172045,0.0,4.0
1727164,35880.0,33002.0
172827,0.0,19252.0
173,0.0,2.0
1735676,794.0,0.0
1736275,1890.0,0.0
1736276,230.0,0.0
1736288,2492.0,0.0
1736413,594.0,0.0
1736427,720.0,0.0
1736473,115034.0,0.0
1736542,16602.0,0.0
174,0.0,608.0
1742359,0.0,2.0
1744,0.0,167.0
1749,0.0,38.0
1749259,12.0,32.0
1756149,0.0,45.0
1756150,0.0,22.0
1756988,0.0,3.0
1758255,644.0,0.0
1761803,381096.0,0.0
1761907,1604.0,0.0
1763538,0.0,1.0
1764,0.0,9.0
1767,0.0,220.0
1769779,21124.0,20942.0
1771,0.0,1.0
1774969,63906.0,0.0
1775910,0.0,1.0
1779382,87386.0,0.0
1781,212.0,0.0
1796620,0.0,7.0
1796652,2520.0,2354.0
1796921,3318.0,3004.0
1797,0.0,1.0
1804,0.0,4552.0
1805431,0.0,121.0
1805474,24328.0,0.0
1805477,912.0,0.0
1809410,254.0,292.0
182710,0.0,16746.0
1833852,0.0,8.0
1834066,29672.0,0.0
1834076,1520.0,0.0
1834092,2748.0,0.0
1834104,940.0,0.0
1834192,43654.0,0.0
1834196,0.0,5.0
183795,6574.0,4491.0
1839799,0.0,18.0
1841863,574.0,0.0
1847728,0.0,12.0
185008,0.0,1.0
1850238,18.0,51.0
1850362,502.0,0.0
1852383,1108.0,0.0
1853699,0.0,2.0
1855289,99918.0,0.0
1855301,4284.0,0.0
1855318,111780.0,0.0
1855331,314.0,587.0
1855336,63024.0,41874.0
1856685,0.0,58.0
1856862,39158.0,0.0
1860161,366.0,0.0
1866312,1308.0,0.0
1867263,2878.0,0.0
1867719,0.0,11.0
1871021,0.0,532.0
1871628,58370.0,0.0
1874706,1006.0,0.0
187491,2584.0,3135.0
1878942,408.0,369.0
1889772,863014.0,0.0
1889784,105932.0,0.0
1891921,5368.0,0.0
1892404,0.0,600.0
189426,0.0,20.0
1898,0.0,4.0
1898684,0.0,28279.0
1903179,615084.0,0.0
1904616,0.0,60.0
1904944,0.0,4204.0
1906742,0.0,340.0
1909700,5966.0,0.0
1912,0.0,646.0
1912139,9058.0,0.0
1915,0.0,17.0
1917421,7802.0,8130.0
1917485,0.0,279.0
1920422,2388.0,0.0
1921086,1302.0,1283.0
1923971,177150.0,0.0
1926878,4188.0,0.0
1927,0.0,421.0
1931998,26966.0,0.0
1936029,0.0,22.0
1938820,0.0,1335.0
1940790,14104.0,13045.0
1945662,16434.0,13469.0
1945863,2122.0,0.0
1960,0.0,18.0
1961706,71598.0,0.0
1965547,3010.0,0.0
1965583,2590.0,0.0
1965604,2138.0,0.0
1974213,908.0,806.0
1980674,0.0,139.0
1981174,176958.0,201163.0
1982044,14274.0,0.0
198618,0.0,388.0
1986222,33366.0,0.0
1986952,6522.0,0.0
