Sample name	L1 distance
strain_sample_40-kraken2_minikraken-0.50	12740501.0
strain_sample_40-kraken2_minikraken-0.25	11943145.0
strain_sample_40-kraken2_minikraken-0.15	8938109.0
strain_sample_40-kraken2_minikraken-0.05	6123714.0
strain_sample_40-kraken2_minikraken-0.40	12725528.0
strain_sample_40-kraken2_minikraken-0.35	12671894.0
strain_sample_40-kraken2_minikraken-0.10	6295248.0
strain_sample_40-kraken2_minikraken-0.00	6475284.0
strain_sample_40-kraken2_minikraken-0.20	10975678.0
strain_sample_40-kraken2_minikraken-0.45	12738351.0
strain_sample_40-kraken2_minikraken-0.55	12740984.0
strain_sample_40-kraken2_minikraken-0.30	12484827.0
strain_sample_40-kraken2_minikraken-0.95	12741014.0
strain_sample_40-kraken2_minikraken-0.85	12741014.0
strain_sample_40-kraken2_minikraken-0.75	12741014.0
strain_sample_40-kraken2_minikraken-0.70	12741014.0
strain_sample_40-kraken2_minikraken-0.90	12741014.0
strain_sample_40-kraken2_minikraken-0.65	12741014.0
strain_sample_40-kraken2_minikraken-1.00	12741014.0
strain_sample_40-kraken2_minikraken-0.60	12741014.0
strain_sample_40-kraken2_minikraken-0.80	12741014.0
strain_sample_39-kraken2_minikraken-0.10	5883640.0
strain_sample_39-kraken2_minikraken-0.05	5768867.0
strain_sample_39-kraken2_minikraken-0.00	6261848.0
strain_sample_39-kraken2_minikraken-0.45	12995502.0
strain_sample_39-kraken2_minikraken-0.60	12998095.0
strain_sample_39-kraken2_minikraken-0.40	12982761.0
strain_sample_39-kraken2_minikraken-0.15	8956932.0
strain_sample_39-kraken2_minikraken-0.25	12142373.0
strain_sample_39-kraken2_minikraken-0.30	12724374.0
strain_sample_39-kraken2_minikraken-0.20	11107124.0
strain_sample_39-kraken2_minikraken-0.70	12998095.0
strain_sample_39-kraken2_minikraken-0.55	12998031.0
strain_sample_39-kraken2_minikraken-0.35	12924991.0
strain_sample_39-kraken2_minikraken-0.65	12998095.0
strain_sample_39-kraken2_minikraken-0.50	12997546.0
strain_sample_39-kraken2_minikraken-0.90	12998095.0
strain_sample_39-kraken2_minikraken-1.00	12998095.0
strain_sample_39-kraken2_minikraken-0.95	12998095.0
strain_sample_39-kraken2_minikraken-0.80	12998095.0
strain_sample_39-kraken2_minikraken-0.75	12998095.0
strain_sample_32-kraken2_minikraken-0.05	5426857.0
strain_sample_39-kraken2_minikraken-0.85	12998095.0
strain_sample_32-kraken2_minikraken-0.15	8818984.0
strain_sample_32-kraken2_minikraken-0.20	11030091.0
strain_sample_32-kraken2_minikraken-0.10	5737917.0
strain_sample_32-kraken2_minikraken-0.25	12086900.0
strain_sample_32-kraken2_minikraken-0.00	5554025.0
strain_sample_32-kraken2_minikraken-0.50	12972322.0
strain_sample_32-kraken2_minikraken-0.80	12972871.0
strain_sample_32-kraken2_minikraken-0.60	12972871.0
strain_sample_32-kraken2_minikraken-0.65	12972871.0
strain_sample_32-kraken2_minikraken-0.45	12970032.0
strain_sample_32-kraken2_minikraken-0.75	12972871.0
strain_sample_32-kraken2_minikraken-0.30	12685342.0
strain_sample_32-kraken2_minikraken-0.40	12956683.0
strain_sample_32-kraken2_minikraken-0.35	12896403.0
strain_sample_32-kraken2_minikraken-0.85	12972871.0
strain_sample_32-kraken2_minikraken-0.70	12972871.0
strain_sample_32-kraken2_minikraken-0.55	12972809.0
strain_sample_32-kraken2_minikraken-0.90	12972871.0
strain_sample_32-kraken2_minikraken-0.95	12972871.0
strain_sample_32-kraken2_minikraken-1.00	12972871.0
mouse_sample_14-kraken2_minikraken-0.10	29538647.0
mouse_sample_14-kraken2_minikraken-0.05	27505545.0
mouse_sample_14-kraken2_minikraken-0.20	32377734.0
mouse_sample_14-kraken2_minikraken-0.15	31275836.0
mouse_sample_14-kraken2_minikraken-0.25	32857413.0
mouse_sample_14-kraken2_minikraken-0.30	33152911.0
mouse_sample_14-kraken2_minikraken-0.40	33274522.0
mouse_sample_14-kraken2_minikraken-0.00	26367436.0
mouse_sample_14-kraken2_minikraken-0.35	33249709.0
mouse_sample_14-kraken2_minikraken-0.75	33280282.0
mouse_sample_14-kraken2_minikraken-0.80	33280282.0
mouse_sample_14-kraken2_minikraken-0.85	33280282.0
mouse_sample_14-kraken2_minikraken-1.00	33280282.0
mouse_sample_14-kraken2_minikraken-0.95	33280282.0
mouse_sample_14-kraken2_minikraken-0.90	33280282.0
mouse_sample_14-kraken2_minikraken-0.70	33280282.0
mouse_sample_14-kraken2_minikraken-0.55	33280254.0
mouse_sample_14-kraken2_minikraken-0.45	33279294.0
mouse_sample_14-kraken2_minikraken-0.60	33280282.0
mouse_sample_14-kraken2_minikraken-0.65	33280282.0
mouse_sample_14-kraken2_minikraken-0.50	33280071.0
plant_sample_20-kraken2_minikraken-0.30	30596990.0
plant_sample_20-kraken2_minikraken-0.55	30737474.0
