Sample name	Recall reads
mouse_sample_32-kraken2_standard_0521-0.45	0.27479602564573846
mouse_sample_32-kraken2_standard_0521-0.15	0.44340892464678816
mouse_sample_32-kraken2_standard_0521-0.05	0.4713425678409479
mouse_sample_32-kraken2_standard_0521-0.40	0.3085080990994547
mouse_sample_32-kraken2_standard_0521-0.25	0.4004839252144747
mouse_sample_32-kraken2_standard_0521-0.35	0.34147007248806116
mouse_sample_32-kraken2_standard_0521-0.55	0.21021251257014698
mouse_sample_32-kraken2_standard_0521-0.50	0.24623534897671231
mouse_sample_32-kraken2_standard_0521-0.20	0.421440226502838
mouse_sample_32-kraken2_standard_0521-0.30	0.3722174503720631
mouse_sample_32-kraken2_standard_0521-0.10	0.4593037543090269
mouse_sample_32-kraken2_standard_0521-0.00	0.4706809454469418
mouse_sample_32-kraken2_standard_0521-0.60	0.17464575533800958
mouse_sample_32-kraken2_standard_0521-0.75	0.08282652927276511
mouse_sample_32-kraken2_standard_0521-0.85	0.03746266424723158
mouse_sample_32-kraken2_standard_0521-0.80	0.05645825330059559
mouse_sample_32-kraken2_standard_0521-1.00	0.008921679438883898
mouse_sample_32-kraken2_standard_0521-0.70	0.10778371606158324
mouse_sample_32-kraken2_standard_0521-0.65	0.13991021778082138
mouse_sample_32-kraken2_standard_0521-0.90	0.02470457007074203
mouse_sample_32-kraken2_standard_0521-0.95	0.01551628153498446
strain_sample_43-kraken2_standard_0521-0.10	0.6676144782105342
strain_sample_43-kraken2_standard_0521-0.05	0.6702003111772895
strain_sample_43-kraken2_standard_0521-0.00	0.6656736847207165
strain_sample_43-kraken2_standard_0521-0.60	0.3635166714827978
strain_sample_43-kraken2_standard_0521-0.50	0.5012441416519269
strain_sample_43-kraken2_standard_0521-0.40	0.5629187656715987
strain_sample_43-kraken2_standard_0521-0.25	0.6345319518092395
strain_sample_43-kraken2_standard_0521-0.65	0.2961632306485089
strain_sample_43-kraken2_standard_0521-0.70	0.23217717043398556
strain_sample_43-kraken2_standard_0521-0.45	0.5324250631465349
strain_sample_43-kraken2_standard_0521-0.55	0.433229096303604
strain_sample_43-kraken2_standard_0521-0.15	0.6597361158914536
strain_sample_43-kraken2_standard_0521-0.30	0.6143937748590591
strain_sample_43-kraken2_standard_0521-0.35	0.5901012246470574
strain_sample_43-kraken2_standard_0521-0.20	0.6477931075948241
strain_sample_43-kraken2_standard_0521-0.80	0.1242354775240055
strain_sample_43-kraken2_standard_0521-0.85	0.08223329216614855
strain_sample_43-kraken2_standard_0521-0.95	0.03330362363254085
strain_sample_43-kraken2_standard_0521-0.75	0.18059701927495447
strain_sample_43-kraken2_standard_0521-0.90	0.05450541400629103
strain_sample_43-kraken2_standard_0521-1.00	0.018849401726076867
strain_sample_31-kraken2_standard_0521-0.20	0.7314513765434141
strain_sample_31-kraken2_standard_0521-0.05	0.7605216779913828
strain_sample_31-kraken2_standard_0521-0.15	0.7469231721923537
strain_sample_31-kraken2_standard_0521-0.25	0.7145021496831823
strain_sample_31-kraken2_standard_0521-0.10	0.7568818708897742
strain_sample_31-kraken2_standard_0521-0.00	0.7577558984552589
strain_sample_31-kraken2_standard_0521-0.55	0.4744761950184583
strain_sample_31-kraken2_standard_0521-0.30	0.6897012905791644
strain_sample_31-kraken2_standard_0521-0.40	0.6180651851327619
strain_sample_31-kraken2_standard_0521-0.60	0.3981548648842002
strain_sample_31-kraken2_standard_0521-0.35	0.6598573493471718
strain_sample_31-kraken2_standard_0521-0.45	0.5701045186809738
strain_sample_31-kraken2_standard_0521-0.85	0.09002291610735416
strain_sample_31-kraken2_standard_0521-0.50	0.5287723689747138
strain_sample_31-kraken2_standard_0521-0.65	0.32418168573008843
strain_sample_31-kraken2_standard_0521-0.70	0.2538971613720125
strain_sample_31-kraken2_standard_0521-0.75	0.19748884387892235
strain_sample_31-kraken2_standard_0521-0.80	0.13564397030983286
strain_sample_31-kraken2_standard_0521-0.90	0.059439566940188114
strain_sample_31-kraken2_standard_0521-1.00	0.02042925969203644
strain_sample_31-kraken2_standard_0521-0.95	0.03604929078532477
marine_sample_7-kraken2_standard_0521-0.40	0.29662650968018894
marine_sample_7-kraken2_standard_0521-0.35	0.30102743721992453
marine_sample_7-kraken2_standard_0521-0.30	0.3021165339847179
marine_sample_7-kraken2_standard_0521-0.20	0.30345501958755955
marine_sample_7-kraken2_standard_0521-0.25	0.3030027381355058
marine_sample_7-kraken2_standard_0521-0.15	0.30361681004421903
marine_sample_7-kraken2_standard_0521-0.10	0.3038791635688899
marine_sample_7-kraken2_standard_0521-0.05	0.304088396577083
marine_sample_7-kraken2_standard_0521-0.00	0.30388957317128756
marine_sample_7-kraken2_standard_0521-0.85	0.06795006759774987
marine_sample_7-kraken2_standard_0521-0.45	0.28685589914849136
marine_sample_7-kraken2_standard_0521-0.70	0.18466786065857643
marine_sample_7-kraken2_standard_0521-0.75	0.1477148131071026
marine_sample_7-kraken2_standard_0521-0.90	0.04509723656916034
marine_sample_7-kraken2_standard_0521-0.95	0.02721230942423259
marine_sample_7-kraken2_standard_0521-0.55	0.2634288050542973
marine_sample_7-kraken2_standard_0521-0.80	0.10174559884376445
marine_sample_7-kraken2_standard_0521-0.60	0.2462510684431673
marine_sample_7-kraken2_standard_0521-0.50	0.2774921463492941
marine_sample_7-kraken2_standard_0521-0.65	0.21909607492062125
marine_sample_7-kraken2_standard_0521-1.00	0.015363816076962165
mouse_sample_7-kraken2_standard_0521-0.45	0.2823848433053246
mouse_sample_7-kraken2_standard_0521-0.30	0.3794712267392436
mouse_sample_7-kraken2_standard_0521-0.50	0.25270395828795766
mouse_sample_7-kraken2_standard_0521-0.55	0.21569317853412964
mouse_sample_7-kraken2_standard_0521-0.25	0.4089289689820382
mouse_sample_7-kraken2_standard_0521-0.35	0.34823627613111396
mouse_sample_7-kraken2_standard_0521-0.40	0.31565906004311417
mouse_sample_7-kraken2_standard_0521-0.15	0.4549576188611604
mouse_sample_7-kraken2_standard_0521-0.20	0.4315962566796524
mouse_sample_7-kraken2_standard_0521-0.10	0.4732296243828656
mouse_sample_7-kraken2_standard_0521-0.05	0.4845550327338414
mouse_sample_7-kraken2_standard_0521-0.00	0.4847983570030993
mouse_sample_7-kraken2_standard_0521-0.70	0.11190225519907279
mouse_sample_7-kraken2_standard_0521-0.80	0.059044416784970244
mouse_sample_7-kraken2_standard_0521-0.65	0.14437192714872585
mouse_sample_7-kraken2_standard_0521-0.60	0.17955798604973033
mouse_sample_7-kraken2_standard_0521-0.85	0.03865730615357604
