Sample name	L1 distance
strain_sample_7-kraken2_refseqV205-0.55	6815842.0
strain_sample_7-kraken2_refseqV205-0.60	6631932.0
strain_sample_7-kraken2_refseqV205-0.50	7014822.0
strain_sample_7-kraken2_refseqV205-0.40	7419963.0
strain_sample_7-kraken2_refseqV205-0.70	7869381.0
strain_sample_7-kraken2_refseqV205-0.65	6882787.0
strain_sample_7-kraken2_refseqV205-0.45	7179310.0
strain_sample_7-kraken2_refseqV205-0.30	7952970.0
strain_sample_7-kraken2_refseqV205-0.25	8611425.0
strain_sample_7-kraken2_refseqV205-0.20	9147076.0
strain_sample_7-kraken2_refseqV205-0.15	9865932.0
strain_sample_7-kraken2_refseqV205-0.90	10823196.0
strain_sample_7-kraken2_refseqV205-0.75	8689440.0
strain_sample_7-kraken2_refseqV205-0.95	11206787.0
strain_sample_7-kraken2_refseqV205-0.85	10332540.0
strain_sample_7-kraken2_refseqV205-0.80	9617221.0
strain_sample_7-kraken2_refseqV205-1.00	11462161.0
strain_sample_24-kraken2_refseqV205-0.25	7750593.0
strain_sample_24-kraken2_refseqV205-0.20	7464702.0
strain_sample_24-kraken2_refseqV205-0.15	7684414.0
strain_sample_24-kraken2_refseqV205-0.10	7666689.0
strain_sample_24-kraken2_refseqV205-0.05	7679287.0
strain_sample_24-kraken2_refseqV205-0.00	7779605.0
strain_sample_24-kraken2_refseqV205-0.60	7367602.0
strain_sample_24-kraken2_refseqV205-0.75	9618676.0
strain_sample_24-kraken2_refseqV205-0.70	8782256.0
strain_sample_24-kraken2_refseqV205-0.65	7760361.0
strain_sample_24-kraken2_refseqV205-0.55	7577709.0
strain_sample_24-kraken2_refseqV205-0.50	7769904.0
strain_sample_24-kraken2_refseqV205-0.45	7935060.0
strain_sample_24-kraken2_refseqV205-0.85	11299723.0
strain_sample_24-kraken2_refseqV205-0.35	8277088.0
strain_sample_24-kraken2_refseqV205-0.40	8107554.0
strain_sample_24-kraken2_refseqV205-0.80	10568148.0
strain_sample_24-kraken2_refseqV205-0.30	8297080.0
strain_sample_24-kraken2_refseqV205-0.90	11812221.0
strain_sample_24-kraken2_refseqV205-1.00	12467367.0
strain_sample_24-kraken2_refseqV205-0.95	12204161.0
marine_sample_9-kraken2_refseqV205-0.40	33243950.0
marine_sample_9-kraken2_refseqV205-0.35	34986901.0
marine_sample_9-kraken2_refseqV205-0.30	36599974.0
marine_sample_9-kraken2_refseqV205-0.25	38172113.0
marine_sample_9-kraken2_refseqV205-0.20	39321098.0
marine_sample_9-kraken2_refseqV205-0.15	40541425.0
