Sample name,proportion_classified,precision_reads,precision_taxa,recall_reads,recall_taxa,f1_reads,f1_taxa,L1_distance,aitchisons_distance,braycurtis_distance,shannon_diversity,dissimilarity_species
ani100_cHIGH_stFalse_r0,0.4585768275548768,0.7998302510984692,0.683982683982684,0.3667836191311565,0.380722891566265,0.502933561266051,0.4891640866873065,10150127.0,11.878180898378073,0.4970664387339489,5.27016884522778,-184.0
ani100_cHIGH_stFalse_r1,0.3936556580491917,0.6488699334806702,0.6140350877192983,0.2554313206526685,0.3153153153153153,0.3665630303689444,0.4166666666666667,12359104.0,12.430512398447885,0.6334369696310557,6.3500745514909545,-270.0
ani100_cHIGH_stFalse_r2,0.4301217757316822,0.3768898305197333,0.6540084388185654,0.1621085231583604,0.3009708737864077,0.2267059014263622,0.4122340425531914,15482664.0,13.030913290147671,0.7732940985736377,4.341682557420813,-278.0
ani100_cHIGH_stFalse_r3,0.2785621510177574,0.8336364631735066,0.6709677419354839,0.2322195663484475,0.3525423728813559,0.3632511194916833,0.4622222222222221,11397719.0,9.570090978408714,0.6367488805083167,5.023785258167399,-140.0
ani100_cHIGH_stFalse_r4,0.4224635110766412,0.7620871791143446,0.6389891696750902,0.3219540254351392,0.3377862595419847,0.4526710498063421,0.4419475655430712,10899778.0,14.069660420899028,0.547328950193658,6.209441093833801,-247.0
ani100_cHIGH_stFalse_r5,0.399512500348214,0.573378931730953,0.6482758620689655,0.2290720506628209,0.2883435582822086,0.3273597779309943,0.3991507430997876,13179167.0,13.230874150644762,0.6726402220690058,5.363604865746912,-362.0
ani100_cHIGH_stFalse_r6,0.4173210590563864,0.9160492795976516,0.6974789915966386,0.3822866555095318,0.3798627002288329,0.5394496230290232,0.4918518518518517,9138475.0,10.758920331908458,0.4605503769709768,6.011821624788244,-199.0
ani100_cHIGH_stFalse_r7,0.3387497142857142,0.705487996194409,0.640495867768595,0.2389838571428571,0.3421633554083885,0.3570254463439661,0.4460431654676259,12050948.0,11.962343599586443,0.6429745536560338,6.302296542992325,-211.0
ani100_cHIGH_stFalse_r8,0.2832112977062159,0.6267448784489936,0.6366559485530546,0.177501230356264,0.3338954468802698,0.2766516016084857,0.4380530973451327,12994933.0,16.822177955458603,0.7233483983915142,6.525173819884846,-282.0
ani100_cHIGH_stFalse_r9,0.4604156279776743,0.6038313464150765,0.644,0.278013388552302,0.3538461538461538,0.3807318727988196,0.4567375886524823,12661462.0,12.886820923714312,0.6192681272011804,6.068308881685231,-205.0
ani100_cHIGH_stTrue_r0,0.4546277011929556,0.7103971596261687,0.7581521739130435,0.3229662276148502,0.3055859802847754,0.4440534541587269,0.4355971896955504,11321748.0,20.25696606326741,0.5559465458412731,7.080660197045365,-545.0
ani100_cHIGH_stTrue_r1,0.4448681192291939,0.418091019308941,0.7807017543859649,0.1859953654265851,0.3137485311398355,0.2574565290094568,0.4476110645431684,15020277.0,26.04585117181306,0.7425434709905431,5.74693176053522,-509.0
ani100_cHIGH_stTrue_r2,0.517476325660173,0.7315309279175867,0.7591463414634146,0.3785499366855696,0.2957244655581947,0.4989203854905384,0.4256410256410257,10645246.0,19.981323682896857,0.5010796145094617,6.208954940759041,-514.0
ani100_cHIGH_stTrue_r3,0.4832888000381714,0.7493003671714468,0.7602179836512262,0.3621284753184497,0.2858606557377049,0.4882777720820525,0.4154877140729709,10626455.0,22.07992302334086,0.5117222279179474,6.636700634817595,-609.0
ani100_cHIGH_stTrue_r4,0.4388550333913713,0.6270580914882387,0.7731629392971247,0.2751875996784005,0.323962516733601,0.3825091385749755,0.4566037735849055,12438739.0,21.172560603790785,0.6174908614250245,6.707082671306064,-434.0
ani100_cHIGH_stTrue_r5,0.4696708484773852,0.7840880921131674,0.7873754152823921,0.3682633195038056,0.3130779392338177,0.5011507439034194,0.4480151228733459,10264016.0,23.28314002190077,0.4988492560965806,6.323081578021587,-456.0
ani100_cHIGH_stTrue_r6,0.4356261980346874,0.571795272884443,0.7567567567567568,0.2490890007808564,0.2847457627118644,0.3470109435476295,0.4137931034482759,13124286.0,21.95889601050636,0.6529890564523705,5.6402091724401,-552.0
ani100_cHIGH_stTrue_r7,0.454674422096346,0.5914408758167737,0.7222222222222222,0.2689130384161483,0.3023255813953488,0.3697226462930654,0.4262295081967213,12835875.0,19.002055170640727,0.6302773537069346,6.191454980875933,-325.0
ani100_cHIGH_stTrue_r8,0.4531706115680472,0.6707209545939297,0.720626631853786,0.3039510251848356,0.3122171945701357,0.4183280652185175,0.4356748224151539,11833770.0,22.70275935665808,0.5816719347814825,7.130716714684761,-501.0
ani100_cHIGH_stTrue_r9,0.5584016345140522,0.7254727267517599,0.7634408602150538,0.4051051564135491,0.3203007518796992,0.5198982694084132,0.451271186440678,10474680.0,19.744025259979068,0.4801017305915868,5.717283367777248,-386.0
ani100_cLOW_stFalse_r0,0.3031768852604449,0.2557488237066663,0.5833333333333334,0.0775371317804097,0.3333333333333333,0.1189970949567812,0.4242424242424242,16073439.0,4.705399680823782,0.8810029050432189,3.2378042181505786,-45.0
ani100_cLOW_stFalse_r1,0.4197895943458302,0.9258882338368054,0.7457627118644068,0.3886782460919297,0.4536082474226804,0.5475152764040557,0.5641025641025641,8994066.0,6.137767320659169,0.4524847235959442,3.759031982885553,-38.0
ani100_cLOW_stFalse_r2,0.3806408912454596,0.8112953825633227,0.6724137931034483,0.3088121974822292,0.4431818181818182,0.447346155601191,0.5342465753424657,10682234.0,4.317705465735745,0.5526538443988088,3.969030191767527,-30.0
ani100_cLOW_stFalse_r3,0.4445348492192641,0.4967785744551246,0.6666666666666666,0.2208353886907698,0.4590163934426229,0.3057529402078821,0.5436893203883496,14040095.0,6.432878934315144,0.6942470597921179,3.4633835178905588,-38.0
ani100_cLOW_stFalse_r4,0.3363824038907417,0.6957623708554569,0.5833333333333334,0.2340422188450803,0.4117647058823529,0.3502623473097074,0.4827586206896552,12156175.0,5.824687147783634,0.6497376526902926,4.925493808284679,-35.0
ani100_cLOW_stFalse_r5,0.3801544598676058,0.879894599323922,0.6617647058823529,0.334495856146409,0.4054054054054054,0.4847223493789184,0.5027932960893855,9956287.0,6.153086760072326,0.5152776506210817,3.629670153951294,-43.0
ani100_cLOW_stFalse_r6,0.3461585494512214,0.5213357052167886,0.6615384615384615,0.180464811494973,0.3739130434782609,0.2681182117344823,0.4777777777777778,13793203.0,5.094704110661122,0.7318817882655176,3.783512440546729,-50.0
