sample,proportion_classified,precision_taxa,recall_taxa,f1_taxa,precision_reads,recall_reads,f1_reads,dissimilarity_species,shannon_diversity,aitchisons_distance,braycurtis_distance,L1_distance
ani95_cLOW_stFalse_r0-kraken2_refseqV205-0.00,0.999030928156112,0.8571428571428571,0.02359550561797753,0.045926735921268454,0.7567365386013737,0.7574705820149779,0.7571033823867654,3462,0.3454239446999319,4.317617472494311,0.24289661761323464,6797807.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205-0.05,0.9983627850126221,0.8571428571428571,0.0634441087613293,0.11814345991561181,0.7616420407037318,0.7628910573766052,0.762266037394127,1226,0.21092980591870614,3.051399182247034,0.23773396260587287,6651099.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205-0.10,0.9978938562402241,0.8571428571428571,0.12017167381974249,0.2107904642409034,0.7577020390151595,0.7593012365763651,0.7585007948731132,601,0.11446972755624696,2.6881141979607928,0.24149920512688688,6754854.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205-0.15,0.9974677846290505,0.8571428571428571,0.1826086956521739,0.3010752688172043,0.7534723943453119,0.7553851923403437,0.754427580903628,362,0.07307581109647909,2.635831504478183,0.24557241909637195,6867319.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205-0.20,0.9969460701197443,0.8571428571428571,0.24489795918367346,0.38095238095238093,0.7481370349158721,0.7504287918262345,0.7492811609789853,245,0.04385561188939313,2.6802796720167446,0.2507188390210147,7009405.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205-0.25,0.9963844270218973,0.8571428571428571,0.30434782608695654,0.4491978609625668,0.7419883179949934,0.7446807656485853,0.7433321037289929,178,0.01988599111709899,2.8022911887717443,0.25666789627100717,7173706.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205-0.30,0.9955501409500604,0.8571428571428571,0.37168141592920356,0.5185185185185185,0.7370671730287884,0.7403616781424993,0.7387107523921984,128,-0.011489039542601276,2.9959687560776227,0.2612892476078015,7299818.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205-0.35,0.9944273547545807,0.8571428571428571,0.4263959390862944,0.5694915254237288,0.7332755999752572,0.7373847837846593,0.7353244511284681,99,-0.023422727079867478,3.1466347246306006,0.26467554887153205,7390263.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205-0.40,0.9929569969815701,0.8571428571428571,0.4970414201183432,0.6292134831460674,0.7260175254360823,0.731167137794546,0.7285832323885272,71,-0.0349541760858445,3.328537813815782,0.27141676761147276,7572904.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205-0.45,0.9910420675894576,0.8469387755102041,0.5570469798657718,0.6720647773279351,0.7170190215795806,0.7235000864530488,0.7202449744797921,51,-0.04485155595691026,3.544264811751574,0.27975502552020787,7798053.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205-0.50,0.9890894238954674,0.8469387755102041,0.6058394160583942,0.7063829787234043,0.7072740174031503,0.7150759075125841,0.7111535649493451,39,-0.05088038244443105,3.7351893163104024,0.28884643505065494,8043576.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205-0.55,0.9862027798011913,0.8469387755102041,0.6535433070866141,0.7377777777777779,0.6943127261340255,0.704026332468858,0.6991357913651925,29,-0.057474886404682124,4.01504964645576,0.30086420863480756,8366079.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205-0.60,0.9825784211050376,0.8469387755102041,0.680327868852459,0.7545454545454545,0.6802133629485841,0.6922738667348256,0.6861906250038281,24,-0.06399278271805642,4.325596744091936,0.313809374996172,8710120.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205-0.65,0.9769239186816794,0.8469387755102041,0.7155172413793104,0.7757009345794393,0.6636720701451729,0.6793487777848375,0.6714189290478569,18,-0.07303371528069569,4.77984872725576,0.32858107095214306,9094113.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205-0.70,0.9601086971894417,0.8469387755102041,0.7345132743362832,0.7867298578199051,0.642161203783373,0.6688421901220071,0.6552301968805652,15,-0.08886615534913567,5.310019553597197,0.3447698031194348,9461004.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205-0.75,0.9472411202461944,0.8469387755102041,0.7410714285714286,0.7904761904761906,0.6232153385208594,0.6579268205321169,0.6401008401487174,14,-0.10548903399211085,5.708614658752027,0.35989915985128257,9811342.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205-0.80,0.929954184266079,0.8469387755102041,0.7477477477477478,0.7942583732057418,0.5965868271086402,0.6415228160723502,0.618239367516913,13,-0.1317749024516992,6.07775352960203,0.381760632483087,10314923.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205-0.85,0.915817035350158,0.8469387755102041,0.7614678899082569,0.8019323671497586,0.5682605292545125,0.6204956965418764,0.593230479496859,11,-0.1664563696940169,6.560640686277106,0.406769520503141,10910139.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205-0.90,0.9048547449377479,0.8469387755102041,0.7830188679245284,0.8137254901960785,0.5340568003100573,0.5902127422084738,0.5607323096202915,8,-0.22374453249240833,7.328500508880764,0.43926769037970853,11714371.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205-0.95,0.8949243121104195,0.8469387755102041,0.8058252427184466,0.8258706467661691,0.47883341950003694,0.5350546554834869,0.5053852720552723,5,-0.35510920747368235,8.68110186570123,0.49461472794472783,13121599.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205-1.00,0.8868145943491119,0.8367346938775511,0.803921568627451,0.8200000000000001,0.3728081597749256,0.42039019446737075,0.3951720120158727,4,-0.7247878833641961,11.367556793155178,0.6048279879841273,15976769.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205-0.00,0.9998697142857143,0.5746268656716418,0.0185721177038109,0.03598130841121495,0.6991672857142858,0.699258389092979,0.6992128344360719,4012,0.14130630357858287,7.848840586766924,0.30078716556392815,8421492.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205-0.05,0.9998554285714286,0.5746268656716418,0.047384615384615386,0.08754974417282547,0.7349296428571429,0.7350359080484207,0.7349827716117765,1491,0.11396974554855799,7.288114135733291,0.2650172283882235,7419946.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205-0.10,0.9997207857142857,0.5746268656716418,0.09188544152744631,0.15843621399176955,0.7589897857142858,0.7592017656930067,0.7590957609046206,704,0.0376907967323028,7.086396888599916,0.24090423909537942,6744377.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205-0.15,0.9994703571428571,0.5746268656716418,0.14076782449725778,0.2261380323054332,0.7545535714285714,0.7549534271187204,0.7547534463144436,413,-0.018079107397221073,7.3128158510138945,0.24524655368555637,6865085.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205-0.20,0.9990423571428572,0.5746268656716418,0.19642857142857142,0.29277566539923955,0.7585181428571428,0.7592452286271575,0.7588815115866373,258,-0.03002905601713568,7.221357922640566,0.24111848841336278,6748085.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205-0.25,0.9985075,0.5746268656716418,0.2558139534883721,0.3540229885057471,0.7538561428571429,0.754982954917357,0.754419128131511,167,-0.056568130543239725,7.302110709175702,0.245580871868489,6871133.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205-0.30,0.9976512142857142,0.5671641791044776,0.33043478260869563,0.41758241758241754,0.7515347142857143,0.7533040641100093,0.7524183490203871,96,-0.1191099775671347,7.441681165304593,0.24758165097961296,6924145.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205-0.35,0.9964182142857143,0.5671641791044776,0.41081081081081083,0.47648902821316613,0.7499940714285714,0.7526900458821973,0.7513396402235359,51,-0.14224992296961148,7.528371093979114,0.24866035977646395,6950021.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205-0.40,0.9948233571428572,0.5671641791044776,0.5,0.5314685314685315,0.7432519285714285,0.7471194993913851,0.7451806957343555,18,-0.1543763689650275,7.594441587121031,0.2548193042656444,7116473.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205-0.45,0.9928638571428572,0.5671641791044776,0.5891472868217055,0.5779467680608366,0.7370579285714286,0.7423554833514076,0.7396972210917999,-5,-0.17494109967211902,7.708472630960327,0.2603027789082001,7262472.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205-0.50,0.9909128571428572,0.5671641791044776,0.6846846846846847,0.6204081632653061,0.7336230714285714,0.7403507444073935,0.736971554326479,-23,-0.19179694641827627,7.7839948002949155,0.2630284456735209,7331334.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205-0.55,0.9881804285714286,0.5671641791044776,0.7835051546391752,0.6580086580086579,0.7284294285714286,0.7371421326614298,0.7327598824567733,-37,-0.2067262871057025,7.836834662394199,0.2672401175432267,7438502.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205-0.60,0.9848616428571428,0.5671641791044776,0.8444444444444444,0.6785714285714286,0.7215308571428571,0.7326215437222763,0.7270339066094675,-44,-0.21687644361759872,8.000890548189915,0.27296609339053246,7585199.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205-0.65,0.9793966428571429,0.5671641791044776,0.8539325842696629,0.6816143497757847,0.7144288571428571,0.7294581438003412,0.721865281242087,-45,-0.22555290032859876,8.10509903360097,0.278134718757913,7707545.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205-0.70,0.9620802857142857,0.5671641791044776,0.8539325842696629,0.6816143497757847,0.7041019285714286,0.7318536082970206,0.7177096000585967,-45,-0.2316362540046537,8.271834664496025,0.2822903999414033,7754270.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205-0.75,0.949983,0.5671641791044776,0.8539325842696629,0.6816143497757847,0.6952840714285714,0.7318910669228517,0.7131180850587635,-45,-0.23986986479464445,8.422752445132229,0.2868819149412365,7831808.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205-0.80,0.9343287142857143,0.5671641791044776,0.8636363636363636,0.6846846846846847,0.6834395,0.7314765023811596,0.7066425628204277,-46,-0.2518931932512709,8.657823825771079,0.2933574371795723,7944296.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205-0.85,0.9213720714285715,0.5671641791044776,0.8636363636363636,0.6846846846846847,0.6705675,0.7277923010628016,0.6980090009338192,-46,-0.266079805744436,8.828752825970803,0.3019909990661807,8123319.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205-0.90,0.9107017857142857,0.5671641791044776,0.8636363636363636,0.6846846846846847,0.6495671428571429,0.7132599859213754,0.6799251957723088,-46,-0.29032224224971515,9.137434095729946,0.3200748042276912,8561945.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205-0.95,0.9012337142857143,0.5671641791044776,0.8735632183908046,0.6877828054298641,0.6026561428571429,0.6687012850321369,0.6339632401096551,-47,-0.360786683606646,10.19383271610917,0.3660367598903449,9742900.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205-1.00,0.8934532142857143,0.5671641791044776,0.8941176470588236,0.6940639269406393,0.5190290714285715,0.5809247346471496,0.5482354330306174,-49,-0.6144532354616441,11.824844414126163,0.45176456696938266,11975531.0
ani97_cHIGH_stTrue_r4-kraken2_refseqV205-0.00,0.9998092145310099,0.6124661246612466,0.07749014229384536,0.13757418962106227,0.7519201046741512,0.7520635874783986,0.7519918392320135,5095,0.09303676321166332,22.837756169969737,0.24800816076798657,6943575.0
ani97_cHIGH_stTrue_r4-kraken2_refseqV205-0.05,0.999809357387969,0.6124661246612466,0.14390321553645335,0.23304975509151843,0.7644878028013964,0.7646335745432938,0.7645606817241064,2403,0.019052316744015307,22.609179651159675,0.2354393182758936,6591681.0
