Sample name	Simpson's diversity
strain_sample_87-kraken2_chocophlan-0.35	0.7244736732278998
strain_sample_87-kraken2_chocophlan-0.45	0.7303716433438805
strain_sample_87-kraken2_chocophlan-0.40	0.7275746429677712
strain_sample_87-kraken2_chocophlan-0.15	0.728592461951085
strain_sample_87-kraken2_chocophlan-0.10	0.7330504226603842
strain_sample_87-kraken2_chocophlan-0.50	0.732602813082332
strain_sample_87-kraken2_chocophlan-0.25	0.7233974539142397
strain_sample_87-kraken2_chocophlan-0.55	0.7351552644695756
strain_sample_87-kraken2_chocophlan-0.20	0.7260578406244667
strain_sample_87-kraken2_chocophlan-0.30	0.7217285252745987
strain_sample_87-kraken2_chocophlan-0.05	0.7445772157700342
strain_sample_87-kraken2_chocophlan-0.00	0.7717965167927849
strain_sample_87-kraken2_chocophlan-0.90	0.7365749323487346
strain_sample_87-kraken2_chocophlan-0.95	0.7328377140420811
strain_sample_87-kraken2_chocophlan-1.00	0.7355141331280897
strain_sample_74-kraken2_chocophlan-0.10	0.6053199399360527
strain_sample_87-kraken2_chocophlan-0.65	0.7391362671016994
strain_sample_87-kraken2_chocophlan-0.75	0.7389761491031038
strain_sample_87-kraken2_chocophlan-0.60	0.7375982749944925
strain_sample_87-kraken2_chocophlan-0.85	0.7366281549052216
strain_sample_87-kraken2_chocophlan-0.80	0.7381951848461251
strain_sample_87-kraken2_chocophlan-0.70	0.7387462607266185
strain_sample_74-kraken2_chocophlan-0.05	0.6148376677338692
strain_sample_74-kraken2_chocophlan-0.00	0.643800185861475
strain_sample_74-kraken2_chocophlan-0.25	0.5983316717015963
strain_sample_74-kraken2_chocophlan-0.65	0.6727200013078246
strain_sample_74-kraken2_chocophlan-0.50	0.6452353404227542
strain_sample_74-kraken2_chocophlan-0.55	0.656505965110471
strain_sample_74-kraken2_chocophlan-0.70	0.6790608771062026
strain_sample_74-kraken2_chocophlan-0.15	0.6027641648660678
strain_sample_74-kraken2_chocophlan-0.60	0.6653378406886368
strain_sample_74-kraken2_chocophlan-0.40	0.6245191847977608
strain_sample_74-kraken2_chocophlan-0.45	0.6361491765525835
strain_sample_74-kraken2_chocophlan-0.30	0.6011992853488636
