Sample name	Precision taxa
strain_sample_40-kraken2_minikraken-0.35	0.4
strain_sample_40-kraken2_minikraken-0.30	0.3
strain_sample_40-kraken2_minikraken-0.15	0.12173913043478261
strain_sample_40-kraken2_minikraken-0.45	0.6923076923076923
strain_sample_40-kraken2_minikraken-0.10	0.06306306306306306
strain_sample_40-kraken2_minikraken-0.40	0.5294117647058824
strain_sample_40-kraken2_minikraken-0.05	0.02092675635276532
strain_sample_40-kraken2_minikraken-0.25	0.26
strain_sample_40-kraken2_minikraken-0.20	0.1917808219178082
strain_sample_40-kraken2_minikraken-0.50	0.625
strain_sample_40-kraken2_minikraken-0.00	0.004755434782608696
strain_sample_40-kraken2_minikraken-0.55	1.0
strain_sample_40-kraken2_minikraken-0.75	0
strain_sample_40-kraken2_minikraken-0.90	0
strain_sample_40-kraken2_minikraken-0.85	0
strain_sample_40-kraken2_minikraken-0.80	0
strain_sample_40-kraken2_minikraken-0.95	0
strain_sample_40-kraken2_minikraken-1.00	0
strain_sample_39-kraken2_minikraken-0.05	0.02254428341384863
strain_sample_39-kraken2_minikraken-0.10	0.06222222222222222
strain_sample_40-kraken2_minikraken-0.70	0
strain_sample_40-kraken2_minikraken-0.65	0
strain_sample_40-kraken2_minikraken-0.60	0
strain_sample_39-kraken2_minikraken-0.00	0.005154639175257732
strain_sample_39-kraken2_minikraken-0.40	0.6923076923076923
strain_sample_39-kraken2_minikraken-0.25	0.25
strain_sample_39-kraken2_minikraken-0.20	0.18421052631578946
strain_sample_39-kraken2_minikraken-0.35	0.5714285714285714
strain_sample_39-kraken2_minikraken-0.30	0.30952380952380953
strain_sample_39-kraken2_minikraken-0.45	0.6363636363636364
strain_sample_39-kraken2_minikraken-0.15	0.12280701754385964
strain_sample_39-kraken2_minikraken-0.50	1.0
strain_sample_39-kraken2_minikraken-0.60	0
strain_sample_39-kraken2_minikraken-0.55	1.0
strain_sample_39-kraken2_minikraken-0.65	0
strain_sample_39-kraken2_minikraken-0.70	0
strain_sample_39-kraken2_minikraken-0.95	0
strain_sample_39-kraken2_minikraken-0.80	0
strain_sample_39-kraken2_minikraken-1.00	0
strain_sample_39-kraken2_minikraken-0.90	0
strain_sample_39-kraken2_minikraken-0.75	0
strain_sample_39-kraken2_minikraken-0.85	0
strain_sample_32-kraken2_minikraken-0.10	0.0603448275862069
strain_sample_32-kraken2_minikraken-0.15	0.125
strain_sample_32-kraken2_minikraken-0.25	0.22641509433962265
strain_sample_32-kraken2_minikraken-0.05	0.02197802197802198
strain_sample_32-kraken2_minikraken-0.20	0.19718309859154928
strain_sample_32-kraken2_minikraken-0.00	0.004957507082152974
strain_sample_32-kraken2_minikraken-0.30	0.35294117647058826
strain_sample_32-kraken2_minikraken-0.35	0.4583333333333333
strain_sample_32-kraken2_minikraken-0.50	1.0
strain_sample_32-kraken2_minikraken-0.60	0
strain_sample_32-kraken2_minikraken-0.55	1.0
strain_sample_32-kraken2_minikraken-0.40	0.5625
strain_sample_32-kraken2_minikraken-0.45	0.875
strain_sample_32-kraken2_minikraken-0.65	0
strain_sample_32-kraken2_minikraken-0.70	0
strain_sample_32-kraken2_minikraken-0.80	0
strain_sample_32-kraken2_minikraken-0.85	0
strain_sample_32-kraken2_minikraken-0.75	0
strain_sample_32-kraken2_minikraken-0.95	0
mouse_sample_14-kraken2_minikraken-0.10	0.14391143911439114
strain_sample_32-kraken2_minikraken-1.00	0
strain_sample_32-kraken2_minikraken-0.90	0
mouse_sample_14-kraken2_minikraken-0.15	0.21787709497206703
mouse_sample_14-kraken2_minikraken-0.30	0.43820224719101125
mouse_sample_14-kraken2_minikraken-0.20	0.2746478873239437
mouse_sample_14-kraken2_minikraken-0.35	0.5671641791044776
mouse_sample_14-kraken2_minikraken-0.40	0.7115384615384616
mouse_sample_14-kraken2_minikraken-0.25	0.34210526315789475
mouse_sample_14-kraken2_minikraken-0.05	0.04540162980209546
mouse_sample_14-kraken2_minikraken-0.00	0.009556481254594462
mouse_sample_14-kraken2_minikraken-0.45	0.825
mouse_sample_14-kraken2_minikraken-0.50	0.8888888888888888
mouse_sample_14-kraken2_minikraken-0.80	0
mouse_sample_14-kraken2_minikraken-0.75	0
mouse_sample_14-kraken2_minikraken-0.90	0
mouse_sample_14-kraken2_minikraken-1.00	0
mouse_sample_14-kraken2_minikraken-0.65	0
mouse_sample_14-kraken2_minikraken-0.55	1.0
mouse_sample_14-kraken2_minikraken-0.95	0
mouse_sample_14-kraken2_minikraken-0.85	0
mouse_sample_14-kraken2_minikraken-0.70	0
mouse_sample_14-kraken2_minikraken-0.60	0
plant_sample_20-kraken2_minikraken-0.35	0.546875
plant_sample_20-kraken2_minikraken-0.20	0.22857142857142856
plant_sample_20-kraken2_minikraken-0.30	0.43820224719101125
plant_sample_20-kraken2_minikraken-0.50	0.7272727272727273
plant_sample_20-kraken2_minikraken-0.10	0.061313868613138686
plant_sample_20-kraken2_minikraken-0.25	0.312
plant_sample_20-kraken2_minikraken-0.40	0.6888888888888889
plant_sample_20-kraken2_minikraken-0.55	0.75
plant_sample_20-kraken2_minikraken-0.45	0.7272727272727273
plant_sample_20-kraken2_minikraken-0.15	0.132890365448505
plant_sample_20-kraken2_minikraken-0.05	0.024293785310734464
plant_sample_20-kraken2_minikraken-0.00	0.010776942355889725
plant_sample_20-kraken2_minikraken-0.85	0.0
plant_sample_20-kraken2_minikraken-0.80	0.0
plant_sample_20-kraken2_minikraken-0.75	0.0
plant_sample_20-kraken2_minikraken-0.90	0.0
plant_sample_20-kraken2_minikraken-0.95	0.0
plant_sample_20-kraken2_minikraken-1.00	0.0
strain_sample_57-kraken2_minikraken-0.05	0.023890784982935155
strain_sample_57-kraken2_minikraken-0.10	0.06829268292682927
plant_sample_20-kraken2_minikraken-0.70	0.0
plant_sample_20-kraken2_minikraken-0.65	0.0
plant_sample_20-kraken2_minikraken-0.60	0.5
strain_sample_57-kraken2_minikraken-0.00	0.005384615384615384
strain_sample_57-kraken2_minikraken-0.45	0.8571428571428571
strain_sample_57-kraken2_minikraken-0.30	0.38235294117647056
strain_sample_57-kraken2_minikraken-0.20	0.2
strain_sample_57-kraken2_minikraken-0.60	0
strain_sample_57-kraken2_minikraken-0.50	0.8
strain_sample_57-kraken2_minikraken-0.40	0.6153846153846154
strain_sample_57-kraken2_minikraken-0.65	0
strain_sample_57-kraken2_minikraken-0.70	0
strain_sample_57-kraken2_minikraken-0.25	0.28
strain_sample_57-kraken2_minikraken-0.35	0.5
strain_sample_57-kraken2_minikraken-0.15	0.13592233009708737
strain_sample_57-kraken2_minikraken-0.55	0.5
strain_sample_57-kraken2_minikraken-0.85	0
strain_sample_57-kraken2_minikraken-0.75	0
strain_sample_57-kraken2_minikraken-0.90	0
strain_sample_57-kraken2_minikraken-1.00	0
strain_sample_57-kraken2_minikraken-0.95	0
strain_sample_57-kraken2_minikraken-0.80	0
strain_sample_6-kraken2_minikraken-0.15	0.109375
strain_sample_6-kraken2_minikraken-0.05	0.020558002936857563
strain_sample_6-kraken2_minikraken-0.10	0.05555555555555555
strain_sample_6-kraken2_minikraken-0.25	0.22950819672131148
strain_sample_6-kraken2_minikraken-0.20	0.17073170731707318
strain_sample_6-kraken2_minikraken-0.00	0.0047169811320754715
strain_sample_6-kraken2_minikraken-0.40	0.6428571428571429
strain_sample_6-kraken2_minikraken-0.35	0.47619047619047616
strain_sample_6-kraken2_minikraken-0.30	0.2972972972972973
strain_sample_6-kraken2_minikraken-0.45	0.8
strain_sample_6-kraken2_minikraken-0.60	0
strain_sample_6-kraken2_minikraken-0.65	0
strain_sample_6-kraken2_minikraken-0.55	0.75
strain_sample_6-kraken2_minikraken-0.50	0.8333333333333334
strain_sample_6-kraken2_minikraken-0.70	0
strain_sample_6-kraken2_minikraken-0.80	0
strain_sample_6-kraken2_minikraken-0.75	0
strain_sample_6-kraken2_minikraken-0.85	0
strain_sample_25-kraken2_minikraken-0.15	0.11403508771929824
strain_sample_25-kraken2_minikraken-0.20	0.15384615384615385
strain_sample_25-kraken2_minikraken-0.05	0.02204724409448819
strain_sample_6-kraken2_minikraken-0.90	0
strain_sample_25-kraken2_minikraken-0.25	0.19672131147540983
strain_sample_25-kraken2_minikraken-0.40	0.7
strain_sample_25-kraken2_minikraken-0.35	0.38095238095238093
strain_sample_25-kraken2_minikraken-0.00	0.004672897196261682
strain_sample_6-kraken2_minikraken-1.00	0
strain_sample_6-kraken2_minikraken-0.95	0
strain_sample_25-kraken2_minikraken-0.10	0.06140350877192982
strain_sample_25-kraken2_minikraken-0.30	0.2727272727272727
strain_sample_25-kraken2_minikraken-0.60	0
strain_sample_25-kraken2_minikraken-0.55	1.0
strain_sample_25-kraken2_minikraken-0.50	1.0
strain_sample_25-kraken2_minikraken-0.45	0.8571428571428571
strain_sample_25-kraken2_minikraken-0.85	0
strain_sample_25-kraken2_minikraken-0.90	0
strain_sample_25-kraken2_minikraken-1.00	0
strain_sample_25-kraken2_minikraken-0.70	0
strain_sample_25-kraken2_minikraken-0.65	0
strain_sample_25-kraken2_minikraken-0.95	0
strain_sample_25-kraken2_minikraken-0.75	0
strain_sample_25-kraken2_minikraken-0.80	0
marine_sample_8-kraken2_minikraken-0.00	0.08229931628260319
marine_sample_8-kraken2_minikraken-0.20	0.6923076923076923
marine_sample_8-kraken2_minikraken-0.15	0.5887681159420289
marine_sample_8-kraken2_minikraken-0.40	0.8938053097345132
marine_sample_8-kraken2_minikraken-0.45	0.9250936329588015
marine_sample_8-kraken2_minikraken-0.30	0.8136020151133502
marine_sample_8-kraken2_minikraken-0.25	0.7623529411764706
marine_sample_8-kraken2_minikraken-0.35	0.8594594594594595
marine_sample_8-kraken2_minikraken-0.55	0.9555555555555556
marine_sample_8-kraken2_minikraken-0.10	0.4093198992443325
marine_sample_8-kraken2_minikraken-0.50	0.93125
marine_sample_8-kraken2_minikraken-0.05	0.176056338028169
marine_sample_8-kraken2_minikraken-0.60	1.0
marine_sample_8-kraken2_minikraken-0.65	0
marine_sample_8-kraken2_minikraken-0.85	0
marine_sample_8-kraken2_minikraken-0.90	0
marine_sample_8-kraken2_minikraken-0.70	0
marine_sample_8-kraken2_minikraken-0.95	0
marine_sample_8-kraken2_minikraken-0.80	0
marine_sample_8-kraken2_minikraken-0.75	0
marine_sample_8-kraken2_minikraken-1.00	0
marine_sample_3-kraken2_minikraken-0.10	0.41379310344827586
marine_sample_3-kraken2_minikraken-0.00	0.09029345372460497
marine_sample_3-kraken2_minikraken-0.05	0.18126888217522658
marine_sample_3-kraken2_minikraken-0.65	0
marine_sample_3-kraken2_minikraken-0.35	0.8578431372549019
marine_sample_3-kraken2_minikraken-0.60	1.0
marine_sample_3-kraken2_minikraken-0.45	0.9290540540540541
marine_sample_3-kraken2_minikraken-0.40	0.893048128342246
marine_sample_3-kraken2_minikraken-0.25	0.7366255144032922
marine_sample_3-kraken2_minikraken-0.50	0.9515151515151515
marine_sample_3-kraken2_minikraken-0.70	0
marine_sample_3-kraken2_minikraken-0.15	0.5921052631578947
marine_sample_3-kraken2_minikraken-0.55	0.9534883720930233
marine_sample_3-kraken2_minikraken-0.30	0.7906458797327395
marine_sample_3-kraken2_minikraken-0.20	0.6851145038167938
marine_sample_3-kraken2_minikraken-0.90	0
marine_sample_3-kraken2_minikraken-0.85	0
marine_sample_3-kraken2_minikraken-0.95	0
marine_sample_3-kraken2_minikraken-1.00	0
plant_sample_19-kraken2_minikraken-0.10	0.04491017964071856
