Sample,kraken2_chocophlan,kraken2_refseqV93,kraken2_refseqV205,kraken2_refseqV208_nt,kraken2_minikraken,kraken2_standard_0521,kraken2_GTDBr202RefSeqV205
RM1_S001__insert_5000,0.7083333333333334,0.5555555555555556,1.0,1.0,0.2638888888888889,0.3333333333333333,0.8333333333333334
RM2_S001__insert_270,0.7083333333333334,0.5555555555555556,1.0,1.0,0.2638888888888889,0.3333333333333333,0.8333333333333334
RH_S001__insert_270,0.6213991769547325,0.4156378600823045,0.9835390946502057,0.9835390946502057,0.053497942386831275,0.09053497942386832,0.7530864197530864
RL_S001__insert_270,0.7391304347826086,0.43478260869565216,1.0,1.0,0.21739130434782608,0.17391304347826086,0.8260869565217391
RH_S003__insert_270,0.6213991769547325,0.4156378600823045,0.9835390946502057,0.9835390946502057,0.053497942386831275,0.09053497942386832,0.7530864197530864
RM2_S002__insert_270,0.7083333333333334,0.5555555555555556,1.0,1.0,0.2638888888888889,0.3333333333333333,0.8333333333333334
RM1_S002__insert_5000,0.7083333333333334,0.5555555555555556,1.0,1.0,0.2638888888888889,0.3333333333333333,0.8333333333333334
RH_S002__insert_270,0.6213991769547325,0.4156378600823045,0.9835390946502057,0.9835390946502057,0.053497942386831275,0.09053497942386832,0.7530864197530864
RH_S004__insert_270,0.6213991769547325,0.4156378600823045,0.9835390946502057,0.9835390946502057,0.053497942386831275,0.09053497942386832,0.7530864197530864
RH_S005__insert_270,0.6213991769547325,0.4156378600823045,0.9835390946502057,0.9835390946502057,0.053497942386831275,0.09053497942386832,0.7530864197530864
UnAmbiguouslyMapped_ds.7,0.8946360153256705,0.6130268199233716,1.0,0.9980842911877394,0.9923371647509579,0.9674329501915708,0.9923371647509579
UnAmbiguouslyMapped_ds.hous2,1.0,0.85,1.0,1.0,1.0,1.0,1.0
Huttenhower_LC1,0.96,0.48,1.0,1.0,0.96,0.96,1.0
Huttenhower_LC7,0.92,0.68,1.0,1.0,0.96,0.96,0.96
ABRF_MGRG_10ng,0.8,1.0,1.0,1.0,1.0,1.0,1.0
BioPool,0.8,0.9,1.0,1.0,0.8,0.8,1.0
Huttenhower_HC2,0.93,0.67,0.99,0.99,0.98,0.98,1.0
ABRF_MGRG_classIplus,0.8,0.9,1.0,1.0,1.0,1.0,1.0
Carma_eval_carma,0.92,1.0,1.0,1.0,0.96,0.96,0.96
Huttenhower_LC6,0.92,0.72,1.0,1.0,1.0,1.0,1.0
ABRF_MGRG_5ng,0.8,1.0,1.0,1.0,1.0,1.0,1.0
UnAmbiguouslyMapped_ds.gut,0.9,1.0,1.0,1.0,0.95,1.0,1.0
UnAmbiguouslyMapped_ds.buccal,0.8333333333333334,1.0,1.0,1.0,0.9166666666666666,1.0,1.0
Huttenhower_LC3,0.88,0.8,1.0,1.0,1.0,0.96,1.0
Huttenhower_HC1,0.92,0.6,1.0,1.0,0.99,0.98,1.0
