Sample,kraken2_chocophlan,kraken2_refseqV93,kraken2_refseqV205,kraken2_refseqV208_nt,kraken2_minikraken,kraken2_standard_0521,kraken2_GTDBr202RefSeqV205
RM1_S001__insert_5000,0.1708795309988785,0.13976134997803785,1.0,1.0,0.08212705350375257,0.09090834528085658,0.19101120870453778
RM2_S001__insert_270,0.17088021383785132,0.1397619860659426,1.0,1.0,0.08212730909174316,0.09090863448693624,0.19101197045876667
RH_S001__insert_270,0.11044094888093477,0.0788984849567571,0.9947578797147681,0.9947578797147681,0.01838699282127963,0.028437752007567284,0.13457948440714076
RL_S001__insert_270,0.21920129790566364,0.17791390879971833,1.0,1.0,0.03295327641081285,0.027793751639073067,0.2671357863467217
RH_S003__insert_270,0.11320988795749432,0.0833183464571426,0.9939976500058246,0.9939976500058246,0.02475447001310137,0.03306431345836926,0.1413386241880223
RM2_S002__insert_270,0.22403927421254802,0.1827877748683695,1.0,1.0,0.1250224421533726,0.14111032993962772,0.2503112440853654
RM1_S002__insert_5000,0.22403893270765696,0.18278758100586018,1.0,1.0,0.12502244494866227,0.14111031426624038,0.2503108028654384
RH_S002__insert_270,0.10818039627333942,0.08324559458651817,0.9925688433394704,0.9925688433394704,0.02529173964283923,0.03400411123938963,0.1390168694044915
RH_S004__insert_270,0.11245224299288532,0.08240365735948743,0.9929625364880432,0.9929625364880432,0.019432051977517666,0.026364761660573117,0.13915857239739118
RH_S005__insert_270,0.10868986850389625,0.08100207530080496,0.9951563698857474,0.9951563698857474,0.021620052352435474,0.02932997571267466,0.13686363898870063
UnAmbiguouslyMapped_ds.7,0.9297359725889875,0.6751189192728225,1.0,0.9989651906331158,0.9813379891316208,0.9554127583422448,0.9734741712315313
UnAmbiguouslyMapped_ds.hous2,1.0,0.85,1.0,1.0,1.0,1.0,1.0
Huttenhower_LC1,0.96,0.48,1.0,1.0,0.96,0.96,1.0
Huttenhower_LC7,0.92,0.68,1.0,1.0,0.96,0.96,0.96
ABRF_MGRG_10ng,0.8,1.0,1.0,1.0,1.0,1.0,1.0
BioPool,0.7599997445582934,0.9800005108834132,1.0,1.0,0.9600010217668264,0.9600010217668264,1.0
Huttenhower_HC2,0.93,0.67,0.99,0.99,0.98,0.98,1.0
ABRF_MGRG_classIplus,0.7272712727127272,0.9090910909109091,1.0,1.0,1.0,1.0,1.0
Carma_eval_carma,0.92,1.0,1.0,1.0,0.96,0.96,0.96
Huttenhower_LC6,0.92,0.72,1.0,1.0,1.0,1.0,1.0
ABRF_MGRG_5ng,0.8,1.0,1.0,1.0,1.0,1.0,1.0
UnAmbiguouslyMapped_ds.gut,0.9,1.0,1.0,1.0,0.95,1.0,1.0
UnAmbiguouslyMapped_ds.buccal,0.8333333333333334,1.0,1.0,1.0,0.9166666666666666,1.0,1.0
Huttenhower_LC3,0.88,0.8,1.0,1.0,1.0,0.96,1.0
Huttenhower_HC1,0.92,0.6,1.0,1.0,0.99,0.98,1.0
JGI_SRR033548,0.900005042610055,0.80001008522011,1.0,1.0,0.900005042610055,0.900005042610055,1.0
HMP_even_illum_SRR172902,0.9090909090909091,1.0,1.0,1.0,0.9090909090909091,0.9545454545454546,1.0
BMI_bmi_reads,1.0,0.9,1.0,1.0,0.8,0.8,1.0
UnAmbiguouslyMapped_ds.nycsm,0.55,1.0,1.0,1.0,1.0,0.95,1.0
Huttenhower_LC5,0.92,0.56,1.0,1.0,0.96,0.92,1.0
Huttenhower_LC8,0.96,0.76,1.0,1.0,0.96,1.0,1.0
Raiphy_eval_RAIphy,0.8679245283018868,0.7735849056603774,1.0,1.0,0.9245283018867925,0.9433962264150944,0.9433962264150944
HMP_even_454_SRR072233,0.9090909090909091,1.0,1.0,1.0,0.9090909090909091,0.9545454545454546,1.0
Huttenhower_LC2,0.96,0.56,1.0,1.0,1.0,1.0,1.0
UnAmbiguouslyMapped_ds.hous1,0.7,0.9,1.0,1.0,1.0,1.0,1.0
UnAmbiguouslyMapped_ds.soil,0.94,0.58,1.0,0.98,1.0,0.98,1.0
JGI_SRR033549,0.9,0.8,1.0,1.0,0.9,0.9,1.0
Huttenhower_LC4,0.84,0.56,1.0,1.0,0.96,0.96,1.0
ABRF_MGRG_1ng,0.8,1.0,1.0,1.0,1.0,1.0,1.0
UnAmbiguouslyMapped_ds.cityparks,0.9375,0.6041666666666666,1.0,1.0,1.0,0.9791666666666666,1.0
ABRF_MGRG_Half,0.8,1.0,1.0,1.0,1.0,1.0,1.0
ABRF_MGRG_Normal,0.8,1.0,1.0,1.0,1.0,1.0,1.0
ani97_cLOW_stFalse_r5,0.9225537474769654,0.9974115725378975,1.0,0.9991891432046529,0.832730500258357,0.9429968815727651,0.9971048583836322
ani95_cLOW_stFalse_r6,0.743150036692852,0.9885664302047957,1.0,0.9415708654898763,0.5284593530772352,0.7677297474671789,0.8131797409743228
ani100_cLOW_stTrue_r3,0.7383201735657887,0.9980804277487547,0.9822757066895886,0.9546901234386244,0.5391058024739154,0.7320433137328487,0.7624827553497523
ani100_cLOW_stTrue_r2,0.6223597492456426,0.9187531196437485,0.9996271427506123,0.9808281373794678,0.5870971677420479,0.6071137448896414,0.6437481839280526
ani95_cLOW_stFalse_r7,0.9797664372429554,0.9963380015694279,1.0,0.9992680003137141,0.9371883126335803,0.946683451421378,0.9885200049199979
ani97_cLOW_stFalse_r4,0.7979720014485704,0.9801078713515204,0.9928607193852005,0.856038531401049,0.6659298100501356,0.7100047785680154,0.8076529945335753
ani97_cLOW_stFalse_r6,0.7801458085089392,0.9922455747518966,0.9987255719747549,0.9090843246781466,0.23769004098998242,0.7085228392044974,0.8212075051967835
ani95_cLOW_stFalse_r5,0.7141976734568105,0.9050521292931614,0.9988804284114897,0.995556142222306,0.6077028011004002,0.7194646742092392,0.8239728319961188
ani99_cHIGH_stFalse_r9,0.8217157297969498,0.9924635660454043,0.9998852856323469,0.8949783535559668,0.6040010028578592,0.7254179467271048,0.8551333250952322
ani100_cLOW_stTrue_r0,0.905906388245595,0.99913585677251,0.9994458569053672,0.9615505549502379,0.8410620747408891,0.9018911008104717,0.9167219643094133
ani100_cLOW_stTrue_r1,0.659123,0.999566,0.9961148571428572,0.7547975714285714,0.3051081428571429,0.4725977142857143,0.7106542857142857
ani99_cHIGH_stFalse_r8,0.4419392857142857,0.9900088571428571,0.9900998571428572,0.8839498571428571,0.6180068571428572,0.6827075714285714,0.8481315714285714
ani95_cLOW_stFalse_r4,0.9226558350445243,0.995996284570367,0.9999345714098775,0.967734562209875,0.23202035200581486,0.5407758687931054,0.9450884128824036
ani97_cLOW_stFalse_r7,0.7952347435378938,0.9606368627661624,1.0,0.8449263078676703,0.4115466554933349,0.5878687731616038,0.8213345969522005
ani97_cHIGH_stTrue_r9,0.706573394365662,0.9891278664618287,0.9967395742232221,0.9375986249154643,0.6935154055582238,0.7685870554968096,0.8317562870660397
ani97_cLOW_stFalse_r3,0.6866237142857143,0.8686172857142858,0.9992232857142858,0.8671582857142857,0.5683462857142857,0.6072637142857142,0.720722
