Sample,Median Index,Mean Index,Number of reads,Number of correctly classified reads,Number of reads classified at a lower level by Kraken,Number of reads classified at a higher level by Kraken,Number of reads classified wrong by Kraken,Unclassified reads,Median Index of reads classified at a higher level by Kraken,Mean Index of reads classified at a higher level by Kraken,Median Index of reads classified wrong by Kraken,Mean Index of reads classified wrong by Kraken
strain_sample_21-kraken2_refseqV208_nt,1.0,2.0807846276660715,13310874,5687575,203933,5022027,1120798,1480432,2.0,2.196373097954272,2.0,2.9822956500636155
strain_sample_21-kraken2_standard_0521,1.0,0.9943317020354936,13310874,6366006,251225,6031200,794724,118944,2.0,1.7989647168059424,2.0,1.6546775987638476
strain_sample_22-kraken2_GTDBr202RefSeqV205,1.0,1.1836379642795711,13312830,5576148,3007212,4428954,2943236,363841,1.0,1.2604208578368616,1.0,2.3425906043552063
strain_sample_22-kraken2_chocophlan,0.0,1.382247951787862,13312830,6758875,722582,5630008,861556,62384,2.0,2.8946058335973945,2.0,1.79147844133173
strain_sample_22-kraken2_minikraken,0.0,1.35576890863926,13312830,7137356,599563,4892257,319107,964099,2.0,1.808825456226032,1.0,1.6386102467197523
strain_sample_22-kraken2_refseqV205,1.0,2.056076656879116,13312830,4858805,817088,6569794,1288675,595516,2.0,2.841277215084674,2.0,2.5961464294721317
strain_sample_22-kraken2_refseqV205_100GB,0.0,1.35576890863926,13312830,7137356,599563,4892257,319107,964099,2.0,1.808825456226032,1.0,1.6386102467197523
strain_sample_22-kraken2_refseqV205_500GB,2.0,2.698801381824901,13312830,3701799,606086,7594618,971878,1044413,2.0,3.0830259007102137,2.0,3.203555384523572
strain_sample_22-kraken2_refseqV208_nt,1.0,1.7101619265024792,13312830,6458326,643251,4676939,1017678,1159834,2.0,2.0179587546470032,2.0,2.8400358463089503
strain_sample_22-kraken2_standard_0521,0.0,0.8386610510312232,13312830,7594063,728910,4770556,732039,216171,2.0,1.694059769972305,1.0,1.5542846760896618
strain_sample_23-kraken2_GTDBr202RefSeqV205,0.0,1.1085931466170027,13312958,7772918,1978176,2561828,2528101,449963,1.0,1.4201406183397167,1.0,2.796367312856567
strain_sample_23-kraken2_chocophlan,1.0,1.7676500594383306,13312958,6271691,660578,5926246,937325,177694,2.0,3.400405754334194,1.0,1.9008838983276883
strain_sample_23-kraken2_minikraken,0.0,1.1099169696171205,13312958,8935396,707236,3163824,191326,1022411,2.0,1.6586390393397357,1.0,1.7087484189289486
strain_sample_23-kraken2_refseqV205,1.0,2.226073424103043,13312958,4265055,736288,7416482,1240013,391391,2.0,3.053148379514708,2.0,2.7978174422364925
strain_sample_23-kraken2_refseqV205_100GB,0.0,1.1099169696171205,13312958,8935396,707236,3163824,191326,1022411,2.0,1.6586390393397357,1.0,1.7087484189289486
strain_sample_23-kraken2_refseqV205_500GB,2.0,2.8350542381340045,13312958,3209239,521117,8514190,922220,667276,2.0,3.361246930124885,2.0,3.3819283901888917
strain_sample_23-kraken2_refseqV208_nt,1.0,1.3000850750073725,13312958,6035222,649669,5770073,767623,740023,1.0,1.4601766736746655,2.0,2.8950305032548527
strain_sample_23-kraken2_standard_0521,0.0,0.8090848029416152,13312958,7183823,728558,5267142,516914,345079,1.0,1.3077192526801062,1.0,1.5044243336415728
strain_sample_24-kraken2_GTDBr202RefSeqV205,1.0,1.2070098150722943,13311364,5642728,1416320,4098246,3194018,373577,1.0,1.2883953281477003,2.0,2.3166550720753607
strain_sample_24-kraken2_chocophlan,1.0,1.5050313401391473,13311364,6009055,347554,6241618,1030486,30169,2.0,2.8751427915005374,1.0,1.7628885787870965
strain_sample_24-kraken2_minikraken,0.0,1.29931553220241,13311364,6904141,463866,5341318,246833,819055,2.0,1.7774015701742534,2.0,1.7434743328485252
strain_sample_24-kraken2_refseqV205,1.0,2.0793498697804367,13311364,4445982,478140,6955706,1401363,508120,2.0,2.826520844900575,2.0,2.457406111050456
strain_sample_24-kraken2_refseqV205_100GB,0.0,1.29931553220241,13311364,6904141,463866,5341318,246833,819055,2.0,1.7774015701742534,2.0,1.7434743328485252
strain_sample_24-kraken2_refseqV205_500GB,2.0,2.697840131184152,13311364,3347827,334958,8055602,1025440,881908,2.0,3.08996447441172,2.0,3.001592487127477
strain_sample_24-kraken2_refseqV208_nt,1.0,1.5759200184143414,13311364,5280944,435400,6148768,986447,895000,1.0,1.6960210565758864,2.0,2.5266030511522666
strain_sample_24-kraken2_standard_0521,1.0,0.8488198504676155,13311364,6575277,488419,5878124,723125,134832,1.0,1.52607175350503,1.0,1.5418758859118409
strain_sample_25-kraken2_GTDBr202RefSeqV205,0.0,1.1231948512489356,13309014,6852758,3111948,3136752,2857138,439391,1.0,1.2977835034456022,2.0,2.3507779463225087
strain_sample_25-kraken2_chocophlan,1.0,1.43334134294246,13309014,6466543,1593001,5404104,1394164,43900,2.0,3.0202231489253357,2.0,1.6905708367164838
strain_sample_25-kraken2_minikraken,0.0,1.3900926845519883,13309014,8214709,1657459,3403725,302006,1388372,2.0,1.6197254478549237,1.0,1.6241299841725
strain_sample_25-kraken2_refseqV205,1.0,1.93436320677099,13309014,5227856,1499147,6289090,1298756,491924,2.0,2.907431122785649,1.0,2.324965582449668
strain_sample_25-kraken2_refseqV205_100GB,0.0,1.3900926845519883,13309014,8214709,1657459,3403725,302006,1388372,2.0,1.6197254478549237,1.0,1.6241299841725
strain_sample_25-kraken2_refseqV205_500GB,1.0,2.514372965570552,13309014,4181807,1090580,7309861,980939,831974,2.0,3.16907585520436,2.0,2.824495712781325
strain_sample_25-kraken2_refseqV208_nt,0.0,1.3553871083162137,13309014,7085286,1528741,3882756,1404750,934392,1.0,1.6748621340099659,2.0,2.2137654386901584
strain_sample_25-kraken2_standard_0521,0.0,0.664431264404711,13309014,8240505,1697302,3707808,1184229,176443,1.0,1.4531278318618441,2.0,1.576348831180456
strain_sample_26-kraken2_GTDBr202RefSeqV205,1.0,1.131452770300157,13307114,6152281,2283743,3962382,2794663,397553,1.0,1.25957744609177,1.0,2.3206204111193367
strain_sample_26-kraken2_chocophlan,2.0,4.075571984102491,13635344,4318907,559085,4022288,623933,4670213,2.0,3.1025262238805382,1.0,1.6999068810272897
strain_sample_26-kraken2_minikraken,0.0,1.5287483822562882,13307114,7494924,609876,3990059,351753,1470378,2.0,1.6470488281000355,1.0,1.5294965501360334
strain_sample_26-kraken2_refseqV205,1.0,1.9671996497512532,13307114,5217743,980058,6425603,1233365,430387,2.0,2.989068263320968,2.0,2.5114682190592403
strain_sample_26-kraken2_refseqV205_100GB,0.0,1.5287483822562882,13307114,7494924,609876,3990059,351753,1470378,2.0,1.6470488281000355,1.0,1.5294965501360334
strain_sample_26-kraken2_refseqV205_500GB,1.0,2.5697030174987603,13307114,4116347,785758,7516842,920277,753590,2.0,3.2634269817032204,2.0,3.1314854114576374
strain_sample_26-kraken2_refseqV208_nt,0.0,1.5120599402695432,13307114,6709640,698357,4535570,1023310,1038566,1.0,1.7186999649437666,2.0,2.910676139195356
strain_sample_26-kraken2_standard_0521,0.0,0.8947103782232572,13307114,7600453,828227,4501941,754680,450038,1.0,1.4988175100473329,1.0,1.4682580696454126
strain_sample_27-kraken2_GTDBr202RefSeqV205,1.0,1.1435014791581233,13309598,6089031,2021810,3939067,2889218,378801,1.0,1.2789442271482054,1.0,2.302062357357596
strain_sample_27-kraken2_chocophlan,1.0,1.5101559791663128,13309598,5997392,661547,6047635,1227561,36833,2.0,2.9163554017396884,2.0,1.7346803947013631
strain_sample_27-kraken2_minikraken,0.0,1.359284855936295,13309598,7335678,859000,4544812,315965,1113042,2.0,1.6637469272656382,1.0,1.61989777348757
strain_sample_27-kraken2_refseqV205,1.0,2.05496597267626,13309598,4677654,718916,6765506,1352811,512772,2.0,2.8774892816590514,2.0,2.4101348968924707
strain_sample_27-kraken2_refseqV205_100GB,0.0,1.359284855936295,13309598,7335678,859000,4544812,315965,1113042,2.0,1.6637469272656382,1.0,1.61989777348757
strain_sample_27-kraken2_refseqV205_500GB,2.0,2.6610999821331944,13309598,3604958,514074,7842180,992736,867110,2.0,3.143450035576842,2.0,2.960660235953969
strain_sample_27-kraken2_refseqV208_nt,1.0,1.4651001480285128,13309598,6385243,725549,4819490,1168736,935045,1.0,1.703843975192396,2.0,2.449718328176765
strain_sample_27-kraken2_standard_0521,0.0,0.7800662349080716,13309598,7326690,815390,4867962,942309,172620,1.0,1.5000743637686569,2.0,1.6197765276570637
strain_sample_28-kraken2_GTDBr202RefSeqV205,0.0,0.9587017436771202,13315768,7400294,965115,3072766,2526866,315804,1.0,1.352719341466288,1.0,2.282147925533052
strain_sample_28-kraken2_chocophlan,1.0,1.6605765435384576,13315768,4957176,290189,6916431,1406517,35644,2.0,2.7917138188756603,2.0,1.764898682347956
strain_sample_28-kraken2_minikraken,0.0,1.1139503181491297,13315768,7673137,571037,4604397,284447,753783,2.0,1.6380920237764034,2.0,1.7809820458644317
strain_sample_28-kraken2_refseqV205,2.0,2.0654524770933227,13315768,3875996,398199,7544128,1589368,306267,2.0,2.807068888544839,2.0,2.2459965218879447
strain_sample_28-kraken2_refseqV205_100GB,0.0,1.1139503181491297,13315768,7673137,571037,4604397,284447,753783,2.0,1.6380920237764034,2.0,1.7809820458644317
strain_sample_28-kraken2_refseqV205_500GB,2.0,2.6060641038504126,13315768,2891477,276277,8762059,1123835,538388,2.0,3.0676099076712453,2.0,2.649493030560536
strain_sample_28-kraken2_refseqV208_nt,1.0,1.2944066012564952,13315768,4520822,381841,7279583,957065,558298,1.0,1.4039283568852776,1.0,2.080655963806011
strain_sample_28-kraken2_standard_0521,1.0,0.8049116656282987,13315768,5842137,421803,6569635,747300,156696,1.0,1.2631316656100378,1.0,1.3507814799946474
strain_sample_29-kraken2_GTDBr202RefSeqV205,1.0,1.2989985035179217,13292508,5322531,2513702,4444796,3053888,471138,1.0,1.2675796594489377,2.0,2.420251823249576
strain_sample_29-kraken2_chocophlan,1.0,1.47934957044976,13292508,6450386,406466,5967782,821767,52571,2.0,2.9629703296802727,2.0,1.8359802717802003
strain_sample_29-kraken2_minikraken,0.0,1.3183023098425068,13292508,7107808,536415,5059816,243842,881042,2.0,1.8148454410199897,2.0,1.6870842594794992
strain_sample_29-kraken2_refseqV205,1.0,2.121719467838575,13292508,4862235,581281,6538908,1270472,620880,2.0,2.9374647876984965,2.0,2.6817781108123597
strain_sample_29-kraken2_refseqV205_100GB,0.0,1.3183023098425068,13292508,7107808,536415,5059816,243842,881042,2.0,1.8148454410199897,2.0,1.6870842594794992
strain_sample_29-kraken2_refseqV205_500GB,2.0,2.7923816182770023,13292508,3675712,396585,7580132,960810,1075816,2.0,3.1998752792167737,2.0,3.3092827926437067
strain_sample_29-kraken2_refseqV208_nt,1.0,1.709066490687837,13292508,6447675,539540,4755438,933035,1156347,2.0,2.0117448697680422,2.0,2.9407385575032015
strain_sample_29-kraken2_standard_0521,0.0,0.8846046961190469,13292508,7275301,629127,5149051,650499,217656,2.0,1.7009977178318878,2.0,1.6005835520116096
strain_sample_3-kraken2_GTDBr202RefSeqV205,1.0,1.2686140254136096,13307358,5108003,1817873,4433862,3373703,384132,1.0,1.2553349653191732,2.0,2.3089788875902832
strain_sample_3-kraken2_chocophlan,1.0,1.5392404713242105,13307358,5975942,208584,6117842,1168917,44557,2.0,2.955238301348744,1.0,1.712379920901142
strain_sample_3-kraken2_minikraken,1.0,1.5712032395912097,13307358,6521185,278000,5137656,416818,1231641,2.0,1.784188742881968,1.0,1.5755677537918233
strain_sample_3-kraken2_refseqV205,1.0,2.152383666239384,13307358,4572699,380440,6611666,1503782,618743,2.0,2.9362865577299275,2.0,2.4311336350614647
strain_sample_3-kraken2_refseqV205_100GB,1.0,1.5712032395912097,13307358,6521185,278000,5137656,416818,1231641,2.0,1.784188742881968,1.0,1.5755677537918233
strain_sample_3-kraken2_refseqV205_500GB,2.0,2.802959310180128,13307358,3458948,259851,7662865,1136726,1047336,2.0,3.199507364412657,2.0,2.941094863669873
strain_sample_3-kraken2_refseqV208_nt,1.0,1.8043689062847788,13307358,5616879,266550,5021933,1475703,1192255,2.0,1.9252767808730225,2.0,2.4443841342058668
strain_sample_3-kraken2_standard_0521,1.0,0.97226526858299,13307358,6474051,315039,5382412,1198454,252435,2.0,1.6525490802264855,1.0,1.4782486436692606
strain_sample_30-kraken2_GTDBr202RefSeqV205,1.0,1.2007538579199792,13308078,5891127,1927862,3918978,3121997,375891,1.0,1.3097269237030675,2.0,2.390505500165439
