Sample name,Proportion classified,Precision reads,Precision taxa,Mean Precision,Recall reads,Recall taxa,Mean Recall,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score
marine_sample_0-kraken2_refseqV205-0.00,0.979963532,0.771616309,0.008754301,0.390185305,0.756155843,0.892361111,0.824258477,0.763807849,0.017338506,15570370,315.1740193,18.98816742,0.236192151,0.236061149,0.974770162,7.271566576,33038.6543,0.158982073,0.489950967,0.001350125,29357,0.390573177
marine_sample_0-kraken2_refseqV205-0.05,0.960829247,0.788861875,0.01986755,0.404364712,0.757961561,0.885416667,0.821689114,0.773103076,0.038863065,14813056,235.8749383,17.48342276,0.226896924,0.229151882,0.97340795,6.906050083,16468.49521,0.163136137,0.506019452,0.002929897,12835,0.40598307
marine_sample_0-kraken2_refseqV205-0.10,0.939452659,0.797083713,0.044444444,0.420764079,0.748822413,0.881944444,0.815383429,0.772199734,0.084624354,14709899,186.1104713,14.32133597,0.227800266,0.228231504,0.972697811,6.756071706,7455.289747,0.165263931,0.541328573,0.006408941,5715,0.428412044
marine_sample_0-kraken2_refseqV205-0.15,0.912231463,0.800259708,0.085013441,0.442636575,0.730022085,0.878472222,0.804247153,0.763528996,0.15502451,15055481,158.8729968,13.79167276,0.236471004,0.231047961,0.972211066,6.674911713,3876.974684,0.166716461,0.578457392,0.012091918,2976,0.459276753
marine_sample_0-kraken2_refseqV205-0.20,0.875255978,0.801707835,0.137949836,0.469828836,0.701699575,0.878472222,0.790085899,0.748377377,0.238454288,15710374,142.3367658,15.60809389,0.251622623,0.236871612,0.971727978,6.614166143,2188.414414,0.168153438,0.610119144,0.019286073,1834,0.493415833
marine_sample_0-kraken2_refseqV205-0.25,0.837885087,0.802072845,0.200158228,0.501115537,0.672044875,0.878472222,0.775258549,0.731324151,0.326030928,16440812,132.8748538,16.54553055,0.268675849,0.243122091,0.971390611,6.579090834,1375.33871,0.169150759,0.638512309,0.027653133,1264,0.52867754
marine_sample_0-kraken2_refseqV205-0.30,0.784794918,0.802838293,0.264550265,0.533694279,0.630063412,0.868055556,0.749059484,0.706034521,0.405515004,17468714,128.6759813,15.96316242,0.293965479,0.250849253,0.971008153,6.553049113,985.5294118,0.170276075,0.662984223,0.036499954,945,0.555774762
marine_sample_0-kraken2_refseqV205-0.35,0.724212046,0.805442433,0.304506699,0.554974566,0.583311113,0.868055556,0.725683334,0.676611805,0.450856628,18564836,125.7114016,17.65174246,0.323388195,0.258740438,0.970634639,6.527637552,868.04,0.17136907,0.674256461,0.041478353,821,0.563734216
marine_sample_0-kraken2_refseqV205-0.40,0.657639228,0.809209324,0.340659341,0.574934333,0.532167796,0.861111111,0.696639453,0.642079153,0.488188976,19753920,125.863927,16.2614898,0.357920847,0.268185286,0.970301097,6.531224408,744.7142857,0.17233942,0.686933685,0.046251754,728,0.565134065
marine_sample_0-kraken2_refseqV205-0.45,0.586965769,0.814932757,0.376899696,0.595916226,0.478337632,0.861111111,0.669724371,0.602832955,0.524312896,20985390,123.4366625,18.01341558,0.397167045,0.276553617,0.96989353,6.506066831,679.0833333,0.173517993,0.694948292,0.05047941,658,0.563572926
marine_sample_0-kraken2_refseqV205-0.50,0.525687532,0.820349494,0.398058252,0.609203873,0.431247501,0.854166667,0.642707084,0.565315626,0.543046358,22080856,122.0699122,16.37930818,0.434684374,0.283792312,0.969530839,6.483419144,639,0.174560331,0.699287602,0.05310691,618,0.554180992
marine_sample_0-kraken2_refseqV205-0.55,0.450927608,0.825559795,0.434628975,0.630094385,0.372267703,0.854166667,0.613217185,0.51314442,0.576112412,23519180,120.3346407,19.66448898,0.48685558,0.294034436,0.969091681,6.458854094,578.75,0.175814237,0.706298029,0.0571621,566,0.544628416
marine_sample_0-kraken2_refseqV205-0.60,0.376636825,0.832871081,0.457943925,0.645407503,0.31368992,0.850694444,0.582192182,0.455733733,0.595382746,24946354,118.9271487,21.1743588,0.544266267,0.303437951,0.968584543,6.435208682,563.875,0.17725161,0.710021865,0.059498063,535,0.52555824
marine_sample_0-kraken2_refseqV205-0.65,0.304902659,0.841691367,0.488,0.664845684,0.256633936,0.847222222,0.551928079,0.393338053,0.61928934,26357314,116.650508,24.21147868,0.606661947,0.314210524,0.968028375,6.406064407,536.1428571,0.178814901,0.714501287,0.062555468,500,0.506313697
marine_sample_0-kraken2_refseqV205-0.70,0.237288687,0.852313474,0.519148936,0.685731205,0.202244345,0.847222222,0.524733284,0.326915371,0.643799472,27727901,114.6121177,28.11448602,0.673084629,0.326703987,0.967409917,6.375125519,494,0.180537953,0.718201245,0.065285492,470,0.485357422
marine_sample_0-kraken2_refseqV205-0.75,0.183747878,0.859684297,0.553287982,0.70648614,0.157965165,0.847222222,0.502593694,0.266889881,0.669410151,28893803,112.5733738,32.01842289,0.733110119,0.337869091,0.9668828,6.347795625,456,0.181994406,0.722602104,0.068471179,441,0.468150016
marine_sample_0-kraken2_refseqV205-0.80,0.125441878,0.87253652,0.59223301,0.732384765,0.10945262,0.847222222,0.478337421,0.194506037,0.697142857,30182947,109.5761945,38.18765214,0.805493963,0.347755101,0.966331781,6.318344393,414.5,0.183507074,0.727375123,0.072091264,412,0.445824447
marine_sample_0-kraken2_refseqV205-0.85,0.082354296,0.88708151,0.62628866,0.756685085,0.073054973,0.84375,0.458402487,0.134992717,0.718934911,31172059,105.9854275,43.11001094,0.865007283,0.354811566,0.965806405,6.293725927,388.5,0.184941205,0.731836013,0.075374337,388,0.426963814
marine_sample_0-kraken2_refseqV205-0.90,0.053692334,0.892534717,0.661202186,0.776868451,0.047922273,0.840277778,0.444100025,0.090960655,0.740061162,31891341,102.959636,49.7025267,0.909039345,0.36935023,0.964743845,6.249966342,366.2,0.187804568,0.733934552,0.077496836,366,0.415510909
marine_sample_0-kraken2_refseqV205-0.95,0.032131333,0.904219083,0.704142012,0.804180547,0.029053765,0.826388889,0.427721327,0.056298581,0.760383387,32429918,97.96768803,57.57815914,0.943701419,0.40438906,0.962562121,6.13873818,338.3333333,0.193549675,0.730725661,0.079026375,338,0.408340984
marine_sample_0-kraken2_refseqV205-1.00,0.017933436,0.921122444,0.757281553,0.839201999,0.016518891,0.8125,0.414509445,0.032455739,0.783919598,32791894,91.25882407,70.09033892,0.967544261,0.494662781,0.95546166,5.822544236,309.5,0.211150003,0.703931604,0.072662025,309,0.408187668
marine_sample_1-kraken2_refseqV205-0.00,0.987165832,0.798125399,0.010070493,0.404097946,0.787882123,0.900900901,0.844391512,0.792970682,0.019918335,13700192,314.9215044,16.98826085,0.207029318,0.205912289,0.98610594,7.715656053,33509.52258,0.117979978,0.5191344,0.002416019,29790,0.406444509
marine_sample_1-kraken2_refseqV205-0.05,0.973140658,0.81174961,0.021982853,0.416866232,0.789946549,0.900900901,0.845423725,0.800699683,0.042918455,13095640,240.2182755,22.65991083,0.199300317,0.19796991,0.985398612,7.401644376,17458.98976,0.120887107,0.538838436,0.005018439,13647,0.421809069
marine_sample_1-kraken2_refseqV205-0.10,0.954137204,0.816002267,0.048090983,0.432046625,0.778578121,0.888888889,0.833733505,0.796851029,0.091245376,13219967,192.6222479,14.13259702,0.203148971,0.198997827,0.984961718,7.268081599,8389.443058,0.12265443,0.577402716,0.01080373,6155,0.444048203
marine_sample_1-kraken2_refseqV205-0.15,0.927742168,0.816477464,0.08974749,0.453112477,0.757480572,0.885885886,0.821683229,0.785873324,0.162983425,13746129,163.9293977,13.8436644,0.214126676,0.203678131,0.984587843,7.185859764,4236.468504,0.124158914,0.615093129,0.019739533,3287,0.474428375
marine_sample_1-kraken2_refseqV205-0.20,0.891843138,0.815231952,0.145105755,0.480168854,0.727059023,0.885885886,0.806472454,0.76862506,0.249366019,14576798,146.6953627,15.68392838,0.23137494,0.212040861,0.984202786,7.125787133,2474.52381,0.125695568,0.648423999,0.031137384,2033,0.508995539
marine_sample_1-kraken2_refseqV205-0.25,0.853766713,0.815515631,0.208480565,0.511998098,0.6962601,0.885885886,0.791072993,0.751184164,0.337528604,15360091,136.3257466,17.15649474,0.248815836,0.220105809,0.983856365,7.077599712,1548.140845,0.127063926,0.676208984,0.043776619,1415,0.544356384
marine_sample_1-kraken2_refseqV205-0.30,0.800135142,0.815233298,0.282818533,0.549025916,0.652296811,0.87987988,0.766088345,0.724719823,0.428049671,16502158,131.4418613,18.04213654,0.275280177,0.230162749,0.983504333,7.044292398,1090.028571,0.128440447,0.703247202,0.058515425,1036,0.576384747
marine_sample_1-kraken2_refseqV205-0.35,0.738734376,0.815288389,0.321902655,0.568595522,0.602281559,0.873873874,0.738077717,0.692781563,0.470493129,17788577,128.8717838,16.69355258,0.307218437,0.240954686,0.983158975,7.011914625,935.137931,0.12977774,0.714031246,0.065684521,904,0.581637346
marine_sample_1-kraken2_refseqV205-0.40,0.671286301,0.819471814,0.361145704,0.590308759,0.550100203,0.870870871,0.710485537,0.658295593,0.51056338,19017881,127.986086,14.90074319,0.341704407,0.249939428,0.982851784,7.004442548,828.2,0.130955895,0.725904921,0.072621549,803,0.584429487
marine_sample_1-kraken2_refseqV205-0.45,0.599412028,0.82206435,0.39295393,0.60750914,0.49275526,0.870870871,0.681813065,0.616170506,0.541549953,20443695,125.7348786,17.27371954,0.383829494,0.262053692,0.982430419,6.968883166,759.5769231,0.13255519,0.731451061,0.077122702,738,0.57886023
marine_sample_1-kraken2_refseqV205-0.50,0.537192554,0.825366772,0.430267062,0.627816917,0.443380884,0.870870871,0.657125878,0.576870976,0.575968222,21660166,122.7860387,19.03828294,0.423129024,0.270228443,0.982050424,6.936714164,689.9545455,0.133981069,0.738214954,0.082658193,674,0.576419599
marine_sample_1-kraken2_refseqV205-0.55,0.461088382,0.830546164,0.462519936,0.64653305,0.382955187,0.870870871,0.626913029,0.524205368,0.604166667,23150305,120.9921426,21.4784429,0.475794632,0.280053896,0.981577322,6.906357482,644.25,0.135735699,0.74323272,0.086572449,627,0.564186017
