Sample name,Proportion classified,Precision reads,Precision taxa,Recall reads,Recall taxa,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Mean F1 score
mouse_sample_60-kraken2_refseqV205_100GB-0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33268760.0,12.968359162412256,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouse_sample_60-kraken2_refseqV205_100GB-1.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33268760.0,12.968359162412256,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouse_sample_61-kraken2_refseqV205_100GB-0.00,0.3612721589673294,0.0,0.0,0.0,0.0,0.0,0.0,45288060.0,150.2919637640233,0.0,1.0,1.0,0.8783465660566199,4.619263279434024,4363.532110091744,0.34890739831779305,0.384938606619502,0.0020068535435968696,0.0
mouse_sample_61-kraken2_refseqV205_100GB-0.05,0.3924105871292982,0.0,0.0,0.0,0.0,0.0,0.0,46324002.0,152.2036326809931,0.0,1.0,1.0,0.9553222237949908,5.633645524412398,1556.75,0.2113898992479065,0.5536114059641863,0.01934528323712428,0.0
mouse_sample_61-kraken2_refseqV205_100GB-0.10,0.1115175831956573,0.0,0.0,0.0,0.0,0.0,0.0,36978994.0,124.15224730841301,0.0,1.0,1.0,0.9535827769691506,5.534701955346501,358.3636363636364,0.2154653250174821,0.6636452638155522,0.0664929858262989,0.0
mouse_sample_61-kraken2_refseqV205_100GB-0.15,0.021262184493853784,0.0,0.0,0.0,0.0,0.0,0.0,33976294.0,111.17752044926763,0.0,1.0,1.0,0.952477040437966,5.510904282234289,218.0,0.21806389255886585,0.7106362639943969,0.09741879866691264,0.0
mouse_sample_61-kraken2_refseqV205_100GB-0.20,0.0028638738060780084,0.0,0.0,0.0,0.0,0.0,0.0,33364202.0,98.8457588218763,0.0,1.0,1.0,0.9515723084050705,5.457852638400161,177.5,0.22047018255861206,0.7308705048487063,0.11666295311742332,0.0
mouse_sample_61-kraken2_refseqV205_100GB-0.25,0.0004194003990029855,0.0,0.0,0.0,0.0,0.0,0.0,33282877.0,87.4208481938348,0.0,1.0,1.0,0.9503750006247232,5.369522677900783,140.2,0.22499185953436612,0.7542586211977947,0.14497218528733585,0.0
mouse_sample_61-kraken2_refseqV205_100GB-0.30,3.1741333143205954e-05,0.0,0.0,0.0,0.0,0.0,0.0,33269980.0,69.43204855244296,0.0,1.0,1.0,0.9310846390036732,4.744027410455397,61.3,0.2783232353507615,0.799905161944814,0.23787791844875586,0.0
mouse_sample_61-kraken2_refseqV205_100GB-0.35,1.8034848376821564e-06,0.0,0.0,0.0,0.0,0.0,0.0,33268984.0,42.56529181004795,0.0,1.0,1.0,0.9066666666666666,3.5336604476760414,13.0,0.3808906932536602,0.95492987775279,0.8241758241758241,0.0
mouse_sample_61-kraken2_refseqV205_100GB-0.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33268924.0,14.149381229501099,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouse_sample_61-kraken2_refseqV205_100GB-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33268924.0,14.149381229501099,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
